"outcome","domain_set","Admin1","Admin2","rank_med","rank_lo","rank_hi","p_worst3rd","loco_range","rank_width","width_pct"
"child_vitA","cs_top5","Savanes","Poro",3,3,4,1,3,1,3.03030303030303
"child_vitA","cs_top5","Denguélé","Folon",4,3,6,1,3,3,9.09090909090909
"child_vitA","cs_top5","Zanzan","Bounkani",5,3.95,6.04999999999995,0.9975,3,2.09999999999995,6.36363636363622
"child_vitA","cs_top5","Lacs","N'zi",6,4,9,0.995,5,5,15.1515151515152
"child_vitA","cs_top5","Woroba","Béré",7,5,9,0.9925,3,4,12.1212121212121
"child_vitA","cs_top5","Lacs","Moronou",10,7,15,0.6975,2,8,24.2424242424242
"child_vitA","cs_top5","Vallée du Bandama","Hambol",10,7,15,0.7025,5,8,24.2424242424242
"child_vitA","cs_top5","Woroba","Worodougou",10,7,15,0.6875,8,8,24.2424242424242
"child_vitA","cs_top5","Lacs","Bélier",11,8,15,0.5825,10,7,21.2121212121212
"child_vitA","cs_top5","Lacs","Iffou",12,7,16,0.485,8,9,27.2727272727273
"child_vitA","cs_top5","Sassandra-Marahoué","Marahoué",12,9,15,0.3825,3,6,18.1818181818182
"child_vitA","cs_top5","Denguélé","Kabadougou",13,8,18,0.36,10,10,30.3030303030303
"child_vitA","cs_top5","Vallée du Bandama","Gbeke",16,12,20,0.035,5,8,24.2424242424242
"child_vitA","cs_top5","Yamoussoukro","Yamoussoukro",16,11,19,0.055,9,8,24.2424242424242
"child_vitA","cs_top5","Sassandra-Marahoué","Haut-Sassandra",17,13,20,0.02,4,7,21.2121212121212
"child_vitA","cs_top5","Zanzan","Gontougo",17,14,21,0.0075,4,7,21.2121212121212
"child_vitA","cs_top5","Gôh-Djiboua","Gôh",18,15,20,0,4,5,15.1515151515152
"child_vitA","cs_top5","Lagunes","Agnéby-Tiassa",21,19,25,0,1,6,18.1818181818182
"child_vitA","cs_top5","Montagnes","Guémon",22,19.95,25,0,6,5.05,15.3030303030303
"child_vitA","cs_top5","Woroba","Bafing",22,18,28,0,9,10,30.3030303030303
"child_vitA","cs_top5","Bas-Sassandra","Nawa",23,20,25,0,2,5,15.1515151515152
"child_vitA","cs_top5","Gôh-Djiboua","Lôh-Djiboua",23,19,25.05,0,4,6.04999999999995,18.3333333333332
"child_vitA","cs_top5","Comoé","Indénié-Djuablin",24.5,20,28,0,6,8,24.2424242424242
"child_vitA","cs_top5","Montagnes","Cavally",26,23,29,0,4,6,18.1818181818182
"child_vitA","cs_top5","Bas-Sassandra","Gbôkle",27,25,29,0,2,4,12.1212121212121
"child_vitA","cs_top5","Lagunes","Grands Ponts",27,22,30,0,2,8,24.2424242424242
"child_vitA","cs_top5","Lagunes","La Mé",30,28,32,0,1,4,12.1212121212121
"child_vitA","cs_top5","Abidjan","Abidjan",31,28,32,0,2,4,12.1212121212121
"child_vitA","cs_top5","Bas-Sassandra","San-Pédro",31,28,32,0,1,4,12.1212121212121
"child_vitA","cs_top5","Montagnes","Tonkpi",31,27,33,0,2,6,18.1818181818182
"child_vitA","cs_top5","Comoé","Sud Comoé",33,32,33,0,0,1,3.03030303030303
"women_iron","cs_top5","Savanes","Bagoué",1,1,2,1,0,1,3.03030303030303
"women_iron","cs_top5","Savanes","Tchologo",2,1,5,0.9975,2,4,12.1212121212121
"women_iron","cs_top5","Zanzan","Bounkani",4,2,6,1,3,4,12.1212121212121
"women_iron","cs_top5","Denguélé","Folon",5,2.95,8,0.9975,6,5.05,15.3030303030303
"women_iron","cs_top5","Savanes","Poro",5,3,8,0.9875,3,5,15.1515151515152
"women_iron","cs_top5","Lacs","N'zi",6,2,8,1,4,6,18.1818181818182
"women_iron","cs_top5","Woroba","Béré",7,6,11,0.9625,1,5,15.1515151515152
"women_iron","cs_top5","Lacs","Bélier",8,4,11,0.9775,7,7,21.2121212121212
"women_iron","cs_top5","Vallée du Bandama","Hambol",10,7,13,0.83,5,6,18.1818181818182
"women_iron","cs_top5","Yamoussoukro","Yamoussoukro",10,6,14,0.765,5,8,24.2424242424242
"women_iron","cs_top5","Woroba","Worodougou",11,8,15,0.695,6,7,21.2121212121212
"women_iron","cs_top5","Sassandra-Marahoué","Marahoué",13,11,16,0.145,3,5,15.1515151515152
"women_iron","cs_top5","Lacs","Moronou",13.5,9,17,0.2,3,8,24.2424242424242
"women_iron","cs_top5","Lacs","Iffou",14,10,17,0.2125,1,7,21.2121212121212
"women_iron","cs_top5","Denguélé","Kabadougou",15,10,21,0.135,7,11,33.3333333333333
"women_iron","cs_top5","Vallée du Bandama","Gbeke",15,12,18,0.0325,7,6,18.1818181818182
"women_iron","cs_top5","Gôh-Djiboua","Gôh",18,15,20,0.0025,6,5,15.1515151515152
"women_iron","cs_top5","Zanzan","Gontougo",19,16,25,0.0025,4,9,27.2727272727273
"women_iron","cs_top5","Sassandra-Marahoué","Haut-Sassandra",20,17,26.05,0,7,9.04999999999995,27.4242424242423
"women_iron","cs_top5","Woroba","Bafing",20,16,28.05,0.005,5,12.05,36.5151515151514
"women_iron","cs_top5","Lagunes","Agnéby-Tiassa",21,18,24,0,4,6,18.1818181818182
"women_iron","cs_top5","Lagunes","Grands Ponts",21,12,26,0.035,10,14,42.4242424242424
"women_iron","cs_top5","Gôh-Djiboua","Lôh-Djiboua",22,18,24,0,4,6,18.1818181818182
"women_iron","cs_top5","Bas-Sassandra","Nawa",25,23,27,0,3,4,12.1212121212121
"women_iron","cs_top5","Abidjan","Abidjan",26,16,31,0.0175,10,15,45.4545454545455
"women_iron","cs_top5","Bas-Sassandra","Gbôkle",26,22,28,0,3,6,18.1818181818182
"women_iron","cs_top5","Montagnes","Guémon",26,21,30,0,3,9,27.2727272727273
"women_iron","cs_top5","Comoé","Indénié-Djuablin",27,23,30,0,9,7,21.2121212121212
"women_iron","cs_top5","Bas-Sassandra","San-Pédro",30,24,32,0,2,8,24.2424242424242
"women_iron","cs_top5","Lagunes","La Mé",30,28,32,0,3,4,12.1212121212121
"women_iron","cs_top5","Montagnes","Cavally",30.5,28,32,0,3,4,12.1212121212121
"women_iron","cs_top5","Montagnes","Tonkpi",32,28,33,0,1,5,15.1515151515152
"women_iron","cs_top5","Comoé","Sud Comoé",33,31,33,0,0,2,6.06060606060606
"women_vitA","cs_top5","Savanes","Bagoué",1,1,2,1,1,1,3.03030303030303
"women_vitA","cs_top5","Savanes","Tchologo",2,1,2,1,1,1,3.03030303030303
"women_vitA","cs_top5","Zanzan","Bounkani",3,3,5,1,2,2,6.06060606060606
"women_vitA","cs_top5","Savanes","Poro",4,3,5,1,3,2,6.06060606060606
"women_vitA","cs_top5","Denguélé","Folon",5,4,7.04999999999995,0.995,1,3.04999999999995,9.24242424242411
"women_vitA","cs_top5","Lacs","N'zi",6,4,8,1,3,4,12.1212121212121
"women_vitA","cs_top5","Woroba","Béré",7,5,8,1,2,3,9.09090909090909
"women_vitA","cs_top5","Vallée du Bandama","Hambol",9,7,13,0.91,2,6,18.1818181818182
"women_vitA","cs_top5","Woroba","Worodougou",9,8,14,0.8375,3,6,18.1818181818182
"women_vitA","cs_top5","Lacs","Bélier",10,7,13,0.825,5,6,18.1818181818182
"women_vitA","cs_top5","Lacs","Iffou",12,9,16,0.39,3,7,21.2121212121212
"women_vitA","cs_top5","Lacs","Moronou",12,8,17,0.4,7,9,27.2727272727273
"women_vitA","cs_top5","Sassandra-Marahoué","Marahoué",13,10,15,0.23,2,5,15.1515151515152
"women_vitA","cs_top5","Denguélé","Kabadougou",14,10,18,0.2475,7,8,24.2424242424242
"women_vitA","cs_top5","Yamoussoukro","Yamoussoukro",14,10,17,0.13,3,7,21.2121212121212
"women_vitA","cs_top5","Vallée du Bandama","Gbeke",15,12,18,0.0275,6,6,18.1818181818182
"women_vitA","cs_top5","Zanzan","Gontougo",17,14,20,0.005,3,6,18.1818181818182
"women_vitA","cs_top5","Sassandra-Marahoué","Haut-Sassandra",18,15,21,0,4,6,18.1818181818182
"women_vitA","cs_top5","Gôh-Djiboua","Gôh",19,16,20,0,3,4,12.1212121212121
"women_vitA","cs_top5","Woroba","Bafing",20,17,26,0.0025,5,9,27.2727272727273
"women_vitA","cs_top5","Gôh-Djiboua","Lôh-Djiboua",22,19,24,0,3,5,15.1515151515152
"women_vitA","cs_top5","Lagunes","Agnéby-Tiassa",22,20,24,0,3,4,12.1212121212121
"women_vitA","cs_top5","Montagnes","Guémon",22,21,26,0,2,5,15.1515151515152
"women_vitA","cs_top5","Bas-Sassandra","Nawa",25,23,27,0,1,4,12.1212121212121
"women_vitA","cs_top5","Comoé","Indénié-Djuablin",25,22,29,0,5,7,21.2121212121212
"women_vitA","cs_top5","Lagunes","Grands Ponts",25,20,29,0,2,9,27.2727272727273
"women_vitA","cs_top5","Bas-Sassandra","Gbôkle",27,25,29,0,2,4,12.1212121212121
"women_vitA","cs_top5","Montagnes","Cavally",28,25,30,0,4,5,15.1515151515152
"women_vitA","cs_top5","Abidjan","Abidjan",30,25.95,32,0,1,6.05,18.3333333333333
"women_vitA","cs_top5","Lagunes","La Mé",30,28,31,0,1,3,9.09090909090909
"women_vitA","cs_top5","Montagnes","Tonkpi",30,26,32,0,5,6,18.1818181818182
"women_vitA","cs_top5","Bas-Sassandra","San-Pédro",32,30,33,0,0,3,9.09090909090909
"women_vitA","cs_top5","Comoé","Sud Comoé",33,32,33,0,0,1,3.03030303030303
"women_folate","cs_top5","Savanes","Bagoué",2,1,7,0.985,16,6,18.1818181818182
"women_folate","cs_top5","Savanes","Tchologo",2,1,11,0.955,27,10,30.3030303030303
"women_folate","cs_top5","Vallée du Bandama","Hambol",4,1,8,1,5,7,21.2121212121212
"women_folate","cs_top5","Woroba","Béré",4,1,8,0.9975,15,7,21.2121212121212
"women_folate","cs_top5","Denguélé","Folon",6,2,10,0.9825,14,8,24.2424242424242
"women_folate","cs_top5","Savanes","Poro",6,3,11,0.9575,23,8,24.2424242424242
"women_folate","cs_top5","Woroba","Worodougou",6,1,9,1,5,8,24.2424242424242
"women_folate","cs_top5","Vallée du Bandama","Gbeke",8,2,10,0.985,3,8,24.2424242424242
"women_folate","cs_top5","Zanzan","Bounkani",9,4,15,0.8575,7,11,33.3333333333333
"women_folate","cs_top5","Denguélé","Kabadougou",10,6,14,0.8375,13,8,24.2424242424242
"women_folate","cs_top5","Lacs","Bélier",11,6,13,0.79,11,7,21.2121212121212
"women_folate","cs_top5","Sassandra-Marahoué","Haut-Sassandra",13,10,19,0.1375,14,9,27.2727272727273
"women_folate","cs_top5","Yamoussoukro","Yamoussoukro",13,11,17,0.0975,11,6,18.1818181818182
"women_folate","cs_top5","Sassandra-Marahoué","Marahoué",15,13,21,0.0075,12,8,24.2424242424242
"women_folate","cs_top5","Woroba","Bafing",15,11,24,0.135,19,13,39.3939393939394
"women_folate","cs_top5","Lacs","N'zi",16,12,26,0.02,6,14,42.4242424242424
"women_folate","cs_top5","Lagunes","Grands Ponts",17,7,25,0.115,24,18,54.5454545454545
"women_folate","cs_top5","Montagnes","Guémon",19,15,24,0.0025,6,9,27.2727272727273
"women_folate","cs_top5","Zanzan","Gontougo",19,14,29,0,16,15,45.4545454545455
"women_folate","cs_top5","Lagunes","Agnéby-Tiassa",20,15,25,0.01,11,10,30.3030303030303
"women_folate","cs_top5","Abidjan","Abidjan",21,6.95,29,0.1,31,22.05,66.8181818181818
"women_folate","cs_top5","Lacs","Iffou",21,16,30,0,9,14,42.4242424242424
"women_folate","cs_top5","Gôh-Djiboua","Gôh",22,18,26,0,1,8,24.2424242424242
"women_folate","cs_top5","Bas-Sassandra","Nawa",24,19,26.05,0,16,7.04999999999995,21.3636363636362
"women_folate","cs_top5","Lacs","Moronou",24,19,30,0,6,11,33.3333333333333
"women_folate","cs_top5","Lagunes","La Mé",26,19,30,0.005,15,11,33.3333333333333
"women_folate","cs_top5","Montagnes","Tonkpi",27,20,32,0,8,12,36.3636363636364
"women_folate","cs_top5","Bas-Sassandra","Gbôkle",28,23,30,0,17,7,21.2121212121212
"women_folate","cs_top5","Bas-Sassandra","San-Pédro",28,16,32,0.015,27,16,48.4848484848485
"women_folate","cs_top5","Gôh-Djiboua","Lôh-Djiboua",30,26,32,0,7,6,18.1818181818182
"women_folate","cs_top5","Comoé","Indénié-Djuablin",31,25,33,0,4,8,24.2424242424242
"women_folate","cs_top5","Comoé","Sud Comoé",32,24,33,0.0075,27,9,27.2727272727273
"women_folate","cs_top5","Montagnes","Cavally",33,30,33,0,2,3,9.09090909090909
"women_b12","cs_top5","Savanes","Tchologo",1,1,1,1,0,0,0
"women_b12","cs_top5","Savanes","Poro",2,2,3,1,1,1,3.03030303030303
"women_b12","cs_top5","Savanes","Bagoué",3,2,3,1,2,1,3.03030303030303
"women_b12","cs_top5","Denguélé","Folon",5,4,7,0.995,1,3,9.09090909090909
"women_b12","cs_top5","Woroba","Béré",5,4,6,1,3,2,6.06060606060606
"women_b12","cs_top5","Zanzan","Bounkani",5,4,8,0.9975,1,4,12.1212121212121
"women_b12","cs_top5","Vallée du Bandama","Hambol",7,6,10,0.9925,2,4,12.1212121212121
"women_b12","cs_top5","Denguélé","Kabadougou",9,7,14,0.7425,1,7,21.2121212121212
"women_b12","cs_top5","Zanzan","Gontougo",9,7,13,0.8075,12,6,18.1818181818182
"women_b12","cs_top5","Sassandra-Marahoué","Haut-Sassandra",10,6,15,0.69,5,9,27.2727272727273
"women_b12","cs_top5","Woroba","Worodougou",10,8,13,0.78,11,5,15.1515151515152
"women_b12","cs_top5","Lacs","Iffou",13,8,15,0.32,7,7,21.2121212121212
"women_b12","cs_top5","Sassandra-Marahoué","Marahoué",13,10,15,0.1875,2,5,15.1515151515152
"women_b12","cs_top5","Vallée du Bandama","Gbeke",13,10,16,0.19,4,6,18.1818181818182
"women_b12","cs_top5","Woroba","Bafing",14,10,18,0.2375,2,8,24.2424242424242
"women_b12","cs_top5","Lacs","N'zi",16,11,18,0.0525,3,7,21.2121212121212
"women_b12","cs_top5","Lacs","Moronou",17,15,19,0.0075,2,4,12.1212121212121
"women_b12","cs_top5","Lacs","Bélier",18,17,22,0,7,5,15.1515151515152
"women_b12","cs_top5","Montagnes","Guémon",19,16,20,0,7,4,12.1212121212121
"women_b12","cs_top5","Gôh-Djiboua","Gôh",21,19,23,0,3,4,12.1212121212121
"women_b12","cs_top5","Comoé","Indénié-Djuablin",22,19,24,0,9,5,15.1515151515152
"women_b12","cs_top5","Montagnes","Tonkpi",22,17,25,0,1,8,24.2424242424242
"women_b12","cs_top5","Lagunes","Agnéby-Tiassa",23,21,25,0,4,4,12.1212121212121
"women_b12","cs_top5","Yamoussoukro","Yamoussoukro",23,20,26,0,6,6,18.1818181818182
"women_b12","cs_top5","Gôh-Djiboua","Lôh-Djiboua",25,23,27,0,9,4,12.1212121212121
"women_b12","cs_top5","Bas-Sassandra","Nawa",26,25,28,0,6,3,9.09090909090909
"women_b12","cs_top5","Montagnes","Cavally",26,23,28,0,6,5,15.1515151515152
"women_b12","cs_top5","Lagunes","La Mé",28,27,29,0,3,2,6.06060606060606
"women_b12","cs_top5","Bas-Sassandra","Gbôkle",29,28,29,0,1,1,3.03030303030303
"women_b12","cs_top5","Bas-Sassandra","San-Pédro",30,30,32,0,2,2,6.06060606060606
"women_b12","cs_top5","Lagunes","Grands Ponts",31,30,32,0,1,2,6.06060606060606
"women_b12","cs_top5","Comoé","Sud Comoé",32,31,32,0,2,1,3.03030303030303
"women_b12","cs_top5","Abidjan","Abidjan",33,33,33,0,0,0,0
