"column","full","median","lo","hi","sign_agree","domain","source","plain","label","rank"
"ihme_allanemia",-2.38563877715019,-2.36741230900015,-3.34951599876756,-1.6430092796622,1,"Anaemia and haemoglobin","IHME (modelled surfaces)","Modelled anaemia (any)","Modelled anaemia (any)",13
"ihme_ebfprevalence",2.29770984459024,2.33076945237634,0.787700920418283,3.90978625809417,0.996666666666667,"Infant and young child feeding","IHME (modelled surfaces)","Modelled exclusive breastfeeding (IHME)","Modelled exclusive breastfeeding (IHME)",14
"map_sy_pf_mortality_rate",-2.61169869153176,-2.30527059037237,-3.5467190547537,-0.855056838213242,0.99,"Infection and inflammation burden","Malaria Atlas Project (latest release, layer at each survey year)","Malaria mortality","Malaria mortality",15
"lcover_water_seasonal_frac_t0",-2.29629076505579,-2.30388269319197,-3.49612487784972,-1.16913620556806,0.996666666666667,"Built environment","GEE","Seasonal water cover","Seasonal water cover",16
"ihme_mildanemia",-2.3222768735316,-2.29656269132711,-3.24033646077801,-1.61444482424761,1,"Anaemia and haemoglobin","IHME (modelled surfaces)","Modelled mild anaemia","Modelled mild anaemia",17
"glw_pigs_km2",2.27433986376042,2.29348083519816,1.24989511734125,3.26896449834198,1,"Livestock density","Gridded Livestock of the World 4 (2020, 5 arc-min, dasymetric; FAO catalog)","Pig density","Pig density",18
"wdist_perm_km_mean",2.28154950182093,2.28911049774498,1.25085749837952,3.39880901413721,1,"Water and coast proximity","JRC Global Surface Water 1.4; USDOS LSIB 2017 (Earth Engine)","Distance to permanent water","Distance to permanent water",19
"rtfp_staple_rel_national",-1.85269074611958,-2.27103041609809,-3.72648563360388,-1.07080650698449,0.996666666666667,"Market prices (RTFP)","World Bank Real-Time Food Prices (RTFP) market panel, vintage 2026-02-10","Local staple price against the national level (RTFP)","Local staple price against the national level (RTFP)",20
"mics_handwash_soap",-2.01749773451073,-2.25470892410275,-3.56197388797141,-0.867425995357505,1,"Water and sanitation","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)",NA,"mics handwash soap",21
"hces_any_asf",-2.37460948845401,-2.23162360019637,-3.1252443672215,-1.39121282729508,1,"Household diet and consumption (HCES)","HCES microdata (IHS4, IHS 2015/16, SLIHS 2018, GLSS7)",NA,"hces any asf",22
"wdist_any_km_mean",2.20218325663607,2.2157506417547,1.13418870360114,3.26898897071657,1,"Water and coast proximity","JRC Global Surface Water 1.4; USDOS LSIB 2017 (Earth Engine)","Distance to any water","Distance to any water",23
"mics_c_mean_haz",-1.93501175895612,-2.18147153531722,-3.17511156640438,-1.36964745617669,1,"Child anthropometry","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)",NA,"mics c mean haz",24
"ihme_stuntingprevalence",2.17966595793617,2.13281681218128,1.15790371805089,3.11185351126026,1,"Child anthropometry","IHME (modelled surfaces)","Modelled child stunting","Modelled child stunting",25
"lcover_crops_frac_t0",2.09568878162955,2.10791472710828,0.961550405858245,3.24153327185832,1,"Built environment","GEE","Cropland cover","Cropland cover",26
"hces_own_prod_share",2.06543194252193,2.0615310624097,0.902562094708505,3.45869976111238,0.99,"Household diet and consumption (HCES)","HCES microdata (IHS4, IHS 2015/16, SLIHS 2018, GLSS7)","Own production share of food (budget survey)","Own production share of food (budget survey)",27
"ihme_oncho_prevalence",-2.22619718452695,-2.00456822371382,-2.84172313833108,-1.0081356185376,1,"Infection and inflammation burden","IHME (modelled surfaces)",NA,"oncho prevalence",28
"rtfp_fpi_inflation_12m",1.73045805181814,2.00095749891946,0.510086677386998,3.88909914409254,0.983333333333333,"Market prices (RTFP)","World Bank Real-Time Food Prices (RTFP) market panel, vintage 2026-02-10","Local food price inflation over the survey year (RTFP)","Local food price inflation over the survey year (RTFP)",29
"mics_water_piped",-2.0480113655594,-1.95092363604027,-2.90540277461682,-0.896768600646441,1,"Water and sanitation","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)",NA,"mics water piped",30
"wpop_dependency_ratio",-1.79512380536182,-1.87338553780517,-3.09608083835054,-0.355289599278809,0.99,"Household assets and characteristics","WorldPop age-sex / JRC GHS-SMOD (Earth Engine)","Dependency ratio","Dependency ratio",31
"ihme_hivprevalence",-1.48083392483701,-1.87196827341047,-3.00791527607581,-1.10061663082979,1,"Infection and inflammation burden","IHME (modelled surfaces)",NA,"hivprevalence",32
"glw_tlu_km2",1.91812444082113,1.86580461599412,0.814287077244936,2.72831998331425,1,"Livestock density","Gridded Livestock of the World 4 (2020, 5 arc-min, dasymetric; FAO catalog)",NA,"tlu km2",33
"aef_A13",-1.90725943457219,-1.85828574040062,-2.51151449587379,-1.21744215685691,1,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A13",34
"soilgrids_cec",-2.08268501550645,-1.83476771370168,-2.45838464392845,-1.23462899099906,1,"Soil characteristics","SoilGrids / iSDA",NA,"soilgrids cec",35
"hces_any_meat",1.92647834415279,1.83351184090682,0.733427404438927,3.11161145681754,1,"Household diet and consumption (HCES)","HCES microdata (IHS4, IHS 2015/16, SLIHS 2018, GLSS7)","Households eating meat in the last week (budget survey)","Households eating meat in the last week (budget survey)",36
"elevation",1.53284212402689,1.80783763316486,0.44970177102031,3.53374192648433,0.99,"Built environment","GEE","Elevation","Elevation",37
"aef_A41",1.99373225254035,1.80632330739657,1.10313667953314,2.61776153470855,1,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A41",38
"mics_c_stunted",1.6257249664276,1.80152148023135,0.974532804503012,2.70936291551971,1,"Child anthropometry","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)","Stunted children (MICS)","Stunted children (MICS)",39
"aef_A25",-1.90608336223615,-1.78851014263116,-2.51229253638088,-1.05742563265413,1,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A25",40
"glw_tlu_per_capita",1.50400470593596,1.76321823261074,0.467388786587742,3.85057497979341,0.99,"Livestock density","Gridded Livestock of the World 4 (2020, 5 arc-min, dasymetric; FAO catalog)","Livestock per person","Livestock per person",41
"aef_A58",-1.82730998276358,-1.7580277938479,-2.26940456228579,-1.27064926149687,1,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A58",42
"soilgrids_sand",1.93434258159989,1.74369536555297,1.11074729409181,2.44410465805819,1,"Soil characteristics","SoilGrids / iSDA",NA,"soilgrids sand",43
"ihme_overweightprevalence",1.79021836722276,1.73408744165443,0.26041283594739,3.19435773993767,0.973333333333333,"Child anthropometry","IHME (modelled surfaces)",NA,"overweightprevalence",44
"soilgrids_silt",-1.98803099710266,-1.72754518956717,-2.47760138576694,-1.0001992631612,1,"Soil characteristics","SoilGrids / iSDA",NA,"soilgrids silt",45
"ndvi_modis_amp_t0",1.61707464767524,1.72516206410868,0.695708865571329,2.93275859960297,0.996666666666667,"Ecosystem productivity/greenness","GEE",NA,"ndvi modis amp",46
"mics_w_iptp_sp",1.71099896178557,1.70962398009833,0.772347825866854,2.59429725304856,0.996666666666667,"Infection and inflammation burden","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)",NA,"mics w iptp sp",47
"ihme_wpiped",-1.87775703900279,-1.70737322549853,-2.85281498966696,-0.534751504920781,1,"Water and sanitation","IHME (modelled surfaces)",NA,"wpiped",48
"fsec_fcs_lit",1.66774809568654,1.68379347907173,0.655479480131973,2.73677233970532,0.996666666666667,"Food prices and supply","HFID (FEWS NET / IPC / WFP mVAM)",NA,"fsec fcs lit",49
"espen_sth_cov_mean",-1.71296436255314,-1.67158241094172,-2.92059013418415,-0.404011840979998,0.986666666666667,"Infection and inflammation burden","WHO ESPEN implementation-unit database 2014-2025 (portal export, no key)","Deworming coverage","Deworming coverage",50
"gdl_shdi_trend5",2.31898537687012,1.63999530516912,0.0642769108696814,3.38590426680728,0.956666666666667,"Education, employment, SES","Global Data Lab Subnational HDI (SHDI)",NA,"gdl shdi trend5",51
"fprice_staple_rel",-1.96611409340506,-1.62125410708726,-3.04068083313811,-0.11964236031078,0.966666666666667,"Food prices and supply","WFP / HDX market prices","Relative staple food price","Relative staple food price",52
"fsec_rcsi_lit",1.57242545680076,1.60897487189126,0.65068958042805,2.6778618171544,0.993333333333333,"Food prices and supply","HFID (FEWS NET / IPC / WFP mVAM)",NA,"fsec rcsi lit",53
"glw_ruminant_share",-1.43727928076194,-1.60003852587529,-2.90373779223403,-0.0999393821309521,0.956666666666667,"Livestock density","Gridded Livestock of the World 4 (2020, 5 arc-min, dasymetric; FAO catalog)","Ruminant share of livestock","Ruminant share of livestock",54
"mics_c_mdd",-1.67872221946635,-1.59987364459873,-2.44678474373895,-0.85732334994047,0.996666666666667,"Infant and young child feeding","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)","Children with minimum diet diversity (MICS)","Children with minimum diet diversity (MICS)",55
"glw_cattle_km2",1.71321997770673,1.59805774496139,-0.515530676571618,2.92139613633302,0.866666666666667,"Livestock density","Gridded Livestock of the World 4 (2020, 5 arc-min, dasymetric; FAO catalog)","Cattle density","Cattle density",56
"wapor_sd_t0",1.26628661102321,1.58699563055287,0.473565114163653,3.18683435439049,1,"Ecosystem productivity/greenness","GEE","Vegetation seasonality","Vegetation seasonality",57
"spam_share_oilcrops",1.71945717597608,1.58595087252675,0.792317920996579,2.56976204059926,1,"Agricultural production, land use","MapSPAM","Oil-crop share of cropland","Oil-crop share of cropland",58
"ihme_u5_diarrhoea_prev",1.53845590071397,1.57950078366752,0.771062170568791,2.40242381085539,1,"Infection and inflammation burden","IHME (modelled surfaces)",NA,"u5 diarrhoea prev",59
"evi_t0",-1.85276719199349,-1.55164134895673,-2.52713374289526,-0.660878279326489,0.993333333333333,"Ecosystem productivity/greenness","GEE",NA,"evi",60
"aef_A02",-1.82601864153421,-1.55154077914113,-2.23107823271378,-0.873989990844313,1,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A02",61
"aef_A27",1.5890872676889,1.54555998442011,0.820147538390954,2.21718816061057,1,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A27",62
"mics_c_fg_n",-1.61471448090128,-1.52718178435529,-2.39023303010981,-0.708623235938771,0.99,"Infant and young child feeding","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)",NA,"mics c fg n",63
"spam_share_vegetables",1.63304539127679,1.52398021659533,0.757319300115645,2.36326262091058,1,"Agricultural production, land use","MapSPAM",NA,"share vegetables",64
"npp_npp_t0",1.33180269050545,1.50198351321588,0.245713472125278,2.77504332254752,0.98,"Ecosystem productivity/greenness","GEE","Vegetation growth (net)","Vegetation growth (net)",65
"spam_prod_vegetables",1.56125553317178,1.49716236366714,0.713715000370061,2.5387118884149,1,"Agricultural production, land use","MapSPAM",NA,"prod vegetables",66
"ihme_spiped",-1.26883041956136,-1.47281232238437,-2.8878953074728,-0.348127749098194,0.996666666666667,"Water and sanitation","IHME (modelled surfaces)",NA,"spiped",67
"clim_lst_diurnal",1.52444560856388,1.46178774279316,0.880718715708019,2.20533771946377,1,"Climate and weather","GEE","Day-night land surface temperature range","Day-night land surface temperature range",68
"ihme_wunimp",1.66836541194831,1.43394530345268,0.461493310964574,2.41341974646374,0.993333333333333,"Water and sanitation","IHME (modelled surfaces)",NA,"wunimp",69
"aef_A09",-1.4607553667635,-1.43283859144181,-1.91205338489868,-0.944636145338993,1,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A09",70
"soilgrids_clay",-1.53518186631696,-1.42677116429255,-2.11323132446618,-0.883212775891601,1,"Soil characteristics","SoilGrids / iSDA",NA,"soilgrids clay",71
"mics_water_improved",-1.64074483752252,-1.42362551547458,-2.53602408554252,-0.0155646121032274,0.95,"Water and sanitation","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)",NA,"mics water improved",72
"soil_cec_mean_20_50",-1.61787357929199,-1.4202281227907,-2.08446909969685,-0.874604641104473,1,"Soil characteristics","SoilGrids / iSDA",NA,"cec mean 20 50",73
"tclim_aet_t0",-1.610541067748,-1.41771236443523,-2.06683110047691,-0.800404536097967,1,"Climate and weather","GEE",NA,"aet",74
"clim_aet_ann",-1.47819782868752,-1.41028512778643,-1.83368716277572,-1.03255467664864,1,"Climate and weather","GEE",NA,"clim aet ann",75
"wdist_perm_km_min",1.43752072353423,1.39651280858032,0.874198848827136,2.05028438589582,1,"Water and coast proximity","JRC Global Surface Water 1.4; USDOS LSIB 2017 (Earth Engine)",NA,"perm km min",76
"mics_heat_vrota24_35_sy",-1.52872240879653,-1.3874917869804,-2.66784139507399,-0.20578647328684,0.973333333333333,"Immunisation","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region",NA,"mics heat vrota24 35 sy",77
"espen_sch_cov_mean",-1.4648065102383,-1.37040472178268,-2.72332973453576,0.0820262397722084,0.936666666666667,"Infection and inflammation burden","WHO ESPEN implementation-unit database 2014-2025 (portal export, no key)",NA,"sch cov mean",78
"lst_night_m06_t0",-1.39041256554148,-1.3619755730194,-1.78800956932625,-0.945217508390349,1,"Climate and weather","GEE",NA,"lst night m06",79
"soil_cec_mean_0_20",-1.51273235825556,-1.36162859907735,-2.03917041347895,-0.763342875320471,1,"Soil characteristics","SoilGrids / iSDA",NA,"cec mean 0 20",80
"aef_A26",1.77063694765176,1.35787362191992,0.827838959805571,2.13231466107027,1,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A26",81
"rwi_n_points",1.08147482750241,1.34831975471145,-0.14533803284833,2.81976225682306,0.923333333333333,"Education, employment, SES","Meta/Data for Good RWI; WorldPop; CIESIN GPW v4.11 (Earth Engine)",NA,"n points",82
"spam_prod_oilcrops",1.37390911525963,1.34677637243571,0.71081764703697,1.97194572492587,1,"Agricultural production, land use","MapSPAM",NA,"prod oilcrops",83
"clim_pr_ann_mean",-1.40597187101312,-1.34191422194801,-1.75056347221056,-0.945758437983835,1,"Climate and weather","GEE","Mean annual rainfall, 30-year normal","Mean annual rainfall, 30-year normal",84
"soil_potassium_mean_0_20",-1.5193586842981,-1.3397730547871,-2.08259067039551,-0.673687770382098,1,"Soil characteristics","SoilGrids / iSDA",NA,"potassium mean 0 20",85
"lai_t0",-1.47873748233749,-1.33773292497737,-2.1343525312097,-0.558659432157745,0.996666666666667,"Ecosystem productivity/greenness","GEE",NA,"lai",86
"soil_phosphorus_stdev_0_20",-1.39525527079199,-1.33616006197941,-2.02659500155407,-0.712643400719781,1,"Soil characteristics","SoilGrids / iSDA","Soil phosphorus variability","Soil phosphorus variability",87
"hces_any_fruit",1.42967829368004,1.33068483218885,0.207719239116063,2.63854828679827,0.963333333333333,"Household diet and consumption (HCES)","HCES microdata (IHS4, IHS 2015/16, SLIHS 2018, GLSS7)",NA,"hces any fruit",88
"aod_t0",-1.32706905348674,-1.3276978790485,-1.83543309293512,-0.890341607332452,1,"Climate and weather","GEE",NA,"aod",89
"soil_aluminium_stdev_20_50",1.57235650762224,1.32312646859973,0.602532501425947,2.04604416946015,1,"Soil characteristics","SoilGrids / iSDA",NA,"aluminium stdev 20 50",90
"aef_A19",-1.23301516973536,-1.3188410734966,-1.85313704383685,-0.763512455804773,1,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A19",91
"mics_heat_vtetprot_sy",1.246016495499,1.30589679552053,0.251073611219458,2.34099531600485,0.96,"Immunisation","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region",NA,"mics heat vtetprot sy",92
"aef_A07",-1.32254320157921,-1.30376598417711,-1.96076151012402,-0.774892783045977,1,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A07",93
"rwi_mean",-0.931910790415613,-1.30211841125556,-2.53717975072997,0.168190184269493,0.943333333333333,"Education, employment, SES","Meta/Data for Good RWI; WorldPop; CIESIN GPW v4.11 (Earth Engine)",NA,"mean",94
"rwi_sd",-1.52400862921762,-1.29847554505066,-2.93443775116998,-0.100886346159868,0.96,"Education, employment, SES","Meta/Data for Good RWI; WorldPop; CIESIN GPW v4.11 (Earth Engine)","Wealth index spread","Wealth index spread",95
"rtfp_fpi_volatility",-1.74128176159244,-1.28348490731615,-2.93790745568726,0.313691360652945,0.91,"Market prices (RTFP)","World Bank Real-Time Food Prices (RTFP) market panel, vintage 2026-02-10","Month-to-month food price volatility (RTFP)","Month-to-month food price volatility (RTFP)",96
"lst_night_annual_min_t0",-1.27521161110934,-1.25646644519223,-1.68342998954125,-0.893625322031117,1,"Climate and weather","GEE",NA,"lst night annual min",97
"clim_lstd_ann",1.35302019593916,1.25228208238109,0.666512222567566,1.89019996347998,1,"Climate and weather","GEE",NA,"clim lstd ann",98
"aef_A45",-1.29692198467538,-1.24361548987808,-1.83001039725814,-0.718375439603558,1,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A45",99
"hces_asf_purchase_share",-1.59200865889651,-1.24112214042303,-2.19170380786936,-0.138906730050022,0.976666666666667,"Household diet and consumption (HCES)","HCES microdata (IHS4, IHS 2015/16, SLIHS 2018, GLSS7)",NA,"hces asf purchase share",100
"lst_night_m07_t0",-1.26477757457477,-1.24028587580471,-1.68732485785634,-0.867938444313908,1,"Climate and weather","GEE",NA,"lst night m07",101
"soil_potassium_mean_20_50",-1.28497652276237,-1.2030041116463,-1.92002395280708,-0.5676262336705,1,"Soil characteristics","SoilGrids / iSDA",NA,"potassium mean 20 50",102
"ndvi_modis_clim",-1.15803879341996,-1.19158874141971,-1.85957770931551,-0.600934690756014,1,"Ecosystem productivity/greenness","GEE",NA,"ndvi modis clim",103
"aef_A11",-1.37638880098028,-1.19099939537129,-1.74437183198747,-0.740290714837032,1,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A11",104
"soil_aluminium_mean_20_50",-1.44310340397308,-1.1770747872472,-1.80345110096114,-0.494951442841139,1,"Soil characteristics","SoilGrids / iSDA",NA,"aluminium mean 20 50",105
"mics_heat_vpolio24_35_sy",1.28663822726334,1.17530210803828,0.0757710616324289,2.30658484219808,0.963333333333333,"Immunisation","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region",NA,"mics heat vpolio24 35 sy",106
"ihme_malecircumcisionprevalence",-1.10202139640956,-1.17086725440316,-2.27550910571867,-0.412184098537575,0.996666666666667,"Infection and inflammation burden","IHME (modelled surfaces)",NA,"malecircumcisionprevalence",107
"aef_A61",1.220062529721,1.1698128517544,0.671945819190269,1.67021538685731,1,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A61",108
"lst_night_m05_t0",-1.16898256978795,-1.15902885420629,-1.57150298833846,-0.82887379640102,1,"Climate and weather","GEE",NA,"lst night m05",109
"lcover_grass_frac_t0",1.66359611274096,1.15873971349921,-0.888348454135799,2.69913303991096,0.863333333333333,"Built environment","GEE","Grassland cover","Grassland cover",110
"lst_night_m08_t0",-1.15897688654683,-1.14882377909545,-1.57032702506603,-0.80087682594701,1,"Climate and weather","GEE",NA,"lst night m08",111
"ndvi_modis_win",-1.25618427079653,-1.13810596385682,-1.81674794944003,-0.544682359983793,1,"Ecosystem productivity/greenness","GEE",NA,"ndvi modis win",112
"mics_heat_vdpt_sy",1.11033890487234,1.13737725155806,0.257498043188815,2.03780574952234,0.976666666666667,"Immunisation","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region",NA,"mics heat vdpt sy",113
"tclim_pr_t0",-1.32196009472664,-1.10724781245085,-1.67001561728361,-0.595385937516995,1,"Climate and weather","GEE",NA,"pr",114
"mics_heat_vpolio_sy",1.161716900776,1.08828205776728,0.147419857863304,1.98393021267953,0.966666666666667,"Immunisation","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region",NA,"mics heat vpolio sy",115
"soil_phosphorus_mean_20_50",-1.15660797514712,-1.08539415495588,-1.71545105934405,-0.523591442707773,1,"Soil characteristics","SoilGrids / iSDA",NA,"phosphorus mean 20 50",116
"ihme_edu_12plus_share",-1.09389872996366,-1.08271225086733,-1.72147767498001,-0.386715790589208,0.996666666666667,"Education, employment, SES","IHME (modelled surfaces)",NA,"edu 12plus share",117
"soil_zinc_stdev_0_20",1.24268054712339,1.08239369757736,0.306328906798743,2.11823559542217,0.986666666666667,"Soil characteristics","SoilGrids / iSDA","Soil zinc variability","Soil zinc variability",118
"mics_c_fg_vita_fv",1.03674331866666,1.07620960029226,-0.422387015592744,2.76841991738194,0.863333333333333,"Infant and young child feeding","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)",NA,"mics c fg vita fv",119
"soil_phosphorus_mean_0_20",-1.16205223885633,-1.07232212949294,-1.79253328035205,-0.552079727973562,1,"Soil characteristics","SoilGrids / iSDA",NA,"phosphorus mean 0 20",120
"lst_night_annual_sd_t0",1.11625364648005,1.06791932934081,0.504149113568412,1.70304166335646,1,"Climate and weather","GEE",NA,"lst night annual sd",121
"aef_A28",1.18725677791782,1.06741290365576,0.57867383392921,1.56906951621916,1,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A28",122
"lcover_tree_frac_t0",-1.29953336286175,-1.06059779790111,-2.16945220883261,-0.00798870070500269,0.95,"Built environment","GEE",NA,"tree frac",123
"ihme_wimpother",1.13114751415323,1.03919595073784,-0.32252739599061,2.30545626328631,0.9,"Water and sanitation","IHME (modelled surfaces)",NA,"wimpother",124
"ihme_oralrehydrationsolution",-0.85188104030088,-1.02636016445941,-1.84657127020396,-0.400848961210312,0.996666666666667,"Infection and inflammation burden","IHME (modelled surfaces)",NA,"oralrehydrationsolution",125
"soil_sulfur_stdev_0_20",-1.21639273116232,-1.02200407613737,-1.68741837837183,-0.398272209787981,1,"Soil characteristics","SoilGrids / iSDA",NA,"sulfur stdev 0 20",126
"ndvi_modis_t0",-1.01793038785092,-1.0216523415423,-1.80700237459696,-0.395418412761992,0.996666666666667,"Ecosystem productivity/greenness","GEE",NA,"ndvi modis",127
"tclim_def_t0",1.13765388092549,1.01657800189452,0.516605106181287,1.49902493321426,1,"Climate and weather","GEE",NA,"def",128
"tclim_soil_t0",-1.12669414673641,-1.01127511683097,-1.59532260946138,-0.38031551041814,0.996666666666667,"Climate and weather","GEE",NA,"soil",129
"clim_tmin_ann",-1.01751750054898,-1.00509478986077,-1.49968240497374,-0.634322401555147,1,"Climate and weather","GEE",NA,"clim tmin ann",130
"clim_pr_top3_share",0.988683015646172,1.00452773331379,0.569478140325043,1.61408722606078,1,"Climate and weather","GEE",NA,"clim pr top3 share",131
"mics_c_fever_2wk",-1.11630702669814,-1.00004321105071,-2.23596358381566,0.288885281166842,0.923333333333333,"Infection and inflammation burden","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)",NA,"mics c fever 2wk",132
"clim_def_ann",1.0812189103641,0.999427565764677,0.622241101499105,1.44034250686052,1,"Climate and weather","GEE",NA,"clim def ann",133
"hces_any_vita_fv",1.38191345508909,0.997239538022283,-0.15102637984305,2.15567872696717,0.926666666666667,"Household diet and consumption (HCES)","HCES microdata (IHS4, IHS 2015/16, SLIHS 2018, GLSS7)",NA,"hces any vita fv",134
"aef_A14",1.09381683407714,0.996691892421006,0.409035865059699,1.63147071101361,0.996666666666667,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A14",135
"lst_night_annual_range_t0",1.03279681810131,0.988763335971881,0.433419480802998,1.6403414661353,1,"Climate and weather","GEE",NA,"lst night annual range",136
"soil_potassium_stdev_20_50",1.0794194645894,0.984382949585871,0.339193778217155,1.76486179074411,0.996666666666667,"Soil characteristics","SoilGrids / iSDA",NA,"potassium stdev 20 50",137
"aef_A22",0.806410612544978,0.970404665077551,0.263083020637792,1.69530361794846,0.996666666666667,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A22",138
"mics_heat_vmsl24_35_sy",-1.16519680061754,-0.958844375593871,-1.9457376834629,0.0185042780818443,0.94,"Immunisation","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region",NA,"mics heat vmsl24 35 sy",139
"fprice_dist_nearest_market_km",0.989615769258776,0.942891711161408,-1.02688503366729,2.66725574898583,0.783333333333333,"Food prices and supply","WFP / HDX market prices",NA,"dist nearest market km",140
"tclim_tmmn_t0",-0.963321754189179,-0.935068627496989,-1.3734695374722,-0.577257098381444,1,"Climate and weather","GEE",NA,"tmmn",141
"tclim_ro_t0",-1.13241085231469,-0.932429982977517,-1.44987892790198,-0.475193173002116,1,"Climate and weather","GEE",NA,"ro",142
"aef_A30",-1.12005773637301,-0.931700956708852,-1.61254605591957,-0.356984033241092,0.996666666666667,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A30",143
"mics_salt_any_iodine",1.03287582236509,0.925446675357781,-0.114094784716589,2.24417691499481,0.933333333333333,"Food fortification and supplementation","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)",NA,"mics salt any iodine",144
"aef_A34",1.07506541285136,0.910025719145298,0.24337064778182,1.46997034122277,0.983333333333333,"Satellite embedding","AlphaEarth (GEE)",NA,"aef A34",145
