"country","outcome","Admin1","Admin2","n_districts","k_worst","obs_prev","obs_worst_fifth","pred_mean","p_worst_fifth","draws"
"Ghana","child_vitA","Western","Jomoro",75,15,0.375,FALSE,0.103564494008935,0,40
"Ghana","child_vitA","Western","Mpohor",75,15,0,FALSE,0.0881519703853379,0,40
"Ghana","child_vitA","Western","Prestea-Huni Valley",75,15,0.166666666666667,FALSE,0.0683511012183177,0,40
"Ghana","child_vitA","Western North","Sefwi-Akontombra",75,15,0.210526315789474,FALSE,0.0978350793472934,0,40
"Ghana","women_vitA","Ahafo","Asunafo North",75,15,0,FALSE,0.00168427557895347,0,40
"Ghana","women_vitA","Ahafo","Tano North",75,15,0,FALSE,0.00172677364928815,0,40
"Ghana","women_vitA","Ashanti","Adansi Asokwa",75,15,0,FALSE,0.0039770836324353,0,40
"Ghana","women_vitA","Ashanti","Asante-Akim South",75,15,0,FALSE,0.00240063429011907,0,40
"Ghana","women_vitA","Ashanti","Asokore-Mampong",75,15,0,FALSE,0.0106567952575177,0,40
"Ghana","women_vitA","Ashanti","Asokwa",75,15,0,FALSE,0.0150898092407522,0.025,40
"Ghana","women_vitA","Ashanti","Atwima-Mponua",75,15,0,FALSE,0.00154921513085149,0,40
"Ghana","women_vitA","Ashanti","Atwima-Nwabiagya South",75,15,0,FALSE,0.00431609261910693,0,40
"Ghana","women_vitA","Ashanti","Bekwai",75,15,0.142857142857143,TRUE,0.00300803120561101,0,40
"Ghana","women_vitA","Ashanti","Kumasi",75,15,0,FALSE,0.0117617555332469,0.05,40
"Ghana","women_vitA","Ashanti","Kwadaso",75,15,0.0666666666666667,TRUE,0.0066266949750525,0,40
"Ghana","women_vitA","Ashanti","Obuasi",75,15,0,FALSE,0.00663510497759935,0,40
"Ghana","women_vitA","Ashanti","Sekyere Kumawu",75,15,0,FALSE,0.00260540386970637,0,40
"Ghana","women_vitA","Ashanti","Sekyere South",75,15,0,FALSE,0.0027915688024839,0,40
"Ghana","women_vitA","Bono","Dormaa West",75,15,0,FALSE,0.00128075004471613,0,40
"Ghana","women_vitA","Bono","Sunyani West",75,15,0,FALSE,0.00289931855363571,0,40
"Ghana","women_vitA","Bono","Wenchi",75,15,0,FALSE,0.00270471494969896,0,40
"Ghana","women_vitA","Bono East","Kintampo North",75,15,0,FALSE,0.0074638217496907,0,40
"Ghana","women_vitA","Bono East","Sene West",75,15,0,FALSE,0.00564855465405703,0,40
"Ghana","women_vitA","Bono East","Techiman",75,15,0,FALSE,0.00245652935914507,0,40
"Ghana","women_vitA","Central","Agona West",75,15,0.0909090909090909,TRUE,0.00432712886346839,0,40
"Ghana","women_vitA","Central","Asikuma-Odoben-Brakwa",75,15,0.05,FALSE,0.00238858572951449,0,40
"Ghana","women_vitA","Central","Awutu Senya West",75,15,0,FALSE,0.0105413677932617,0,40
"Ghana","women_vitA","Central","Mfantseman",75,15,0,FALSE,0.0077061204794318,0,40
"Ghana","women_vitA","Central","Twifo-Atti-Morkwa",75,15,0,FALSE,0.0044474951906543,0,40
"Ghana","women_vitA","Central","Twifo-Hemang-Lower Denkyira",75,15,0,FALSE,0.00379519978393787,0,40
"Ghana","women_vitA","Eastern","Abuakwa South",75,15,0,FALSE,0.00466775688427441,0,40
"Ghana","women_vitA","Eastern","Akwapem North",75,15,0,FALSE,0.00589491649797856,0,40
"Ghana","women_vitA","Eastern","Atiwa East",75,15,0.2,TRUE,0.00269232699010016,0,40
"Ghana","women_vitA","Eastern","Denkyembour",75,15,0.0666666666666667,TRUE,0.0035898094384924,0,40
"Ghana","women_vitA","Eastern","Kwahu Afram Plains North",75,15,0,FALSE,0.00996932044145398,0,40
"Ghana","women_vitA","Greater Accra","Ablekuma Central",75,15,0,FALSE,0.0748757321252404,0.7,40
"Ghana","women_vitA","Greater Accra","Ablekuma North",75,15,0.0565343659244918,FALSE,0.0391408209079046,0.45,40
"Ghana","women_vitA","Greater Accra","Ashaiman",75,15,0,FALSE,0.0390087086670435,0.525,40
"Ghana","women_vitA","Greater Accra","Ayawaso West",75,15,0,FALSE,0.0407898725076196,0.475,40
"Ghana","women_vitA","Greater Accra","Ga East",75,15,0,FALSE,0.0275382299490893,0.325,40
"Ghana","women_vitA","Greater Accra","La-Dade-Kotopon",75,15,0.111111111111111,TRUE,0.0200020078652649,0.2,40
"Ghana","women_vitA","Greater Accra","Tema West",75,15,0.153846153846154,TRUE,0.0254329944743466,0.325,40
"Ghana","women_vitA","Greater Accra","Weija Gbawe",75,15,0.0421285208173838,FALSE,0.0234068909534077,0.275,40
"Ghana","women_vitA","North East","Chereponi",75,15,0,FALSE,0.100437647467951,0.95,40
"Ghana","women_vitA","North East","West Mamprusi",75,15,0,FALSE,0.092780613303058,0.95,40
"Ghana","women_vitA","North East","Yunyoo-Nasuan",75,15,0.0833333333333333,TRUE,0.0556105504353789,0.7,40
"Ghana","women_vitA","Northern","Gushegu",75,15,0.222222222222222,TRUE,0.0221444723465329,0.25,40
"Ghana","women_vitA","Northern","Kpandai",75,15,0,FALSE,0.013756067390073,0,40
"Ghana","women_vitA","Northern","Nanumba South",75,15,0,FALSE,0.0247118364568802,0.225,40
"Ghana","women_vitA","Northern","Sagnerigu",75,15,0.102927473989318,TRUE,0.0674627765210542,0.875,40
"Ghana","women_vitA","Northern","Savelugu",75,15,0.0625,FALSE,0.055730522080911,0.725,40
"Ghana","women_vitA","Northern","Tamale",75,15,0,FALSE,0.0891235400887214,0.95,40
"Ghana","women_vitA","Northern","Tatale Sanguli",75,15,0,FALSE,0.0249752346005869,0.175,40
"Ghana","women_vitA","Northern","Tolon",75,15,0.230769230769231,TRUE,0.0334249811068704,0.475,40
"Ghana","women_vitA","Oti","Nkwanta South",75,15,0,FALSE,0.0048457900177476,0,40
"Ghana","women_vitA","Savannah","Bole",75,15,0.2,TRUE,0.00388404919824352,0,40
"Ghana","women_vitA","Savannah","Central Gonja",75,15,0,FALSE,0.0215931171315634,0.075,40
"Ghana","women_vitA","Savannah","North East Gonja",75,15,0,FALSE,0.0196650811503988,0.025,40
"Ghana","women_vitA","Savannah","Sawla-Tuna-Kalba",75,15,0,FALSE,0.0145302430377823,0,40
"Ghana","women_vitA","Upper East","Bawku West",75,15,0,FALSE,0.12776622586801,0.975,40
"Ghana","women_vitA","Upper East","Binduri",75,15,0,FALSE,0.181546617119861,1,40
"Ghana","women_vitA","Upper East","Builsa South",75,15,0,FALSE,0.049042353828963,0.625,40
"Ghana","women_vitA","Upper East","Kasena Nankana East",75,15,0.0975820379965458,TRUE,0.0484239336234673,0.6,40
"Ghana","women_vitA","Upper East","Talensi",75,15,0.166666666666667,TRUE,0.0572426445575317,0.75,40
"Ghana","women_vitA","Upper West","Jirapa",75,15,0,FALSE,0.0386299641077266,0.45,40
"Ghana","women_vitA","Upper West","Lambussie-Karni",75,15,0,FALSE,0.0239095421741641,0.15,40
"Ghana","women_vitA","Upper West","Sissala East",75,15,0,FALSE,0.028844794080173,0.3,40
"Ghana","women_vitA","Upper West","Wa East",75,15,0.1,TRUE,0.0119377121626936,0,40
"Ghana","women_vitA","Upper West","Wa Municipal",75,15,0,FALSE,0.0405441729993774,0.4,40
"Ghana","women_vitA","Volta","Afadzato South",75,15,0,FALSE,0.00569608267439009,0,40
"Ghana","women_vitA","Volta","Akatsi South",75,15,0,FALSE,0.00901879372373635,0,40
"Ghana","women_vitA","Volta","Ho Municipal",75,15,0,FALSE,0.00761070849452384,0,40
