"pcode","pcode_name","gid_2","Admin1","Admin2","share_of_cod_unit","n_gadm_polys","country","cod_level"
"GM0801","Jarra Central","GMB.2.1_1","Lower River","Jarra Central",0.889,3,"Gambia",2
"GM0802","Jarra East","GMB.2.2_1","Lower River","Jarra East",0.869,5,"Gambia",2
"GM0803","Jarra West","GMB.2.3_1","Lower River","Jarra West",0.86,4,"Gambia",2
"GM0804","Kiang Central","GMB.2.4_1","Lower River","Kiang Central",0.931,2,"Gambia",2
"GM0805","Kiang East","GMB.2.5_1","Lower River","Kiang East",0.669,3,"Gambia",2
"GM0806","Kiang West","GMB.2.6_1","Lower River","Kiang West",0.959,5,"Gambia",2
"GH0101","Asunafo North Municipal","GHA1.1_2","Ahafo","Asunafo North",0.998,8,"Ghana",2
"GH0102","Asunafo South","GHA1.2_2","Ahafo","Asunafo South",0.995,6,"Ghana",2
"GH0103","Asutifi North","GHA1.3_2","Ahafo","Asutifi North",0.998,7,"Ghana",2
"GH0104","Asutifi South","GHA1.4_2","Ahafo","Asutifi South",0.994,8,"Ghana",2
"GH0105","Tano North Municipal","GHA1.5_2","Ahafo","Tano North",0.997,8,"Ghana",2
"GH0106","Tano South Municipal","GHA1.6_2","Ahafo","Tano South",0.997,5,"Ghana",2
"GH0201","Adansi Akrofuom","GHA2.1_2","Ashanti","Adansi Akrofuom",0.996,9,"Ghana",2
"GH0202","Adansi Asokwa","GHA2.2_2","Ashanti","Adansi Asokwa",0.996,7,"Ghana",2
"GH0203","Adansi North","GHA2.3_2","Ashanti","Adansi North",0.995,7,"Ghana",2
"GH0204","Adansi South","GHA2.4_2","Ashanti","Adansi South",0.995,7,"Ghana",2
"GH0205","Afigya Kwabre North","GHA2.5_2","Ashanti","Afigya-Kwabre North",0.993,5,"Ghana",2
"GH0206","Afigya Kwabre South","GHA2.6_2","Ashanti","Afigya-Kwabre South",0.994,8,"Ghana",2
"GH0207","Ahafo Ano North","GHA2.7_2","Ashanti","Ahafo-Ano North",0.996,5,"Ghana",2
"GH0208","Ahafo Ano South East","GHA2.8_2","Ashanti","Ahafo-Ano South East",0.997,8,"Ghana",2
"GH0209","Ahafo Ano South West","GHA2.9_2","Ashanti","Ahafo-Ano South West",0.996,6,"Ghana",2
"GH0210","Amansie Central","GHA2.10_2","Ashanti","Amansie Central",0.995,8,"Ghana",2
"GH0211","Amansie South","GHA2.11_2","Ashanti","Amansie South",0.995,6,"Ghana",2
"GH0212","Amansie West","GHA2.12_2","Ashanti","Amansie West",0.996,7,"Ghana",2
"GH0213","Asante Akim Central Municipal","GHA2.13_2","Ashanti","Asante-Akim Central",0.994,7,"Ghana",2
"GH0214","Asante Akim North","GHA2.14_2","Ashanti","Asante-Akim North",0.997,8,"Ghana",2
"GH0215","Asante Akim South","GHA2.15_2","Ashanti","Asante-Akim South",0.997,9,"Ghana",2
"GH0216","Asokore Mampong Municipal","GHA2.16_2","Ashanti","Asokore-Mampong",0.987,6,"Ghana",2
"GH0217","Asokwa Municipal","GHA2.17_2","Ashanti","Asokwa",0.989,6,"Ghana",2
"GH0218","Atwima Kwanwoma","GHA2.18_2","Ashanti","Atwima-Kwanwoma",0.994,6,"Ghana",2
"GH0219","Atwima Mponua","GHA2.19_2","Ashanti","Atwima-Mponua",0.997,10,"Ghana",2
"GH0220","Atwima Nwabiagya North","GHA2.20_2","Ashanti","Atwima-Nwabiagya North",0.993,6,"Ghana",2
"GH0221","Atwima Nwabiagya South","GHA2.21_2","Ashanti","Atwima-Nwabiagya South",0.994,8,"Ghana",2
"GH0222","Bekwai Municipal","GHA2.22_2","Ashanti","Bekwai",0.996,7,"Ghana",2
"GH0223","Bosome Freho","GHA2.23_2","Ashanti","Bosome Freho",0.995,10,"Ghana",2
"GH0224","Bosomtwe","GHA2.24_2","Ashanti","Bosomtwe",0.996,7,"Ghana",2
"GH0225","Ejisu Municipal","GHA2.25_2","Ashanti","Ejisu",0.995,8,"Ghana",2
"GH0226","Ejura-Sekyedumase","GHA2.26_2","Ashanti","Ejura-Sekyedumase",0.998,10,"Ghana",2
"GH0227","Juaben Municipal","GHA2.27_2","Ashanti","Juaben",0.995,6,"Ghana",2
"GH0228","Kumasi Metropolitan","GHA2.28_2","Ashanti","Kumasi",0.994,7,"Ghana",2
"GH0229","Kwabre East","GHA2.29_2","Ashanti","Kwabre East",0.993,7,"Ghana",2
"GH0230","Kwadaso Municipal","GHA2.30_2","Ashanti","Kwadaso",0.992,7,"Ghana",2
"GH0231","Mampong Municipal","GHA2.31_2","Ashanti","Mampong",0.997,5,"Ghana",2
"GH0232","Obuasi East","GHA2.33_2","Ashanti","Obuasi East",0.995,5,"Ghana",2
"GH0233","Obuasi Municipal","GHA2.32_2","Ashanti","Obuasi",0.995,5,"Ghana",2
"GH0234","Offinso Municipal","GHA2.34_2","Ashanti","Offinso",0.997,7,"Ghana",2
"GH0235","Offinso North","GHA2.35_2","Ashanti","Offinso North",0.997,9,"Ghana",2
"GH0236","Oforikrom Municipal","GHA2.36_2","Ashanti","Oforikrom",0.989,6,"Ghana",2
"GH0237","Old Tafo Municipal","GHA2.37_2","Ashanti","Old Tafo",0.99,6,"Ghana",2
"GH0238","Sekyere Afram Plains North","GHA2.38_2","Ashanti","Sekyere Afram Plains North",0.998,8,"Ghana",2
"GH0239","Sekyere Central","GHA2.39_2","Ashanti","Sekyere Central",0.998,6,"Ghana",2
"GH0240","Sekyere East","GHA2.40_2","Ashanti","Sekyere East",0.995,6,"Ghana",2
"GH0241","Sekyere Kumawu","GHA2.41_2","Ashanti","Sekyere Kumawu",0.996,7,"Ghana",2
"GH0242","Sekyere South","GHA2.42_2","Ashanti","Sekyere South",0.997,9,"Ghana",2
"GH0243","Suame Municipal","GHA2.43_2","Ashanti","Suame",0.983,7,"Ghana",2
"GH0301","Banda","GHA3.1_2","Bono","Banda",0.999,6,"Ghana",2
"GH0302","Berekum East Municipal","GHA3.2_2","Bono","Berekum East",0.997,7,"Ghana",2
"GH0303","Berekum West","GHA3.3_2","Bono","Berekum West",0.998,5,"Ghana",2
"GH0304","Dormaa East","GHA3.5_2","Bono","Dormaa East",0.997,7,"Ghana",2
"GH0305","Dormaa Municipal","GHA3.4_2","Bono","Dormaa",0.999,7,"Ghana",2
"GH0306","Dormaa West","GHA3.6_2","Bono","Dormaa West",0.997,4,"Ghana",2
"GH0307","Jaman North","GHA3.7_2","Bono","Jaman North",0.998,5,"Ghana",2
"GH0308","Jaman South Municipal","GHA3.8_2","Bono","Jaman South",0.998,5,"Ghana",2
"GH0309","Sunyani Municipal","GHA3.9_2","Bono","Sunyani",0.996,5,"Ghana",2
"GH0310","Sunyani West","GHA3.10_2","Bono","Sunyani West",0.997,9,"Ghana",2
"GH0311","Tain","GHA3.11_2","Bono","Tain",0.998,6,"Ghana",2
"GH0312","Wenchi Municipal","GHA3.12_2","Bono","Wenchi",0.997,7,"Ghana",2
"GH0401","Atebubu Amantin","GHA4.1_2","Bono East","Atebubu-Amantin",0.998,8,"Ghana",2
"GH0402","Kintampo North Municipal","GHA4.2_2","Bono East","Kintampo North",0.999,6,"Ghana",2
"GH0403","Kintampo South","GHA4.3_2","Bono East","Kintampo South",0.999,8,"Ghana",2
"GH0404","Nkoranza North","GHA4.4_2","Bono East","Nkoranza North",0.998,8,"Ghana",2
"GH0405","Nkoranza South","GHA4.5_2","Bono East","Nkoranza South",0.998,5,"Ghana",2
"GH0406","Pru East","GHA4.6_2","Bono East","Pru East",0.999,6,"Ghana",2
"GH0407","Pru West","GHA4.7_2","Bono East","Pru West",0.998,7,"Ghana",2
"GH0408","Sene East","GHA4.8_2","Bono East","Sene East",0.999,10,"Ghana",2
"GH0409","Sene West","GHA4.9_2","Bono East","Sene West",0.999,6,"Ghana",2
"GH0410","Techiman Municipal","GHA4.10_2","Bono East","Techiman",0.998,7,"Ghana",2
"GH0411","Techiman North","GHA4.11_2","Bono East","Techiman North",0.997,5,"Ghana",2
"GH0501","Abura-Asebu-Kwamankese","GHA5.1_2","Central","Abura-Asebu-Kwamankese",0.994,6,"Ghana",2
"GH0502","Agona East","GHA5.2_2","Central","Agona East",0.996,6,"Ghana",2
"GH0503","Agona West Municipal","GHA5.3_2","Central","Agona West",0.996,7,"Ghana",2
"GH0504","Ajumako-Enyan-Essiam","GHA5.4_2","Central","Ajumako-Enyan-Essiam",0.996,6,"Ghana",2
"GH0505","Asikuma-Odoben-Brakwa","GHA5.5_2","Central","Asikuma-Odoben-Brakwa",0.997,8,"Ghana",2
"GH0506","Assin Fosu","GHA5.6_2","Central","Assin Central",0.996,5,"Ghana",2
"GH0507","Assin North","GHA5.7_2","Central","Assin North",0.996,8,"Ghana",2
"GH0508","Assin South","GHA5.8_2","Central","Assin South",0.998,7,"Ghana",2
"GH0509","Awutu Senya","GHA5.9_2","Central","Awutu Senya West",0.994,6,"Ghana",2
"GH0510","Awutu Senya East","GHA5.10_2","Central","Awutu Senya East",0.994,5,"Ghana",2
"GH0511","Cape Coast Metropolitan","GHA5.11_2","Central","Cape Coast",0.99,4,"Ghana",2
"GH0512","Effutu Municipal","GHA5.12_2","Central","Effutu",0.992,4,"Ghana",2
"GH0513","Ekumfi","GHA5.13_2","Central","Ekumfi",0.997,4,"Ghana",2
"GH0514","Gomoa Central","GHA5.14_2","Central","Gomoa Central",0.996,4,"Ghana",2
"GH0515","Gomoa East","GHA5.15_2","Central","Gomoa East",0.996,9,"Ghana",2
"GH0516","Gomoa West","GHA5.16_2","Central","Gomoa West",0.996,7,"Ghana",2
"GH0517","Komenda-Edina-Eguafo-Abirem Municipal","GHA5.17_2","Central","Komenda-Edina-Eguafo-Abirem-",0.997,5,"Ghana",2
"GH0518","Mfantseman Municipal","GHA5.18_2","Central","Mfantseman",0.994,4,"Ghana",2
"GH0519","Twifo Atti-Morkwa","GHA5.19_2","Central","Twifo-Atti-Morkwa",0.997,9,"Ghana",2
"GH0520","Twifo Hemang Lower Denkyira","GHA5.20_2","Central","Twifo-Hemang-Lower Denkyira",0.996,7,"Ghana",2
"GH0521","Upper Denkyira East Municipal","GHA5.21_2","Central","Upper Denkyira East",0.995,6,"Ghana",2
"GH0522","Upper Denkyira West","GHA5.22_2","Central","Upper Denkyira West",0.995,7,"Ghana",2
"GH0601","Abuakwa North","GHA6.1_2","Eastern","Abuakwa North",0.996,5,"Ghana",2
"GH0602","Abuakwa South","GHA6.2_2","Eastern","Abuakwa South",0.996,7,"Ghana",2
"GH0603","Achiase","GHA6.3_2","Eastern","Achiase",0.997,6,"Ghana",2
"GH0604","Akwapem North","GHA6.4_2","Eastern","Akwapem North",0.994,8,"Ghana",2
"GH0605","Akwapem South","GHA6.5_2","Eastern","Akwapem South",0.994,8,"Ghana",2
"GH0606","Akyem Mansa","GHA6.6_2","Eastern","Akyemansa",0.995,9,"Ghana",2
"GH0607","Asene Akroso Manso","GHA6.7_2","Eastern","Asene-Manso-Akroso",0.996,9,"Ghana",2
"GH0608","Asuogyaman","GHA6.8_2","Eastern","Asuogyaman",0.998,7,"Ghana",2
"GH0609","Atiwa East","GHA6.9_2","Eastern","Atiwa East",0.997,8,"Ghana",2
"GH0610","Atiwa West","GHA6.10_2","Eastern","Atiwa West",0.997,8,"Ghana",2
"GH0611","Ayensuano","GHA6.11_2","Eastern","Ayensuano",0.995,9,"Ghana",2
"GH0612","Birim Central Municipal","GHA6.12_2","Eastern","Birim Central",0.99,5,"Ghana",2
"GH0613","Birim North","GHA6.13_2","Eastern","Birim North",0.994,6,"Ghana",2
"GH0614","Birim South","GHA6.14_2","Eastern","Birim South",0.993,7,"Ghana",2
"GH0615","Denkyembour","GHA6.15_2","Eastern","Denkyembour",0.995,7,"Ghana",2
"GH0616","Fanteakwa North","GHA6.16_2","Eastern","Fanteakwa North",0.999,6,"Ghana",2
"GH0617","Fanteakwa South","GHA6.17_2","Eastern","Fanteakwa South",0.993,8,"Ghana",2
"GH0618","Kwaebibirem","GHA6.18_2","Eastern","Kwaebibirem",0.998,6,"Ghana",2
"GH0619","Kwahu Afram Plains North","GHA6.19_2","Eastern","Kwahu Afram Plains North",0.999,9,"Ghana",2
"GH0620","Kwahu Afram Plains South","GHA6.20_2","Eastern","Kwahu Afram Plains South",0.999,8,"Ghana",2
"GH0621","Kwahu East","GHA6.21_2","Eastern","Kwahu East",0.995,6,"Ghana",2
"GH0622","Kwahu South","GHA6.22_2","Eastern","Kwahu South",0.998,6,"Ghana",2
"GH0623","Kwahu West","GHA6.23_2","Eastern","Kwahu West",0.995,6,"Ghana",2
"GH0624","Lower Manya","GHA6.24_2","Eastern","Lower Manya-Krobo",0.995,5,"Ghana",2
"GH0625","New Juaben North Municipal","GHA6.25_2","Eastern","New Juaben North",0.993,6,"Ghana",2
"GH0626","New Juaben South Municipal","GHA6.26_2","Eastern","New Juaben South",0.989,6,"Ghana",2
"GH0627","Nsawam Adoagyiri","GHA6.27_2","Eastern","Nsawam Adoagyiri",0.995,6,"Ghana",2
"GH0628","Okere","GHA6.28_2","Eastern","Okere",0.996,5,"Ghana",2
"GH0629","Suhum Municipal","GHA6.29_2","Eastern","Suhum",0.995,6,"Ghana",2
"GH0630","Upper Manya","GHA6.30_2","Eastern","Upper Manya",0.998,8,"Ghana",2
"GH0631","Upper West Akim","GHA6.31_2","Eastern","Upper West Akim",0.996,9,"Ghana",2
"GH0632","West Akim","GHA6.32_2","Eastern","West Akim",0.995,6,"Ghana",2
"GH0633","Yilo Krobo","GHA6.33_2","Eastern","Yilo-Krobo",0.995,9,"Ghana",2
"GH0701","Ablekuma Central Municipal","GHA7.1_2","Greater Accra","Ablekuma Central",0.991,5,"Ghana",2
"GH0702","Ablekuma North Municipal","GHA7.2_2","Greater Accra","Ablekuma North",0.99,8,"Ghana",2
"GH0703","Ablekuma West Municipal","GHA7.3_2","Greater Accra","Ablekuma West",0.993,5,"Ghana",2
"GH0704","Accra Metropolis","GHA7.4_2","Greater Accra","Accra",0.975,4,"Ghana",2
"GH0705","Ada East","GHA7.5_2","Greater Accra","Ada East",0.995,4,"Ghana",2
"GH0706","Ada West","GHA7.6_2","Greater Accra","Ada West",0.996,6,"Ghana",2
"GH0707","Adenta Municipal","GHA7.7_2","Greater Accra","Adenta",0.995,6,"Ghana",2
"GH0708","Ashaiman Municipal","GHA7.8_2","Greater Accra","Ashaiman",0.986,4,"Ghana",2
"GH0709","Ayawaso Central Municipal","GHA7.9_2","Greater Accra","Ayawaso Central",0.988,4,"Ghana",2
"GH0710","Ayawaso East Municipal","GHA7.10_2","Greater Accra","Ayawaso East",0.983,6,"Ghana",2
"GH0711","Ayawaso North Municipal","GHA7.11_2","Greater Accra","Ayawaso North",0.986,6,"Ghana",2
"GH0712","Ayawaso West","GHA7.12_2","Greater Accra","Ayawaso West",0.985,9,"Ghana",2
"GH0713","Ga Central Municipal","GHA7.13_2","Greater Accra","Ga Central",0.987,5,"Ghana",2
"GH0714","Ga East","GHA7.14_2","Greater Accra","Ga East",0.99,6,"Ghana",2
"GH0715","Ga North Municipal","GHA7.15_2","Greater Accra","Ga North",0.995,6,"Ghana",2
"GH0716","Ga South Municipal","GHA7.16_2","Greater Accra","Ga South",0.994,5,"Ghana",2
"GH0717","Ga West Municipal","GHA7.17_2","Greater Accra","Ga West",0.992,8,"Ghana",2
"GH0718","Korle Klottey Municipal","GHA7.18_2","Greater Accra","Korle-Klottey",0.99,6,"Ghana",2
"GH0719","Kpone Katamanso","GHA7.19_2","Greater Accra","Kpone-Katamanso",0.995,10,"Ghana",2
"GH0720","Krowor Municipal","GHA7.20_2","Greater Accra","Krowor",0.983,4,"Ghana",2
"GH0721","La Dade-Kotopon","GHA7.21_2","Greater Accra","La-Dade-Kotopon",0.99,5,"Ghana",2
"GH0722","La-Nkwantanang-Madina","GHA7.22_2","Greater Accra","La-Nkwantanang-Madina",0.992,6,"Ghana",2
"GH0723","Ledzokuku Municipal","GHA7.23_2","Greater Accra","Ledzokuku",0.989,5,"Ghana",2
"GH0724","Ningo/Prampram","GHA7.24_2","Greater Accra","Ningo-Prampram",0.998,4,"Ghana",2
"GH0725","Okaikwei North Municipal","GHA7.25_2","Greater Accra","Okaikwei North",0.984,8,"Ghana",2
"GH0726","Shai Osudoku","GHA7.26_2","Greater Accra","Shai Osudoku",0.998,9,"Ghana",2
"GH0727","Tema Metropolitan","GHA7.27_2","Greater Accra","Tema",0.995,4,"Ghana",2
"GH0728","Tema West Municipal","GHA7.28_2","Greater Accra","Tema West",0.99,6,"Ghana",2
"GH0729","Weija Gbawe Municipal","GHA7.29_2","Greater Accra","Weija Gbawe",0.994,8,"Ghana",2
"GH0801","Gushegu","GHA9.1_2","Northern","Gushegu",0.998,8,"Ghana",2
"GH0802","Karaga","GHA9.2_2","Northern","Karaga",0.998,7,"Ghana",2
"GH0803","Kpandai","GHA9.3_2","Northern","Kpandai",0.998,6,"Ghana",2
"GH0804","Kumbungu","GHA9.4_2","Northern","Kumbungu",0.998,7,"Ghana",2
"GH0805","Mion","GHA9.5_2","Northern","Mion",0.998,10,"Ghana",2
"GH0806","Nanton","GHA9.6_2","Northern","Nanton",0.997,6,"Ghana",2
"GH0807","Nanumba North","GHA9.7_2","Northern","Nanumba North",0.997,6,"Ghana",2
"GH0808","Nanumba South","GHA9.8_2","Northern","Nanumba South",0.997,7,"Ghana",2
"GH0809","Saboba","GHA9.9_2","Northern","Saboba",0.998,6,"Ghana",2
"GH0810","Sagnerigu","GHA9.10_2","Northern","Sagnerigu",0.995,6,"Ghana",2
"GH0811","Savelugu","GHA9.11_2","Northern","Savelugu",0.997,6,"Ghana",2
"GH0812","Tamale Metropolitan","GHA9.12_2","Northern","Tamale",0.996,7,"Ghana",2
"GH0813","Tatale Sanguli","GHA9.13_2","Northern","Tatale Sanguli",0.995,5,"Ghana",2
"GH0814","Tolon","GHA9.14_2","Northern","Tolon",0.998,6,"Ghana",2
"GH0815","Yendi Municipal","GHA9.15_2","Northern","Yendi",0.997,6,"Ghana",2
"GH0816","Zabzugu","GHA9.16_2","Northern","Zabzugu",0.997,6,"Ghana",2
"GH0901","Bunkpurugu Nakpanduri","GHA8.1_2","North East","Bunkpurugu Nakpanduri",0.997,6,"Ghana",2
"GH0902","Chereponi","GHA8.2_2","North East","Chereponi",0.997,4,"Ghana",2
"GH0903","East Mamprusi","GHA8.3_2","North East","East Mamprusi",0.998,9,"Ghana",2
"GH0904","Mamprugu Moagduri","GHA8.4_2","North East","Mamprugu Moagduri",0.998,7,"Ghana",2
"GH0905","West Mamprusi Municipal","GHA8.5_2","North East","West Mamprusi",0.998,9,"Ghana",2
"GH0906","Yunyoo-Nasuan","GHA8.6_2","North East","Yunyoo-Nasuan",0.998,4,"Ghana",2
"GH1001","Biakoye","GHA10.1_2","Oti","Biakoye",0.997,8,"Ghana",2
"GH1002","Jasikan","GHA10.2_2","Oti","Jasikan",0.996,4,"Ghana",2
"GH1003","Kadjebi","GHA10.3_2","Oti","Kadjebi",0.997,5,"Ghana",2
"GH1004","Krachi East Municipal","GHA10.4_2","Oti","Krachi East",0.999,7,"Ghana",2
"GH1005","Krachi Nchumuru","GHA10.5_2","Oti","Krachi Nchumuru",0.999,7,"Ghana",2
"GH1006","Krachi West","GHA10.6_2","Oti","Krachi West",0.999,4,"Ghana",2
"GH1007","Nkwanta North","GHA10.7_2","Oti","Nkwanta North",0.998,4,"Ghana",2
"GH1008","Nkwanta South Municipal","GHA10.8_2","Oti","Nkwanta South",0.998,6,"Ghana",2
"GH1101","Bole","GHA11.1_2","Savannah","Bole",0.999,7,"Ghana",2
"GH1102","Central Gonja","GHA11.2_2","Savannah","Central Gonja",0.999,8,"Ghana",2
"GH1103","East Gonja Municipal","GHA11.3_2","Savannah","East Gonja",0.999,6,"Ghana",2
"GH1104","North East Gonja","GHA11.4_2","Savannah","North East Gonja",0.998,11,"Ghana",2
"GH1105","North Gonja","GHA11.5_2","Savannah","North Gonja",0.999,8,"Ghana",2
"GH1106","Sawla-Tuna-Kalba","GHA11.6_2","Savannah","Sawla-Tuna-Kalba",0.999,6,"Ghana",2
"GH1107","West Gonja","GHA11.7_2","Savannah","West Gonja",0.999,5,"Ghana",2
"GH1201","Bawku Municipal","GHA12.1_2","Upper East","Bawku",0.995,5,"Ghana",2
"GH1202","Bawku West","GHA12.2_2","Upper East","Bawku West",0.998,6,"Ghana",2
"GH1203","Binduri","GHA12.3_2","Upper East","Binduri",0.996,4,"Ghana",2
"GH1204","Bolga East","GHA12.4_2","Upper East","Bolga East",0.992,5,"Ghana",2
"GH1205","Bolgatanga Municipal","GHA12.5_2","Upper East","Bolgatanga",0.995,6,"Ghana",2
"GH1206","Bongo","GHA12.6_2","Upper East","Bongo",0.997,5,"Ghana",2
"GH1207","Builsa North","GHA12.7_2","Upper East","Builsa North",0.997,4,"Ghana",2
"GH1208","Builsa South","GHA12.8_2","Upper East","Builsa South",0.997,7,"Ghana",2
"GH1209","Garu","GHA12.9_2","Upper East","Garu",0.997,7,"Ghana",2
"GH1210","Kasena Nankana East","GHA12.10_2","Upper East","Kasena Nankana East",0.995,7,"Ghana",2
"GH1211","Kasena Nankana West","GHA12.11_2","Upper East","Kasena Nankana West",0.996,7,"Ghana",2
"GH1212","Nabdam","GHA12.12_2","Upper East","Nabdam",0.995,5,"Ghana",2
"GH1213","Pusiga","GHA12.13_2","Upper East","Pusiga",0.995,3,"Ghana",2
"GH1214","Talensi","GHA12.14_2","Upper East","Talensi",0.997,8,"Ghana",2
"GH1215","Tempane","GHA12.15_2","Upper East","Tempane",0.997,4,"Ghana",2
"GH1301","Daffiama Bussie Issa","GHA13.1_2","Upper West","Daffiama-Bussie-Issa",0.998,7,"Ghana",2
"GH1302","Jirapa","GHA13.2_2","Upper West","Jirapa",0.998,6,"Ghana",2
"GH1303","Lambussie-Karni","GHA13.3_2","Upper West","Lambussie-Karni",0.998,5,"Ghana",2
"GH1304","Lawra","GHA13.4_2","Upper West","Lawra",0.996,4,"Ghana",2
"GH1305","Nadowli-Kaleo","GHA13.5_2","Upper West","Nadowli-Kaleo",0.998,5,"Ghana",2
"GH1306","Nandom","GHA13.6_2","Upper West","Nandom",0.997,3,"Ghana",2
"GH1307","Sissala East","GHA13.7_2","Upper West","Sissala East",0.999,7,"Ghana",2
"GH1308","Sissala West","GHA13.8_2","Upper West","Sissala West",0.998,5,"Ghana",2
"GH1309","Wa East","GHA13.10_2","Upper West","Wa East",0.999,8,"Ghana",2
"GH1310","Wa Municipal","GHA13.9_2","Upper West","Wa Municipal",0.997,5,"Ghana",2
"GH1311","Wa West","GHA13.11_2","Upper West","Wa West",0.998,5,"Ghana",2
"GH1401","Adaklu","GHA14.1_2","Volta","Adaklu",0.997,5,"Ghana",2
"GH1402","Afadzato South","GHA14.2_2","Volta","Afadzato South",0.995,6,"Ghana",2
"GH1403","Agotime Ziope","GHA14.3_2","Volta","Agotime Ziope",0.996,6,"Ghana",2
"GH1404","Akatsi North","GHA14.4_2","Volta","Akatsi North",0.997,4,"Ghana",2
"GH1405","Akatsi South","GHA14.5_2","Volta","Akatsi South",0.995,7,"Ghana",2
"GH1406","Anloga","GHA14.6_2","Volta","Anloga",0.997,4,"Ghana",2
"GH1407","Central Tongu","GHA14.7_2","Volta","Central Tongu",0.996,7,"Ghana",2
"GH1408","Ho Municipal","GHA14.8_2","Volta","Ho Municipal",0.996,4,"Ghana",2
