country,outcome,level,n_units,obs_national_pct,pred_national_pct,abs_error_pp,signed_error_pp,rank_spearman
Malawi,child_vitA,admin1,27,10.168993412708867,9.829788945547357,0.33920446716151076,-0.33920446716151076,-0.29339032550645544
Malawi,child_vitA,admin2,87,10.168993412708867,10.175135945138544,0.006142532429677383,0.006142532429677383,0.09138843319241827
Malawi,women_vitA,cluster,103,2.1729082944041274,2.262890193846712,0.08998189944258474,0.08998189944258474,-0.3184298885153677
Malawi,women_vitA,admin1,27,2.1729082944041274,2.368004978755305,0.1950966843511776,0.1950966843511776,-0.3275996646035668
Malawi,women_vitA,admin2,87,2.1729082944041274,2.129462906714242,0.043445387689885345,-0.043445387689885345,-0.28187073240895066
Malawi,child_iron,cluster,103,10.285851464042006,10.075230056349813,0.21062140769219223,-0.21062140769219223,0.19308350728921778
Malawi,child_iron,admin1,27,10.285851464042006,10.355722228082504,0.06987076404049719,0.06987076404049719,-0.16422466422466422
Malawi,child_iron,admin2,87,10.285851464042006,9.866873722942689,0.41897774109931757,-0.41897774109931757,0.11602631134599385
Malawi,women_iron,cluster,103,8.129274344765916,7.552610447624078,0.5766638971418381,-0.5766638971418381,-0.09959957794607892
Malawi,women_iron,admin1,27,8.129274344765916,8.195493489966207,0.06621914520029137,0.06621914520029137,-0.326200319951891
Malawi,women_iron,admin2,87,8.129274344765916,7.653398264760845,0.4758760800050707,-0.4758760800050707,-0.0829303765752218
Malawi,women_folate,cluster,103,18.59967087713867,19.638753345731736,1.039082468593064,1.039082468593064,0.10792336885636318
Malawi,women_folate,admin1,27,18.59967087713867,18.749544610482076,0.14987373334340304,0.14987373334340304,0.3176543048401438
Malawi,women_folate,admin2,87,18.59967087713867,16.847073471595994,1.7525974055426774,-1.7525974055426774,0.27135275408038073
Malawi,women_b12,cluster,103,2.280753744935077,2.743857245834251,0.463103500899174,0.463103500899174,0.24530361960138114
Malawi,women_b12,admin1,27,2.280753744935077,2.624376128560143,0.34362238362506575,0.34362238362506575,0.3003801157526146
Malawi,women_b12,admin2,87,2.280753744935077,2.556617722153,0.27586397721792305,0.27586397721792305,0.3214158255235859
Malawi,child_zinc,cluster,103,61.142114444863616,59.38847415033317,1.7536402945304452,-1.7536402945304452,-0.07786407592629856
Malawi,child_zinc,admin1,27,61.142114444863616,60.278257879665865,0.8638565651977514,-0.8638565651977514,-0.4279609279609279
Malawi,child_zinc,admin2,87,61.142114444863616,58.40088721586562,2.741227228997989,-2.741227228997989,-0.010123940130889767
Malawi,women_zinc,cluster,103,64.11263289957567,62.984306289969574,1.1283266096061007,-1.1283266096061007,0.02686040136049525
Malawi,women_zinc,admin1,27,64.11263289957567,63.07214224142527,1.0404906581504059,-1.0404906581504059,-0.14896214896214896
Malawi,women_zinc,admin2,87,64.11263289957567,64.48817751229052,0.37554461271485096,0.37554461271485096,-0.25279990176510797
