"name","label"
"wFoodGrp5plus","Women consumed 5 or greater number of food groups"
"wSuppIron","Woman took iron supps in past 6 months"
"wSuppFolic","Woman took Folic Acid supps in past 6 months"
"wSuppMulti","Woman took multi-vitamin supps in past 6 months"
"wSupplastPregFeFA","Woman took iron or folic acid supps for 90 days or more during last preg"
"wSuppVitA","Woman took vit A capsule after delivery"
"wHeightM","Women's height in meters"
"wBMI","Woman's Body Mass Index (BMI)"
"wBMICat","Women BMI Categories"
"wOverweight","Women is overweight"
"wObese","Women is Obese"
"wOWObese","Women is overweight or obese y/n"
"wOWObeseCat","Women is overweight or obese Categories"
"wUnderweight","Women is underweight"
"wAnemiaCat","Anemia Categories"
"wAnemiaYN","Any anemia Hb<120g/L NPW: Hb<110g/L PW"
"wAnemiaSev","Woman has severe anemia"
"wAnemiaMod","Woman has moderate anemia"
"wAnemiaMild","Woman has mild anemia"
"wAnemia125YN","RECODE of wHb (Hemoglobin concentration (g/L))"
"wAnemia115YN","RECODE of wHb (Hemoglobin concentration (g/L))"
"wIDAdjBrinda","Iron Deficiency from Adjusted ferritin values using BRINDA approach"
"wID","Iron Deficiency using Unadjusted ferritin values"
"wIDAdjThurn","Iron Deficiency using Thurnham-adjusted ferritin values"
"wIDA_Thurn","Iron Deficiency Anemia with ID from Adjusted ferritin values using Thurnham appr"
"wIDsTFR","Iron Deficiency using Unadjusted sTFR values"
"wVAD","Vit A Deficiency using Unadjusted RBP values"
"wVADAdjThurn","VAD with RBP<0.7 umol/L after RBP adjusted using Thurnham approach"
"diffage_bioform_quest","NULL"
"diffage_calc_quest","NULL"
"cAgeMonths","7. Age of  in months"
"cAgeMonthsCat","Age category in months for kids"
"cSex","Child Sex"
"cBirthweight","11. How much did  weigh? (in kg)"
"cBirthweightCat","Birthweight categories"
"cDiarrhea","16. At any time in the last 2 weeks, has  had diarrhoea?"
"cDiarrheaBlood","Child had diarrhea w blood in past 2 weeks"
"cFever","18. At any time in the last 2 weeks, has  been ill with a fever?"
"cCough","21. At any time in the last 2 weeks, has  had an illness with a cough?"
"cLRI","c(No = 0, Yes = 1)"
"cCRPHigh","Elevated CRP; crp>5 mg/L"
"cAGPHigh","Elevate AGP; agp >1g/L"
"cInflamCat","Inflammation categories"
"cInflamYN","Any inflammation"
"cFeverMalaria","19. At any time during this illness with fever, did  have blood taken from"
"cFeverMalariaResult","20. Did that test show that  had malaria?"
"cMalariaRDTCat","21. Malaria RDT result"
"cMalariaRDTYN","RDT Result - Any Malaria"
"cMalariaYN","RDT Result - Any Malaria (exluding 9=test not done)"
"cSickle","Sickle Cell Status"
"cSickleYN","Child has sickle trait or disease"
"cAlphaThal","Alpha Thalassemia Status"
"cAlphaThalYN","Child has alpha thal hetero or homo genes"
"cBFCurrent","Child currently breastfed in past 24 hours"
"cBFEarly","RECODE of cccbt (25. How long after birth was  first put to the breast?)"
"cBFContinued","Continued breastfeeding children 12-15 months"
"cSemiSolid","Intro of semi-solid or soft foods for children 6-8 months"
"cFoodGrp1","NULL"
"cFoodGrp2","NULL"
"cFoodGrp3","NULL"
"cFoodGrp4","NULL"
"cFoodGrp5","NULL"
"cFoodGrp6","NULL"
"cFoodGrp7","NULL"
"cFoodGrpScore","NULL"
