"name","label"
"wg_reserved_name_for_field_list_","NULL"
"wg_fo1","NULL"
"wg_fo2","NULL"
"wg_fo3","NULL"
"wg_fo4","NULL"
"wg_fo5","NULL"
"fo_o","NULL"
"wfw","NULL"
"wh_generated_table_list_label_11","NULL"
"wh_lbl004","NULL"
"wh_reserved_name_for_field_list_","NULL"
"wh_ff1","NULL"
"wh_ff2","NULL"
"wh_ff3","NULL"
"wh_ff4","NULL"
"wh_ff5","NULL"
"wh_ff6","NULL"
"wh_ff7","NULL"
"ff_o","NULL"
"wi_lbl002","NULL"
"wi_wit","NULL"
"wi_wst","NULL"
"wi_wss","NULL"
"wi_whl","NULL"
"wi_wft","NULL"
"wi_wsft","NULL"
"wi_wsa","NULL"
"wi_wfh","NULL"
"wi_wmi","NULL"
"lbl005","NULL"
"wfr","NULL"
"wfro","NULL"
"wcom","NULL"
"meta_instanceID","NULL"
"meta_instanceName","NULL"
"indivID","NULL"
"momID","NULL"
"hhln","NULL"
"wawln","NULL"
"cnum","Cluster Number"
"Team_Number","NULL"
"Region","NULL"
"Strata","NULL"
"Number_of_households_LISTED_in__","NULL"
"Number_of_Women_Biological_Forms","NULL"
"Number_of_Child_Biological_forms","NULL"
"Number_of_household_based_on_201","NULL"
"Actual_probablity_of_section_usi","NULL"
"Corrected_probability_of_selecti","NULL"
"PSU_weight","NULL"
"Number_of_households_selected","NULL"
"Check_1","NULL"
"PSUStrat_weight","NULL"
"Check_2_","NULL"
"cttp","NULL"
"res","Residence: Urban(1) Rural(2)"
"region","c(Western = 1, Central = 2, `Greater Accra` = 3, Volta = 4, Eastern = 5, Ashanti = 6, `Brong Ahafo` = 7, Northern = 8, `Upper East` = 9, `Upper West` = 10)"
"strata","Survey Strata 1-South 2-Middle 3-North"
"headlanguage","Language of Household head"
"hDrinkWaterSource","Household drinking water source quality 0-Unimproved 1-Improved"
"hTreatDrinkWaterYN","c(No = 0, Yes = 1, `Don't know` = 9)"
"hDrinkWaterSafeYN","Household drinking water safe 0-Unsafe 1-Safe"
"hSanitation","Household sanitation (toilet) facility quality 0-Unimproved 1-Improved"
"hHandwashingH2OYN","Water available at handwashing site"
"hAnySoap","NULL"
"hVegoilRetinol","Concentration of vitamin A in Veg oil mg RE/kg or ppm"
"hVegoilAdeqYN","Adequately fortified Veg oil 0=No 1=Yes"
"hWealthquintile","Household wealth quintile"
"wln","NULL"
"b_cn","NULL"
"b_icf","NULL"
"b_wp1","NULL"
"mrdr","NULL"
"wj_man","NULL"
"wj_muac","NULL"
"wj_wwt","NULL"
"wrcs","NULL"
"wht","NULL"
"whmr","NULL"
"whr_o","NULL"
"pcn","NULL"
"wl_wl012","NULL"
"wl_wctm","NULL"
"wl_watm","NULL"
"wm_pwln","NULL"
"wm_whbc","NULL"
"wm_wmst","NULL"
"wm_wbvl","NULL"
"wo_wran","NULL"
"wo_wrmal","NULL"
"wl013","NULL"
"wl014","NULL"
"wl015","NULL"
"wmob","NULL"
"orig","NULL"
"w","NULL"
"w_ln","NULL"
"fer","NULL"
"sTFR","NULL"
"bis","NULL"
"rbp","NULL"
"crp","NULL"
"agp","NULL"
"B12_pmol_L","NULL"
"wB12","B12 concentration (pmol/L)"
"Folate_nmol_L","NULL"
"wFolate","Folate concentration (nmol/L)"
"sickle_genotype","NULL"
"thal_genotype","NULL"
"sx","NULL"
"birthymd","NULL"
"age_days","#days old, calculated as interview date - birth date"
"age_months","#months old, calculated as (interview date - birth date)/30.42"
"age_years","#years old, calculated as (interview date - birth date)/365.25"
"wPreg","Women is pregnant 0=No 1=Yes"
"wNumPreg","Number of pregnancies"
"wNumBirth","Number of births; live and still"
"wCurrLact","Woman currently lactating"
"wFortOil","Women has heard of fortified oil"
"wFvoBlindness","Woman says Fort Veg Oil prevents blindness"
"wFvoMort","Woman says Fort Veg Oil reduces mortality"
"wFvoPrevVit","Woman says Fort Veg Oil prevents vit def"
"wFvoImpHealth","Woman says Fort Veg Oil improves health"
"wFvoOther","Woman says Fort Veg Oil does other"
"wFortFlour","Women has heard of fortified flour"
"wFFGivesBlood","Woman says Fort Flour gives blood"
"wFFAnemia","Woman says Fort Flour reduces anemia"
"wFFMort","Woman says Fort Flour reduces mortality"
"wFFImpHealth","Woman says Fort Flour improves health"
"wFFSchool","Woman says Fort Flour Better school performance"
"wFFWork","Woman says Fort Flour Better work output"
"wFFOther","Woman says Fort Flour Better for other reasons"
"wAgeYears","Age in years"
"wAgeYearsCat","Age categories"
"wAgeYearsCatPreg","Age groups for pregnant women"
"wAttendSchoolYN","Woman attended school 0=No,1=Yes"
"wSchoolLevel","Highest level of schooling attended by woman"
"wEducCat","Education categories"
"wRead","Woman's literacy status"
"wMarital","Women's marital status"
"wJobtemp","NULL"
"wJob","Woman's occupation category"
"wSmoke","Woman's smoking status"
"wFoodGrp1","NULL"
"wFoodGrp2","NULL"
"wFoodGrp3","NULL"
"wFoodGrp4","NULL"
"wFoodGrp5","NULL"
"wFoodGrp6","NULL"
"wFoodGrp7","NULL"
"wFoodGrp8","NULL"
"wFoodGrp9","NULL"
"wFoodGrp10","NULL"
"wFoodGrpScore","NULL"
"wFoodGrp5plus","Women consumed 5 or greater number of food groups"
"wSuppIron","Woman took iron supps in past 6 months"
"wSuppFolic","Woman took Folic Acid supps in past 6 months"
"wSuppMulti","Woman took multi-vitamin supps in past 6 months"
"wSupplastPregFeFA","Woman took iron or folic acid supps for 90 days or more during last preg"
"wSuppVitA","Woman took vit A capsule after delivery"
"wMalariaRDTCat","NULL"
"wMalariaRDTYN","RDT Result - Any Malaria"
"wMalariaYN","RDT Result - Any Malaria (exluding 9=test not done)"
"wSickle","Sickle Cell Status"
"wSickleYN","Woman has sickle trait or disease"
"wSickleAS","Woman has sickle trait (AS), sickle cell disease (SS) set to missing"
"wAlphaThal","Alpha Thalassemia Status"
"wAlphaThalYN","Woman has alpha thal hetero or homo genes"
"wFolateDef","Folate deficiency <10 nmol/L"
"wB12Def","B12 deficiency <150 pmol/L"
"wB12MargDef","B12 marginal or deficient <220 pmol/L"
"wB12Cat","B12 Categories, Deficient, marginal, or normal"
"wB12DefIOM","B12 deficiency <148 pmol/L"
"wB12MargIOM","B12 marginal status 148-220 pmol/L"
"wWeightKg","Woman's weight in kg"
"wHeightCm","NULL"
"wHeightM","Women's height in meters"
"wBMI","Woman's Body Mass Index (BMI)"
"wBMICat","Women BMI Categories"
"wSevUnderNut","Women is Severe Undernutrition"
"wModUnderNut","Women has Moderate Undernutrition"
"wAtRisk","Women who are at Risk of undernutrition"
"wNormal","Women who Normal BMI"
"wOverweight","Women is overweight"
"wObese","Women is Obese"
"wOWObese","Women is overweight or obese y/n"
"wOWObeseCat","Women is overweight or obese Categories"
"wUnderweight","Women is underweight"
"wMUAC","Woman's Mid-upper arm circumference in cm"
"wMUACUnderNut","Woman undernourished based on MUAC"
"wHb","Hemoglobin concentration (g/L)"
"wAnemiaCat","Anemia Categories"
"wAnemiaYN","Any anemia Hb<120g/L NPW: Hb<110g/L PW"
"wAnemiaSev","Woman has severe anemia"
"wAnemiaMod","Woman has moderate anemia"
"wAnemiaMild","Woman has mild anemia"
"wAnemia125YN","RECODE of wHb (Hemoglobin concentration (g/L))"
"wAnemia115YN","RECODE of wHb (Hemoglobin concentration (g/L))"
"wCRP","C-reactive protein concentration mg/L"
"wLogCRP","Natural Log of C-reactive protein concentration mg/L"
"wAGP","Alpha-1-acid glycoprotein concentration g/L"
"wLogAGP","Natural Log of Alpha-1-acid glycoprotein concentration g/L"
"wCRPHigh","Elevated CRP"
"wAGPHigh","Elevated AGP"
"wInflamCat","Inflammation categories"
"wInflamYN","Any inflammation"
"wFerr","Unadjusted ferritin concentration (ug/L)"
"wLogFerr","Natural Log of ferritin concentration ug/L"
"wRBP","Unadjusted Retinol Binding Protein concentration (umol/L)"
"wLogRBP","Natural Log of RBP umol/L"
"lncrpdecile","NULL"
"lnagpdecile","NULL"
"_logcrpcoeffSF","NULL"
"_logagpcoeffSF","NULL"
"r_crpagp_sf","NULL"
"r_crpagp_sf2","Brinda adjusted ferritin concentration (ug/L)"
"wIDAdjBrinda","Iron Deficiency from Adjusted ferritin values using BRINDA approach"
"wID","Iron Deficiency using Unadjusted ferritin values"
"wFerrAdjThurn","Thurnham adjusted ferritin concentration (ug/L)"
"wIDAdjThurn","Iron Deficiency using Thurnham-adjusted ferritin values"
"wIDA_Thurn","Iron Deficiency Anemia with ID from Adjusted ferritin values using Thurnham appr"
"wSTFR","Soluble transferrin receptor mg/L"
"wIDsTFR","Iron Deficiency using Unadjusted sTFR values"
"wVAD","Vit A Deficiency using Unadjusted RBP values"
"wRBPAdjThurn","Thurnham adjusted Retinol Binding Protein concentration (umol/L)"
"wVADAdjThurn","VAD with RBP<0.7 umol/L after RBP adjusted using Thurnham approach"
"wVAIAdjThurn","VAI with RBP<1.05 umol/L after RBP adjusted using Thurnham approach"
"intyear","NULL"
"intmon_str","NULL"
"intmon","NULL"
"intymd","NULL"
"fieldworkhalf","RECODE of intymd"
"wCurrLactAllNPWDenom","RECODE of wCurrLact (Woman currently lactating)"
"sWeight","NULL"
