"domain","n_vars","n_perm_valid","baseline_auc","perm_auc","auc_drop","auc_drop_lo","auc_drop_hi","baseline_brier","perm_brier","brier_increase"
"Need and demand for family planning for sexually active unmarried women",2,10,0.77507229232387,0.841419204481113,-0.0663469121572434,-0.0669881273760414,-0.0658458581048289,0.124754603423739,0.11194159440355,-0.0128130090201894
"Need and demand for family planning for sexually active unmarried women age 15-24",1,10,0.77507229232387,0.841378255682278,-0.0663059633584081,-0.0668301458990537,-0.0658815619186282,0.124754603423739,0.111937713462064,-0.012816889961675
"Net attendance ratio - primary",2,10,0.77507229232387,0.841242265226887,-0.0661699729030171,-0.0666334273639083,-0.0657343231820755,0.124754603423739,0.112054778646276,-0.0126998247774635
"Number of antenatal care visits",2,10,0.77507229232387,0.841185391895171,-0.0661130995713014,-0.0676428658092695,-0.0645157804537734,0.124754603423739,0.112194296268618,-0.0125603071551207
"Number of usual members",1,10,0.77507229232387,0.841411368599854,-0.0663390762759848,-0.0674163203712691,-0.0657192201528755,0.124754603423739,0.11200921449017,-0.0127453889335695
"Nutritional status",1,10,0.77507229232387,0.841233165493812,-0.0661608731699425,-0.0666382300008088,-0.0659051327549947,0.124754603423739,0.111941565614956,-0.0128130378087831
"Nutritional status of children",1,10,0.77507229232387,0.841309754913856,-0.0662374625899862,-0.0671683526449891,-0.0653682485035995,0.124754603423739,0.111961768173431,-0.0127928352503083
"Occupation",2,10,0.77507229232387,0.841185139124808,-0.0661128468009382,-0.0667324501536842,-0.0655116956847043,0.124754603423739,0.111945500298687,-0.0128091031250518
"Ownership of assets",3,10,0.77507229232387,0.841224065760738,-0.0661517734368681,-0.0667185477837094,-0.0655696432904634,0.124754603423739,0.111964254959869,-0.0127903484638698
"Payment for sexual intercourse and condom use at last paid sexual intercourse",1,10,0.77507229232387,0.841439931650894,-0.0663676393270242,-0.0668530848095122,-0.0659588464571707,0.124754603423739,0.111940224261764,-0.0128143791619747
"Persons per sleeping room",8,10,0.77507229232387,0.841332757016905,-0.0662604646930357,-0.0668070806034133,-0.0657575148628973,0.124754603423739,0.111969040573675,-0.012785562850064
"Possession and observation of vaccination cards",2,10,0.77507229232387,0.841284730647901,-0.0662124383240313,-0.0668433531505298,-0.0656164690002426,0.124754603423739,0.11194201982201,-0.0128125836017294
"Precipitation",6,10,0.77507229232387,0.833201639974116,-0.0581293476502467,-0.0607067206584162,-0.0548048486411065,0.124754603423739,0.115126608731388,-0.00962799469235104
"Pregnant women counseled and tested for HIV",1,10,0.77507229232387,0.841340340127801,-0.066268047803931,-0.0666473297338832,-0.0656084435412116,0.124754603423739,0.111943507278813,-0.0128110961449259
"Prevalence and treatment of symptoms of ARI",1,10,0.77507229232387,0.841279169699911,-0.0662068773760414,-0.066607012860956,-0.0658639311857964,0.124754603423739,0.111940134779776,-0.0128144686439634
"Prevalence of anemia",1,10,0.77507229232387,0.841156828844132,-0.066084536520262,-0.0664527597468252,-0.0657896798916119,0.124754603423739,0.111942853899461,-0.012811749524278
"Prevalence of anemia in children",3,10,0.77507229232387,0.841509443500768,-0.0664371511768987,-0.0671084460689153,-0.0656504034214996,0.124754603423739,0.111973666764307,-0.0127809366594322
"Prevalence of children with fever",1,10,0.77507229232387,0.841113099571301,-0.0660408072474318,-0.0665201230486128,-0.06527769352099,0.124754603423739,0.11194284016688,-0.0128117632568588
"Prevalence of malaria in children",3,10,0.77507229232387,0.841527137426191,-0.0664548451023214,-0.0669018062970153,-0.0661640959920732,0.124754603423739,0.111949741612806,-0.0128048618109333
"Prevalence of medical injections",1,10,0.77507229232387,0.841382805548815,-0.0663105132249454,-0.0665768699951467,-0.0659249752285044,0.124754603423739,0.111976752689851,-0.0127778507338883
"Problems in accessing health care",1,10,0.77507229232387,0.841288016662622,-0.0662157243387527,-0.066653901763326,-0.0657194097306478,0.124754603423739,0.111948824272151,-0.0128057791515877
"Remote sensing (other)",2,10,0.77507229232387,0.839811079430559,-0.0647387871066892,-0.0661757866213702,-0.0636842291515005,0.124754603423739,0.11242413626941,-0.012330467154329
"Results of the household interviews",5,10,0.77507229232387,0.841234176575265,-0.0661618842513952,-0.0667910296853514,-0.065295892987139,0.124754603423739,0.112001156551387,-0.0127534468723517
"Results of the household interviews for men's subsample",3,10,0.77507229232387,0.841331240394726,-0.0662589480708565,-0.0667018649397395,-0.0656418092291514,0.124754603423739,0.111946277599345,-0.0128083258243944
"Results of the individual interviews",4,10,0.77507229232387,0.841525873574375,-0.0664535812505055,-0.066721138679932,-0.0660713292687858,0.124754603423739,0.11194235927733,-0.0128122441464088
"School attendance by survivorship of parents",1,10,0.77507229232387,0.841280939092453,-0.0662086467685836,-0.0666640757704441,-0.0657379251597509,0.124754603423739,0.111954529899967,-0.012800073523772
"Self-reported prevalence of STIs and symptoms",1,10,0.77507229232387,0.841424765429103,-0.0663524731052333,-0.0666508685189678,-0.0660315811291757,0.124754603423739,0.111938113985982,-0.0128164894377574
"Settlement type",2,10,0.77507229232387,0.840254944188304,-0.0651826518644342,-0.0661869717099409,-0.0632224808905605,0.124754603423739,0.112389179660229,-0.0123654237635101
"Source of drinking water",7,10,0.77507229232387,0.841351209253417,-0.0662789169295478,-0.0665324456038179,-0.0660334769068996,0.124754603423739,0.111963971147091,-0.012790632276648
"Source of mosquito nets",3,10,0.77507229232387,0.841393421904069,-0.066321129580199,-0.0667504600420609,-0.065923521798916,0.124754603423739,0.111943882581635,-0.0128107208421038
"Temperature",5,10,0.77507229232387,0.838688526247675,-0.0636162339238049,-0.0646633351532798,-0.0625393689840653,0.124754603423739,0.112985461875018,-0.0117691415487209
"Tetanus toxoid injections",2,10,0.77507229232387,0.841260211922673,-0.0661879195988029,-0.0666173132532556,-0.0654960871147779,0.124754603423739,0.111952816386915,-0.0128017870368238
