"country","outcome","Admin1","Admin2","surveyed","y_prev","n_psu","pred_fit","pred_med","pred_lo","pred_hi","p_ge20","p_ge10","refits"
"Malawi","women_iron","Karonga","Nyipa N. P. - Karonga",FALSE,NA,NA,0.0567980790310154,0.0413712564356653,0.00422496243656443,0.388445166712025,0.18,0.31,200
"Malawi","women_iron","Karonga","SC Mwakaboko",FALSE,NA,NA,0.18752460020275,0.115306369443817,0.0154558954219729,0.45707543895161,0.32,0.55,200
"Malawi","women_iron","Karonga","SC Mwirang'ombe",FALSE,NA,NA,0.548397720248906,0.376749049036366,0.122078318262158,0.710397097552423,0.815,0.96,200
"Malawi","women_iron","Karonga","TA Kilupula",TRUE,0,2,0.331975659812538,0.212833889191261,0.0437756651089533,0.531550094592275,0.515,0.805,200
"Malawi","women_iron","Karonga","TA Kyungu",TRUE,0.120937511755849,3,0.287530536671033,0.189976663419473,0.037222029283314,0.527799970025919,0.48,0.715,200
"Malawi","women_iron","Karonga","TA Wasambo",TRUE,0.333333333333333,1,0.514264438986406,0.332004628546111,0.0956325813546321,0.664383569992502,0.76,0.935,200
"Malawi","women_iron","Kasungu","Kasungu Boma",FALSE,NA,NA,0.13385186582054,0.11242023050813,0.0386702461450257,0.388588511284828,0.245,0.58,200
"Malawi","women_iron","Kasungu","Kasungu National Park",FALSE,NA,NA,0.00168555952787953,0.00364928830485346,0.000947000432040437,0.01647713045568,0,0,200
"Malawi","women_iron","Kasungu","SC Chilowamatambe",FALSE,NA,NA,0.022331667167193,0.0270390865324861,0.00982865943239992,0.116077262973165,0.015,0.06,200
"Malawi","women_iron","Kasungu","SC Chisikwa",FALSE,NA,NA,0.036160208314463,0.0372836951298984,0.0114610134843226,0.168381436403364,0.035,0.165,200
"Malawi","women_iron","Kasungu","SC Kawamba",TRUE,0,1,0.00325938333211797,0.00656137391365565,0.0020880074424876,0.0247224973636856,0,0.005,200
"Malawi","women_iron","Kasungu","SC Lukwa",FALSE,NA,NA,0.0131581890980384,0.0190019900089498,0.00623630734259397,0.0755887261447193,0.01,0.03,200
"Malawi","women_iron","Kasungu","SC M'nyanja",FALSE,NA,NA,0.0270275076664822,0.0304127162637003,0.0107289617084544,0.157236629073445,0.025,0.105,200
"Malawi","women_iron","Kasungu","SC Njombwa",FALSE,NA,NA,0.0113311211497241,0.01715419523327,0.00561020355341411,0.0812784668668273,0.01,0.02,200
"Malawi","women_iron","Kasungu","SC Simlemba",FALSE,NA,NA,0.021715229352658,0.0265055558980356,0.0111041269937848,0.0850277989415067,0,0.03,200
"Malawi","women_iron","Kasungu","TA Chulu",FALSE,NA,NA,0.0197462557294246,0.0248709081829949,0.00867356066997497,0.118994289725305,0.015,0.07,200
"Malawi","women_iron","Kasungu","TA Kaluluma",TRUE,0.1,1,0.0279460741226449,0.0333138321729733,0.00977123643266741,0.151153074254895,0.035,0.125,200
"Malawi","women_iron","Kasungu","TA Kaomba",FALSE,NA,NA,0.0340712617725589,0.0395902551875169,0.0147685295051986,0.151103338767367,0.02,0.155,200
"Malawi","women_iron","Kasungu","TA Kapelula",FALSE,NA,NA,0.0121161221981502,0.016023556765038,0.00709010738641483,0.0448904717674754,0,0,200
"Malawi","women_iron","Kasungu","TA Mwase",TRUE,0.166666666666667,1,0.0138612781904405,0.0193368504958742,0.00807514847823509,0.0633136587355037,0.005,0.015,200
"Malawi","women_iron","Kasungu","TA Santhe",TRUE,0.125,1,0.00474665847135297,0.00866162310242528,0.00272346127898273,0.0423955220767326,0,0.015,200
"Malawi","women_iron","Kasungu","TA Wimbe",FALSE,NA,NA,0.0202330384684481,0.0245689304213509,0.0114507560334065,0.0712130951971689,0,0.03,200
"Malawi","women_iron","Lilongwe","Lilongwe City",TRUE,0,1,0.38097498179465,0.2584718680611,0.0560203700883665,0.718295122879188,0.63,0.82,200
"Malawi","women_iron","Lilongwe","SC Chitekwele",FALSE,NA,NA,0.00530961088540927,0.00936075939221551,0.00391168849024878,0.0260963569915507,0,0,200
"Malawi","women_iron","Lilongwe","SC Mtema",FALSE,NA,NA,0.0101146502422905,0.0164536718834272,0.00493772805383598,0.0807638174886078,0,0.025,200
"Malawi","women_iron","Lilongwe","SC Njewa",FALSE,NA,NA,0.0151989968564589,0.0227564013769163,0.00751672203897637,0.0971695802289968,0,0.035,200
"Malawi","women_iron","Lilongwe","SC Tsabango",FALSE,NA,NA,0.0526798274254197,0.0530541732289475,0.0185883749812847,0.215989483340666,0.07,0.275,200
"Malawi","women_iron","Lilongwe","TA Chadza",FALSE,NA,NA,0.0128914275083043,0.0209723572254652,0.00722369420481023,0.0662168078584407,0,0.01,200
"Malawi","women_iron","Lilongwe","TA Chimutu",FALSE,NA,NA,0.014615548885027,0.0227305430457291,0.0088819435533755,0.0610533055926826,0,0.01,200
"Malawi","women_iron","Lilongwe","TA Chiseka",TRUE,0.125,1,0.00413430325333436,0.00849031542604965,0.00329465906657034,0.0248074806564976,0,0,200
"Malawi","women_iron","Lilongwe","TA Chitukula",FALSE,NA,NA,0.00461018649218083,0.00873658268301073,0.00229237386524783,0.0433731467585272,0,0.005,200
"Malawi","women_iron","Lilongwe","TA Kabudula",TRUE,0,1,0.00368002532179618,0.00751150320409343,0.00235866349494752,0.0389755447596854,0,0,200
"Malawi","women_iron","Lilongwe","TA Kalolo",FALSE,NA,NA,0.00660435244266467,0.0120146851880552,0.0039451205416756,0.0503963483381806,0,0,200
"Malawi","women_iron","Lilongwe","TA Kalumba",FALSE,NA,NA,0.0268600804026969,0.0337470736434861,0.00948105238896267,0.142981301428368,0.01,0.135,200
"Malawi","women_iron","Lilongwe","TA Kalumbu",FALSE,NA,NA,0.00955519508225539,0.0164480944771751,0.00525677371203964,0.0573526726389535,0,0.005,200
"Malawi","women_iron","Lilongwe","TA Khongoni",TRUE,0.166666666666667,1,0.00189901017274671,0.00406005654733623,0.00147152953338641,0.0191844559956817,0,0,200
"Malawi","women_iron","Lilongwe","TA Malili",FALSE,NA,NA,0.0106509600225491,0.018111769949164,0.00568118934214876,0.0792863923893304,0,0.015,200
"Malawi","women_iron","Lilongwe","TA Mazengera",FALSE,NA,NA,0.0131748591453065,0.0204103932397114,0.00888668572901485,0.0521774920712263,0,0,200
"Malawi","women_iron","Machinga","Liwonda National Park",FALSE,NA,NA,0.0665917135227904,0.0713011441138772,0.00951913121783259,0.314378326088874,0.165,0.405,200
"Malawi","women_iron","Machinga","Liwonde Town",FALSE,NA,NA,0.471414167395181,0.440825162765968,0.0540517243443257,0.743238012362378,0.75,0.88,200
"Malawi","women_iron","Machinga","SC Chamba",FALSE,NA,NA,0.0802505230802037,0.0816872204567589,0.0208327361553967,0.254205519375221,0.105,0.425,200
"Malawi","women_iron","Machinga","SC Chikweo",FALSE,NA,NA,0.10982145420723,0.11553381850906,0.0204521980539196,0.365677371688444,0.275,0.545,200
"Malawi","women_iron","Machinga","SC Chiwalo",FALSE,NA,NA,0.0806870297403596,0.0893474246304805,0.0189791439224676,0.290155629687018,0.135,0.465,200
"Malawi","women_iron","Machinga","SC Mlomba",FALSE,NA,NA,0.233736592176158,0.196815254289263,0.0407838611592075,0.486582587578029,0.495,0.75,200
"Malawi","women_iron","Machinga","SC Mposa",FALSE,NA,NA,0.138253942412399,0.123255253258762,0.0308009938195607,0.313712653936097,0.24,0.605,200
"Malawi","women_iron","Machinga","SC Ngokwe",FALSE,NA,NA,0.0858606221107483,0.0984535373177516,0.0161431687809097,0.291822914246338,0.18,0.49,200
"Malawi","women_iron","Machinga","SC Sitola",FALSE,NA,NA,0.145878947920092,0.138922741722958,0.0261008271910663,0.387505132773705,0.355,0.61,200
"Malawi","women_iron","Machinga","TA Kawinga",TRUE,0.25,1,0.129112271453539,0.128228459582631,0.0233339722725397,0.371967078634561,0.315,0.62,200
"Malawi","women_iron","Machinga","TA Liwonde",FALSE,NA,NA,0.178530535892779,0.175033372309703,0.0281158471943966,0.474007900859177,0.43,0.665,200
"Malawi","women_iron","Machinga","TA Nyambi",FALSE,NA,NA,0.0377812034475551,0.0435769067590704,0.00994566852441052,0.148484560808201,0.01,0.15,200
"Malawi","women_iron","Mangochi","Mangochi Town",FALSE,NA,NA,0.748946404650141,0.634692485055253,0.103438482300443,0.894465535043726,0.87,0.955,200
"Malawi","women_iron","Mangochi","Monkey Bay Urban",FALSE,NA,NA,0.775836095170365,0.66557951686735,0.132910784612197,0.894218437892701,0.905,0.975,200
"Malawi","women_iron","Mangochi","SC Chowe",TRUE,0,1,0.150097078053451,0.136456587648726,0.0171046975296619,0.510791598051989,0.39,0.6,200
"Malawi","women_iron","Mangochi","SC Mbwana Nyambi",FALSE,NA,NA,0.0297607189729145,0.0390888292369065,0.00625136227705356,0.170784727804102,0.035,0.145,200
"Malawi","women_iron","Mangochi","SC Namabvi",FALSE,NA,NA,0.0439097377774882,0.0561445569058067,0.0075319098979577,0.233086993776535,0.09,0.275,200
"Malawi","women_iron","Mangochi","TA Chimwala",FALSE,NA,NA,0.0664082807747349,0.0724440367509873,0.0135664921096719,0.296925993950908,0.115,0.385,200
"Malawi","women_iron","Mangochi","TA Jalasi",FALSE,NA,NA,0.0459306107173438,0.0548062280625824,0.0087062962280697,0.226140558248281,0.06,0.245,200
"Malawi","women_iron","Mangochi","TA Katuli",FALSE,NA,NA,0.0279853305586643,0.0402555976924209,0.00725651511134151,0.155548984492006,0.015,0.125,200
"Malawi","women_iron","Mangochi","TA Makanjila",FALSE,NA,NA,0.0661509601270586,0.074310363965515,0.00948238512269158,0.311333688268489,0.145,0.38,200
"Malawi","women_iron","Mangochi","TA Mponda",TRUE,0.8,1,0.263606399887496,0.214193247649761,0.0324009633564541,0.624339911476961,0.515,0.765,200
"Malawi","women_iron","Mangochi","TA Nankumba",TRUE,0.272727272727273,1,0.158630824937868,0.133842510009648,0.0196837860600663,0.479908546774421,0.405,0.63,200
"Malawi","women_iron","Mchinji","Mchinji Boma",FALSE,NA,NA,0.0410309836123406,0.0448465615745967,0.0179214623051648,0.158095214400579,0.03,0.165,200
"Malawi","women_iron","Mchinji","SC Dambe",TRUE,0.0833333333333333,1,0.00289923617246637,0.00590083735648244,0.00203398949770397,0.0275166621655514,0,0,200
"Malawi","women_iron","Mchinji","SC Mavwere",FALSE,NA,NA,0.00570285601892509,0.0112984966596938,0.00468563815597195,0.0356963065762023,0,0,200
"Malawi","women_iron","Mchinji","SC Mduwa",TRUE,0,1,0.00311185876086636,0.00670770060280879,0.00267523816999478,0.0260868811985333,0,0,200
"Malawi","women_iron","Mchinji","TA Mkanda",FALSE,NA,NA,0.00275930367649971,0.00627108977761396,0.00204058127078278,0.0234271130781013,0,0,200
"Malawi","women_iron","Mchinji","TA Mlonyeni",TRUE,0.111111111111111,1,0.0106913741273915,0.0167549912942273,0.00832309247484586,0.0533144942324065,0,0.01,200
"Malawi","women_iron","Mchinji","TA Zulu",TRUE,0.125,1,0.00521791160139678,0.00969387998068554,0.00417383511583496,0.0324579241430896,0,0.005,200
"Malawi","women_iron","Mulanje","Mulanje Boma",FALSE,NA,NA,0.343770368341771,0.267329171973707,0.0482851015696448,0.60566807210427,0.66,0.865,200
"Malawi","women_iron","Mulanje","Mulanje Mountain Forest Reserve",FALSE,NA,NA,0.0557574969738707,0.0615896295509467,0.00356250573833069,0.347421389940139,0.16,0.335,200
"Malawi","women_iron","Mulanje","SC Juma",TRUE,0.333333333333333,1,0.21195735666268,0.202611908986642,0.030221384208746,0.576321521076979,0.5,0.71,200
"Malawi","women_iron","Mulanje","SC Laston Njema",FALSE,NA,NA,0.192577245219959,0.167426692987383,0.0317041751385296,0.440995884127109,0.4,0.725,200
"Malawi","women_iron","Mulanje","TA Chikumbu",FALSE,NA,NA,0.290721345730621,0.223846453908364,0.0544610088638717,0.574907641326758,0.58,0.835,200
"Malawi","women_iron","Mulanje","TA Mabuka",TRUE,0.133074783346271,2,0.185915632808001,0.162493650527409,0.027004894666341,0.477834779655739,0.41,0.685,200
"Malawi","women_iron","Mulanje","TA Nkanda",FALSE,NA,NA,0.374331949016757,0.308700041386195,0.0675440313321547,0.676956735145197,0.675,0.905,200
"Malawi","women_iron","Mulanje","TA Nthiramanja",FALSE,NA,NA,0.281142833507489,0.223665803348522,0.0541538091940923,0.555390327984958,0.555,0.81,200
"Malawi","women_iron","Mwanza","Majete Game Reserve - Mwanza",TRUE,0.0909090909090909,1,0.0873180909358013,0.0927588558052624,0.0190315139666859,0.347852219897524,0.22,0.485,200
"Malawi","women_iron","Mwanza","Mwanza Boma",FALSE,NA,NA,0.144808630816706,0.147949244484927,0.0455893006224617,0.348297929744332,0.315,0.705,200
"Malawi","women_iron","Mwanza","TA Kanduku",FALSE,NA,NA,0.069181189858359,0.0805195040156501,0.0233929521515976,0.217047463009793,0.07,0.4,200
"Malawi","women_iron","Mwanza","TA Nthache",TRUE,0.222222222222222,1,0.0377378197685568,0.0485952358952094,0.0126886852088245,0.124435513906218,0.015,0.155,200
"Malawi","women_iron","Mzimba","Mzimba Boma",TRUE,0.125,1,0.713054143396429,0.546855334089194,0.096444980992507,0.897422291484373,0.855,0.945,200
"Malawi","women_iron","Mzimba","Mzuzu City",TRUE,0.485331711922963,2,0.699840682999515,0.523476231715059,0.0382316970330858,0.922262401178001,0.78,0.855,200
"Malawi","women_iron","Mzimba","SC Jaravikuba Munthali",FALSE,NA,NA,0.288818767917771,0.19559893714417,0.0483816051068697,0.516207906126739,0.495,0.765,200
"Malawi","women_iron","Mzimba","SC Kampingo Sibande",FALSE,NA,NA,0.0939988894816212,0.0832879810408508,0.0125094300153556,0.408160165058578,0.255,0.405,200
"Malawi","women_iron","Mzimba","SC Khosolo Gwaza Jere",FALSE,NA,NA,0.0337105444277134,0.0310833016323097,0.00877436183950754,0.150548173846079,0.015,0.175,200
"Malawi","women_iron","Mzimba","TA Chindi",TRUE,0.271885085652374,2,0.0768605227143778,0.0770534299538022,0.0128952050428368,0.397761217937974,0.175,0.395,200
"Malawi","women_iron","Mzimba","TA M'Mbelwa",TRUE,0.375,1,0.123912731041091,0.115219207706743,0.0197794305541928,0.471308595098805,0.295,0.54,200
"Malawi","women_iron","Mzimba","TA Mabulabo",TRUE,0,1,0.126455858844466,0.0949144482301304,0.0235396191700563,0.38225273223127,0.215,0.485,200
"Malawi","women_iron","Mzimba","TA Mpherembe",FALSE,NA,NA,0.192300895353272,0.156090417501028,0.0329521648527181,0.469434717984828,0.38,0.645,200
"Malawi","women_iron","Mzimba","TA Mtwalo",TRUE,0.545454545454545,1,0.158659168826819,0.126532737938351,0.0274573050964753,0.413667307471035,0.345,0.59,200
"Malawi","women_iron","Mzimba","TA Mzikubola",FALSE,NA,NA,0.0855462969530569,0.073736266417819,0.0111890826650482,0.39470819963939,0.215,0.385,200
"Malawi","women_iron","Mzimba","TA Mzukuzuku",FALSE,NA,NA,0.155286889088951,0.130113353948421,0.0255605810847731,0.509642213959945,0.34,0.625,200
"Malawi","women_iron","Mzimba","Vwaza Marsh Game Reserve - Mzimb",FALSE,NA,NA,0.0809105699947453,0.0669523377373638,0.0113654102404407,0.308740048340125,0.115,0.38,200
"Malawi","women_iron","Neno","Majete Game Reserve - Neno",FALSE,NA,NA,0.0481175552298127,0.0564145009602974,0.0063483188388873,0.340904193688618,0.145,0.32,200
"Malawi","women_iron","Neno","TA Dambe",FALSE,NA,NA,0.0103720442505282,0.0166094111412249,0.00385085197549419,0.055172485827594,0,0.01,200
"Malawi","women_iron","Neno","TA Mlauli",FALSE,NA,NA,0.0626920971829514,0.076859230907303,0.0146175796826033,0.301523406407305,0.15,0.41,200
"Malawi","women_iron","Neno","TA Ngozi",TRUE,0.106712199675426,2,0.0318628523634664,0.0409553951253552,0.012675005339788,0.113016672981043,0.01,0.09,200
"Malawi","women_iron","Neno","TA Symon",TRUE,0.375,1,0.245261029936208,0.24447837965078,0.0237823213992414,0.627220475311434,0.57,0.76,200
"Malawi","women_iron","Nkhata Bay","SC Fukamalaza",FALSE,NA,NA,0.0652916220607371,0.058120901762171,0.00929655294585514,0.346194957270811,0.135,0.305,200
"Malawi","women_iron","Nkhata Bay","SC Malanda",TRUE,0.2,1,0.0727137659472894,0.0650255980567884,0.0102419183990129,0.3918252980371,0.175,0.345,200
"Malawi","women_iron","Nkhata Bay","SC Nyaluwanga",FALSE,NA,NA,0.0547530053164097,0.0478620752889428,0.00521310803789185,0.327631599598393,0.135,0.315,200
"Malawi","women_iron","Nkhata Bay","SC Zilakoma",FALSE,NA,NA,0.0204197133363391,0.0208165477855183,0.00184023836279596,0.257965633896745,0.085,0.16,200
"Malawi","women_iron","Nkhata Bay","TA Fukamapiri",TRUE,0,1,0.0321833260093291,0.0320943787225767,0.00415972411761312,0.276660457177943,0.085,0.215,200
"Malawi","women_iron","Nkhata Bay","TA Kabunduli",TRUE,0,1,0.020312819064268,0.0221028113691768,0.00199570051579206,0.231560839944916,0.06,0.175,200
"Malawi","women_iron","Nkhata Bay","TA Malenga Mzoma",FALSE,NA,NA,0.17333526828745,0.13344866247877,0.0202410330938297,0.518783822729245,0.335,0.61,200
"Malawi","women_iron","Nkhata Bay","TA Musisya",TRUE,0,1,0.030987195752105,0.0320695047930047,0.00249285545463863,0.315528468330372,0.1,0.21,200
"Malawi","women_iron","Nkhata Bay","TA Timbiri",TRUE,0.147085130605434,3,0.0481145638528581,0.0401155970616726,0.00518940848957017,0.317921816233555,0.125,0.26,200
"Malawi","women_iron","Nkhotakota","Nkhotakota Boma",TRUE,0.166666666666667,1,0.563263621546612,0.458935969309709,0.0540303885318808,0.817637290884428,0.785,0.91,200
