"outcome","column","rank","beta","beta_std","domain","country","Admin2","x","contribution"
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Kwahu Afram Plains North",-0.004820457658288,-0.0169517371204711
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Ablekuma Central",0.60932703275522,2.14277407081957
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Ablekuma North",0.507878631074301,1.78601818611014
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Ashaiman",0.620976045152586,2.18373926746096
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Ayawaso West",0.552261461085988,1.94209591157819
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Ga East",0.486062185086725,1.70929794842721
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","La-Dade-Kotopon",0.541066803322412,1.90272850934918
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Tema West",0.597760126042478,2.10209760899975
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Weija Gbawe",0.198942540172495,0.699606112561647
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Chereponi",1.898028652622,6.67465312366151
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","West Mamprusi",1.74624015037539,6.14087003284428
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Yunyoo-Nasuan",2.52595391726094,8.8828301831903
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Gushegu",1.33839032607253,4.70661554990626
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Ghana","Kpandai",0.807756503427577,2.84057591086034
