variable,n_splits,mean_r,median_r,wins,losses,mean_mae
gee_soilcalcium_annual_range,16,0.051,0.06,6,2,17.33
gee_soilcalcium_mean_0_20,16,0.051,0.061,6,2,17.34
gee_trmm_2012,16,0.033,0.022,7,4,16.62
gee_ndvi_2012,16,0.03,-0.024,5,2,15.58
gee_elevation_2000,16,0.028,0.002,5,2,23.59
gee_soiliron_annual_min,16,0.026,0.003,6,5,15.55
gee_soilaluminium_mean_0_20,16,0.025,0.083,8,5,15.3
gee_soiliron_annual_mean,16,0.021,0.04,6,4,12.1
gee_soilcec_annual_min,16,0.014,-0.013,6,4,16.4
gee_soilpotassium_annual_max,16,0.009,0.012,5,3,21.66
gee_soilpotassium_mean_0_20,16,0.009,0.012,5,3,21.66
gee_soilpotassium_annual_range,16,0.007,0.012,5,3,21.72
gee_gpw_demographic_2010_annual_min,16,0.005,-0.021,4,3,15.62
gee_ndvi_2011,16,0.004,-0.02,4,4,15.54
gee_popdensity_2010,16,0.004,0.004,5,4,15.61
gee_popdensity_2011,16,0.004,0.004,5,4,15.61
gee_popdensity_2012,16,0.004,0.004,5,4,15.61
gee_soilcec_stdev_0_20,16,0.003,-0.013,6,5,16.53
gee_popdensity_2013,16,0.001,0.002,5,4,15.6
gee_popdensity_2014,16,0.001,0.002,5,4,15.6
gee_popdensity_2015,16,0.001,0.002,5,4,15.6
gee_popdensity_2016,16,0.001,0.002,5,4,15.6
gee_popdensity_2017,16,0.001,0.002,5,4,15.6
gee_gpw_demographic_2010_annual_max,16,-0.001,-0.015,5,4,15.62
gee_gpw_demographic_2010_annual_mean,16,-0.001,-0.015,5,4,15.61
gee_gpw_demographic_2010_annual_range,16,-0.001,-0.015,5,4,15.62
gee_gpw_demographic_2010_annual_sd,16,-0.001,-0.015,5,4,15.61
gee_soiliron_stdev_20_50,16,-0.002,0.009,5,7,16.01
gee_soiltotalcarbon_annual_range,16,-0.002,0.018,6,5,15.57
gee_soilzinc_stdev_20_50,16,-0.002,0.034,4,4,15.7
gee_popdensity_2018,16,-0.003,-0.005,5,4,15.6
gee_popdensity_2019,16,-0.003,-0.005,5,4,15.6
gee_popdensity_2020,16,-0.003,-0.005,5,4,15.6
gee_popdensity_2021,16,-0.003,-0.005,5,4,15.6
gee_popdensity_2022,16,-0.003,-0.005,5,4,15.6
gee_popdensity_2023,16,-0.003,-0.005,5,4,15.6
gee_soiltotalcarbon_annual_max,16,-0.003,0.017,6,5,15.6
gee_soiltotalcarbon_annual_mean,16,-0.004,0.017,6,4,15.62
gee_soiltotalcarbon_annual_sd,16,-0.004,0.019,6,6,15.57
gee_soiliron_annual_range,16,-0.006,0.009,5,4,11.99
gee_soiliron_annual_sd,16,-0.006,0.013,5,4,11.91
gee_soiliron_annual_max,16,-0.007,0.008,5,4,11.99
gee_soiliron_mean_0_20,16,-0.007,0.008,5,4,11.99
gee_ndvi_2021,16,-0.008,0.02,5,7,15.15
gee_trmm_2018,16,-0.01,0.013,3,3,16.06
gee_soilsulfur_stdev_20_50,16,-0.011,-0.014,2,3,21.09
gee_soiliron_stdev_0_20,16,-0.015,0.016,4,7,15.53
gee_soilsulfur_annual_min,16,-0.02,-0.022,2,4,18.07
gee_soilsulfur_stdev_0_20,16,-0.02,-0.022,2,4,18.07
gee_ndvi_2013,16,-0.021,-0.059,3,5,15.74
gee_soiltotalcarbon_stdev_0_20,16,-0.022,0.025,6,6,15.6
gee_accessibility_2019,16,-0.024,-0.044,5,6,15.55
gee_soiltotalcarbon_stdev_20_50,16,-0.026,0.007,5,6,15.6
gee_soilcec_stdev_20_50,16,-0.041,-0.014,5,5,16.2
gee_ndvi_2014,16,-0.055,-0.071,3,6,15.65
gee_soilpotassium_annual_sd,16,-0.061,-0.006,4,5,20.59
gee_ghsl_smod_2015,16,-0.062,-0.08,4,6,15.62
gee_soilsulfur_mean_20_50,16,-0.066,-0.035,2,6,18.8
gee_ndvi_2016,16,-0.067,-0.027,2,7,15.6
gee_ccnl_2013,16,-0.073,-0.09,3,7,15.78
gee_soilpotassium_annual_mean,16,-0.073,-0.01,4,5,19.42
gee_ndvi_2018,16,-0.082,-0.053,2,6,14.69
gee_soilphosphorus_annual_min,16,-0.093,-0.145,3,9,17.47
gee_globalhumanmodification_2016,16,-0.099,-0.12,4,8,16.53
gee_soilphosphorus_stdev_20_50,16,-0.099,-0.16,3,9,17.97
gee_ndvi_2010,16,-0.103,-0.072,1,7,15.46
gee_ndvi_2017,16,-0.104,-0.094,1,8,15.42
gee_soilsulfur_annual_mean,16,-0.106,-0.069,1,7,18.74
gee_soilsulfur_annual_sd,16,-0.107,-0.076,1,8,18.43
gee_soilsulfur_annual_range,16,-0.108,-0.079,1,8,18.4
gee_wsf_2015,16,-0.11,-0.113,2,8,15.75
gee_ndvi_2015,16,-0.112,-0.068,1,6,15.14
gee_soilsulfur_annual_max,16,-0.126,-0.122,0,9,18.49
gee_soilsulfur_mean_0_20,16,-0.126,-0.122,0,9,18.49
gee_soilpotassium_mean_20_50,16,-0.134,-0.105,2,8,16.8
gee_ndvi_2020,16,-0.136,-0.05,5,7,15.02
gee_soilphosphorus_annual_max,16,-0.138,-0.121,2,10,16.62
gee_soilphosphorus_mean_0_20,16,-0.138,-0.121,2,10,16.62
gee_ndvi_2019,16,-0.146,-0.055,1,7,15.9
gee_soilphosphorus_annual_mean,16,-0.149,-0.142,1,10,16.58
gee_soilphosphorus_annual_range,16,-0.157,-0.13,2,10,16.57
gee_soilphosphorus_annual_sd,16,-0.168,-0.157,1,10,16.51
gee_soilpotassium_stdev_0_20,16,-0.173,-0.186,0,13,15.74
gee_soilphosphorus_mean_20_50,16,-0.194,-0.188,0,11,16.45
gee_soilpotassium_annual_min,16,-0.199,-0.212,0,13,15.78
gee_soilpotassium_stdev_20_50,16,-0.224,-0.184,0,12,15.9
gee_esa_worldcereal_2021_annual_min,16,NA,NA,0,0,14.95
