method,outcome,held_out,n_train,n_test,pearson_r,spearman_r,mae_pp,rmse_pp,mean_bias_pp
combined_w50_k15,child_vitA,Ghana,131,75,0.274,0.315,11.47,14.19,3.54
combined_w50_k15,child_vitA,SierraLeone,192,14,0.129,0.033,8.27,9.23,-3.32
combined_w50_k15,child_vitA,Malawi,119,87,0.028,0.016,13.14,16.55,-1.16
combined_w50_k15,women_vitA,Gambia,176,30,NA,NA,3.92,6.07,-2.29
combined_w50_k15,women_vitA,Ghana,131,75,0.144,0.131,3.06,3.7,1.35
combined_w50_k15,women_vitA,SierraLeone,192,14,NA,NA,1.61,2.33,-1.61
combined_w50_k15,women_vitA,Malawi,119,87,-0.001,-0.018,2.61,5.97,-2.13
combined_w50_k15,child_iron,Gambia,176,30,0.485,0.414,34.58,37.2,-34.58
combined_w50_k15,child_iron,Ghana,131,75,0.552,0.446,18.62,23.24,11.62
combined_w50_k15,child_iron,SierraLeone,192,14,-0.129,0.061,8.63,10.88,0.09
combined_w50_k15,child_iron,Malawi,119,87,-0.085,-0.112,17.03,20.01,6.93
combined_w50_k15,women_iron,Gambia,176,30,-0.022,0.2,32.41,36.09,-32.41
combined_w50_k15,women_iron,Ghana,131,75,0.225,0.139,15.95,19.78,11.95
combined_w50_k15,women_iron,SierraLeone,192,14,-0.163,-0.107,15.69,17.58,-15.36
combined_w50_k15,women_iron,Malawi,119,87,-0.017,-0.144,16.05,22.01,-12.14
