method,outcome,held_out,n_train,n_test,pearson_r,spearman_r,mae_pp,rmse_pp,mean_bias_pp
spatial_top40,child_vitA,SierraLeone,202,14,-0.119,-0.156,10.85,12.97,-4.31
spatial_top40,child_vitA,Malawi,119,97,0.024,0.015,56.23,59.39,56.23
spatial_top40,women_vitA,Gambia,186,30,0.384,0.543,3.88,5.24,0.54
spatial_top40,women_vitA,Ghana,141,75,-0.141,-0.183,11.25,13.51,10.27
spatial_top40,women_vitA,SierraLeone,202,14,NA,NA,1.61,2.33,-1.61
spatial_top40,women_vitA,Malawi,119,97,-0.146,-0.198,2.94,6.08,-1.52
spatial_top40,child_iron,Gambia,186,30,0.513,0.467,32.58,35.2,-32.58
spatial_top40,child_iron,Ghana,141,75,-0.013,-0.035,54.75,61.07,51.87
spatial_top40,child_iron,SierraLeone,202,14,0.155,0.003,5.4,6.71,-4.6
spatial_top40,child_iron,Malawi,119,97,0.196,0.183,16.24,21.16,-14.73
spatial_top40,women_iron,Gambia,186,30,0.157,0.155,28.05,32.21,-28.05
spatial_top40,women_iron,Ghana,141,75,0.102,0.166,37.68,41.55,37.44
spatial_top40,women_iron,SierraLeone,202,14,0.173,0.323,8.55,10.28,-7.28
spatial_top40,women_iron,Malawi,119,97,NA,NA,17.24,23.78,-17.24
spatial_top60,child_vitA,Gambia,186,30,0.33,0.279,11.92,15.02,8.07
spatial_top60,child_vitA,Ghana,141,75,0.086,-0.032,58.45,65.38,57.74
spatial_top60,child_vitA,SierraLeone,202,14,-0.083,-0.19,14.43,16.54,-12.97
spatial_top60,child_vitA,Malawi,119,97,0.009,-0.039,71.95,74.1,71.95
spatial_top60,women_vitA,Gambia,186,30,0.319,0.392,3.6,5.61,-1.75
spatial_top60,women_vitA,Ghana,141,75,0.117,0.124,11.74,15.29,11.5
spatial_top60,women_vitA,SierraLeone,202,14,NA,NA,1.61,2.33,-1.61
spatial_top60,women_vitA,Malawi,119,97,-0.103,-0.155,2.57,5.95,-1.97
spatial_top60,child_iron,Gambia,186,30,0.544,0.517,41.62,43.64,-41.62
spatial_top60,child_iron,Ghana,141,75,0.299,0.235,48.83,58.04,43.11
spatial_top60,child_iron,SierraLeone,202,14,0.274,0.293,6.19,8.45,2.1
spatial_top60,child_iron,Malawi,119,97,NA,NA,19.77,24.75,-19.77
spatial_top60,women_iron,Gambia,186,30,-0.045,-0.169,26.71,31.91,-26.66
spatial_top60,women_iron,Ghana,141,75,-0.136,-0.079,49.74,57.35,48.58
spatial_top60,women_iron,SierraLeone,202,14,-0.351,-0.224,16.93,18.39,-16.93
spatial_top60,women_iron,Malawi,119,97,0.017,0,45.27,51.59,42.47
