"outcome","Admin1","Admin2","n","n_eff","p_low","median_biomarker","mean_log"
"women_selenium","Mchinji","SC Dambe",12,12,0.583333333333333,79.0914425255977,4.4502234414228
"women_selenium","Mchinji","SC Mduwa",6,6,0.666666666666667,80.6255086407964,4.42100946714485
"women_selenium","Mchinji","TA Mlonyeni",9,9,0.777777777777778,70.8113451222712,4.2743168683874
"women_selenium","Mchinji","TA Zulu",8,8,1,55.8326766215246,4.02682313033376
"women_selenium","Mulanje","SC Juma",5,5,1,64.3407442521368,4.17638868988276
"women_selenium","Mulanje","TA Mabuka",22,20.7906757162107,0.234698931917428,98.1368977409703,4.56760621062754
"women_selenium","Mwanza","Majete Game Reserve - Mwanza",11,11,0.545454545454545,84.4687049706556,4.45906216606673
"women_selenium","Mwanza","TA Nthache",10,10,0.6,79.1711933281118,4.3620829004082
"women_selenium","Mzimba","Mzimba Boma",8,8,0.375,84.9098719731832,4.45640515316454
"women_selenium","Mzimba","Mzuzu City",13,12.6232092884574,0.441031694146442,84.7848292034784,4.44690311651896
"women_selenium","Mzimba","TA Chindi",17,16.0981240484995,0.928049618675395,71.8960161656732,4.25202750423852
"women_selenium","Mzimba","TA M'Mbelwa",8,8,0.875,59.0771227397388,4.12924172504331
"women_selenium","Mzimba","TA Mabulabo",6,6,0.833333333333333,73.7135518728534,4.37567480876084
"women_selenium","Mzimba","TA Mtwalo",12,12,0.833333333333333,57.8102658307876,4.16964108625706
"women_selenium","Neno","TA Ngozi",15,9.73248581634984,1,61.091126232131,4.08624594991593
"women_selenium","Nkhata Bay","Lake Malawi",23,18.1585290770486,0.0760184028869579,111.568882805274,4.67613452734234
"women_selenium","Nkhata Bay","SC Malanda",5,5,0.4,104.252412814317,4.51405738148093
"women_selenium","Nkhata Bay","TA Fukamapiri",5,5,0.6,82.957766152273,4.39307082981485
"women_selenium","Nkhata Bay","TA Kabunduli",6,6,0.166666666666667,90.2970805165196,4.55644819179726
"women_selenium","Nkhata Bay","TA Timbiri",7,7,0.142857142857143,92.9161556662349,4.55422133660878
"women_selenium","Nkhotakota","Nkhotakota Boma",6,6,0.666666666666667,69.4173070140312,4.2852906899199
"women_selenium","Nkhotakota","TA Kanyenda",9,9,0.222222222222222,98.2450532382096,4.60416364810671
"women_selenium","Nkhotakota","TA Malenga Chanzi",7,7,0.857142857142857,74.9888031633961,4.31769498296148
"women_selenium","Nkhotakota","TA Mwadzama",10,10,0,93.9184406432099,4.58379614077196
"women_selenium","Nsanje","Nsanje Boma",6,6,0,159.822695397317,5.10087560844972
"women_selenium","Nsanje","SC Mbenje",9,9,0,189.042219860029,5.16072640570104
"women_selenium","Nsanje","TA Ndamera",6,6,0,145.009976008014,5.02838824356872
"women_selenium","Ntcheu","SC Goodson Ganya",11,11,0.454545454545455,89.8867920217265,4.50141745840368
"women_selenium","Ntcheu","SC Makwangwala",11,11,1,42.5295805411385,3.67875679413318
"women_selenium","Ntcheu","TA Njolomole",9,9,1,40.9440063355495,3.83245090184866
"women_selenium","Ntcheu","TA Phambala",11,11,1,61.293869288593,4.0952687258974
"women_selenium","Ntchisi","SC Chilooko",7,7,1,39.5203928255517,3.68949232699708
"women_selenium","Ntchisi","SC Nthondo",7,7,0,177.995372191562,5.14652109612436
"women_selenium","Ntchisi","TA Kalumo",8,8,1,37.5127905524927,3.62700203844618
"women_selenium","Phalombe","TA Mkhumba",26,16.9506901732844,0.502483755980855,80.3202186297477,4.38220471487162
"women_selenium","Rumphi","Rumphi Boma",19,18.798497471291,0.635025263206027,80.6135499119042,4.42346955251056
"women_selenium","Rumphi","SC Chapinduka",8,8,0,101.068200306659,4.6465868869949
"women_selenium","Rumphi","SC Kachulu",6,6,0.166666666666667,86.0912746504457,4.55633742274563
"women_selenium","Rumphi","SC Mwankhunikira",7,7,1,57.5416726096463,4.07428195397488
"women_selenium","Rumphi","TA Chikulamayembe",15,14.9664126150261,0.87559937128782,70.8260638081652,4.22693014384303
"women_selenium","Salima","SC Kambwiri",6,6,0.833333333333333,61.5009483228504,4.24328116567618
"women_selenium","Salima","TA Karonga",7,7,0,195.597262187105,5.26918086400033
"women_selenium","Salima","TA Maganga",11,11,0,165.383750500169,5.29596554180373
"women_selenium","Thyolo","SC Mbawela",13,13,0.230769230769231,101.512424275503,4.68429710452747
"women_selenium","Thyolo","TA Bvumbwe",16,16,0.8125,68.931888335962,4.25133375300499
"women_selenium","Zomba","SC Mbiza",8,8,0.875,64.5556615320086,4.19818612787619
"women_selenium","Zomba","TA Malemia",11,10.9825446430818,1,56.7425405356997,4.07555984189787
"women_iodine","Balaka","TA Kalembo",5,5,0,356.723187485771,5.8152907357876
"women_iodine","Balaka","TA Nsamala",6,6,0.166666666666667,206.351015326758,5.54687899286257
"women_iodine","Blantyre","Blantyre City",13,12.99737953674,0.0760595859666792,283.390197169137,5.52440116067319
"women_iodine","Chikwawa","TA Kasisi",6,6,0.166666666666667,174.600150898459,5.6064836858198
"women_iodine","Chikwawa","TA Lundu",10,10,0.1,337.640008672038,5.66586957633551
