"estimand","n_train","n_test","country","outcome","target","rep","mse_pick","rank_pick","library","w_mean","wr_mean","rho_mean","w_lasso","wr_lasso","rho_lasso","w_enet","wr_enet","rho_enet","w_ridge","wr_ridge","rho_ridge","w_ranger","wr_ranger","rho_ranger","w_xgb","wr_xgb","rho_xgb","w_domain_index","wr_domain_index","rho_domain_index","w_domain_pc_ridge","wr_domain_pc_ridge","rho_domain_pc_ridge","w_domain_pc_enet","wr_domain_pc_enet","rho_domain_pc_enet","w_domain_pc1_ols","wr_domain_pc1_ols","rho_domain_pc1_ols","w_hapc","wr_hapc","rho_hapc","w_hapc_lasso","wr_hapc_lasso","rho_hapc_lasso","w_spatial_gam","wr_spatial_gam","rho_spatial_gam","w_spatial_plus_domain","wr_spatial_plus_domain","rho_spatial_plus_domain"
"region",83,4,"Malawi","child_vitA","prev",1,"ranger","domain_index","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0,NA,-0.102830228673376,0.4022643168264,NA,-0.00273098089037006,0,NA,-1,0,NA,-1,0,NA,0.00620967282750687,0.478239051544418,NA,0.0474632779643456,0.119496631629182,NA,0.0869608690638975,0,NA,0.0277144824145696,0,NA,-0.0450975900718632,0,NA,-0.177230170371958,0,NA,0.0157786768567798,0,NA,0.011655861290976,0,NA,-0.031506454755957,0,NA,-0.031506454755957
"region",86,1,"Malawi","child_vitA","prev",1,"domain_pc_ridge","domain_index","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0,NA,-0.149550903486088,0,NA,-0.149550903486088,0,NA,-0.148954882900831,0,NA,-0.116316476465736,0,NA,-0.0221061826678929,0.0871065586553392,NA,-0.0424542127961172,0.00254950328434956,NA,-0.00778241050647458,0.795417687828956,NA,-0.0600605306732834,0,NA,-0.148954882900831,0,NA,-0.108255657111658,0,NA,-0.0531582591405706,0.114926250231355,NA,-0.0357367184964746,0,NA,-0.0669907827982579,0,NA,-0.0669907827982579
"region",84,3,"Malawi","child_vitA","prev",1,"ranger","xgb","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0,NA,-0.10877938282444,0,NA,-1,0.460909179413637,NA,0.0290833467453233,0,NA,0.0346844557588309,0.0766305949754083,NA,0.120905437970125,0.424442350487411,NA,0.19828294309538,0.0380178751235443,NA,0.0992031957859838,0,NA,-0.000743769601690441,0,NA,-0.17468698558207,0,NA,-0.131126971831598,0,NA,-0.0323928802566478,0,NA,-0.101605966414021,0,NA,0.10411644515418,0,NA,0.10411644515418
"region",83,4,"Malawi","child_vitA","prev",1,"xgb","xgb","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0,NA,-0.200693502194267,0,NA,-0.200693502194267,0,NA,-0.200693502194267,0,NA,-1,0,NA,0.0855741056713011,0.711057180245859,NA,0.229573889570265,0,NA,0.0542120160515149,0,NA,-1,0,NA,-0.197505568133138,0,NA,-0.0913148668911537,0.191012008592888,NA,0.0374704857946047,0,NA,-0.0288275090647577,0.0979308111612535,NA,0.117501787529496,0,NA,0.117501787529496
"region",85,2,"Malawi","child_vitA","prev",1,"hapc_lasso","xgb","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0,NA,-0.178340842730002,0,NA,-0.0801565636352231,0,NA,-0.161118067865768,0,NA,-0.098840339264299,0,NA,-0.127378240855518,0.0908130637464786,NA,0.049192537335662,0.104035145909925,NA,0.0205348292726071,0,NA,-0.184231540105673,0,NA,-0.213062571910158,0,NA,-0.0792160391776418,0,NA,0.012579679542729,0.805151790343597,NA,-0.184350630856086,0,NA,-0.12802519580343,0,NA,-0.12802519580343
"region",85,2,"Malawi","child_vitA","prev",1,"ridge","spatial_gam","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0.20665210235043,NA,-0.108916785070537,0,NA,0.0222705999295927,0,NA,-0.0532352019882965,0,NA,0.000527148476076261,0,NA,0.0416686909043917,0.323654760384009,NA,0.0086021046777899,0.102161198830746,NA,0.0807974846058706,0,NA,-0.0839857656780845,0,NA,-0.126220517797503,0,NA,-0.162481537103324,0,NA,-0.0393204840564157,0,NA,-0.0389248670528831,0.367531938434814,NA,0.143959456557554,0,NA,0.143959456557554
"region",81,6,"Malawi","child_vitA","prev",1,"enet","xgb","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0.0179397517418052,NA,-0.246368468641371,0.188032746388766,NA,-0.0296841470253728,0.503078625497905,NA,-0.0617254839345703,0,NA,-0.220623402062441,0,NA,-0.114588817292063,0.290948876371525,NA,0.00874372501425378,0,NA,-0.0952605830500281,0,NA,-0.30436199659195,0,NA,-0.246368468641371,0,NA,-0.202107278502844,0,NA,-0.119353199962368,0,NA,-0.0307965852310477,0,NA,-0.202946459541364,0,NA,-0.202946459541364
"region",85,2,"Malawi","child_vitA","prev",1,"hapc_lasso","domain_index","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0,NA,-0.276282180799906,0,NA,-1,0,NA,-1,0,NA,-1,0,NA,-0.160231705418075,0.110135224013267,NA,-0.0190137007925055,0.016502358389718,NA,-0.0165637561525749,0,NA,-1,0,NA,-1,0.0159728493374951,NA,-0.0499309369551091,0,NA,-0.0238603304062815,0.85738956825952,NA,-0.0982838798712416,0,NA,-0.255886065707543,0,NA,-0.255886065707543
"region",82,5,"Malawi","child_vitA","prev",1,"enet","enet","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0,NA,-0.218978220884948,0,NA,-1,1,NA,0.0905362970785859,0,NA,-0.202117919110461,0,NA,-0.0816401218004292,0,NA,0.0622994693520472,0,NA,-0.025428890396855,0,NA,-0.220050917619252,0,NA,-0.173620288663593,0,NA,-0.27176634566546,0,NA,-0.115807733045739,0,NA,-0.0969840851624581,0,NA,-0.13173687285058,0,NA,-0.13173687285058
"region",83,4,"Malawi","child_vitA","prev",1,"ranger","ranger","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0.307831105293223,NA,-0.145712953487658,0,NA,-0.154373917317806,0,NA,-0.145712953487658,0,NA,-0.0254058018588103,0.21036389746316,NA,0.0736253421720384,0.210238653072079,NA,0.0591954876917253,0,NA,0.0211230674050439,0,NA,-0.0281216740753897,0.00302058494531639,NA,-0.0104730540748625,0,NA,-0.215531635967851,0,NA,-0.0865791268818786,0.268545759226221,NA,-0.032413140660768,0,NA,-0.0413045040944412,0,NA,-0.0413045040944412
"region",84,3,"Malawi","child_vitA","prev",1,"ranger","xgb","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0.163646293703076,NA,-0.0347101227335339,0.429603211885757,NA,-0.0644458065373213,0,NA,0.00514714959221537,0,NA,-0.0173281018033513,0.244887475844578,NA,0.0614773413407416,0.0820150135334443,NA,0.116436603117646,0.0798480050331446,NA,0.0781181959847817,0,NA,-0.04359330788922,0,NA,-0.0347101227335339,0,NA,-0.154755010250509,0,NA,-0.0857473118379099,0,NA,-0.13791074469339,0,NA,0.0399726167191408,0,NA,0.020467757418263
