"country","outcome","estimand","arm","rep","n_areas","capture_top20","lift","prev_top20","prev_national","concordance"
"Ghana","child_iron","infill","domain_index",8,75,0.224097657536965,1.12048828768483,0.353969973390274,0.200884765712091,0.686696900982615
"Ghana","child_iron","infill","spatial_plus_domain",8,75,0.304730270901795,1.52365135450898,0.41331080150766,0.200884765712091,0.686696900982615
"Ghana","child_iron","infill","null_train_mean",9,75,0.224652543268354,1.12326271634177,0.196909500743474,0.200884765712091,0.464519140989729
"Ghana","child_iron","infill","region_mean_jk",9,75,0.345659506361403,1.72829753180702,0.470034024248686,0.200884765712091,0.704571648098348
"Ghana","child_iron","infill","spatial",9,75,0.313756771743634,1.56878385871817,0.446292647969672,0.200884765712091,0.68896447467876
"Ghana","child_iron","infill","domain_index",9,75,0.240136529427197,1.20068264713599,0.377045638300996,0.200884765712091,0.685185185185185
"Ghana","child_iron","infill","spatial_plus_domain",9,75,0.313756771743634,1.56878385871817,0.446292647969672,0.200884765712091,0.68896447467876
"Ghana","child_iron","infill","null_train_mean",10,75,0.104384517424191,0.521922587120955,0.125394124211793,0.200884765712091,0.371148459383754
"Ghana","child_iron","infill","region_mean_jk",10,75,0.340275914387555,1.70137957193778,0.461743127523257,0.200884765712091,0.672294704528012
"Ghana","child_iron","infill","spatial",10,75,0.319101891461625,1.59550945730813,0.433054055395428,0.200884765712091,0.688586545729403
"Ghana","child_iron","infill","domain_index",10,75,0.224097657536965,1.12048828768483,0.353969973390274,0.200884765712091,0.687074829931973
"Ghana","child_iron","infill","spatial_plus_domain",10,75,0.319101891461625,1.59550945730813,0.433054055395428,0.200884765712091,0.685185185185185
"Ghana","child_iron","infill","oracle_ceiling",1,75,0.421125405064336,2.10562702532168,0.514175308477042,0.200884765712091,1
"Ghana","women_iron","infill","null_train_mean",1,75,0.15032859032809,0.751642951640451,0.0999139783057161,0.130714948167088,0.440719144800777
"Ghana","women_iron","infill","region_mean_jk",1,75,0.178638178844285,0.893190894221427,0.145159936391256,0.130714948167088,0.596407185628743
"Ghana","women_iron","infill","spatial",1,75,0.257659722310707,1.28829861155353,0.16330226212419,0.130714948167088,0.665220820189274
"Ghana","women_iron","infill","domain_index",1,75,0.205565664104193,1.02782832052096,0.0993142915029881,0.130714948167088,0.568217665615142
"Ghana","women_iron","infill","spatial_plus_domain",1,75,0.257659722310707,1.28829861155353,0.16330226212419,0.130714948167088,0.665220820189274
"Ghana","women_iron","infill","null_train_mean",2,75,0.138668944166256,0.693344720831281,0.0843883917694926,0.130714948167088,0.410705596107056
"Ghana","women_iron","infill","region_mean_jk",2,75,0.175366250029333,0.876831250146666,0.173307642972465,0.130714948167088,0.586623690572119
"Ghana","women_iron","infill","spatial",2,75,0.262800864436631,1.31400432218315,0.151621639784619,0.130714948167088,0.691640378548896
"Ghana","women_iron","infill","domain_index",2,75,0.324225044657929,1.62112522328964,0.162912156359463,0.130714948167088,0.612381703470032
"Ghana","women_iron","infill","spatial_plus_domain",2,75,0.262800864436631,1.31400432218315,0.151621639784619,0.130714948167088,0.691640378548896
"Ghana","women_iron","infill","null_train_mean",3,75,0.249293464762561,1.2464673238128,0.132776854141755,0.130714948167088,0.431840311587147
"Ghana","women_iron","infill","region_mean_jk",3,75,0.209735009695264,1.04867504847632,0.19758924710682,0.130714948167088,0.638433879344786
"Ghana","women_iron","infill","spatial",3,75,0.271942328286388,1.35971164143194,0.200247636826796,0.130714948167088,0.708990536277603
"Ghana","women_iron","infill","domain_index",3,75,0.262798923566381,1.31399461783191,0.145733860432154,0.130714948167088,0.621451104100946
"Ghana","women_iron","infill","spatial_plus_domain",3,75,0.271942328286388,1.35971164143194,0.200247636826796,0.130714948167088,0.708990536277603
"Ghana","women_iron","infill","null_train_mean",4,75,0.124888688483822,0.624443442419111,0.0713288836104569,0.130714948167088,0.405825242718447
"Ghana","women_iron","infill","region_mean_jk",4,75,0.190243550956639,0.951217754783195,0.153414639380627,0.130714948167088,0.625905068382944
"Ghana","women_iron","infill","spatial",4,75,0.282902933259112,1.41451466629556,0.192125143974436,0.130714948167088,0.691640378548896
"Ghana","women_iron","infill","domain_index",4,75,0.289125395481694,1.44562697740847,0.16260999109687,0.130714948167088,0.612776025236593
"Ghana","women_iron","infill","spatial_plus_domain",4,75,0.282902933259112,1.41451466629556,0.192125143974436,0.130714948167088,0.691640378548896
"Ghana","women_iron","infill","null_train_mean",5,75,0.243284598620649,1.21642299310325,0.113351337107972,0.130714948167088,0.404773502191914
"Ghana","women_iron","infill","region_mean_jk",5,75,0.214149830356899,1.0707491517845,0.185470988592468,0.130714948167088,0.65166733627963
"Ghana","women_iron","infill","spatial",5,75,0.261379478699585,1.30689739349793,0.217915254992598,0.130714948167088,0.699132492113565
"Ghana","women_iron","infill","domain_index",5,75,0.313018279155985,1.56509139577993,0.16927633289021,0.130714948167088,0.627760252365931
"Ghana","women_iron","infill","spatial_plus_domain",5,75,0.261379478699585,1.30689739349793,0.217915254992598,0.130714948167088,0.699132492113565
"Ghana","women_iron","infill","null_train_mean",6,75,0.155123544610172,0.775617723050859,0.088556547729678,0.130714948167088,0.370029097963143
"Ghana","women_iron","infill","region_mean_jk",6,75,0.220284159886396,1.10142079943198,0.191580034755587,0.130714948167088,0.6376
"Ghana","women_iron","infill","spatial",6,75,0.286000717814736,1.43000358907368,0.22402219408693,0.130714948167088,0.699526813880126
"Ghana","women_iron","infill","domain_index",6,75,0.307100534986414,1.53550267493207,0.16187313786618,0.130714948167088,0.626577287066246
"Ghana","women_iron","infill","spatial_plus_domain",6,75,0.286000717814736,1.43000358907368,0.22402219408693,0.130714948167088,0.699526813880126
"Ghana","women_iron","infill","null_train_mean",7,75,0.154682909685279,0.773414548426394,0.0953945115485275,0.130714948167088,0.41039339485187
"Ghana","women_iron","infill","region_mean_jk",7,75,0.176899728461367,0.884498642306833,0.120841199168766,0.130714948167088,0.592845659163987
"Ghana","women_iron","infill","spatial",7,75,0.2526722563765,1.2633612818825,0.158128455254266,0.130714948167088,0.681782334384858
"Ghana","women_iron","infill","domain_index",7,75,0.314890366818241,1.5744518340912,0.163559764119932,0.130714948167088,0.607255520504732
"Ghana","women_iron","infill","spatial_plus_domain",7,75,0.2526722563765,1.2633612818825,0.158128455254266,0.130714948167088,0.681782334384858
"Ghana","women_iron","infill","null_train_mean",8,75,0.149484902549361,0.747424512746804,0.0901367746368512,0.130714948167088,0.406614785992218
"Ghana","women_iron","infill","region_mean_jk",8,75,0.203707562772394,1.01853781386197,0.164127349018708,0.130714948167088,0.652538984406237
"Ghana","women_iron","infill","spatial",8,75,0.259975327133523,1.29987663566762,0.191156086602572,0.130714948167088,0.710567823343849
"Ghana","women_iron","infill","domain_index",8,75,0.307834309603226,1.53917154801613,0.14737913768662,0.130714948167088,0.612381703470032
