"target","outcome","scheme","arm","country","n_areas","spearman","topk"
"level","women_vitA","rank_within","domain_index","Ghana",75,0.261934566145092,0.473684210526316
"level","women_vitA","rank_within","domain_index","Malawi",87,0.278869286287089,0.363636363636364
"level","women_vitA","rank_within","domain_index","SierraLeone",14,-0.0505494505494506,0.5
"level","women_vitA","rank_within","domain_enet","Gambia",30,0.61245828698554,0.5
"level","women_vitA","rank_within","domain_enet","Ghana",75,0.437581792318634,0.526315789473684
"level","women_vitA","rank_within","domain_enet","Malawi",87,0.315575563169789,0.363636363636364
"level","women_vitA","rank_within","domain_enet","SierraLeone",14,-0.00659340659340659,0.5
"level","child_iron","raw_pooled","domain_index","Gambia",30,0.13503893214683,0.375
"level","child_iron","raw_pooled","domain_index","Ghana",75,0.00213371266002845,0.210526315789474
"level","child_iron","raw_pooled","domain_index","Malawi",87,-0.134796238244514,0.181818181818182
"level","child_iron","raw_pooled","domain_index","SierraLeone",14,0.120879120879121,0.5
"level","child_iron","raw_pooled","domain_enet","Gambia",30,0.629810901001112,0.625
"level","child_iron","raw_pooled","domain_enet","Ghana",75,-0.129587482219061,0.0526315789473684
"level","child_iron","raw_pooled","domain_enet","Malawi",87,-0.161387329591018,0.0909090909090909
"level","child_iron","raw_pooled","domain_enet","SierraLeone",14,0.248351648351648,0.5
"level","child_iron","z_pooled","domain_index","Gambia",30,0.295216907675195,0.375
"level","child_iron","z_pooled","domain_index","Ghana",75,-0.00617354196301565,0.105263157894737
"level","child_iron","z_pooled","domain_index","Malawi",87,-0.260771305679084,0
"level","child_iron","z_pooled","domain_index","SierraLeone",14,-0.0857142857142857,0.25
"level","child_iron","z_pooled","domain_enet","Gambia",30,0.552836484983315,0.5
"level","child_iron","z_pooled","domain_enet","Ghana",75,NA,0.105263157894737
"level","child_iron","z_pooled","domain_enet","Malawi",87,-0.0189363563461398,0.272727272727273
"level","child_iron","z_pooled","domain_enet","SierraLeone",14,0.371428571428571,0.5
"level","child_iron","rank_within","domain_index","Gambia",30,0.367741935483871,0.5
"level","child_iron","rank_within","domain_index","Ghana",75,0.228449502133713,0.368421052631579
"level","child_iron","rank_within","domain_index","Malawi",87,-0.204818837938325,0.181818181818182
"level","child_iron","rank_within","domain_index","SierraLeone",14,0.173626373626374,0
"level","child_iron","rank_within","domain_enet","Gambia",30,0.354393770856507,0.375
"level","child_iron","rank_within","domain_enet","Ghana",75,0.471692745376956,0.473684210526316
"level","child_iron","rank_within","domain_enet","Malawi",87,-0.066833126776992,0.272727272727273
"level","child_iron","rank_within","domain_enet","SierraLeone",14,0.120879120879121,0
"level","women_iron","raw_pooled","domain_index","Gambia",30,-0.116796440489433,0.25
"level","women_iron","raw_pooled","domain_index","Ghana",75,0.129075391180654,0.315789473684211
"level","women_iron","raw_pooled","domain_index","Malawi",87,0.0590325873004301,0.318181818181818
"level","women_iron","raw_pooled","domain_index","SierraLeone",14,-0.0461538461538462,0.25
"level","women_iron","raw_pooled","domain_enet","Gambia",30,0.545717463848721,0.625
