"estimand","target","arm","cells","scored","mean_spearman","median_spearman","cells_positive","mean_wmae"
"infill","prev","ridge_min",2,2,0.0767233041537315,0.0767233041537315,1,15.1226999534894
"infill","prev","domain_enet",2,2,0.036334092094081,0.036334092094081,1,15.100689003689
"region","level","domain_index",2,2,0.287362397025589,0.287362397025589,2,0.330875296678575
"region","level","sl_disc",2,2,0.319758329080703,0.319758329080703,2,0.285632927918412
"region","level","sl_nnls",2,2,0.350185900707152,0.350185900707152,2,0.277582637679054
"region","level","sl_rank_disc",2,2,0.250601443464314,0.250601443464314,2,0.297362913001982
"region","level","sl_rank_nnls",2,2,0.351580156010789,0.351580156010789,2,0.274208246782196
"region","level","sl_lrn_mean",2,2,-0.598560916520301,-0.598560916520301,0,0.314439732522802
"region","level","sl_lrn_lasso",2,2,0.17214952249034,0.17214952249034,2,0.303448488812162
"region","level","sl_lrn_enet",2,2,0.224101479915433,0.224101479915433,2,0.302273926660827
"region","level","sl_lrn_ridge",2,2,0.298962965663046,0.298962965663046,2,0.285825689935602
"region","level","sl_lrn_ranger",2,2,0.413711088430415,0.413711088430415,2,0.277155230820223
"region","level","sl_lrn_xgb",2,2,0.390601078953124,0.390601078953124,2,0.27155135510199
"region","level","sl_lrn_domain_index",2,2,0.281029015090763,0.281029015090763,2,0.332437545713038
"region","level","sl_lrn_domain_pc_ridge",2,2,0.276946489757236,0.276946489757236,2,0.291218875812629
"region","level","sl_lrn_domain_pc_enet",2,2,0.29110774950791,0.29110774950791,2,0.294138614925799
"region","level","sl_lrn_domain_pc1_ols",2,2,0.357448786177736,0.357448786177736,2,0.296857134612294
"region","level","sl_lrn_hapc",2,2,0.296511627906977,0.296511627906977,2,0.296534251468223
"region","level","sl_lrn_hapc_lasso",2,2,0.19812100570827,0.19812100570827,2,0.299791389334027
"region","level","sl_lrn_spatial_gam",2,2,0.281584894656266,0.281584894656266,2,0.282967122111122
"region","level","sl_lrn_spatial_plus_domain",2,2,0.282851571043231,0.282851571043231,2,0.280862656632983
"region","level","ridge_min",2,2,0.233715462564701,0.233715462564701,2,0.290924962401309
"region","level","domain_enet",2,2,0.297095558637215,0.297095558637215,2,0.286161801458334
"region","prev","domain_index",2,2,0.240584898680063,0.240584898680063,2,17.9556237636463
"region","prev","sl_disc",2,2,0.0880262518822683,0.0880262518822683,2,15.6614872452002
"region","prev","sl_nnls",2,2,0.166473517383367,0.166473517383367,2,14.9593624653896
"region","prev","sl_rank_disc",2,2,0.1164509835452,0.1164509835452,1,17.7472913283121
"region","prev","sl_rank_nnls",2,2,0.201229275045401,0.201229275045401,2,14.9794063005603
"region","prev","sl_lrn_mean",2,2,-0.554294992731666,-0.554294992731666,0,15.3301436302891
"region","prev","sl_lrn_lasso",2,2,-0.118967659526591,-0.118967659526591,1,15.0447355495684
"region","prev","sl_lrn_enet",2,2,-0.0929892828412287,-0.0929892828412287,1,15.0392899617361
"region","prev","sl_lrn_ridge",2,2,0.126050023700968,0.126050023700968,1,14.8184148014729
"region","prev","sl_lrn_ranger",2,2,0.196554110835451,0.196554110835451,2,14.9308055785704
"region","prev","sl_lrn_xgb",2,2,0.149116714910645,0.149116714910645,1,15.1784777369659
"region","prev","sl_lrn_domain_index",2,2,0.250342742175949,0.250342742175949,2,17.8524366480272
"region","prev","sl_lrn_domain_pc_ridge",2,2,0.0886755990142713,0.0886755990142713,1,14.9663838726456
"region","prev","sl_lrn_domain_pc_enet",2,2,-0.0625623422183131,-0.0625623422183131,1,14.9210487213318
"region","prev","sl_lrn_domain_pc1_ols",2,2,0.231742464453533,0.231742464453533,2,18.3443570381537
"region","prev","sl_lrn_hapc",2,2,0.122496085682099,0.122496085682099,2,15.7364326270031
"region","prev","sl_lrn_hapc_lasso",2,2,0.105657675519028,0.105657675519028,2,15.2955344318517
"region","prev","sl_lrn_spatial_gam",2,2,0.131153163794873,0.131153163794873,2,15.7934385860278
"region","prev","sl_lrn_spatial_plus_domain",2,2,0.130287457236087,0.130287457236087,2,15.7989447806131
"region","prev","ridge_min",2,2,0.0836820683142638,0.0836820683142638,1,15.3650418026137
"region","prev","domain_enet",2,2,-0.0875436553970034,-0.0875436553970034,1,15.085755930927
