"country","outcome","target","estimand","arm","rep","n_areas","n","spearman","pearson","mae","wmae","bias","rmse_sd","topk"
"Malawi","child_iron","prev","country","domain_index",1,87,87,-0.0981376110836535,-0.230259680142888,NA,NA,NA,NA,0.272727272727273
"SierraLeone","child_iron","prev","country","domain_index",1,14,14,0.38021978021978,0.315052334598947,NA,NA,NA,NA,0.25
"Gambia","child_iron","prev","country","sl_disc",1,30,30,0.463010348843506,0.505281549371357,NA,NA,NA,NA,0.5
"Ghana","child_iron","prev","country","sl_disc",1,75,75,0.410442662164095,0.420696975205725,NA,NA,NA,NA,0.526315789473684
"Malawi","child_iron","prev","country","sl_disc",1,87,87,-0.0981376110836535,-0.230259680142888,NA,NA,NA,NA,0.272727272727273
"SierraLeone","child_iron","prev","country","sl_disc",1,14,14,0.283516483516484,0.242444778332191,NA,NA,NA,NA,0.25
"Gambia","child_iron","prev","country","sl_nnls",1,30,30,0.474580045210571,0.519234654678228,NA,NA,NA,NA,0.5
"Ghana","child_iron","prev","country","sl_nnls",1,75,75,0.415339932596567,0.425315264169514,NA,NA,NA,NA,0.526315789473684
"Malawi","child_iron","prev","country","sl_nnls",1,87,87,-0.108006095766973,-0.232512669103386,NA,NA,NA,NA,0.227272727272727
"SierraLeone","child_iron","prev","country","sl_nnls",1,14,14,0.38021978021978,0.314710288374983,NA,NA,NA,NA,0.25
"Gambia","child_iron","prev","country","sl_rank_disc",1,30,30,0.463010348843506,0.505281549371357,NA,NA,NA,NA,0.5
"Ghana","child_iron","prev","country","sl_rank_disc",1,75,75,0.463227527437711,0.511925323809152,NA,NA,NA,NA,0.578947368421053
"Malawi","child_iron","prev","country","sl_rank_disc",1,87,87,-0.0981376110836535,-0.230259680142888,NA,NA,NA,NA,0.272727272727273
"SierraLeone","child_iron","prev","country","sl_rank_disc",1,14,14,0.38021978021978,0.315052334598947,NA,NA,NA,NA,0.25
"Gambia","child_iron","prev","country","sl_rank_nnls",1,30,30,0.477472469302337,0.495652478060934,NA,NA,NA,NA,0.5
"Ghana","child_iron","prev","country","sl_rank_nnls",1,75,75,0.530618537470568,0.568545969087259,NA,NA,NA,NA,0.578947368421053
"Malawi","child_iron","prev","country","sl_rank_nnls",1,87,87,-0.113852397691194,-0.231669508384485,NA,NA,NA,NA,0.227272727272727
"SierraLeone","child_iron","prev","country","sl_rank_nnls",1,14,14,0.156043956043956,0.165143866916579,NA,NA,NA,NA,0.25
"Gambia","child_iron","prev","country","sl_lrn_mean",1,30,30,NA,NA,NA,NA,NA,NA,0.25
"Ghana","child_iron","prev","country","sl_lrn_mean",1,75,75,NA,NA,NA,NA,NA,NA,0.105263157894737
"Malawi","child_iron","prev","country","sl_lrn_mean",1,87,87,NA,NA,NA,NA,NA,NA,0.227272727272727
"SierraLeone","child_iron","prev","country","sl_lrn_mean",1,14,14,NA,NA,NA,NA,NA,NA,0.25
"Gambia","child_iron","prev","country","sl_lrn_lasso",1,30,30,0.242073647064745,0.246038351156778,NA,NA,NA,NA,0.5
"Ghana","child_iron","prev","country","sl_lrn_lasso",1,75,75,0.48848487844367,0.5323645324642,NA,NA,NA,NA,0.631578947368421
"Malawi","child_iron","prev","country","sl_lrn_lasso",1,87,87,0.12839062743723,0.0891353115847442,NA,NA,NA,NA,0.227272727272727
"SierraLeone","child_iron","prev","country","sl_lrn_lasso",1,14,14,-0.0637362637362637,-0.138493431147604,NA,NA,NA,NA,0.25
"Gambia","child_iron","prev","country","sl_lrn_enet",1,30,30,0.273890312074174,0.329785224823205,NA,NA,NA,NA,0.5
"Ghana","child_iron","prev","country","sl_lrn_enet",1,75,75,0.465212135572154,0.517090773632758,NA,NA,NA,NA,0.578947368421053
"Malawi","child_iron","prev","country","sl_lrn_enet",1,87,87,0.149295033069547,0.103820146322984,NA,NA,NA,NA,0.272727272727273
"SierraLeone","child_iron","prev","country","sl_lrn_enet",1,14,14,-0.186813186813187,-0.134460767892889,NA,NA,NA,NA,0
"Gambia","child_iron","prev","country","sl_lrn_ridge",1,30,30,0.583379689893163,0.591922918564803,NA,NA,NA,NA,0.5
"Ghana","child_iron","prev","country","sl_lrn_ridge",1,75,75,0.539642079491917,0.59209622070449,NA,NA,NA,NA,0.578947368421053
"Malawi","child_iron","prev","country","sl_lrn_ridge",1,87,87,-0.0938144486623104,-0.17434179822978,NA,NA,NA,NA,0.181818181818182
"SierraLeone","child_iron","prev","country","sl_lrn_ridge",1,14,14,0.283516483516484,0.242444778332191,NA,NA,NA,NA,0.25
"Gambia","child_iron","prev","country","sl_lrn_ranger",1,30,30,0.584047172375878,0.563919405325922,NA,NA,NA,NA,0.5
"Ghana","child_iron","prev","country","sl_lrn_ranger",1,75,75,0.620311402942264,0.614001212010164,NA,NA,NA,NA,0.631578947368421
"Malawi","child_iron","prev","country","sl_lrn_ranger",1,87,87,-0.0276901289265773,-0.0962947524401018,NA,NA,NA,NA,0.272727272727273
"SierraLeone","child_iron","prev","country","sl_lrn_ranger",1,14,14,0.314285714285714,0.19603784513384,NA,NA,NA,NA,0.25
"Gambia","child_iron","prev","country","sl_lrn_xgb",1,30,30,0.382912450917671,0.370470838125311,NA,NA,NA,NA,0.375
"Ghana","child_iron","prev","country","sl_lrn_xgb",1,75,75,0.463227527437711,0.511925323809152,NA,NA,NA,NA,0.578947368421053
"Malawi","child_iron","prev","country","sl_lrn_xgb",1,87,87,-0.0568030708019511,-0.103672569085956,NA,NA,NA,NA,0.181818181818182
"SierraLeone","child_iron","prev","country","sl_lrn_xgb",1,14,14,0.0373626373626374,0.0421698762594055,NA,NA,NA,NA,0.25
"Gambia","child_iron","prev","country","sl_lrn_domain_index",1,30,30,0.607409059270913,0.60612732861025,NA,NA,NA,NA,0.5
"Ghana","child_iron","prev","country","sl_lrn_domain_index",1,75,75,0.58767245189669,0.632530417600859,NA,NA,NA,NA,0.578947368421053
"Malawi","child_iron","prev","country","sl_lrn_domain_index",1,87,87,-0.0981376110836535,-0.230259680142888,NA,NA,NA,NA,0.272727272727273
