Admin2,n_sl,sl_prev,obs_prev_sl,n_svy,svy_prev,svy_prev_se,svy_prev_low,svy_prev_upp,svy_cv,svy_ci_width,boot_mean,ci_lo,ci_hi,ci_width,abs_error,bias
Fulladu West,113,0.39756394991555405,0.42150469892318265,111,0.42150469892318265,0.07195495364553824,0.27795849405376233,0.565050903792603,0.1707097307084866,0.2870924097388407,NA,NA,NA,NA,0.023940749007628603,-0.023940749007628603
Jokadu,14,0.26636423911122237,0.2857142857142857,14,0.2857142857142857,4.8572257327350586e-17,0.2857142857142856,0.2857142857142858,1.7000290064572707e-16,2.220446049250313e-16,NA,NA,NA,NA,0.01935004660306333,-0.01935004660306333
Central Baddibu,14,0.33853468064268216,0.35714285714285715,14,0.3571428571428571,2.08166817117217e-17,0.35714285714285704,0.35714285714285715,5.828670879282077e-17,1.1102230246251565e-16,NA,NA,NA,NA,0.018608176500174933,-0.018608176500174933
Kiang Central,24,0.21069124240260056,0.22727272727272727,22,0.2272727272727273,1.040834085586085e-17,0.22727272727272727,0.22727272727272732,4.5796699765787736e-17,5.551115123125783e-17,NA,NA,NA,NA,0.016581484870126728,-0.016581484870126728
Kiang East,22,0.30211327524219367,0.3181818181818182,22,0.3181818181818182,3.4694469519536154e-17,0.3181818181818181,0.31818181818181823,1.0903976134711363e-16,1.1102230246251565e-16,NA,NA,NA,NA,0.01606854293962451,-0.01606854293962451
Niamina East,28,0.3056835251317719,0.32142857142857145,28,0.3214285714285714,1.387778780781446e-17,0.3214285714285714,0.3214285714285714,4.317533984653388e-17,0,NA,NA,NA,NA,0.015745046296799514,-0.015745046296799514
Foni Bintang Karanai,17,0.1320375622954198,0.11764705882352941,17,0.11764705882352941,5.204170427930425e-18,0.1176470588235294,0.11764705882352942,4.423544863740861e-17,2.7755575615628914e-17,NA,NA,NA,NA,0.014390503471890387,0.014390503471890387
Niamina Dankunku,34,0.4293552684132749,0.4411764705882353,34,0.4411764705882353,3.469446951953615e-18,0.4411764705882353,0.4411764705882353,7.864079757761527e-18,0,NA,NA,NA,NA,0.011821202174960355,-0.011821202174960355
Nianija,22,0.237827670144653,0.24845975818321214,22,0.24845975818321217,0.04393943568516902,0.1608029824206849,0.3361165339457395,0.1768472931249029,0.1753135515250546,NA,NA,NA,NA,0.010632088038559168,-0.010632088038559168
Kanifing,72,0.11850073185642776,0.11101192376883728,69,0.11101192376883727,0.05960112409565905,-0.007889065481035268,0.2299129130187098,0.5368893905466215,0.23780197849974508,NA,NA,NA,NA,0.00748880808759049,0.00748880808759049
Jarra East,52,0.24514294350806676,0.25147060621248607,52,0.2514706062124861,0.026552978001279707,0.19849886449138981,0.30444234793358244,0.10559078216419111,0.10594348344219262,NA,NA,NA,NA,0.006327662704419368,-0.006327662704419368
Upper Baddibu,34,0.13814347467248628,0.1328735081556242,29,0.1328735081556242,0.0383758413274407,0.05631579944856352,0.2094312168626849,0.2888148424778107,0.15311541741412138,NA,NA,NA,NA,0.005269966516862068,0.005269966516862068
Niani,45,0.35621630319943903,0.36004172702074716,45,0.36004172702074716,0.030885514950125877,0.2984268105777675,0.42165664346372683,0.08578315409631984,0.12322983288595935,NA,NA,NA,NA,0.003825423821308127,-0.003825423821308127
Upper Saloum,10,0.30189744309589367,0.3,10,0.3,1.387778780781446e-17,0.3,0.3,4.625929269271487e-17,0,NA,NA,NA,NA,0.0018974430958936805,0.0018974430958936805
Kombo Saint Mary,56,0.16651209046047508,0.16838345025204252,56,0.16838345025204252,0.054562001051314556,0.059535236415646245,0.2772316640884388,0.32403422646135444,0.21769642767279257,NA,NA,NA,NA,0.0018713597915674396,-0.0018713597915674396
