"country","outcome","target","arm","n_units","spearman","topk","capture_top20","lift","thin"
"SierraLeone","child_iron","prev","domain_index",4,0.6,1,0.370797356950313,1.85398678475157,TRUE
"Gambia","child_iron","prev","domain_enet",6,0.771428571428571,0.5,0.135816568986678,0.679082844933388,TRUE
"Ghana","child_iron","prev","domain_enet",16,0.232352941176471,0.25,0.278487761409227,1.39243880704613,FALSE
"Malawi","child_iron","prev","domain_enet",27,0.0665445665445665,0.285714285714286,0.250788956683527,1.25394478341763,FALSE
"SierraLeone","child_iron","prev","domain_enet",4,0.2,0.5,0.202307171001064,1.01153585500532,TRUE
"Gambia","women_iron","prev","null_train_mean",6,NA,0.5,0.133550501204984,0.667752506024919,TRUE
"Ghana","women_iron","prev","null_train_mean",16,NA,0,0.233997560085643,1.16998780042821,FALSE
"Malawi","women_iron","prev","null_train_mean",27,NA,0.142857142857143,0.21268112599719,1.06340562998595,FALSE
"SierraLeone","women_iron","prev","null_train_mean",4,NA,0.5,0.263727934246629,1.31863967123314,TRUE
"Gambia","women_iron","prev","domain_index",6,0.771428571428571,0.5,0.152297350480216,0.761486752401078,TRUE
"Ghana","women_iron","prev","domain_index",16,0.407652796160893,0.75,0.277754276338647,1.38877138169324,FALSE
"Malawi","women_iron","prev","domain_index",27,-0.0299145299145299,0.142857142857143,0.0984092755584244,0.492046377792122,FALSE
"SierraLeone","women_iron","prev","domain_index",4,0.2,0.5,0.329738752215206,1.64869376107603,TRUE
"Gambia","women_iron","prev","domain_enet",6,0.942857142857143,0.5,0.152297350480216,0.761486752401078,TRUE
"Ghana","women_iron","prev","domain_enet",16,0.197203879731262,0.25,0.307148434706535,1.53574217353268,FALSE
"Malawi","women_iron","prev","domain_enet",27,-0.32051282051282,0.142857142857143,0.191865043776487,0.959325218882433,FALSE
"SierraLeone","women_iron","prev","domain_enet",4,0.4,0.5,0.20481095041055,1.02405475205275,TRUE
"Ghana","women_folate","prev","null_train_mean",16,NA,0.5,0.286608810666097,1.43304405333048,FALSE
"Malawi","women_folate","prev","null_train_mean",27,NA,0.142857142857143,0.182837972557152,0.914189862785762,FALSE
"SierraLeone","women_folate","prev","null_train_mean",4,NA,0.5,0.231367234513646,1.15683617256823,TRUE
"Ghana","women_folate","prev","domain_index",16,0.394117647058824,0.5,0.0829237299224317,0.414618649612159,FALSE
"Malawi","women_folate","prev","domain_index",27,0.317654304840144,0.571428571428571,0.198566551158315,0.992832755791576,FALSE
"SierraLeone","women_folate","prev","domain_index",4,0,0.5,0.324235427418757,1.62117713709378,TRUE
"Ghana","women_folate","prev","domain_enet",16,NA,0.5,0.286608810666097,1.43304405333048,FALSE
"Malawi","women_folate","prev","domain_enet",27,0.199144814188244,0.428571428571429,0.0858695165829384,0.429347582914692,FALSE
"SierraLeone","women_folate","prev","domain_enet",4,-0.8,0,0.187303604455616,0.936518022278079,TRUE
"Ghana","women_b12","prev","null_train_mean",16,NA,0.25,0.19507349630414,0.975367481520702,FALSE
"Malawi","women_b12","prev","null_train_mean",27,NA,0.142857142857143,0.0330798496891391,0.165399248445696,FALSE
"SierraLeone","women_b12","prev","null_train_mean",4,NA,0.5,0.378110869741573,1.89055434870787,TRUE
"Ghana","women_b12","prev","domain_index",16,-0.0281489204199331,0,0.0573318545751479,0.28665927287574,FALSE
"Malawi","women_b12","prev","domain_index",27,0.115965253005833,0.428571428571429,0.428955199099618,2.14477599549809,FALSE
"SierraLeone","women_b12","prev","domain_index",4,-0.4,0.5,0.218768029662122,1.09384014831061,TRUE
"Ghana","women_b12","prev","domain_enet",16,-0.202968531448991,0,0.0176003826250943,0.0880019131254714,FALSE
"Malawi","women_b12","prev","domain_enet",27,NA,0.142857142857143,0.0330798496891391,0.165399248445696,FALSE
"SierraLeone","women_b12","prev","domain_enet",4,-0.4,0.5,0.218768029662122,1.09384014831061,TRUE
