"country","outcome","rep","fold","pick_mse","pick_rank","w_mse_index","w_rank_index","w_mse_mean","w_rank_mean"
"Ghana","child_vitA",2,4,"enet","domain_index",0.397821864722356,0.785254906846278,0.602178135277644,0.214745093153722
"Ghana","child_vitA",2,5,"mean","domain_index",0.219562222210098,0.759737872105967,0.780437777789902,0.230236557218105
"Ghana","child_vitA",3,5,"enet","domain_index",0.250039088943388,0.541665620498423,0.749960911056612,0.244541954538972
"Ghana","child_vitA",3,1,"enet","enet",0.293165757967599,0.339082751185647,0.706834242032401,0.122070812991929
"Ghana","child_vitA",3,4,"rf","rf",0.313038020769386,0.310698165265288,0.686961979230614,0.149741833612846
"Ghana","child_vitA",3,3,"rf","rf",0.277511275006842,0.289284841376711,0.549728280433369,0.116780092183168
"Ghana","child_vitA",3,2,"rf","rf",0.199250184146882,0.144418887469561,0.692716325045343,0.345727713576038
"Ghana","child_vitA",4,1,"enet","domain_index",0.314858734502027,0.8556689469618,0.685141265497973,0.0338785638068818
"Ghana","child_vitA",4,2,"enet","rf",0.233000178123379,0.335634247228531,0.648219037980994,0.107898191241611
"Ghana","child_vitA",4,4,"rf","rf",0.286041975981316,0.423773430366959,0.713958024018684,0.130333136836699
"Ghana","child_vitA",4,3,"mean","domain_index",0.232175324272097,0.509913856626678,0.767824675727903,0.0299289328334841
"Ghana","child_vitA",4,5,"rf","rf",0.232374101855724,0.468159452732586,0.294893046476081,0.110461300488629
"Ghana","child_vitA",5,2,"rf","domain_index",0.39415619021772,0.750853863577448,0.60584380978228,0.192643456440529
"Ghana","child_vitA",5,3,"mean","domain_index",0.204713904623599,0.465487207085284,0.795286095376401,0.278906331706539
"Ghana","child_vitA",5,5,"rf","domain_index",0.308569972790395,0.55378577371541,0.691430027209605,0.161545754503447
"Ghana","child_vitA",5,1,"rf","rf",0.154042946686303,0.301236829782715,0.426277140136367,0.23972477086406
"Ghana","child_vitA",5,4,"rf","domain_index",0.334932143528515,0.768057356303222,0.665067856471485,0.231942643696778
"Ghana","women_vitA",1,1,"rf","domain_index",0.14845055124425,0.495667478604419,0.662451755793346,0.189491007390881
"Ghana","women_vitA",1,3,"mean","domain_index",0.193356238588156,0.407106205092424,0.806643761411844,0.396254119658528
"Ghana","women_vitA",1,4,"enet","domain_index",0.242542226103812,0.207431662237816,0.391333629352973,0.338150648158986
"Ghana","women_vitA",1,5,"mean","mean",0,0.272004188291879,1,0.479161078959864
"Ghana","women_vitA",1,2,"mean","rf",0,0.332891424680876,1,0.37952217489902
"Ghana","women_vitA",2,2,"mean","domain_index",0.0118958434288299,0.588827076954704,0.98810415657117,0.205380130805228
"Ghana","women_vitA",2,3,"mean","domain_index",0.193966326207783,0.532134791521103,0,0
"Ghana","women_vitA",2,1,"rf","rf",0,0.0940598472200481,0,0.182976974861395
"Ghana","women_vitA",2,4,"mean","domain_index",0.180824986413909,0.34055866432052,0.819175013586091,0.329405186786894
"Ghana","women_vitA",2,5,"mean","domain_index",0.103500991811846,0.60902052837081,0.896499008188154,0.39097947162919
