"country","outcome","level","model","n_units","n_pred","cv","r_max","pearson","spearman","rmse_pp","mae_pp"
"ghana","women_folate","Admin1","null_mean",16,625,"LOO",0.913,-0.764,-0.871,25.42,18.54
"ghana","women_folate","Admin1","curated_xy",16,625,"LOO",0.913,0.127,0.074,24.88,20.09
"ghana","women_folate","Admin1","curated_ridge",16,625,"LOO",0.913,-0.506,-0.803,26.04,19.46
"ghana","women_folate","Admin1","decorr20_xy",16,625,"LOO",0.913,0.218,0.256,24.16,17.96
"ghana","women_folate","Admin1","adaptive_top10_xy",16,625,"LOO",0.913,0.275,0.3,23.87,17.24
"ghana","women_folate","Admin1","adaptive_top20_xy",16,625,"LOO",0.913,0.424,0.509,22.5,16.25
"ghana","women_folate","Admin1","adaptive_lasso_xy",16,625,"LOO",0.913,0.475,0.521,21.81,17.49
"ghana","women_folate","Admin1","adaptive_top20_ridge",16,625,"LOO",0.913,0.23,0.094,25.6,18.99
"ghana","women_folate","Admin1","LEAKY_top20_xy",16,625,"LOO",0.913,0.761,0.753,18.69,13.28
"ghana","women_b12","Admin1","null_mean",16,625,"LOO",0.809,-0.821,-0.685,11.5,7.7
"ghana","women_b12","Admin1","curated_xy",16,625,"LOO",0.809,-0.181,-0.209,12.26,7.38
"ghana","women_b12","Admin1","curated_ridge",16,625,"LOO",0.809,-0.315,-0.651,11.81,6.62
"ghana","women_b12","Admin1","decorr20_xy",16,625,"LOO",0.809,-0.277,-0.298,12.08,6.89
"ghana","women_b12","Admin1","adaptive_top10_xy",16,625,"LOO",0.809,-0.27,-0.341,13.45,8.35
"ghana","women_b12","Admin1","adaptive_top20_xy",16,625,"LOO",0.809,-0.19,-0.058,13.11,7.69
"ghana","women_b12","Admin1","adaptive_lasso_xy",16,625,"LOO",0.809,-0.164,-0.019,12.39,7.64
"ghana","women_b12","Admin1","adaptive_top20_ridge",16,625,"LOO",0.809,-0.255,-0.586,12.54,7.6
"ghana","women_b12","Admin1","LEAKY_top20_xy",16,625,"LOO",0.809,0.555,0.285,10.33,6.27
"ghana","child_vitA","Admin2","null_mean",75,625,"5-fold x10",0.03,-0.214,-0.193,11.73,9.76
"ghana","child_vitA","Admin2","curated_xy",75,625,"5-fold x10",0.03,0.286,0.189,11.97,9.95
"ghana","child_vitA","Admin2","curated_ridge",75,625,"5-fold x10",0.03,0.214,0.199,11.88,9.67
"ghana","child_vitA","Admin2","decorr20_xy",75,625,"5-fold x10",0.03,0.315,0.239,11.79,9.65
"ghana","child_vitA","Admin2","adaptive_top10_xy",75,625,"5-fold x10",0.03,0.255,0.188,12.26,9.73
"ghana","child_vitA","Admin2","adaptive_top20_xy",75,625,"5-fold x10",0.03,0.261,0.178,12.19,9.78
"ghana","child_vitA","Admin2","adaptive_lasso_xy",75,625,"5-fold x10",0.03,0.289,0.204,11.95,9.73
"ghana","child_vitA","Admin2","adaptive_top20_ridge",75,625,"5-fold x10",0.03,0.209,0.239,12.44,9.71
"ghana","child_vitA","Admin2","LEAKY_top20_xy",75,625,"5-fold x10",0.03,0.352,0.276,11.59,9.25
"ghana","women_vitA","Admin2","null_mean",75,625,"5-fold x10",0,-0.242,-0.24,4.21,2.7
"ghana","women_vitA","Admin2","curated_xy",75,625,"5-fold x10",0,-0.101,-0.104,4.28,2.3
"ghana","women_vitA","Admin2","curated_ridge",75,625,"5-fold x10",0,-0.154,-0.125,4.23,2.2
"ghana","women_vitA","Admin2","decorr20_xy",75,625,"5-fold x10",0,-0.133,-0.116,4.29,2.32
"ghana","women_vitA","Admin2","adaptive_top10_xy",75,625,"5-fold x10",0,-0.076,-0.019,4.34,2.38
"ghana","women_vitA","Admin2","adaptive_top20_xy",75,625,"5-fold x10",0,-0.079,-0.008,4.31,2.34
"ghana","women_vitA","Admin2","adaptive_lasso_xy",75,625,"5-fold x10",0,-0.068,-0.044,4.3,2.36
"ghana","women_vitA","Admin2","adaptive_top20_ridge",75,625,"5-fold x10",0,-0.024,-0.004,4.23,2.23
"ghana","women_vitA","Admin2","LEAKY_top20_xy",75,625,"5-fold x10",0,-0.011,0.138,4.27,2.3
"ghana","child_iron","Admin2","null_mean",75,625,"5-fold x10",0.672,-0.235,-0.211,19,15.52
"ghana","child_iron","Admin2","curated_xy",75,625,"5-fold x10",0.672,0.527,0.546,16.37,12.65
"ghana","child_iron","Admin2","curated_ridge",75,625,"5-fold x10",0.672,0.504,0.457,16.4,12.37
"ghana","child_iron","Admin2","decorr20_xy",75,625,"5-fold x10",0.672,0.542,0.509,16.14,12.7
"ghana","child_iron","Admin2","adaptive_top10_xy",75,625,"5-fold x10",0.672,0.577,0.546,15.93,12.41
"ghana","child_iron","Admin2","adaptive_top20_xy",75,625,"5-fold x10",0.672,0.575,0.54,15.94,12.44
"ghana","child_iron","Admin2","adaptive_lasso_xy",75,625,"5-fold x10",0.672,0.586,0.52,15.74,12.56
"ghana","child_iron","Admin2","adaptive_top20_ridge",75,625,"5-fold x10",0.672,0.6,0.536,15.2,12.2
"ghana","child_iron","Admin2","LEAKY_top20_xy",75,625,"5-fold x10",0.672,0.598,0.584,15.51,12
"ghana","women_iron","Admin2","null_mean",75,625,"5-fold x10",0,-0.198,-0.184,9.36,6.95
"ghana","women_iron","Admin2","curated_xy",75,625,"5-fold x10",0,0.277,0.351,9.45,6.37
"ghana","women_iron","Admin2","curated_ridge",75,625,"5-fold x10",0,-0.075,-0.075,9.95,7.13
"ghana","women_iron","Admin2","decorr20_xy",75,625,"5-fold x10",0,0.412,0.45,9.14,6.22
"ghana","women_iron","Admin2","adaptive_top10_xy",75,625,"5-fold x10",0,0.39,0.314,8.96,6.25
"ghana","women_iron","Admin2","adaptive_top20_xy",75,625,"5-fold x10",0,0.409,0.334,8.91,6.2
"ghana","women_iron","Admin2","adaptive_lasso_xy",75,625,"5-fold x10",0,0.393,0.329,9,6.31
"ghana","women_iron","Admin2","adaptive_top20_ridge",75,625,"5-fold x10",0,0.292,0.214,9.28,6.58
"ghana","women_iron","Admin2","LEAKY_top20_xy",75,625,"5-fold x10",0,0.569,0.47,8.22,5.75
"ghana","women_folate","Admin2","null_mean",75,625,"5-fold x10",0.627,-0.194,-0.183,29.57,25.18
"ghana","women_folate","Admin2","curated_xy",75,625,"5-fold x10",0.627,0.369,0.287,28.41,23.5
"ghana","women_folate","Admin2","curated_ridge",75,625,"5-fold x10",0.627,0.426,0.371,28.05,22.34
"ghana","women_folate","Admin2","decorr20_xy",75,625,"5-fold x10",0.627,0.35,0.264,28.52,23.48
"ghana","women_folate","Admin2","adaptive_top10_xy",75,625,"5-fold x10",0.627,0.268,0.217,30.98,25.37
"ghana","women_folate","Admin2","adaptive_top20_xy",75,625,"5-fold x10",0.627,0.268,0.201,30.67,25.32
"ghana","women_folate","Admin2","adaptive_lasso_xy",75,625,"5-fold x10",0.627,0.317,0.235,29.65,24.5
"ghana","women_folate","Admin2","adaptive_top20_ridge",75,625,"5-fold x10",0.627,0.229,0.156,31.4,25.76
"ghana","women_folate","Admin2","LEAKY_top20_xy",75,625,"5-fold x10",0.627,0.306,0.231,29.84,24.4
"ghana","women_b12","Admin2","null_mean",75,625,"5-fold x10",0.367,-0.173,-0.19,16.59,11.77
"ghana","women_b12","Admin2","curated_xy",75,625,"5-fold x10",0.367,0.385,0.177,16.55,9.91
"ghana","women_b12","Admin2","curated_ridge",75,625,"5-fold x10",0.367,-0.005,-0.059,17.85,10.2
"ghana","women_b12","Admin2","decorr20_xy",75,625,"5-fold x10",0.367,0.374,0.298,16.8,9.7
"ghana","women_b12","Admin2","adaptive_top10_xy",75,625,"5-fold x10",0.367,0.169,0.214,17.79,10.39
"ghana","women_b12","Admin2","adaptive_top20_xy",75,625,"5-fold x10",0.367,0.23,0.238,17.1,10.07
"ghana","women_b12","Admin2","adaptive_lasso_xy",75,625,"5-fold x10",0.367,0.263,0.266,16.95,9.93
"ghana","women_b12","Admin2","adaptive_top20_ridge",75,625,"5-fold x10",0.367,0.249,0.22,17.22,9.85
"ghana","women_b12","Admin2","LEAKY_top20_xy",75,625,"5-fold x10",0.367,0.259,0.308,16.82,9.69
"sierraleone","child_vitA","Admin2","null_mean",14,617,"LOO",0,-0.946,-0.947,6.1,4.96
"sierraleone","child_vitA","Admin2","curated_xy",14,617,"LOO",0,-0.153,-0.134,6.06,5.26
"sierraleone","child_vitA","Admin2","curated_ridge",14,617,"LOO",0,-0.716,-0.934,6.26,5.06
"sierraleone","child_vitA","Admin2","decorr20_xy",14,617,"LOO",0,0.139,0.051,5.64,4.81
"sierraleone","child_vitA","Admin2","adaptive_top10_xy",14,617,"LOO",0,-0.124,-0.103,6.51,5.55
"sierraleone","child_vitA","Admin2","adaptive_top20_xy",14,617,"LOO",0,-0.178,-0.134,6.63,5.55
"sierraleone","child_vitA","Admin2","adaptive_lasso_xy",14,617,"LOO",0,-0.368,-0.473,7.16,6.42
"sierraleone","child_vitA","Admin2","adaptive_top20_ridge",14,617,"LOO",0,0.04,-0.108,6.25,5.08
"sierraleone","child_vitA","Admin2","LEAKY_top20_xy",14,617,"LOO",0,0.428,0.473,5.15,4.48
"sierraleone","women_vitA","Admin2","null_mean",14,617,"LOO",0,-0.944,-0.862,1.65,1.36
"sierraleone","women_vitA","Admin2","curated_xy",14,617,"LOO",0,-0.655,-0.737,1.77,1.48
"sierraleone","women_vitA","Admin2","curated_ridge",14,617,"LOO",0,-0.858,-0.842,1.6,1.29
"sierraleone","women_vitA","Admin2","decorr20_xy",14,617,"LOO",0,-0.657,-0.7,1.72,1.42
"sierraleone","women_vitA","Admin2","adaptive_top10_xy",14,617,"LOO",0,-0.612,-0.75,2.02,1.78
"sierraleone","women_vitA","Admin2","adaptive_top20_xy",14,617,"LOO",0,-0.623,-0.755,1.95,1.7
"sierraleone","women_vitA","Admin2","adaptive_lasso_xy",14,617,"LOO",0,-0.703,-0.812,1.81,1.51
"sierraleone","women_vitA","Admin2","adaptive_top20_ridge",14,617,"LOO",0,-0.602,-0.75,1.83,1.52
"sierraleone","women_vitA","Admin2","LEAKY_top20_xy",14,617,"LOO",0,-0.193,-0.135,1.67,1.37
"sierraleone","child_iron","Admin2","null_mean",14,617,"LOO",0,-0.95,-0.987,4.98,4.06
"sierraleone","child_iron","Admin2","curated_xy",14,617,"LOO",0,-0.078,-0.033,5.17,3.94
"sierraleone","child_iron","Admin2","curated_ridge",14,617,"LOO",0,-0.455,-0.925,5.48,4.33
"sierraleone","child_iron","Admin2","decorr20_xy",14,617,"LOO",0,-0.076,-0.147,5.22,3.87
"sierraleone","child_iron","Admin2","adaptive_top10_xy",14,617,"LOO",0,-0.06,0.033,5.36,4.23
"sierraleone","child_iron","Admin2","adaptive_top20_xy",14,617,"LOO",0,-0.182,-0.108,5.67,4.58
"sierraleone","child_iron","Admin2","adaptive_lasso_xy",14,617,"LOO",0,-0.082,0.077,5.32,4.11
"sierraleone","child_iron","Admin2","adaptive_top20_ridge",14,617,"LOO",0,-0.409,-0.481,6.07,4.69
"sierraleone","child_iron","Admin2","LEAKY_top20_xy",14,617,"LOO",0,0.271,0.341,4.75,3.64
"sierraleone","women_iron","Admin2","null_mean",14,617,"LOO",0.707,-0.959,-0.938,7.11,5.44
"sierraleone","women_iron","Admin2","curated_xy",14,617,"LOO",0.707,-0.5,-0.323,7.96,5.87
"sierraleone","women_iron","Admin2","curated_ridge",14,617,"LOO",0.707,-0.87,-0.943,7.22,5.45
"sierraleone","women_iron","Admin2","decorr20_xy",14,617,"LOO",0.707,-0.611,-0.459,7.97,6.01
"sierraleone","women_iron","Admin2","adaptive_top10_xy",14,617,"LOO",0.707,-0.563,-0.415,8.41,6.42
"sierraleone","women_iron","Admin2","adaptive_top20_xy",14,617,"LOO",0.707,-0.424,-0.248,8.08,6.09
"sierraleone","women_iron","Admin2","adaptive_lasso_xy",14,617,"LOO",0.707,-0.556,-0.42,8.23,6.27
"sierraleone","women_iron","Admin2","adaptive_top20_ridge",14,617,"LOO",0.707,-0.189,-0.13,7.77,6.09
