"Admin2","country","outcome","direct_prev","direct_se","partial_pooled_prev","insample_pooled_prev","loao_used_fh","estimate_type","method","ml_prev"
"Niamina Dankunku","Gambia","women_vitA",0,0,0.0254,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0541894588321796
"Niamina East","Gambia","women_vitA",0.1304,0,0.0233,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0646754861272023
"Niani","Gambia","women_vitA",0.1014,0.0226,0.0225,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0670026928747178
"Nianija","Gambia","women_vitA",0.0477,0.0291,0.0247,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.086626545914021
"Sami","Gambia","women_vitA",0.0526,0,0.0246,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0331781699841308
"Sandu","Gambia","women_vitA",0,0,0.0079,NA,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0408130906656698
"Upper Baddibu","Gambia","women_vitA",0.0306,0.0103,0.0249,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0328834474651894
"Upper Nuimi","Gambia","women_vitA",0,0,0.0253,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0106778928472952
"Upper Saloum","Gambia","women_vitA",0.0714,0,0.0245,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0565778754725802
"Wuli","Gambia","women_vitA",0.0909,0,0.0245,NA,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 28/30 folds grand-mean fallback",0.0472738117256432
"Banjul","Gambia","child_iron",0.4736,0.0326,0.5607,0.4872,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.297913375487071
"Central Baddibu","Gambia","child_iron",0.6429,0,0.631,0.6351,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.449986273414027
"Foni Bintang Karanai","Gambia","child_iron",0.4706,0,0.5665,0.5078,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.304531450108425
"Foni Brefet","Gambia","child_iron",0.6364,0,0.5038,0.5526,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.224946713320901
"Fulladu East","Gambia","child_iron",0.6083,0.0524,0.7053,0.6364,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.445671692329895
"Fulladu West","Gambia","child_iron",0.7249,0.0203,0.7456,0.7328,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.43511647873453
"Jarra East","Gambia","child_iron",0.8033,0.0366,0.6126,0.7596,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.363948726021368
"Jarra West","Gambia","child_iron",0.3591,0.0211,0.7085,0.5191,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.323095952336013
"Jokadu","Gambia","child_iron",0.7857,0,0.6244,0.6646,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.431023328874495
"Kanifing","Gambia","child_iron",0.4736,0.0499,0.5461,0.4946,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.3201754879997
"Kantora","Gambia","child_iron",0.8667,0,0.7195,0.8058,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.495188282541088
"Kiang Central","Gambia","child_iron",0.6667,0,0.5516,0.6323,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.395451619455684
"Kiang East","Gambia","child_iron",0.7727,0,0.6525,0.6963,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.437945008218418
"Kombo Central","Gambia","child_iron",0.33,0.0838,0.6301,0.4365,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.305062926782908
"Kombo East","Gambia","child_iron",0.6,0,0.4929,0.5388,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.331151793759358
"Kombo Saint Mary","Gambia","child_iron",0.6347,0.0874,0.4736,0.577,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.424541160617783
"Kombo South","Gambia","child_iron",0.4737,0,0.4062,0.4562,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.365195300989682
"Lower Baddibu","Gambia","child_iron",0.6667,0,0.6061,0.6158,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.425079537839722
"Lower Nuimi","Gambia","child_iron",0.5747,0.0557,0.5957,0.5881,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.380508830852317
"Lower Saloum","Gambia","child_iron",0.6341,0.0146,0.7144,0.6621,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.468920701330013
"Niamina Dankunku","Gambia","child_iron",0.7647,0,0.6174,0.718,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.490511373227134
"Niamina East","Gambia","child_iron",0.7143,0,0.7515,0.7284,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.368287875307275
"Niani","Gambia","child_iron",0.6719,0.0207,0.8125,0.724,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.501597961626664
"Nianija","Gambia","child_iron",0.5904,0.0589,0.7737,0.6952,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.489199123864506
"Sami","Gambia","child_iron",0.9444,0,0.7079,0.8908,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.45715893108836
"Sandu","Gambia","child_iron",0.4375,0,0.6964,0.6379,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.469018554450212
"Upper Baddibu","Gambia","child_iron",0.7074,0.08,0.6751,0.6817,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.43926614102875
"Upper Nuimi","Gambia","child_iron",0.4444,0,0.5488,0.519,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.408786128890351
"Upper Saloum","Gambia","child_iron",0.8889,0,0.7349,0.7999,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.519639293849636
"Wuli","Gambia","child_iron",0.7778,0,0.7599,0.7651,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 3/30 folds grand-mean fallback",0.492614511727923
"Banjul","Gambia","women_iron",0.3441,0.0271,0.4723,0.3387,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.196175614231507
"Central Baddibu","Gambia","women_iron",0.4545,0,0.4513,0.4562,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.393162393162393
"Foni Bintang Karanai","Gambia","women_iron",0.35,0,0.4532,0.3474,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.17937107076249
"Foni Brefet","Gambia","women_iron",0.2941,0,0.3406,0.3471,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.179479772573625
"Fulladu East","Gambia","women_iron",0.4716,0.0737,0.6867,0.5148,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.302890715136656
"Fulladu West","Gambia","women_iron",0.4961,0.0176,0.6253,0.537,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.396721360930509
"Jarra East","Gambia","women_iron",0.6516,0.0021,0.61,0.6286,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.416743766946245
"Jarra West","Gambia","women_iron",0.4379,0.0194,0.4524,0.5441,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.38770863114005
"Jokadu","Gambia","women_iron",0.5833,0,0.4506,0.4322,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.330123309344977
"Kanifing","Gambia","women_iron",0.3008,0.0368,0.4684,0.3225,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.187571708276148
"Kantora","Gambia","women_iron",0.8235,0,0.5156,0.6611,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.420472010066387
"Kiang Central","Gambia","women_iron",0.5,0,0.5297,0.5327,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.210678210678211
"Kiang East","Gambia","women_iron",0.8095,0,0.4715,0.6413,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.329399020861809
"Kombo Central","Gambia","women_iron",0.3672,0.0292,0.3287,0.3467,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.217566767844933
"Kombo East","Gambia","women_iron",0.4286,0,0.3387,0.3708,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.276362794344668
"Kombo Saint Mary","Gambia","women_iron",0.3674,0.0747,0.3378,0.3554,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.221831953744517
"Kombo South","Gambia","women_iron",0.3448,0,0.3116,0.3255,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.213966147903404
"Lower Baddibu","Gambia","women_iron",0.3636,0,0.4532,0.3996,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.198863636363636
"Lower Nuimi","Gambia","women_iron",0.3417,0.0077,0.3816,0.3679,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.25811465359195
"Lower Saloum","Gambia","women_iron",0.5506,8e-04,0.5838,0.5775,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.391572791301167
"Niamina Dankunku","Gambia","women_iron",0.75,0,0.5592,0.6326,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.378277153558052
"Niamina East","Gambia","women_iron",0.6522,0,0.5706,0.6007,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.486720364058804
"Niani","Gambia","women_iron",0.6028,0.058,0.5928,0.5959,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.386771603484427
"Nianija","Gambia","women_iron",0.4767,0.1549,0.6535,0.547,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.418756702637588
"Sami","Gambia","women_iron",0.7368,0,0.5704,0.6335,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.378277153558052
"Sandu","Gambia","women_iron",0.6667,0,0.5431,0.6112,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.486303344119927
"Upper Baddibu","Gambia","women_iron",0.535,0.1164,0.58,0.5654,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.311160003502221
"Upper Nuimi","Gambia","women_iron",0.2941,0,0.4537,0.3636,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.241092127368899
"Upper Saloum","Gambia","women_iron",0.7143,0,0.4491,0.5898,FALSE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.436232232316778
"Wuli","Gambia","women_iron",0.7273,0,0.5968,0.6208,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample); 8/30 folds grand-mean fallback",0.511494003123752
"Ablekuma Central","Ghana","child_vitA",0,0,0.0783,3e-04,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample)",0.139379102865731
"Ablekuma North","Ghana","child_vitA",0.2,0.0288,0.0421,0.0568,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample)",0.118527892036094
"Abuakwa South","Ghana","child_vitA",0.2222,0,0.0586,0.0943,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample)",0.0998536166929016
"Adansi Asokwa","Ghana","child_vitA",0,0,0.0517,1e-04,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample)",0.0902094548556085
"Afadzato South","Ghana","child_vitA",0.1304,0,0.0553,0.0825,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample)",0.166014126607188
"Agona West","Ghana","child_vitA",0.1905,0,0.0445,0.0837,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample)",0.0953781408868297
"Akatsi South","Ghana","child_vitA",0.375,0,0.0559,0.099,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample)",0.11309265014926
"Akwapem North","Ghana","child_vitA",0.1739,0.0761,0.0763,0.1073,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample)",0.14900302698568
"Asante-Akim South","Ghana","child_vitA",0,0,0.0584,1e-04,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample)",0.106358853467398
"Ashaiman","Ghana","child_vitA",0,0,0.0664,4e-04,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample)",0.114412975144609
"Asikuma-Odoben-Brakwa","Ghana","child_vitA",0.1053,0,0.0762,0.0868,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample)",0.125502131139771
"Asokore-Mampong","Ghana","child_vitA",0.1667,0,0.0068,0.0502,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample)",0.0850153658414165
"Asokwa","Ghana","child_vitA",0,0,0.0266,1e-04,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample)",0.101452770913512
"Asunafo North","Ghana","child_vitA",0.1053,0,0.0168,0.0493,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample)",0.117050742916897
"Atiwa East","Ghana","child_vitA",0.1,0,0.0368,0.0509,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample)",0.121217184063507
"Atwima-Mponua","Ghana","child_vitA",0.1562,0.0112,0.0172,0.0739,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample)",0.0945844966151187
"Atwima-Nwabiagya South","Ghana","child_vitA",0,0,0.0268,1e-04,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample)",0.103694715697666
"Awutu Senya West","Ghana","child_vitA",0.0833,0,0.0855,0.0843,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample)",0.136377059657276
"Ayawaso West","Ghana","child_vitA",0,0,0.0276,5e-04,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample)",0.0990068773636841
"Bawku West","Ghana","child_vitA",0.2222,0,0.153,0.1623,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample)",0.193062338657193
"Bekwai","Ghana","child_vitA",0.25,0,0.0356,0.0572,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample)",0.100952630300728
"Binduri","Ghana","child_vitA",0.2,0.0767,0.1905,0.194,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample)",0.236709998400667
"Bole","Ghana","child_vitA",0.25,0,0.0987,0.1084,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample)",0.162619003216639
"Builsa South","Ghana","child_vitA",0.2857,0,0.1141,0.1301,TRUE,"leave-area-out FH (out-of-sample)","leave-area-out FH (out-of-sample)",0.191178440472313
