country,year,mn_group,Population,Indicator,Mean,Geomean,Median,Prevalenceofdeficiency,Prevalenceofmarginaldeficienc,Prevalenceofinsufficiency,Prevalenceofinadequacy,Prevalenceoflowvalues,Prevalenceofmarginalvalues,Prevalenceofelevated,Prevalenceofexcess,PrevalenceofseverevitaminAd,Prevalenceofmicrocyticanaemia,Prevalenceofmacrocyticanaemia,PrevalenceofmildlyelevatedHc,Prevalencep97byage,Prevalencep97byBSA,PrevalenceofMyexoedematous,Prevalenceofneurological
Ethiopia,2016,Haemoglobin,Women of reproductive age,Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,2015,Iodine,Adolescents,Iodine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,2015,Iodine,Non-pregnant women (NPW),Iodine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,2015,Iodine,School-age children,Iodine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,2015,Iron,Adolescents,Serum transferrin receptor,NA,NA,NA,NA,NA,NA,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,2015,Iron,Non-pregnant women (NPW),Serum transferrin receptor,NA,NA,3.07,NA,NA,NA,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,2015,Iron,Preschool-age children,Serum transferrin receptor,NA,NA,3.5,NA,NA,NA,29.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,2015,Iron,School-age children,Serum transferrin receptor,NA,NA,NA,NA,NA,NA,20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,2005,Iron,Women of reproductive age,Ferritin,58.3,NA,NA,NA,NA,NA,NA,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,2015,Vitamin A,Adolescents,Retinol (plasma or serum),1.4,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,2015,Vitamin A,Non-pregnant women (NPW),Retinol (plasma or serum),1.47,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,2015,Vitamin A,Preschool-age children,Retinol (plasma or serum),1.05,NA,NA,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,2015,Vitamin A,School-age children,Retinol (plasma or serum),1.04,NA,NA,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,2015,Vitamin B12,Non-pregnant women (NPW),Vitamin B12,NA,NA,NA,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,2015,Zinc,Non-pregnant women (NPW),Zinc (plasma or serum),NA,NA,NA,31.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,2015,Zinc,Preschool-age children,Zinc (plasma or serum),NA,NA,NA,37.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,2015,Zinc,School-age children,Zinc (plasma or serum),NA,NA,NA,39.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambia,2019,Haemoglobin,Adolescents,Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambia,2019,Haemoglobin,Lactating women (LW),Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambia,2019,Haemoglobin,Non-pregnant women (NPW),Haemoglobin,120.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambia,2019,Haemoglobin,"Non-pregnant, non-lactating women (NPNLW)",Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambia,2019,Haemoglobin,Pregnant women,Haemoglobin,107.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambia,2019,Haemoglobin,Preschool-age children,Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambia,2019,Haemoglobin,Women of reproductive age,Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambia,2018,Iodine,Adolescents,Iodine,NA,NA,170.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambia,2018,Iodine,Non-pregnant women (NPW),Iodine,NA,NA,156.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambia,2018,Iodine,Pregnant women,Iodine,NA,NA,96.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambia,1999,Iodine,School-age children,Iodine,NA,NA,41.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambia,1999,Iron,Lactating women (LW),Ferritin,41.1,23.8,22.7,NA,NA,NA,NA,19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambia,2018,Iron,Non-pregnant women (NPW),Ferritin,NA,NA,NA,NA,NA,NA,NA,36.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambia,1999,Iron,Pregnant women,Ferritin,46,23.1,20.8,NA,NA,NA,NA,26.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambia,2018,Iron,Preschool-age children,Ferritin,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambia,1999,Vitamin A,Lactating women (LW),Retinol (plasma or serum),0.99,NA,0.95,15.6,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA
Gambia,1999,Vitamin A,Pregnant women,Retinol (plasma or serum),0.85,NA,0.83,34,NA,NA,NA,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA
Gambia,1999,Vitamin A,Preschool-age children,Retinol (plasma or serum),0.67,NA,0.61,47.3,NA,NA,NA,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA
Ghana,2017,Folate,Adolescents,Folate (plasma or serum),NA,NA,NA,57.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,2017,Folate,Non-pregnant women (NPW),Folate (plasma or serum),NA,NA,NA,53.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,2022,Haemoglobin,Adolescents,Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,2014,Haemoglobin,Lactating women (LW),Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,2022,Haemoglobin,Non-pregnant women (NPW),Haemoglobin,121.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,2014,Haemoglobin,"Non-pregnant, non-lactating women (NPNLW)",Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,2022,Haemoglobin,Pregnant women,Haemoglobin,109.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,2022,Haemoglobin,Preschool-age children,Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,2022,Haemoglobin,Women of reproductive age,Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,2015,Iodine,Pregnant women,Iodine,NA,NA,183.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,2010,Iodine,School-age children,Iodine,192.3,NA,129.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,2015,Iodine,Women of reproductive age,Iodine,NA,NA,201.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,2017,Iron,Adolescents,Ferritin,NA,NA,NA,NA,NA,NA,NA,20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,2017,Iron,Non-pregnant women (NPW),Ferritin,NA,NA,NA,NA,NA,NA,NA,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,2017,Iron,Preschool-age children,Ferritin,NA,NA,NA,NA,NA,NA,NA,29.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,2017,Vitamin B12,Adolescents,Vitamin B12,NA,NA,NA,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,2017,Vitamin B12,Non-pregnant women (NPW),Vitamin B12,NA,NA,NA,6.9,NA,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,2011,Folate,Non-pregnant women (NPW),Folate (plasma or serum),NA,NA,NA,31.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,2011,Folate,Pregnant women,Folate (plasma or serum),NA,NA,NA,32.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,2015,Haemoglobin,Adolescents,Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,2015,Haemoglobin,Children (all),Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,2011,Haemoglobin,Men,Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,2011,Haemoglobin,Non-pregnant women (NPW),Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,2011,Haemoglobin,Pregnant women,Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,2015,Haemoglobin,Preschool-age children,Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,2015,Haemoglobin,School-age children,Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,1999,Haemoglobin,Women of reproductive age,Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,1999,Haemoglobin,Young infants (0-5 months),Haemoglobin,96.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,2011,Iodine,Adolescents,Iodine,NA,NA,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,2011,Iodine,Non-pregnant women (NPW),Iodine,NA,NA,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,2011,Iodine,School-age children,Iodine,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,2011,Iron,Men,Ferritin,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,2011,Iron,Non-pregnant women (NPW),Ferritin,NA,NA,NA,NA,NA,NA,NA,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,2011,Iron,Pregnant women,Ferritin,NA,NA,NA,NA,NA,NA,NA,31.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,2011,Iron,Preschool-age children,Ferritin,NA,NA,NA,NA,NA,NA,NA,26.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,2011,Iron,School-age children,Ferritin,NA,NA,NA,NA,NA,NA,NA,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,1999,Iron,Women of reproductive age,Ferritin,NA,23.55,NA,NA,NA,NA,NA,28.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,1999,Vitamin A,Men,Retinol (plasma or serum),NA,0.75,NA,42.4,NA,NA,NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA,NA,NA,NA
Kenya,1999,Vitamin A,Non-pregnant women (NPW),Retinol (plasma or serum),NA,NA,NA,47.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,1999,Vitamin A,Pregnant women,Retinol (plasma or serum),NA,NA,NA,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,1999,Vitamin A,Preschool-age children,Retinol (plasma or serum),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.3,NA,NA,NA,NA,NA,NA,NA
Kenya,1999,Vitamin A,Women of reproductive age,Retinol (plasma or serum),NA,0.66,NA,50.7,NA,NA,NA,NA,NA,NA,NA,10.3,NA,NA,NA,NA,NA,NA,NA
Kenya,2011,Vitamin B12,Non-pregnant women (NPW),Vitamin B12,NA,NA,NA,47.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,2011,Vitamin B12,Pregnant women,Vitamin B12,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,2011,Zinc,Men,Zinc (plasma or serum),NA,NA,9.35,74.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,2011,Zinc,Non-pregnant women (NPW),Zinc (plasma or serum),NA,NA,8.26,82.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,2011,Zinc,Pregnant women,Zinc (plasma or serum),NA,NA,7.73,60.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,2011,Zinc,Preschool-age children,Zinc (plasma or serum),NA,NA,7.34,85.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,2011,Zinc,School-age children,Zinc (plasma or serum),NA,NA,8.11,79.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,1999,Zinc,Women of reproductive age,Zinc (plasma or serum),NA,9.73,10.41,52.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,2015,Folate,Adolescents,Folate (red blood cell),NA,NA,NA,NA,NA,75.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,2015,Folate,Non-pregnant women (NPW),Folate (red blood cell),NA,NA,NA,NA,NA,81.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,2015,Haemoglobin,Adolescents,Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,2015,Haemoglobin,Lactating women (LW),Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,2015,Haemoglobin,Men,Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,2015,Haemoglobin,Non-pregnant women (NPW),Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,2015,Haemoglobin,"Non-pregnant, non-lactating women (NPNLW)",Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,2015,Haemoglobin,Pregnant women,Haemoglobin,111.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,2017,Haemoglobin,Preschool-age children,Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,2015,Haemoglobin,School-age children,Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,2015,Haemoglobin,Women of reproductive age,Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,2015,Iodine,Adolescents,Iodine,NA,NA,267.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,2015,Iodine,Non-pregnant women (NPW),Iodine,NA,NA,271.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,2009,Iodine,Pregnant women,Iodine,NA,NA,137.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,2015,Iodine,School-age children,Iodine,NA,NA,269.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,2015,Iron,Adolescents,Ferritin,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,2015,Iron,Men,Serum transferrin receptor,NA,NA,NA,NA,NA,NA,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,2015,Iron,Non-pregnant women (NPW),Serum transferrin receptor,NA,NA,NA,NA,NA,NA,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,2015,Iron,Preschool-age children,Serum transferrin receptor,NA,NA,NA,NA,NA,NA,55.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,2015,Iron,School-age children,Serum transferrin receptor,NA,NA,NA,NA,NA,NA,30.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,2001,Vitamin A,Men,Retinol (plasma or serum),0.82,NA,NA,36.9,81.2,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA
Malawi,2001,Vitamin A,Preschool-age children,Retinol (plasma or serum),0.67,NA,NA,59.7,94.6,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,NA
Malawi,2001,Vitamin A,School-age children,Retinol (plasma or serum),0.84,NA,NA,38.3,72.1,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
Malawi,2001,Vitamin A,Women of reproductive age,Retinol (plasma or serum),0.69,NA,NA,55.7,91.4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Malawi,2015,Vitamin B12,Adolescents,Vitamin B12,NA,NA,NA,11,NA,39.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,2015,Vitamin B12,Non-pregnant women (NPW),Vitamin B12,NA,NA,NA,12.9,NA,40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,2015,Zinc,Adolescents,Zinc (plasma or serum),NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,2015,Zinc,Men,Zinc (plasma or serum),NA,NA,NA,64.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,2015,Zinc,Non-pregnant women (NPW),Zinc (plasma or serum),NA,NA,NA,61.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,2015,Zinc,Preschool-age children,Zinc (plasma or serum),NA,NA,NA,56.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,2015,Zinc,School-age children,Zinc (plasma or serum),NA,NA,NA,56.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sierra Leone,2013,Folate,Non-pregnant women (NPW),Folate (plasma or serum),NA,NA,NA,84.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sierra Leone,2019,Haemoglobin,Adolescents,Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sierra Leone,2019,Haemoglobin,Lactating women (LW),Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sierra Leone,2013,Haemoglobin,Men,Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sierra Leone,2019,Haemoglobin,Non-pregnant women (NPW),Haemoglobin,119.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sierra Leone,2019,Haemoglobin,"Non-pregnant, non-lactating women (NPNLW)",Haemoglobin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sierra Leone,2019,Haemoglobin,Pregnant women,Haemoglobin,106.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
