country,outcome,estimator,rho,sd_logit,replicates,r_truth,r_truth_lo,r_truth_hi,mae_truth,bias_truth,r_obs,mae_obs,median_lambda,icc
Ghana,child_iron,direct,0,0.8,100,0.7577,0.7028,0.8163,9.46,-0.194,1,0,NA,0
Ghana,child_iron,flat_region,0,0.8,100,-0.036,-0.2212,0.1337,13.655,-0.098,-0.0406,17.138,NA,0
Ghana,child_iron,eb_blend,0,0.8,100,0.6995,0.6248,0.7874,8.148,-1.629,0.8653,7.429,NA,0
Ghana,child_iron,eb_blend_totvar,0,0.8,100,0.6151,0.4971,0.7406,8.829,-1.623,0.7507,9.398,NA,0
Ghana,child_iron,ridge,0,0.8,100,-0.0447,-0.1713,0.0844,13.156,-6.883,-0.0551,16.446,NA,0
Ghana,child_iron,region_tilt,0,0.8,100,-0.0325,-0.2155,0.1392,14.147,2.585,-0.0385,17.647,NA,0
Ghana,child_iron,eb_covariate,0,0.8,100,0.7072,0.6097,0.7888,8.743,-5.179,0.8735,8.844,NA,0
Ghana,child_iron,eb_stack,0,0.8,100,0.7115,0.6238,0.792,7.94,-1.691,0.88,8.341,NA,0
Ghana,child_iron,direct,0.2,0.8,100,0.7619,0.6873,0.8179,9.342,-0.109,1,0,NA,0
Ghana,child_iron,flat_region,0.2,0.8,100,0.1979,0.0183,0.3415,12.403,-0.289,0.1255,16.081,NA,0
Ghana,child_iron,eb_blend,0.2,0.8,100,0.7085,0.6229,0.7892,8.062,-1.576,0.8201,8.019,NA,0
Ghana,child_iron,eb_blend_totvar,0.2,0.8,100,0.666,0.5571,0.7757,8.452,-1.571,0.7519,9.084,NA,0
Ghana,child_iron,ridge,0.2,0.8,100,0.307,0.1435,0.4796,11.699,-6.341,0.1951,15.255,NA,0
Ghana,child_iron,region_tilt,0.2,0.8,100,0.2104,0.0406,0.3665,12.729,2.281,0.1348,16.463,NA,0
Ghana,child_iron,eb_covariate,0.2,0.8,100,0.7263,0.6286,0.8123,8.587,-5.173,0.8016,9.553,NA,0
Ghana,child_iron,eb_stack,0.2,0.8,100,0.72,0.6188,0.796,7.847,-1.508,0.821,8.902,NA,0
Ghana,child_iron,direct,0.35,0.8,100,0.7486,0.6978,0.8106,9.557,-0.118,1,0,NA,0
Ghana,child_iron,flat_region,0.35,0.8,100,0.3448,0.1872,0.4864,11.592,-0.201,0.2478,15.334,NA,0
Ghana,child_iron,eb_blend,0.35,0.8,100,0.7223,0.6239,0.8096,8.006,-1.376,0.8022,8.273,NA,0
Ghana,child_iron,eb_blend_totvar,0.35,0.8,100,0.7133,0.6088,0.811,8.089,-1.383,0.7854,8.489,NA,0
Ghana,child_iron,ridge,0.35,0.8,100,0.4518,0.3143,0.5674,11.033,-6.126,0.3199,14.745,NA,0
Ghana,child_iron,region_tilt,0.35,0.8,100,0.3498,0.1989,0.4903,11.884,2.238,0.2494,15.675,NA,0
Ghana,child_iron,eb_covariate,0.35,0.8,100,0.7325,0.6158,0.8176,8.495,-5.104,0.7706,9.804,NA,0
Ghana,child_iron,eb_stack,0.35,0.8,100,0.7294,0.6307,0.8183,7.729,-1.14,0.788,9.232,NA,0
Ghana,child_iron,direct,0.6,0.8,100,0.7642,0.7068,0.8284,9.454,0.004,1,0,NA,0
Ghana,child_iron,flat_region,0.6,0.8,100,0.5568,0.4185,0.6707,9.988,-0.148,0.3967,14.305,NA,0
Ghana,child_iron,eb_blend,0.6,0.8,100,0.7612,0.6654,0.8411,7.608,-1.041,0.7569,9.007,NA,0
Ghana,child_iron,eb_blend_totvar,0.6,0.8,100,0.7878,0.7182,0.8517,7.27,-1.157,0.8092,7.959,NA,0
Ghana,child_iron,ridge,0.6,0.8,100,0.6989,0.6215,0.7828,9.058,-4.987,0.5064,13.278,NA,0
Ghana,child_iron,region_tilt,0.6,0.8,100,0.5648,0.4353,0.6752,10.283,2.312,0.4035,14.576,NA,0
Ghana,child_iron,eb_covariate,0.6,0.8,100,0.792,0.7041,0.857,7.807,-4.558,0.6948,10.669,NA,0
Ghana,child_iron,eb_stack,0.6,0.8,100,0.7791,0.6874,0.8544,7.124,-0.565,0.7099,10.166,NA,0
Ghana,child_iron,direct,0.8,0.8,100,0.7632,0.6916,0.8175,9.49,-0.002,1,0,NA,0
Ghana,child_iron,flat_region,0.8,0.8,100,0.7009,0.6361,0.7699,8.464,-0.215,0.5225,13.057,NA,0
Ghana,child_iron,eb_blend,0.8,0.8,100,0.7916,0.7234,0.8571,7.251,-0.758,0.7237,9.65,NA,0
Ghana,child_iron,eb_blend_totvar,0.8,0.8,100,0.8391,0.7863,0.8804,6.643,-1.013,0.8443,7.235,NA,0
Ghana,child_iron,ridge,0.8,0.8,100,0.8209,0.7638,0.8778,7.703,-4.349,0.6086,12.249,NA,0
Ghana,child_iron,region_tilt,0.8,0.8,100,0.7116,0.6422,0.7746,8.706,2.237,0.5306,13.27,NA,0
Ghana,child_iron,eb_covariate,0.8,0.8,100,0.8498,0.7928,0.8957,7.185,-4.174,0.6844,11.043,NA,0
Ghana,child_iron,eb_stack,0.8,0.8,100,0.8311,0.7851,0.8781,6.42,-0.07,0.6827,10.717,NA,0
Ghana,child_iron,direct,0.9,0.8,100,0.7628,0.717,0.8164,9.474,0.225,1,0,NA,0
Ghana,child_iron,flat_region,0.9,0.8,100,0.7623,0.712,0.8133,7.682,0.007,0.5718,12.534,NA,0
Ghana,child_iron,eb_blend,0.9,0.8,100,0.8114,0.7569,0.8681,6.909,-0.432,0.6964,10.133,NA,0
Ghana,child_iron,eb_blend_totvar,0.9,0.8,100,0.8596,0.8181,0.8996,6.263,-0.759,0.8463,7.116,NA,0
Ghana,child_iron,ridge,0.9,0.8,100,0.8884,0.8507,0.921,6.469,-3.737,0.6659,11.305,NA,0
Ghana,child_iron,region_tilt,0.9,0.8,100,0.7766,0.7235,0.8226,7.857,2.384,0.5827,12.713,NA,0
Ghana,child_iron,eb_covariate,0.9,0.8,100,0.8963,0.8608,0.9265,6.288,-3.664,0.694,10.833,NA,0
Ghana,child_iron,eb_stack,0.9,0.8,100,0.873,0.8424,0.9089,5.687,0.342,0.6767,10.861,NA,0
Sierra Leone,women_iron,direct,0,0.8,100,0.8349,0.7338,0.938,4.042,0.125,1,0,NA,0.001
Sierra Leone,women_iron,flat_region,0,0.8,100,-0.2207,-0.71,0.2425,7.638,0.159,-0.2783,8.795,NA,0.001
Sierra Leone,women_iron,eb_blend,0,0.8,100,0.7977,0.6369,0.9288,3.733,-0.781,0.9314,2.21,NA,0.001
Sierra Leone,women_iron,eb_blend_totvar,0,0.8,100,0.7474,0.5373,0.9227,3.899,-0.989,0.8675,2.971,NA,0.001
Sierra Leone,women_iron,ridge,0,0.8,100,-0.0959,-0.4539,0.2969,8.717,-0.763,-0.1356,9.773,NA,0.001
Sierra Leone,women_iron,region_tilt,0,0.8,100,-0.1994,-0.6626,0.2463,8.243,2.397,-0.267,9.385,NA,0.001
Sierra Leone,women_iron,eb_covariate,0,0.8,100,0.8087,0.6559,0.9284,3.807,-1.354,0.9494,2.306,NA,0.001
Sierra Leone,women_iron,eb_stack,0,0.8,100,0.8055,0.6533,0.9155,3.682,-0.929,0.9474,2.428,NA,0.001
Sierra Leone,women_iron,direct,0.2,0.8,100,0.8533,0.7465,0.9344,3.907,0.029,1,0,NA,0.001
Sierra Leone,women_iron,flat_region,0.2,0.8,100,-0.1632,-0.6205,0.2688,6.614,0.048,-0.2284,7.728,NA,0.001
Sierra Leone,women_iron,eb_blend,0.2,0.8,100,0.8226,0.692,0.9192,3.691,-0.849,0.9227,2.277,NA,0.001
Sierra Leone,women_iron,eb_blend_totvar,0.2,0.8,100,0.808,0.6331,0.9231,3.688,-0.956,0.9021,2.498,NA,0.001
Sierra Leone,women_iron,ridge,0.2,0.8,100,0.0599,-0.4874,0.6416,8.902,-0.077,-0.0085,10.042,NA,0.001
Sierra Leone,women_iron,region_tilt,0.2,0.8,100,-0.152,-0.6105,0.2554,7.26,2.221,-0.227,8.441,NA,0.001
Sierra Leone,women_iron,eb_covariate,0.2,0.8,100,0.8417,0.7572,0.9285,3.737,-1.253,0.9529,2.087,NA,0.001
Sierra Leone,women_iron,eb_stack,0.2,0.8,100,0.8264,0.7185,0.9104,3.748,-0.27,0.9555,2.334,NA,0.001
Sierra Leone,women_iron,direct,0.35,0.8,100,0.8497,0.758,0.9386,4.004,0.092,1,0,NA,0.001
Sierra Leone,women_iron,flat_region,0.35,0.8,100,-0.2155,-0.6366,0.1954,6.257,0.284,-0.2485,7.557,NA,0.001
Sierra Leone,women_iron,eb_blend,0.35,0.8,100,0.8442,0.7351,0.9417,3.627,-0.697,0.9319,2.255,NA,0.001
Sierra Leone,women_iron,eb_blend_totvar,0.35,0.8,100,0.841,0.7081,0.9416,3.601,-0.752,0.9287,2.192,NA,0.001
Sierra Leone,women_iron,ridge,0.35,0.8,100,0.096,-0.6364,0.772,8.28,-0.904,0.0209,9.648,NA,0.001
Sierra Leone,women_iron,region_tilt,0.35,0.8,100,-0.1732,-0.5827,0.2242,6.868,2.356,-0.2233,8.209,NA,0.001
Sierra Leone,women_iron,eb_covariate,0.35,0.8,100,0.8563,0.7725,0.9527,3.662,-1.241,0.9699,2.141,NA,0.001
Sierra Leone,women_iron,eb_stack,0.35,0.8,100,0.8262,0.7257,0.9286,3.908,0.114,0.9715,2.199,NA,0.001
Sierra Leone,women_iron,direct,0.6,0.8,100,0.8868,0.8125,0.9505,3.876,0.043,1,0,NA,0.001
Sierra Leone,women_iron,flat_region,0.6,0.8,100,-0.0843,-0.4725,0.3397,4.558,0.014,-0.2067,6.165,NA,0.001
Sierra Leone,women_iron,eb_blend,0.6,0.8,100,0.9116,0.8344,0.966,3.301,-0.656,0.923,2.605,NA,0.001
Sierra Leone,women_iron,eb_blend_totvar,0.6,0.8,100,0.9198,0.8449,0.9627,3.226,-0.622,0.9616,1.521,NA,0.001
Sierra Leone,women_iron,ridge,0.6,0.8,100,0.2589,-0.6418,0.8795,7.169,-1.49,0.1768,8.673,NA,0.001
Sierra Leone,women_iron,region_tilt,0.6,0.8,100,-0.0485,-0.4607,0.368,4.98,1.804,-0.1781,6.609,NA,0.001
Sierra Leone,women_iron,eb_covariate,0.6,0.8,100,0.9074,0.8455,0.9624,3.559,-1.19,0.9769,1.977,NA,0.001
Sierra Leone,women_iron,eb_stack,0.6,0.8,100,0.8712,0.792,0.94,4.066,0.534,0.9808,2.028,NA,0.001
Sierra Leone,women_iron,direct,0.8,0.8,100,0.9186,0.8611,0.9653,3.71,-0.039,1,0,NA,0.001
Sierra Leone,women_iron,flat_region,0.8,0.8,100,-0.1257,-0.5866,0.3231,3.668,-0.215,-0.2777,5.29,NA,0.001
Sierra Leone,women_iron,eb_blend,0.8,0.8,100,0.9468,0.9096,0.9746,3.057,-0.644,0.9362,2.653,NA,0.001
Sierra Leone,women_iron,eb_blend_totvar,0.8,0.8,100,0.9483,0.9167,0.974,3.091,-0.549,0.9831,1.066,NA,0.001
Sierra Leone,women_iron,ridge,0.8,0.8,100,0.363,-0.5411,0.9273,6.35,-1.96,0.2929,7.834,NA,0.001
Sierra Leone,women_iron,region_tilt,0.8,0.8,100,-0.0546,-0.4859,0.3897,3.966,1.448,-0.216,5.634,NA,0.001
Sierra Leone,women_iron,eb_covariate,0.8,0.8,100,0.9356,0.8939,0.9692,3.401,-1.16,0.9866,1.855,NA,0.001
Sierra Leone,women_iron,eb_stack,0.8,0.8,100,0.9099,0.8521,0.9528,4.201,1.078,0.9838,2.287,NA,0.001
Sierra Leone,women_iron,direct,0.9,0.8,100,0.9242,0.8736,0.9631,3.779,0.164,1,0,NA,0.001
Sierra Leone,women_iron,flat_region,0.9,0.8,100,-0.0806,-0.4513,0.3449,3.288,-0.007,-0.2109,5.007,NA,0.001
Sierra Leone,women_iron,eb_blend,0.9,0.8,100,0.9566,0.9341,0.9785,2.965,-0.413,0.9385,2.813,NA,0.001
Sierra Leone,women_iron,eb_blend_totvar,0.9,0.8,100,0.9519,0.928,0.9733,3.168,-0.293,0.9886,0.922,NA,0.001
Sierra Leone,women_iron,ridge,0.9,0.8,100,0.4133,-0.5674,0.9634,5.928,-2.125,0.3405,7.545,NA,0.001
Sierra Leone,women_iron,region_tilt,0.9,0.8,100,0.0128,-0.4229,0.4496,3.703,1.607,-0.1567,5.338,NA,0.001
Sierra Leone,women_iron,eb_covariate,0.9,0.8,100,0.9422,0.9089,0.9713,3.458,-0.879,0.9913,1.782,NA,0.001
Sierra Leone,women_iron,eb_stack,0.9,0.8,100,0.9126,0.859,0.9575,4.452,1.486,0.9843,2.413,NA,0.001
Malawi,child_vitA,direct,0,0.8,100,0.6323,0.5205,0.7301,7.401,-0.097,1,0,NA,0
Malawi,child_vitA,flat_region,0,0.8,100,-0.0099,-0.1982,0.1848,8.119,-0.288,-0.0541,11.071,NA,0
Malawi,child_vitA,eb_blend,0,0.8,100,0.3922,0.2451,0.5431,6.733,-0.997,0.581,6.53,NA,0
Malawi,child_vitA,eb_blend_totvar,0,0.8,100,0.226,0.0675,0.4064,7.818,-0.321,0.3367,8.428,NA,0
Malawi,child_vitA,ridge,0,0.8,100,-0.0435,-0.2172,0.152,7.611,-5.898,-0.0644,10.327,NA,0
Malawi,child_vitA,region_tilt,0,0.8,100,-0.0155,-0.1917,0.1597,8.524,1.817,-0.0578,11.587,NA,0
Malawi,child_vitA,eb_covariate,0,0.8,100,0.1009,-0.1537,0.3924,7.253,-5.798,0.1334,9.589,NA,0
Malawi,child_vitA,eb_stack,0,0.8,100,0.1275,-0.122,0.4386,6.22,-0.614,0.1495,9.324,NA,0
Malawi,child_vitA,direct,0.2,0.8,100,0.6393,0.5412,0.7162,7.281,-0.15,1,0,NA,0
Malawi,child_vitA,flat_region,0.2,0.8,100,0.1222,-0.0835,0.3265,7.395,-0.103,0.0358,10.267,NA,0
Malawi,child_vitA,eb_blend,0.2,0.8,100,0.4224,0.2633,0.5822,6.777,-0.648,0.5743,6.694,NA,0
Malawi,child_vitA,eb_blend_totvar,0.2,0.8,100,0.3273,0.111,0.5264,7.434,-0.218,0.4308,7.852,NA,0
Malawi,child_vitA,ridge,0.2,0.8,100,0.2476,0.0763,0.4188,6.977,-5.91,0.1135,9.71,NA,0
Malawi,child_vitA,region_tilt,0.2,0.8,100,0.1276,-0.0873,0.3305,7.787,1.916,0.0407,10.735,NA,0
Malawi,child_vitA,eb_covariate,0.2,0.8,100,0.2938,0.0907,0.4958,6.866,-5.874,0.1849,9.447,NA,0
Malawi,child_vitA,eb_stack,0.2,0.8,100,0.2285,-0.0138,0.4684,6.071,-0.379,0.169,9.315,NA,0
Malawi,child_vitA,direct,0.35,0.8,100,0.6307,0.5329,0.7175,7.469,0.015,1,0,NA,0
Malawi,child_vitA,flat_region,0.35,0.8,100,0.2548,0.0688,0.4436,6.847,-0.006,0.1389,9.845,NA,0
Malawi,child_vitA,eb_blend,0.35,0.8,100,0.4845,0.3395,0.6197,6.732,-0.305,0.6041,6.788,NA,0
Malawi,child_vitA,eb_blend_totvar,0.35,0.8,100,0.4415,0.2617,0.6035,7.034,-0.108,0.5318,7.331,NA,0
Malawi,child_vitA,ridge,0.35,0.8,100,0.3841,0.1927,0.5537,6.724,-5.572,0.2195,9.666,NA,0
Malawi,child_vitA,region_tilt,0.35,0.8,100,0.2596,0.0875,0.4496,7.215,1.959,0.1461,10.309,NA,0
Malawi,child_vitA,eb_covariate,0.35,0.8,100,0.4315,0.258,0.6111,6.558,-5.501,0.3032,9.201,NA,0
Malawi,child_vitA,eb_stack,0.35,0.8,100,0.3677,0.1534,0.5646,5.746,-0.091,0.2731,9.152,NA,0
Malawi,child_vitA,direct,0.6,0.8,100,0.6345,0.5456,0.72,7.33,-0.127,1,0,NA,0
Malawi,child_vitA,flat_region,0.6,0.8,100,0.4469,0.2816,0.6067,6.002,0.115,0.2284,9.325,NA,0
Malawi,child_vitA,eb_blend,0.6,0.8,100,0.5583,0.445,0.6614,6.23,-0.318,0.6015,6.656,NA,0
Malawi,child_vitA,eb_blend_totvar,0.6,0.8,100,0.5309,0.4014,0.6515,6.474,-0.142,0.5459,7.125,NA,0
Malawi,child_vitA,ridge,0.6,0.8,100,0.5997,0.4336,0.7124,6.153,-5.453,0.3362,9.159,NA,0
Malawi,child_vitA,region_tilt,0.6,0.8,100,0.4453,0.2925,0.6056,6.377,2.038,0.2294,9.806,NA,0
Malawi,child_vitA,eb_covariate,0.6,0.8,100,0.616,0.4526,0.7191,6.099,-5.425,0.3669,9.006,NA,0
Malawi,child_vitA,eb_stack,0.6,0.8,100,0.5633,0.4455,0.6673,5.018,0.012,0.349,8.858,NA,0
Malawi,child_vitA,direct,0.8,0.8,100,0.6369,0.5347,0.7343,7.416,0.037,1,0,NA,0
Malawi,child_vitA,flat_region,0.8,0.8,100,0.6156,0.5099,0.7169,5.282,0.014,0.3559,8.703,NA,0
Malawi,child_vitA,eb_blend,0.8,0.8,100,0.6378,0.5431,0.7262,5.937,-0.074,0.6481,6.466,NA,0
Malawi,child_vitA,eb_blend_totvar,0.8,0.8,100,0.631,0.5305,0.732,6.003,-0.033,0.6319,6.586,NA,0
Malawi,child_vitA,ridge,0.8,0.8,100,0.7692,0.6697,0.8438,5.427,-4.884,0.4538,8.651,NA,0
Malawi,child_vitA,region_tilt,0.8,0.8,100,0.6229,0.521,0.7262,5.549,1.841,0.3593,9.143,NA,0
Malawi,child_vitA,eb_covariate,0.8,0.8,100,0.7724,0.67,0.844,5.409,-4.876,0.4618,8.598,NA,0
Malawi,child_vitA,eb_stack,0.8,0.8,100,0.7209,0.6246,0.8007,4.276,0.245,0.4329,8.693,NA,0
Malawi,child_vitA,direct,0.9,0.8,100,0.6397,0.5484,0.7304,7.272,-0.165,1,0,NA,0
Malawi,child_vitA,flat_region,0.9,0.8,100,0.677,0.5518,0.784,4.823,-0.123,0.3836,8.292,NA,0
Malawi,child_vitA,eb_blend,0.9,0.8,100,0.672,0.5532,0.7562,5.665,-0.142,0.6465,6.394,NA,0
Malawi,child_vitA,eb_blend_totvar,0.9,0.8,100,0.6715,0.5532,0.7663,5.656,-0.16,0.6457,6.338,NA,0
Malawi,child_vitA,ridge,0.9,0.8,100,0.8396,0.7459,0.8996,5.202,-4.747,0.5098,8.315,NA,0
Malawi,child_vitA,region_tilt,0.9,0.8,100,0.6787,0.5543,0.7883,5.111,1.708,0.3876,8.717,NA,0
Malawi,child_vitA,eb_covariate,0.9,0.8,100,0.8409,0.7721,0.8996,5.192,-4.743,0.5131,8.289,NA,0
Malawi,child_vitA,eb_stack,0.9,0.8,100,0.7863,0.6932,0.8561,3.833,0.158,0.4742,8.394,NA,0
