outcome,held_out,anchor,tilt,n,r,mae_pp,bias_pp,frac_flagged,frac_score_out,frac_orth_out,od_ratio,sd_ratio,n_pc,cond_number,frac_marginal_out,n_districts,n_cov,spread_assumed,anchor_true_pp,anchor_blind_pp,absolute_r,absolute_mae_pp
women_vitA,Gambia,true,0.75,30,0.3438686485979349,3.4623381161541227,-0.6619587914107128,1,0,1,1.56,0.6,10,4.4,0,30,291,0.0416,2.5,1.44,0.3402,3.41
women_vitA,Gambia,true,1,30,0.3339470944419609,3.5842171879853786,-0.33377475751882485,1,0,1,1.56,0.6,10,4.4,0,30,291,0.0416,2.5,1.44,0.3402,3.41
women_vitA,Gambia,blind,0,30,NA,3.430668951129482,-2.0513339689445393,1,0,1,1.56,0.6,10,4.4,0,30,291,0.0416,2.5,1.44,0.3402,3.41
women_vitA,Gambia,blind,0.2,30,0.34020064600356514,3.2550176618136044,-2.0513339689445393,1,0,1,1.56,0.6,10,4.4,0,30,291,0.0416,2.5,1.44,0.3402,3.41
women_vitA,Gambia,blind,0.35,30,0.3481059314147877,3.175995253058962,-1.961002197178402,1,0,1,1.56,0.6,10,4.4,0,30,291,0.0416,2.5,1.44,0.3402,3.41
women_vitA,Gambia,blind,0.5,30,0.339210736217408,3.1926196492446732,-1.7728234327005963,1,0,1,1.56,0.6,10,4.4,0,30,291,0.0416,2.5,1.44,0.3402,3.41
women_vitA,Gambia,blind,0.75,30,0.3250307625456573,3.319225799906067,-1.427949798132758,1,0,1,1.56,0.6,10,4.4,0,30,291,0.0416,2.5,1.44,0.3402,3.41
women_vitA,Gambia,blind,1,30,0.3149601563459631,3.459761664067735,-1.045069706157015,1,0,1,1.56,0.6,10,4.4,0,30,291,0.0416,2.5,1.44,0.3402,3.41
women_vitA,Ghana,true,0,75,NA,2.64443520946159,-0.10411262881642844,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.0458,1.51,1.91,0.245,2.19
women_vitA,Ghana,true,0.2,75,0.24502299839937947,2.534754283922833,-0.10411262881642848,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.0458,1.51,1.91,0.245,2.19
women_vitA,Ghana,true,0.35,75,0.24441052422001003,2.4590797085919363,-0.0975265099932578,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.0458,1.51,1.91,0.245,2.19
women_vitA,Ghana,true,0.5,75,0.23921875205938073,2.4743826995073195,0.019031620746455327,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.0458,1.51,1.91,0.245,2.19
women_vitA,Ghana,true,0.75,75,0.24206630623992081,2.618231905684982,0.39659051045188176,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.0458,1.51,1.91,0.245,2.19
women_vitA,Ghana,true,1,75,0.2402048044728427,2.8607699064930348,0.8676692005630322,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.0458,1.51,1.91,0.245,2.19
women_vitA,Ghana,blind,0,75,NA,2.9177250204296508,0.2977841520189556,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.0458,1.51,1.91,0.245,2.19
women_vitA,Ghana,blind,0.2,75,0.24502299839937947,2.8080440948908945,0.2977841520189556,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.0458,1.51,1.91,0.245,2.19
women_vitA,Ghana,blind,0.35,75,0.24502299839937952,2.7257834007368267,0.29778415201895564,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.0458,1.51,1.91,0.245,2.19
women_vitA,Ghana,blind,0.5,75,0.24315757382721284,2.6709996405469876,0.3274161310063903,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.0458,1.51,1.91,0.245,2.19
women_vitA,Ghana,blind,0.75,75,0.2398033048773797,2.7527824453351206,0.6061617825246257,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.0458,1.51,1.91,0.245,2.19
women_vitA,Ghana,blind,1,75,0.2419085315754536,2.9616094443203558,1.023946011321405,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.0458,1.51,1.91,0.245,2.19
women_vitA,Sierra Leone,true,0,14,NA,1.2643465333480162,0.1948059869154362,1,1,1,1.79,1.26,10,4.05,0,14,291,0.0458,1.49,1.89,-0.398,1.27
women_vitA,Sierra Leone,true,0.2,14,-0.39800621045586904,1.724167637250542,0.19480598691543627,1,1,1,1.79,1.26,10,4.05,0,14,291,0.0458,1.49,1.89,-0.398,1.27
women_vitA,Sierra Leone,true,0.35,14,-0.39882500321377806,2.005212133253045,0.27909531033363433,1,1,1,1.79,1.26,10,4.05,0,14,291,0.0458,1.49,1.89,-0.398,1.27
women_vitA,Sierra Leone,true,0.5,14,-0.42687137767601463,2.283811584467305,0.4470073515099525,1,1,1,1.79,1.26,10,4.05,0,14,291,0.0458,1.49,1.89,-0.398,1.27
women_vitA,Sierra Leone,true,0.75,14,-0.44966992985938004,2.753989899140732,0.7327066494534767,1,1,1,1.79,1.26,10,4.05,0,14,291,0.0458,1.49,1.89,-0.398,1.27
women_vitA,Sierra Leone,true,1,14,-0.44652412973776295,3.174407411646886,1.0681667495642746,1,1,1,1.79,1.26,10,4.05,0,14,291,0.0458,1.49,1.89,-0.398,1.27
women_vitA,Sierra Leone,blind,0,14,NA,1.433086243759497,0.5975552597328951,1,1,1,1.79,1.26,10,4.05,0,14,291,0.0458,1.49,1.89,-0.398,1.27
women_vitA,Sierra Leone,blind,0.2,14,-0.39800621045586904,1.8392388580555301,0.5975552597328951,1,1,1,1.79,1.26,10,4.05,0,14,291,0.0458,1.49,1.89,-0.398,1.27
women_vitA,Sierra Leone,blind,0.35,14,-0.39515537546577384,2.1758546931747915,0.626273244034335,1,1,1,1.79,1.26,10,4.05,0,14,291,0.0458,1.49,1.89,-0.398,1.27
women_vitA,Sierra Leone,blind,0.5,14,-0.4073125104294124,2.4276506104735405,0.7634532087236703,1,1,1,1.79,1.26,10,4.05,0,14,291,0.0458,1.49,1.89,-0.398,1.27
women_vitA,Sierra Leone,blind,0.75,14,-0.43759665207697657,2.8978289251469675,1.0491525066671945,1,1,1,1.79,1.26,10,4.05,0,14,291,0.0458,1.49,1.89,-0.398,1.27
women_vitA,Sierra Leone,blind,1,14,-0.45169963965100685,3.3680072398203946,1.3348518046107187,1,1,1,1.79,1.26,10,4.05,0,14,291,0.0458,1.49,1.89,-0.398,1.27
women_vitA,Malawi,true,0,87,NA,2.5858708072864154,-0.2870202325737716,1,0,1,3.11,0.75,10,3.85,1,87,291,0.0416,1.32,1.95,0.1768,2.31
women_vitA,Malawi,true,0.2,87,0.17672544649729932,2.5023636889038836,-0.28580026971768174,1,0,1,3.11,0.75,10,3.85,1,87,291,0.0416,1.32,1.95,0.1768,2.31
women_vitA,Malawi,true,0.35,87,0.1690858035267145,2.510567579668975,-0.2140510680236243,1,0,1,3.11,0.75,10,3.85,1,87,291,0.0416,1.32,1.95,0.1768,2.31
women_vitA,Malawi,true,0.5,87,0.15743952691416785,2.600106568097021,-0.05611440005227691,1,0,1,3.11,0.75,10,3.85,1,87,291,0.0416,1.32,1.95,0.1768,2.31
women_vitA,Malawi,true,0.75,87,0.14180987905923387,2.817112520728272,0.28435060537331763,1,0,1,3.11,0.75,10,3.85,1,87,291,0.0416,1.32,1.95,0.1768,2.31
women_vitA,Malawi,true,1,87,0.13155400541189716,3.0481100655170206,0.6388072029564101,1,0,1,3.11,0.75,10,3.85,1,87,291,0.0416,1.32,1.95,0.1768,2.31
women_vitA,Malawi,blind,0,87,NA,3.056639847289139,0.3430860209683352,1,0,1,3.11,0.75,10,3.85,1,87,291,0.0416,1.32,1.95,0.1768,2.31
women_vitA,Malawi,blind,0.2,87,0.1768119480472698,2.971912766050517,0.34308602096833485,1,0,1,3.11,0.75,10,3.85,1,87,291,0.0416,1.32,1.95,0.1768,2.31
women_vitA,Malawi,blind,0.35,87,0.17638012173825193,2.915787009636676,0.35050557548345995,1,0,1,3.11,0.75,10,3.85,1,87,291,0.0416,1.32,1.95,0.1768,2.31
women_vitA,Malawi,blind,0.5,87,0.17012038763398318,2.937650621782891,0.43591449855864134,1,0,1,3.11,0.75,10,3.85,1,87,291,0.0416,1.32,1.95,0.1768,2.31
women_vitA,Malawi,blind,0.75,87,0.15692019460290824,3.085978684855621,0.6980687818091974,1,0,1,3.11,0.75,10,3.85,1,87,291,0.0416,1.32,1.95,0.1768,2.31
women_vitA,Malawi,blind,1,87,0.14571110412990712,3.3011255444402683,1.0366746941881884,1,0,1,3.11,0.75,10,3.85,1,87,291,0.0416,1.32,1.95,0.1768,2.31
child_iron,Gambia,true,0,30,NA,12.44672458284582,-1.5632646180858716,1,0,1,1.56,0.6,10,4.4,0,30,291,0.151,62.24,19.24,0.5538,41.16
child_iron,Gambia,true,0.2,30,0.5538051255954364,11.399542523213881,-1.5632646180858727,1,0,1,1.56,0.6,10,4.4,0,30,291,0.151,62.24,19.24,0.5538,41.16
child_iron,Gambia,true,0.35,30,0.5538051255954368,10.860806600877115,-1.5632646180858734,1,0,1,1.56,0.6,10,4.4,0,30,291,0.151,62.24,19.24,0.5538,41.16
child_iron,Gambia,true,0.5,30,0.5538051255954367,10.432822980778152,-1.563264618085872,1,0,1,1.56,0.6,10,4.4,0,30,291,0.151,62.24,19.24,0.5538,41.16
child_iron,Gambia,true,0.75,30,0.5538051255954367,10.928837264792373,-1.563264618085872,1,0,1,1.56,0.6,10,4.4,0,30,291,0.151,62.24,19.24,0.5538,41.16
child_iron,Gambia,true,1,30,0.5538051255954367,12.045324611965032,-1.5632646180858734,1,0,1,1.56,0.6,10,4.4,0,30,291,0.151,62.24,19.24,0.5538,41.16
child_iron,Gambia,blind,0,30,NA,44.56236373199536,-44.56236373199536,1,0,1,1.56,0.6,10,4.4,0,30,291,0.151,62.24,19.24,0.5538,41.16
child_iron,Gambia,blind,0.2,30,0.5538051255954368,44.56236373199536,-44.56236373199536,1,0,1,1.56,0.6,10,4.4,0,30,291,0.151,62.24,19.24,0.5538,41.16
child_iron,Gambia,blind,0.35,30,0.5538051255954368,44.56236373199536,-44.56236373199536,1,0,1,1.56,0.6,10,4.4,0,30,291,0.151,62.24,19.24,0.5538,41.16
child_iron,Gambia,blind,0.5,30,0.5538051255954367,44.56236373199536,-44.56236373199536,1,0,1,1.56,0.6,10,4.4,0,30,291,0.151,62.24,19.24,0.5538,41.16
child_iron,Gambia,blind,0.75,30,0.5533527396955007,44.40465214030615,-44.40465214030615,1,0,1,1.56,0.6,10,4.4,0,30,291,0.151,62.24,19.24,0.5538,41.16
child_iron,Gambia,blind,1,30,0.5478230213707956,43.92457170310664,-43.92457170310664,1,0,1,1.56,0.6,10,4.4,0,30,291,0.151,62.24,19.24,0.5538,41.16
child_iron,Ghana,true,0,75,NA,15.234632098746559,2.5613773355694365,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.151,23.9,33.64,0.5882,12.33
child_iron,Ghana,true,0.2,75,0.588173826979595,13.710317233643668,2.5613773355694365,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.151,23.9,33.64,0.5882,12.33
child_iron,Ghana,true,0.35,75,0.588173826979595,12.864086705700286,2.561377335569437,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.151,23.9,33.64,0.5882,12.33
child_iron,Ghana,true,0.5,75,0.5881738269795949,12.260176895806667,2.5613773355694365,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.151,23.9,33.64,0.5882,12.33
child_iron,Ghana,true,0.75,75,0.5881738269795951,11.864666146261953,2.561377335569437,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.151,23.9,33.64,0.5882,12.33
child_iron,Ghana,true,1,75,0.5881738269795949,12.260750535942108,2.5613773355694374,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.151,23.9,33.64,0.5882,12.33
child_iron,Ghana,blind,0,75,NA,19.28258621971016,12.300670116400008,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.151,23.9,33.64,0.5882,12.33
child_iron,Ghana,blind,0.2,75,0.5881738269795952,18.18185407668077,12.300670116400008,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.151,23.9,33.64,0.5882,12.33
child_iron,Ghana,blind,0.35,75,0.5881738269795951,17.509840696924574,12.300670116400008,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.151,23.9,33.64,0.5882,12.33
child_iron,Ghana,blind,0.5,75,0.5881738269795949,17.01802645493509,12.300670116400008,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.151,23.9,33.64,0.5882,12.33
child_iron,Ghana,blind,0.75,75,0.5881738269795952,16.24287178743648,12.300670116400008,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.151,23.9,33.64,0.5882,12.33
child_iron,Ghana,blind,1,75,0.5881738269795949,15.801460218989039,12.300670116400008,1,0.173,1,2.03,0.76,10,4.33,0.307,75,291,0.151,23.9,33.64,0.5882,12.33
child_iron,Sierra Leone,true,0,14,NA,3.7976134640678767,-0.6908496965704435,1,1,1,1.79,1.26,10,4.05,0,14,291,0.1555,5.25,34.37,-0.4989,64.67
child_iron,Sierra Leone,true,0.2,14,-0.4806784985591611,5.6906531741992,-0.6356066747841134,1,1,1,1.79,1.26,10,4.05,0,14,291,0.1555,5.25,34.37,-0.4989,64.67
child_iron,Sierra Leone,true,0.35,14,-0.42190462953864755,6.805946407414611,-0.21214895347277624,1,1,1,1.79,1.26,10,4.05,0,14,291,0.1555,5.25,34.37,-0.4989,64.67
child_iron,Sierra Leone,true,0.5,14,-0.4228170416804661,7.8983867663664125,0.4102228774520327,1,1,1,1.79,1.26,10,4.05,0,14,291,0.1555,5.25,34.37,-0.4989,64.67
child_iron,Sierra Leone,true,0.75,14,-0.41258571776496983,9.43931896078359,1.896613593330226,1,1,1,1.79,1.26,10,4.05,0,14,291,0.1555,5.25,34.37,-0.4989,64.67
child_iron,Sierra Leone,true,1,14,-0.4045183791325598,10.975496550720761,3.387758913688426,1,1,1,1.79,1.26,10,4.05,0,14,291,0.1555,5.25,34.37,-0.4989,64.67
child_iron,Sierra Leone,blind,0,14,NA,28.43741780934559,28.43741780934559,1,1,1,1.79,1.26,10,4.05,0,14,291,0.1555,5.25,34.37,-0.4989,64.67
child_iron,Sierra Leone,blind,0.2,14,-0.4989201437038758,28.437417809345582,28.437417809345582,1,1,1,1.79,1.26,10,4.05,0,14,291,0.1555,5.25,34.37,-0.4989,64.67
child_iron,Sierra Leone,blind,0.35,14,-0.49892014370387583,28.437417809345582,28.437417809345582,1,1,1,1.79,1.26,10,4.05,0,14,291,0.1555,5.25,34.37,-0.4989,64.67
child_iron,Sierra Leone,blind,0.5,14,-0.49892014370387583,28.437417809345582,28.437417809345582,1,1,1,1.79,1.26,10,4.05,0,14,291,0.1555,5.25,34.37,-0.4989,64.67
child_iron,Sierra Leone,blind,0.75,14,-0.4989201437038757,28.867920296974365,28.437417809345582,1,1,1,1.79,1.26,10,4.05,0,14,291,0.1555,5.25,34.37,-0.4989,64.67
child_iron,Sierra Leone,blind,1,14,-0.4989201437038757,29.942796272463173,28.437417809345582,1,1,1,1.79,1.26,10,4.05,0,14,291,0.1555,5.25,34.37,-0.4989,64.67
child_iron,Malawi,true,0,87,NA,11.58083494363771,0.12528569923946944,1,0,1,3.11,0.75,10,3.85,1,87,291,0.1555,20.43,35.07,0.1566,18.3
child_iron,Malawi,true,0.2,87,0.156638304231461,11.21304527899651,0.12528569923946922,1,0,1,3.11,0.75,10,3.85,1,87,291,0.1555,20.43,35.07,0.1566,18.3
child_iron,Malawi,true,0.35,87,0.15663830423146105,11.483655295770493,0.12528569923946906,1,0,1,3.11,0.75,10,3.85,1,87,291,0.1555,20.43,35.07,0.1566,18.3
child_iron,Malawi,true,0.5,87,0.15663830423146105,11.99749516791214,0.12528569923946928,1,0,1,3.11,0.75,10,3.85,1,87,291,0.1555,20.43,35.07,0.1566,18.3
child_iron,Malawi,true,0.75,87,0.15663830423146102,13.543590516197318,0.12528569923946942,1,0,1,3.11,0.75,10,3.85,1,87,291,0.1555,20.43,35.07,0.1566,18.3
child_iron,Malawi,true,1,87,0.1555880953484744,15.6184901123444,0.1818167519668764,1,0,1,3.11,0.75,10,3.85,1,87,291,0.1555,20.43,35.07,0.1566,18.3
child_iron,Malawi,blind,0,87,NA,18.721061907816154,14.767724838461021,1,0,1,3.11,0.75,10,3.85,1,87,291,0.1555,20.43,35.07,0.1566,18.3
child_iron,Malawi,blind,0.2,87,0.156638304231461,18.68770258804848,14.767724838461021,1,0,1,3.11,0.75,10,3.85,1,87,291,0.1555,20.43,35.07,0.1566,18.3
child_iron,Malawi,blind,0.35,87,0.15663830423146097,18.830014043313103,14.767724838461021,1,0,1,3.11,0.75,10,3.85,1,87,291,0.1555,20.43,35.07,0.1566,18.3
child_iron,Malawi,blind,0.5,87,0.15663830423146102,19.12438061361369,14.767724838461021,1,0,1,3.11,0.75,10,3.85,1,87,291,0.1555,20.43,35.07,0.1566,18.3
child_iron,Malawi,blind,0.75,87,0.15663830423146102,19.81995983358829,14.767724838461021,1,0,1,3.11,0.75,10,3.85,1,87,291,0.1555,20.43,35.07,0.1566,18.3
child_iron,Malawi,blind,1,87,0.15663830423146102,20.788959397910435,14.767724838461021,1,0,1,3.11,0.75,10,3.85,1,87,291,0.1555,20.43,35.07,0.1566,18.3
women_iron,Gambia,true,0,30,NA,14.192768498440284,-6.281307224272835,1,0,1,1.56,0.6,10,4.4,0,30,291,0.1183,45.17,16.1,0.4638,35.04
women_iron,Gambia,true,0.2,30,0.463812162726624,13.255584487347136,-6.281307224272833,1,0,1,1.56,0.6,10,4.4,0,30,291,0.1183,45.17,16.1,0.4638,35.04
