"country","outcome","Admin1","Admin2","rank","variable","shap","direction"
"Gambia","child_iron","Western","Kombo Central",1,"wfp_price_beans_dry",-0.00628353598231898,"decreases risk"
"Gambia","child_iron","Western","Kombo Central",2,"dhs2019_c_min_diet_diversity_adm2.y",-0.00611576477810449,"decreases risk"
"Gambia","child_iron","Western","Kombo Central",3,"gee_temp_Jan_25km",-0.00544081644601102,"decreases risk"
"Gambia","child_iron","Western","Kombo Central",4,"wfp_price_maize_local",0.00300409921829313,"increases risk"
"Gambia","child_iron","Western","Kombo Central",5,"gee_a2_LandCoverType_2018_2018_01_01_LC_Type4",-0.00235852174897721,"decreases risk"
"Gambia","child_iron","Western","Kombo East",1,"gee_temp_Jan_25km",-0.00528349578594777,"decreases risk"
"Gambia","child_iron","Western","Kombo East",2,"dhs2019_w_iron_supplement_adm2.y",0.00406342264574143,"increases risk"
"Gambia","child_iron","Western","Kombo East",3,"dhs2019_c_min_diet_diversity_adm2.y",0.00287418201192982,"increases risk"
"Gambia","child_iron","Western","Kombo East",4,"wfp_coffee_instant",-0.00201464252044345,"decreases risk"
"Gambia","child_iron","Western","Kombo East",5,"missing_wfp_milk_powder",-0.00134924933655355,"decreases risk"
"Gambia","child_iron","Western","Kombo Saint Mary",1,"wfp_price_rice_basmati_broken",0.00754519274915921,"increases risk"
"Gambia","child_iron","Western","Kombo Saint Mary",2,"wfp_coffee_instant",0.00536107949463733,"increases risk"
"Gambia","child_iron","Western","Kombo Saint Mary",3,"wfp_price_maize_local",0.00500753651075961,"increases risk"
"Gambia","child_iron","Western","Kombo Saint Mary",4,"gee_trmm_Dec_10km",0.00390484550682628,"increases risk"
"Gambia","child_iron","Western","Kombo Saint Mary",5,"wfp_price_tomatoes",0.00359701281765757,"increases risk"
"Gambia","child_iron","Western","Kombo South",1,"gee_temp_Jan_25km",-0.00505776028185394,"decreases risk"
"Gambia","child_iron","Western","Kombo South",2,"gee_a2_LST_Night_2015_Annual_Mean_FilledProportion",0.00275187055083061,"increases risk"
"Gambia","child_iron","Western","Kombo South",3,"wfp_coffee_instant",-0.00265735282732724,"decreases risk"
"Gambia","child_iron","Western","Kombo South",4,"gee_trmm_Dec_10km",0.00220344416803477,"increases risk"
"Gambia","child_iron","Western","Kombo South",5,"gee_a2_LandCoverType_2018_2018_01_01_LC_Type4",-0.00212962386156547,"decreases risk"
"Gambia","child_iron","North Bank","Lower Baddibu",1,"wfp_price_rice_basmati_broken",0.00823334198602558,"increases risk"
