country,outcome,arm,n_admin2,pearson_r,mae_pp,bias_pp,abs_bias_pp,r_max_emp,r_share_emp
Ghana,women_vitA,"5 ADMIN-1 anchor (hard, JACKKNIFE)",50,-0.0657,3.03,1.37,1.37,0.3925,-0.167
Ghana,women_vitA,"6 ADMIN-1 anchor (hard, SPLIT-SAMPLE)",75,0.2364,2.65,0.14,0.14,0.3925,0.602
Ghana,child_iron,1 no anchor (LORO),75,0.4458,14.09,-5.15,5.15,0.8108,0.55
Ghana,child_iron,2a flat REGIONAL mean (no covariates),75,0.7748,9.68,1.53,1.53,0.8108,0.956
Ghana,child_iron,2a flat NATIONAL mean (no covariates),75,NA,14.43,-1.14,1.14,0.8108,NA
Ghana,child_iron,3 ADMIN-1 anchor (hard),75,0.7631,10.32,2.81,2.81,0.8108,0.941
Ghana,child_iron,3 ADMIN-1 anchor (shrunk),75,0.7568,10.02,1.97,1.97,0.8108,0.933
Ghana,child_iron,4 national anchor,75,0.4638,14.51,3.72,3.72,0.8108,0.572
Ghana,child_iron,"5 ADMIN-1 anchor (hard, JACKKNIFE)",72,0.6592,12.19,2.22,2.22,0.8108,0.813
Ghana,child_iron,"6 ADMIN-1 anchor (hard, SPLIT-SAMPLE)",75,0.7561,10.24,2.78,2.78,0.8108,0.933
Ghana,women_iron,1 no anchor (LORO),75,0.0019,10.98,-5.37,5.37,0.3839,0.005
Ghana,women_iron,2a flat REGIONAL mean (no covariates),75,0.6351,6.91,0.32,0.32,0.3839,1.654
Ghana,women_iron,2a flat NATIONAL mean (no covariates),75,NA,10.01,-5.4,5.4,0.3839,NA
Ghana,women_iron,3 ADMIN-1 anchor (hard),75,0.3569,9.76,1.02,1.02,0.3839,0.93
Ghana,women_iron,3 ADMIN-1 anchor (shrunk),75,0.2056,9.83,-1.3,1.3,0.3839,0.536
Ghana,women_iron,4 national anchor,75,0.0029,11.04,-5.93,5.93,0.3839,0.008
Ghana,women_iron,"5 ADMIN-1 anchor (hard, JACKKNIFE)",69,0.1576,11.16,-3.67,3.67,0.3839,0.411
Ghana,women_iron,"6 ADMIN-1 anchor (hard, SPLIT-SAMPLE)",75,0.1426,10.07,-4.05,4.05,0.3839,0.372
Ghana,women_folate,1 no anchor (LORO),75,0.2289,26.35,-1.35,1.35,0.7131,0.321
Ghana,women_folate,2a flat REGIONAL mean (no covariates),75,0.6369,18.17,-0.4,0.4,0.7131,0.893
Ghana,women_folate,2a flat NATIONAL mean (no covariates),75,NA,24.93,0.95,0.95,0.7131,NA
Ghana,women_folate,3 ADMIN-1 anchor (hard),75,0.0197,26.81,6.11,6.11,0.7131,0.028
Ghana,women_folate,3 ADMIN-1 anchor (shrunk),75,0.0142,26.79,6.01,6.01,0.7131,0.02
Ghana,women_folate,4 national anchor,75,0.1477,30.66,18.69,18.69,0.7131,0.207
Ghana,women_folate,"5 ADMIN-1 anchor (hard, JACKKNIFE)",72,0.3195,25.05,3.71,3.71,0.7131,0.448
Ghana,women_folate,"6 ADMIN-1 anchor (hard, SPLIT-SAMPLE)",75,9e-4,26.73,5.12,5.12,0.7131,0.001
Ghana,women_b12,1 no anchor (LORO),75,-0.1011,11,-5.98,5.98,0.4862,-0.208
Ghana,women_b12,2a flat REGIONAL mean (no covariates),75,0.7305,7.35,-0.87,0.87,0.4862,1.503
Ghana,women_b12,2a flat NATIONAL mean (no covariates),75,NA,11.26,-2.48,2.48,0.4862,NA
Ghana,women_b12,3 ADMIN-1 anchor (hard),75,0.2814,9.96,-1.17,1.17,0.4862,0.579
Ghana,women_b12,3 ADMIN-1 anchor (shrunk),75,0.1868,10.58,-1.87,1.87,0.4862,0.384
Ghana,women_b12,4 national anchor,75,-0.0874,13.23,0.45,0.45,0.4862,-0.18
Ghana,women_b12,"5 ADMIN-1 anchor (hard, JACKKNIFE)",58,0.3348,11.95,1.19,1.19,0.4862,0.689
Ghana,women_b12,"6 ADMIN-1 anchor (hard, SPLIT-SAMPLE)",75,0.1487,10.86,-1.72,1.72,0.4862,0.306
SierraLeone,child_vitA,1 no anchor (LORO),14,0.1293,14.7,7.98,7.98,0.1826,0.708
SierraLeone,child_vitA,2a flat REGIONAL mean (no covariates),14,0.2311,4.45,0.78,0.78,0.1826,1.266
SierraLeone,child_vitA,2a flat NATIONAL mean (no covariates),14,NA,4.6,0.8,0.8,0.1826,NA
SierraLeone,child_vitA,3 ADMIN-1 anchor (hard),14,0.0639,5.6,-0.22,0.22,0.1826,0.35
SierraLeone,child_vitA,3 ADMIN-1 anchor (shrunk),14,0.0034,5.72,-0.14,0.14,0.1826,0.019
SierraLeone,child_vitA,4 national anchor,14,0.1989,10.2,-10.2,10.2,0.1826,1.089
SierraLeone,child_vitA,"5 ADMIN-1 anchor (hard, JACKKNIFE)",14,0.1276,12.85,5.94,5.94,0.1826,0.699
SierraLeone,child_vitA,"6 ADMIN-1 anchor (hard, SPLIT-SAMPLE)",14,0.0758,5.51,-0.52,0.52,0.1826,0.415
SierraLeone,women_vitA,1 no anchor (LORO),14,-0.0427,1.21,-0.24,0.24,0.4521,-0.094
SierraLeone,women_vitA,2a flat REGIONAL mean (no covariates),14,0.1546,1.27,0.12,0.12,0.4521,0.342
SierraLeone,women_vitA,2a flat NATIONAL mean (no covariates),14,NA,1.25,0.13,0.13,0.4521,NA
SierraLeone,women_vitA,3 ADMIN-1 anchor (hard),14,0.2601,1.23,0.08,0.08,0.4521,0.575
SierraLeone,women_vitA,3 ADMIN-1 anchor (shrunk),14,0.2583,1.19,0.08,0.08,0.4521,0.571
SierraLeone,women_vitA,4 national anchor,14,-0.0426,1.29,0.22,0.22,0.4521,-0.094
SierraLeone,women_vitA,"5 ADMIN-1 anchor (hard, JACKKNIFE)",13,-0.4068,1.54,0.35,0.35,0.4521,-0.9
SierraLeone,women_vitA,"6 ADMIN-1 anchor (hard, SPLIT-SAMPLE)",14,0.2547,1.37,0.41,0.41,0.4521,0.563
SierraLeone,child_iron,1 no anchor (LORO),14,0.4021,3.34,-1.15,1.15,0.2505,1.605
SierraLeone,child_iron,2a flat REGIONAL mean (no covariates),14,0.3971,3.32,-0.83,0.83,0.2505,1.585
SierraLeone,child_iron,2a flat NATIONAL mean (no covariates),14,NA,3.8,-0.79,0.79,0.2505,NA
SierraLeone,child_iron,3 ADMIN-1 anchor (hard),14,0.6746,2.43,-0.31,0.31,0.2505,2.693
