recode,tag,column,class,population,matched_rows,population_rows,match_rate,complete_in_matched,complete_in_pop,n_levels
MWHR7ADT,hh,gw_hv244,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWHR7ADT,hh,gw_hv246,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWHR7ADT,hh,gw_hv246a,questionnaire,all,3097,3099,0.9994,1,0.9994,10
MWHR7ADT,hh,gw_hv246b,questionnaire,all,3097,3099,0.9994,1,0.9994,9
MWHR7ADT,hh,gw_hv246c,questionnaire,all,3097,3099,0.9994,1,0.9994,5
MWHR7ADT,hh,gw_hv246d,questionnaire,all,3097,3099,0.9994,1,0.9994,18
MWHR7ADT,hh,gw_hv246e,questionnaire,all,3097,3099,0.9994,1,0.9994,11
MWHR7ADT,hh,gw_hv246g,questionnaire,all,3097,3099,0.9994,1,0.9994,17
MWHR7ADT,hh,gw_hv246h,questionnaire,all,3097,3099,0.9994,1,0.9994,27
MWHR7ADT,hh,gw_hv247,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWHR7ADT,hh,gw_hv252,questionnaire,all,3097,3099,0.9994,1,0.9994,5
MWHR7ADT,hh,gw_hv253,questionnaire,all,3097,3099,0.9994,1,0.9994,3
MWHR7ADT,hh,gw_hv253a,questionnaire,all,3097,3099,0.9994,1,0.9994,3
MWHR7ADT,hh,gw_hv253b,questionnaire,all,3097,3099,0.9994,1,0.9994,3
MWHR7ADT,hh,gw_hv253c,questionnaire,all,3097,3099,0.9994,1,0.9994,3
MWHR7ADT,hh,gw_hv253x,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWHR7ADT,hh,gw_hv253z,questionnaire,all,3097,3099,0.9994,1,0.9994,3
MWHR7ADT,hh,gw_hv270,questionnaire,all,3097,3099,0.9994,1,0.9994,5
MWHR7ADT,hh,gw_hv270a,questionnaire,all,3097,3099,0.9994,1,0.9994,5
MWHR7ADT,hh,gw_hml1,questionnaire,all,3097,3099,0.9994,1,0.9994,8
MWHR7ADT,hh,gw_hml1a,questionnaire,all,3097,3099,0.9994,1,0.9994,8
MWHR7ADT,hh,gw_hml2,questionnaire,all,3097,3099,0.9994,1,0.9994,5
MWHR7ADT,hh,gw_sh121g,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWHR7ADT,hh,gw_sh121h,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWHR7ADT,hh,gw_sh121i,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWHR7ADT,hh,gw_sh121j,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWHR7ADT,hh,gw_sh121k,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWHR7ADT,hh,gw_sh402a,questionnaire,all,3097,3099,0.9994,1,0.9994,5
MWHR7ADT,hh,gw_sh402b,questionnaire,all,3097,3099,0.9994,1,0.9994,9
MWHR7ADT,hh,gw_sh402c,questionnaire,all,3097,3099,0.9994,1,0.9994,6
MWHR7ADT,hh,gw_sh402d,questionnaire,all,3097,3099,0.9994,1,0.9994,5
MWHR7ADT,hh,gw_sh403,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWHR7ADT,hh,gw_hv106_01,questionnaire,all,3097,3099,0.9994,1,0.9994,5
MWHR7ADT,hh,gw_hv106_02,questionnaire,all,3097,3099,0.9994,0.9942,0.9935,5
MWHR7ADT,hh,gw_hv106_03,questionnaire,all,3097,3099,0.9994,0.9658,0.9652,5
MWHR7ADT,hh,gw_hv106_04,questionnaire,all,3097,3099,0.9994,0.8744,0.8738,4
MWHR7ADT,hh,gw_hv107_01,questionnaire,all,3097,3099,0.9994,0.8763,0.8758,10
MWHR7ADT,hh,gw_hv107_02,questionnaire,all,3097,3099,0.9994,0.8424,0.8419,10
MWHR7ADT,hh,gw_hv108_01,questionnaire,all,3097,3099,0.9994,1,0.9994,18
MWHR7ADT,hh,gw_hv108_02,questionnaire,all,3097,3099,0.9994,0.9942,0.9935,17
MWHR7ADT,hh,gw_hv108_03,questionnaire,all,3097,3099,0.9994,0.9658,0.9652,18
MWHR7ADT,hh,gw_hv108_04,questionnaire,all,3097,3099,0.9994,0.8744,0.8738,16
MWHR7ADT,hh,gw_hv109_01,questionnaire,all,3097,3099,0.9994,1,0.9994,7
MWHR7ADT,hh,gw_hv109_02,questionnaire,all,3097,3099,0.9994,0.9942,0.9935,7
MWHR7ADT,hh,gw_hv109_03,questionnaire,all,3097,3099,0.9994,0.9658,0.9652,7
MWHR7ADT,hh,gw_hv109_04,questionnaire,all,3097,3099,0.9994,0.8744,0.8738,6
MWHR7ADT,hh,gw_hv115_01,questionnaire,all,3097,3099,0.9994,0.9994,0.9987,4
MWHR7ADT,hh,gw_hv115_02,questionnaire,all,3097,3099,0.9994,0.9002,0.8996,4
MWHR7ADT,hh,gw_hv116_01,questionnaire,all,3097,3099,0.9994,0.9994,0.9987,3
MWHR7ADT,hh,gw_hv116_02,questionnaire,all,3097,3099,0.9994,0.9002,0.8996,3
MWHR7ADT,hh,gw_hv117_01,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWHR7ADT,hh,gw_hv117_02,questionnaire,all,3097,3099,0.9994,0.9942,0.9935,2
MWHR7ADT,hh,gw_hv117_03,questionnaire,all,3097,3099,0.9994,0.9658,0.9652,2
MWHR7ADT,hh,gw_hv117_04,questionnaire,all,3097,3099,0.9994,0.8744,0.8738,2
MWHR7ADT,hh,gw_hv121_01,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWHR7ADT,hh,gw_hv121_02,questionnaire,all,3097,3099,0.9994,0.9942,0.9935,2
MWHR7ADT,hh,gw_hv121_03,questionnaire,all,3097,3099,0.9994,0.9658,0.9652,2
MWHR7ADT,hh,gw_hv121_04,questionnaire,all,3097,3099,0.9994,0.8744,0.8738,2
MWHR7ADT,hh,gw_hv122_01,questionnaire,all,3097,3099,0.9994,1,0.9994,3
MWHR7ADT,hh,gw_hv122_02,questionnaire,all,3097,3099,0.9994,0.9942,0.9935,5
MWHR7ADT,hh,gw_hv122_03,questionnaire,all,3097,3099,0.9994,0.9658,0.9652,5
MWHR7ADT,hh,gw_hv122_04,questionnaire,all,3097,3099,0.9994,0.8744,0.8738,3
MWHR7ADT,hh,gw_hv124_01,questionnaire,all,3097,3099,0.9994,1,0.9994,4
MWHR7ADT,hh,gw_hv124_02,questionnaire,all,3097,3099,0.9994,0.9942,0.9935,16
MWHR7ADT,hh,gw_hv124_03,questionnaire,all,3097,3099,0.9994,0.9658,0.9652,15
MWHR7ADT,hh,gw_hv124_04,questionnaire,all,3097,3099,0.9994,0.8744,0.8738,13
MWHR7ADT,hh,gw_hml12_01,questionnaire,all,3097,3099,0.9994,1,0.9994,3
MWHR7ADT,hh,gw_hml12_02,questionnaire,all,3097,3099,0.9994,0.9942,0.9935,3
MWHR7ADT,hh,gw_hml12_03,questionnaire,all,3097,3099,0.9994,0.9658,0.9652,3
MWHR7ADT,hh,gw_hml12_04,questionnaire,all,3097,3099,0.9994,0.8744,0.8738,3
MWHR7ADT,hh,gw_hml13_01,questionnaire,all,3097,3099,0.9994,1,0.9994,5
MWHR7ADT,hh,gw_hml13_02,questionnaire,all,3097,3099,0.9994,0.9942,0.9935,6
MWHR7ADT,hh,gw_hml13_03,questionnaire,all,3097,3099,0.9994,0.9658,0.9652,6
MWHR7ADT,hh,gw_hml13_04,questionnaire,all,3097,3099,0.9994,0.8744,0.8738,7
MWHR7ADT,hh,gw_hml17_01,questionnaire,all,3097,3099,0.9994,1,0.9994,4
MWHR7ADT,hh,gw_hml17_02,questionnaire,all,3097,3099,0.9994,0.9942,0.9935,5
MWHR7ADT,hh,gw_hml17_03,questionnaire,all,3097,3099,0.9994,0.9658,0.9652,3
MWHR7ADT,hh,gw_hml17_04,questionnaire,all,3097,3099,0.9994,0.8744,0.8738,3
MWHR7ADT,hh,gw_hml19_01,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWHR7ADT,hh,gw_hml19_02,questionnaire,all,3097,3099,0.9994,0.9942,0.9935,2
MWHR7ADT,hh,gw_hml19_03,questionnaire,all,3097,3099,0.9994,0.9658,0.9652,2
MWHR7ADT,hh,gw_hml19_04,questionnaire,all,3097,3099,0.9994,0.8744,0.8738,2
MWHR7ADT,hh,gw_hml20_01,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWHR7ADT,hh,gw_hml20_02,questionnaire,all,3097,3099,0.9994,0.9942,0.9935,2
MWHR7ADT,hh,gw_hml20_03,questionnaire,all,3097,3099,0.9994,0.9658,0.9652,2
MWHR7ADT,hh,gw_hml20_04,questionnaire,all,3097,3099,0.9994,0.8744,0.8738,2
MWPR7ADT,pr,gw_hv010,questionnaire,all,3097,3099,0.9994,1,0.9994,5
MWPR7ADT,pr,gw_hv012,questionnaire,all,3097,3099,0.9994,1,0.9994,15
MWPR7ADT,pr,gw_hv013,questionnaire,all,3097,3099,0.9994,1,0.9994,14
MWPR7ADT,pr,gw_hv014,questionnaire,all,3097,3099,0.9994,1,0.9994,5
MWPR7ADT,pr,gw_hv017,questionnaire,all,3097,3099,0.9994,1,0.9994,4
MWPR7ADT,pr,gw_hv045a,questionnaire,all,3097,3099,0.9994,1,0.9994,3
MWPR7ADT,pr,gw_hv045b,questionnaire,all,3097,3099,0.9994,1,0.9994,4
MWPR7ADT,pr,gw_hv045c,questionnaire,all,3097,3099,0.9994,1,0.9994,4
MWPR7ADT,pr,gw_hv046,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWPR7ADT,pr,gw_hv201,questionnaire,all,3097,3099,0.9994,1,0.9994,12
MWPR7ADT,pr,gw_hv205,questionnaire,all,3097,3099,0.9994,1,0.9994,11
MWPR7ADT,pr,gw_hv206,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWPR7ADT,pr,gw_hv207,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWPR7ADT,pr,gw_hv208,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWPR7ADT,pr,gw_hv209,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWPR7ADT,pr,gw_hv210,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWPR7ADT,pr,gw_hv211,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWPR7ADT,pr,gw_hv212,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWPR7ADT,pr,gw_hv213,questionnaire,all,3097,3099,0.9994,1,0.9994,6
MWPR7ADT,pr,gw_hv214,questionnaire,all,3097,3099,0.9994,1,0.9994,13
MWPR7ADT,pr,gw_hv215,questionnaire,all,3097,3099,0.9994,1,0.9994,9
MWPR7ADT,pr,gw_hv216,questionnaire,all,3097,3099,0.9994,1,0.9994,9
MWPR7ADT,pr,gw_hv217,questionnaire,all,3097,3099,0.9994,1,0.9994,5
MWPR7ADT,pr,gw_hv219,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWPR7ADT,pr,gw_hv221,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWPR7ADT,pr,gw_hv225,questionnaire,all,3097,3099,0.9994,0.9506,0.95,2
MWPR7ADT,pr,gw_hv226,questionnaire,all,3097,3099,0.9994,1,0.9994,6
MWPR7ADT,pr,gw_hv227,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWPR7ADT,pr,gw_hv230a,questionnaire,all,3097,3099,0.9994,1,0.9994,5
MWPR7ADT,pr,gw_hv230b,questionnaire,all,3097,3099,0.9994,0.8411,0.8406,2
MWPR7ADT,pr,gw_hv232,questionnaire,all,3097,3099,0.9994,0.8411,0.8406,2
MWPR7ADT,pr,gw_hv232b,questionnaire,all,3097,3099,0.9994,0.8411,0.8406,2
MWPR7ADT,pr,gw_hv232y,questionnaire,all,3097,3099,0.9994,0.8411,0.8406,2
MWPR7ADT,pr,gw_hv234a,questionnaire,all,3097,3099,0.9994,1,0.9994,4
MWPR7ADT,pr,gw_hv235,questionnaire,all,3097,3099,0.9994,0.8815,0.8809,3
MWPR7ADT,pr,gw_hv237,questionnaire,all,3097,3099,0.9994,1,0.9994,3
MWPR7ADT,pr,gw_hv237a,questionnaire,all,3097,3099,0.9994,1,0.9994,3
MWPR7ADT,pr,gw_hv237b,questionnaire,all,3097,3099,0.9994,1,0.9994,3
MWPR7ADT,pr,gw_hv237c,questionnaire,all,3097,3099,0.9994,1,0.9994,3
MWPR7ADT,pr,gw_hv237d,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWPR7ADT,pr,gw_hv237e,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWPR7ADT,pr,gw_hv237f,questionnaire,all,3097,3099,0.9994,1,0.9994,3
MWPR7ADT,pr,gw_hv237x,questionnaire,all,3097,3099,0.9994,1,0.9994,3
MWPR7ADT,pr,gw_hv237z,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWPR7ADT,pr,gw_hv238a,questionnaire,all,3097,3099,0.9994,0.9506,0.95,3
MWPR7ADT,pr,gw_hv241,questionnaire,all,3097,3099,0.9994,0.999,0.9984,3
MWPR7ADT,pr,gw_hv243a,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWPR7ADT,pr,gw_hv243b,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWPR7ADT,pr,gw_hv243c,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWPR7ADT,pr,gw_hv243d,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWPR7ADT,pr,gw_hv243e,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWPR7ADT,pr,gw_hv244,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWPR7ADT,pr,gw_hv246,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWPR7ADT,pr,gw_hv246a,questionnaire,all,3097,3099,0.9994,1,0.9994,10
MWPR7ADT,pr,gw_hv246b,questionnaire,all,3097,3099,0.9994,1,0.9994,9
MWPR7ADT,pr,gw_hv246c,questionnaire,all,3097,3099,0.9994,1,0.9994,5
MWPR7ADT,pr,gw_hv246d,questionnaire,all,3097,3099,0.9994,1,0.9994,18
MWPR7ADT,pr,gw_hv246e,questionnaire,all,3097,3099,0.9994,1,0.9994,11
MWPR7ADT,pr,gw_hv246g,questionnaire,all,3097,3099,0.9994,1,0.9994,17
MWPR7ADT,pr,gw_hv246h,questionnaire,all,3097,3099,0.9994,1,0.9994,27
MWPR7ADT,pr,gw_hv247,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWPR7ADT,pr,gw_hv252,questionnaire,all,3097,3099,0.9994,1,0.9994,5
MWPR7ADT,pr,gw_hv253,questionnaire,all,3097,3099,0.9994,1,0.9994,3
MWPR7ADT,pr,gw_hv253a,questionnaire,all,3097,3099,0.9994,1,0.9994,3
MWPR7ADT,pr,gw_hv253b,questionnaire,all,3097,3099,0.9994,1,0.9994,3
MWPR7ADT,pr,gw_hv253c,questionnaire,all,3097,3099,0.9994,1,0.9994,3
MWPR7ADT,pr,gw_hv253x,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWPR7ADT,pr,gw_hv253z,questionnaire,all,3097,3099,0.9994,1,0.9994,3
MWPR7ADT,pr,gw_hv270,questionnaire,all,3097,3099,0.9994,1,0.9994,5
MWPR7ADT,pr,gw_hv270a,questionnaire,all,3097,3099,0.9994,1,0.9994,5
MWPR7ADT,pr,gw_hml1,questionnaire,all,3097,3099,0.9994,1,0.9994,8
MWPR7ADT,pr,gw_hml1a,questionnaire,all,3097,3099,0.9994,1,0.9994,8
MWPR7ADT,pr,gw_hml2,questionnaire,all,3097,3099,0.9994,1,0.9994,5
MWPR7ADT,pr,gw_sh121g,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWPR7ADT,pr,gw_sh121h,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWPR7ADT,pr,gw_sh121i,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWPR7ADT,pr,gw_sh121j,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWPR7ADT,pr,gw_sh121k,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWPR7ADT,pr,gw_sh402a,questionnaire,all,3097,3099,0.9994,1,0.9994,5
MWPR7ADT,pr,gw_sh402b,questionnaire,all,3097,3099,0.9994,1,0.9994,9
MWPR7ADT,pr,gw_sh402c,questionnaire,all,3097,3099,0.9994,1,0.9994,6
MWPR7ADT,pr,gw_sh402d,questionnaire,all,3097,3099,0.9994,1,0.9994,5
MWPR7ADT,pr,gw_sh403,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWPR7ADT,pr,gw_hv106,questionnaire,all,3097,3099,0.9994,1,0.9994,5
MWPR7ADT,pr,gw_hv108,questionnaire,all,3097,3099,0.9994,1,0.9994,18
MWPR7ADT,pr,gw_hv109,questionnaire,all,3097,3099,0.9994,1,0.9994,7
MWPR7ADT,pr,gw_hv117,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWPR7ADT,pr,gw_hv121,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWPR7ADT,pr,gw_hv122,questionnaire,all,3097,3099,0.9994,1,0.9994,5
MWPR7ADT,pr,gw_hv124,questionnaire,all,3097,3099,0.9994,1,0.9994,15
MWPR7ADT,pr,gw_hmhidx,questionnaire,all,3097,3099,0.9994,1,0.9994,15
MWPR7ADT,pr,gw_hml12,questionnaire,all,3097,3099,0.9994,1,0.9994,3
MWPR7ADT,pr,gw_hml13,questionnaire,all,3097,3099,0.9994,1,0.9994,7
MWPR7ADT,pr,gw_hml17,questionnaire,all,3097,3099,0.9994,1,0.9994,5
MWPR7ADT,pr,gw_hml19,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWPR7ADT,pr,gw_hml20,questionnaire,all,3097,3099,0.9994,1,0.9994,2
MWIR7ADT,ir,gw_v019,questionnaire,women,809,1066,0.7589,1,0.7589,3
MWIR7ADT,ir,gw_v025,questionnaire,women,809,1066,0.7589,1,0.7589,2
MWIR7ADT,ir,gw_v027,questionnaire,women,809,1066,0.7589,1,0.7589,5
MWIR7ADT,ir,gw_v045a,questionnaire,women,809,1066,0.7589,1,0.7589,3
MWIR7ADT,ir,gw_v045b,questionnaire,women,809,1066,0.7589,1,0.7589,4
MWIR7ADT,ir,gw_v045c,questionnaire,women,809,1066,0.7589,1,0.7589,4
MWIR7ADT,ir,gw_v046,questionnaire,women,809,1066,0.7589,1,0.7589,2
MWIR7ADT,ir,gw_v106,questionnaire,women,809,1066,0.7589,1,0.7589,4
MWIR7ADT,ir,gw_v107,questionnaire,women,809,1066,0.7589,0.9061,0.6876,9
MWIR7ADT,ir,gw_v113,questionnaire,women,809,1066,0.7589,1,0.7589,13
MWIR7ADT,ir,gw_v115,questionnaire,women,809,1066,0.7589,1,0.7589,30
MWIR7ADT,ir,gw_v116,questionnaire,women,809,1066,0.7589,1,0.7589,10
MWIR7ADT,ir,gw_v119,questionnaire,women,809,1066,0.7589,1,0.7589,3
MWIR7ADT,ir,gw_v120,questionnaire,women,809,1066,0.7589,1,0.7589,3
MWIR7ADT,ir,gw_v121,questionnaire,women,809,1066,0.7589,1,0.7589,3
MWIR7ADT,ir,gw_v122,questionnaire,women,809,1066,0.7589,1,0.7589,3
MWIR7ADT,ir,gw_v123,questionnaire,women,809,1066,0.7589,1,0.7589,3
MWIR7ADT,ir,gw_v124,questionnaire,women,809,1066,0.7589,1,0.7589,3
MWIR7ADT,ir,gw_v125,questionnaire,women,809,1066,0.7589,1,0.7589,3
MWIR7ADT,ir,gw_v127,questionnaire,women,809,1066,0.7589,1,0.7589,6
MWIR7ADT,ir,gw_v128,questionnaire,women,809,1066,0.7589,1,0.7589,12
MWIR7ADT,ir,gw_v129,questionnaire,women,809,1066,0.7589,1,0.7589,9
MWIR7ADT,ir,gw_v130,questionnaire,women,809,1066,0.7589,1,0.7589,7
MWIR7ADT,ir,gw_v131,questionnaire,women,809,1066,0.7589,1,0.7589,11
MWIR7ADT,ir,gw_v133,questionnaire,women,809,1066,0.7589,1,0.7589,16
MWIR7ADT,ir,gw_v135,questionnaire,women,809,1066,0.7589,1,0.7589,2
MWIR7ADT,ir,gw_v136,questionnaire,women,809,1066,0.7589,1,0.7589,14
MWIR7ADT,ir,gw_v137,questionnaire,women,809,1066,0.7589,1,0.7589,5
MWIR7ADT,ir,gw_v138,questionnaire,women,809,1066,0.7589,1,0.7589,4
MWIR7ADT,ir,gw_v139,questionnaire,women,809,1066,0.7589,1,0.7589,4
MWIR7ADT,ir,gw_v140,questionnaire,women,809,1066,0.7589,1,0.7589,3
MWIR7ADT,ir,gw_v149,questionnaire,women,809,1066,0.7589,1,0.7589,6
MWIR7ADT,ir,gw_v150,questionnaire,women,809,1066,0.7589,1,0.7589,10
MWIR7ADT,ir,gw_v151,questionnaire,women,809,1066,0.7589,1,0.7589,2
MWIR7ADT,ir,gw_v153,questionnaire,women,809,1066,0.7589,1,0.7589,3
MWIR7ADT,ir,gw_v155,questionnaire,women,809,1066,0.7589,1,0.7589,3
MWIR7ADT,ir,gw_v157,questionnaire,women,809,1066,0.7589,1,0.7589,3
MWIR7ADT,ir,gw_v158,questionnaire,women,809,1066,0.7589,1,0.7589,3
MWIR7ADT,ir,gw_v159,questionnaire,women,809,1066,0.7589,1,0.7589,3
MWIR7ADT,ir,gw_v160,questionnaire,women,809,1066,0.7589,0.9617,0.7298,3
MWIR7ADT,ir,gw_v161,questionnaire,women,809,1066,0.7589,1,0.7589,5
MWIR7ADT,ir,gw_v167,questionnaire,women,809,1066,0.7589,1,0.7589,14
MWIR7ADT,ir,gw_v169a,questionnaire,women,809,1066,0.7589,1,0.7589,2
MWIR7ADT,ir,gw_v170,questionnaire,women,809,1066,0.7589,1,0.7589,2
MWIR7ADT,ir,gw_v171a,questionnaire,women,809,1066,0.7589,1,0.7589,3
MWIR7ADT,ir,gw_v171b,questionnaire,women,809,1066,0.7589,1,0.7589,4
MWIR7ADT,ir,gw_v190,questionnaire,women,809,1066,0.7589,1,0.7589,5
MWIR7ADT,ir,gw_v190a,questionnaire,women,809,1066,0.7589,1,0.7589,5
MWIR7ADT,ir,gw_ml101,questionnaire,women,809,1066,0.7589,1,0.7589,3
MWIR7ADT,ir,gw_v201,questionnaire,women,809,1066,0.7589,1,0.7589,12
MWIR7ADT,ir,gw_v202,questionnaire,women,809,1066,0.7589,1,0.7589,7
MWIR7ADT,ir,gw_v203,questionnaire,women,809,1066,0.7589,1,0.7589,7
MWIR7ADT,ir,gw_v204,questionnaire,women,809,1066,0.7589,1,0.7589,5
MWIR7ADT,ir,gw_v205,questionnaire,women,809,1066,0.7589,1,0.7589,7
MWIR7ADT,ir,gw_v206,questionnaire,women,809,1066,0.7589,1,0.7589,4
MWIR7ADT,ir,gw_v207,questionnaire,women,809,1066,0.7589,1,0.7589,5
MWIR7ADT,ir,gw_v208,questionnaire,women,809,1066,0.7589,1,0.7589,4
