predictor,family,cellset,z,tau,k_countries,z_undisattenuated,n_cells,n_positive,p_analytic,z_gambia,z_ghana,z_sierraleone,z_malawi,p_perm,p_perm_fwer,q_analytic,q_perm,n_permutations
dhs_c_mean_birthweight,region_partialed,shared,-3.3534,0,3,-1.7907,3,1,7.982978572463854e-4,-0.44,NA,0.0263,-0.303,0.0392156862745098,0.9215686274509803,0.056080424471558574,0.994549444326467,50
dhs_hh_handwash_facility,region_partialed,shared,3.0905,0,3,1.4861,3,3,0.001998363368466147,0.3293,NA,0.5731,0.2255,0.0392156862745098,0.9607843137254902,0.10439337643115176,0.994549444326467,50
aef_A47,region_partialed,shared,3.0579,0,4,1.7821,4,4,0.0022290400661455893,0.0861,0.2348,0.3969,0.2261,0.0392156862745098,0.9607843137254902,0.10439337643115176,0.994549444326467,50
aef_A04,region_partialed,shared,-2.8742,0.046,4,-2.0333,4,2,0.004051158299276767,0.0097,-0.3529,0.0088,-0.2213,0.0196078431372549,0.9607843137254902,0.16262506887096737,0.994549444326467,50
aef_A40,region_partialed,shared,-2.5435,0.6442,4,-3.1996000000000002,4,0,0.010975084714074611,-0.3144,-0.404,-2.6467,-0.3002,0.058823529411764705,1,0.38549985058187075,0.994549444326467,50
soilgrids_clay,region_partialed,shared,2.4856,0,3,1.0969,3,3,0.012932621210337888,0.0742,NA,0.279,0.2664,0.0392156862745098,1,0.40378517334499403,0.994549444326467,50
aef_A19,region_partialed,shared,2.4169,0,4,1.6034,4,3,0.015653306938501414,0.2853,0.1747,-0.223,0.1885,0.0392156862745098,1,0.43985792497188975,0.994549444326467,50
soil_potassium_stdev_0_20,region_partialed,shared,2.1699,0.279,4,1.6783,4,4,0.03001696033414528,0.2561,0.1974,1.2599,0.1162,0.0784313725490196,1,0.4626493459033203,0.994549444326467,50
lst_night_annual_sd_t0,region_partialed,shared,2.1512,0.6801,4,2.3593,4,4,0.0314587463292192,0.0927,0.3301,2.6467,0.2039,0.058823529411764705,1,0.4626493459033203,0.994549444326467,50
aef_A63,region_partialed,shared,2.1272,0.3743,4,1.9074,4,4,0.03340103772313022,0.2821,0.2899,1.492,0.0424,0.13725490196078433,1,0.4626493459033203,0.994549444326467,50
aef_A42,region_partialed,shared,-2.1254,0.2178,4,-2.5882,4,1,0.03355121660342723,0.1166,-0.3716,-0.223,-0.5381,0.0784313725490196,1,0.4626493459033203,0.994549444326467,50
lst_night_annual_range_t0,region_partialed,shared,2.123,0.688,4,2.2659,4,4,0.03375757125329124,0.1255,0.3464,2.6467,0.145,0.09803921568627451,1,0.4626493459033203,0.994549444326467,50
soil_potassium_stdev_20_50,region_partialed,shared,2.1182,0.7391,4,1.8089,4,3,0.034156301656871266,0.5868,0.248,2.6467,-0.0302,0.11764705882352941,1,0.4626493459033203,0.994549444326467,50
aef_A12,region_partialed,shared,-2.1063,0.7572,4,-1.9419,4,1,0.035178138665959334,0.0963,-0.1442,-2.6467,-0.7728,0.13725490196078433,1,0.4626493459033203,0.994549444326467,50
precip_y2019,region_partialed,shared,-2.0847,0.7398,4,-1.5764,4,1,0.037101021165567294,-0.6058,0.0346,-2.6467,-0.1863,0.1568627450980392,1,0.4626493459033203,0.994549444326467,50
dhs_w_birth_interval_short,region_partialed,shared,-2.0775,0.1953,3,-1.4076,3,0,0.037756707318711905,-0.0346,NA,-0.7298,-0.3599,0.0784313725490196,1,0.4626493459033203,0.994549444326467,50
tclim_pdsi_t0,region_partialed,shared,2.0713,0.7279,4,1.7742,4,3,0.03833084196003061,0.1757,-0.0096,2.6467,0.5133,0.09803921568627451,1,0.4626493459033203,0.994549444326467,50
dhs_c_dpt3,region_partialed,shared,-2.0605,0.9121,3,-2.5551,3,0,0.03935187647664746,-0.3613,NA,-2.6467,-0.4442,0.09803921568627451,1,0.4626493459033203,0.994549444326467,50
soil_zinc_mean_20_50,region_partialed,shared,-2.026,0.3484,4,-1.2903,4,0,0.042763400356928695,-0.3033,-0.0244,-1.4037,-0.2142,0.058823529411764705,1,0.4626493459033203,0.994549444326467,50
precip_y2017,region_partialed,shared,-2.0212,0.6982,4,-1.742,4,0,0.04325878654923373,-0.2361,-0.1353,-2.6467,-0.1439,0.1568627450980392,1,0.4626493459033203,0.994549444326467,50
npp_gpp_t0,region_partialed,shared,-2.0182,0.7047,4,-1.5807,4,0,0.043568609822747136,-0.2707,-0.0456,-2.6467,-0.2169,0.09803921568627451,1,0.4626493459033203,0.994549444326467,50
aef_A35,region_partialed,shared,-2.0043,0.0828,4,-1.1266,4,0,0.045032908338667826,-0.0393,-0.039,-0.3368,-0.3194,0.13725490196078433,1,0.4626493459033203,0.994549444326467,50
tclim_vap_t0,region_partialed,shared,-2.0016,0.0803,4,-1.2564,4,0,0.04532785199693295,-0.44,-0.0137,-0.1503,-0.2034,0.0784313725490196,1,0.4626493459033203,0.994549444326467,50
soil_calcium_mean_20_50,region_partialed,shared,1.9833,0.111,4,1.1908,4,4,0.04733647740626294,0.113,0.1122,0.7893,0.1581,0.19607843137254902,1,0.4626493459033203,0.994549444326467,50
soil_cec_stdev_0_20,region_partialed,shared,-1.9582,0.6984,4,-1.4582,4,0,0.050203173015447265,-0.1082,-0.1455,-2.6467,-0.1692,0.11764705882352941,1,0.4626493459033203,0.994549444326467,50
dhs_c_mean_haz,region_partialed,shared,1.9472,0.9363,3,2.0073,3,3,0.05151101838281942,0.1064,NA,2.6467,0.5867,0.0784313725490196,1,0.4626493459033203,0.994549444326467,50
dhs_FP_CUSA_W_MOD,region_partialed,shared,-1.9303,0.942,3,-2.275,3,0,0.05356759142322668,-0.332,NA,-2.6467,-0.3571,0.09803921568627451,1,0.4626493459033203,0.994549444326467,50
