protocol,level,arm,country,outcome,n_areas,k_selected,lift,reach,random_reach
within_country_cluster_blocked,admin-2,covariates,Sierra Leone,child_iron,14,NA,2.11,0.411,0.2
within_country_cluster_blocked,admin-2,covariates,Sierra Leone,women_iron,14,NA,1.17,0.232,0.2
within_country_cluster_blocked,admin-2,covariates,Sierra Leone,women_folate,14,NA,1.18,0.229,0.2
within_country_cluster_blocked,admin-2,covariates,Sierra Leone,women_b12,14,NA,2.13,0.424,0.2
within_country_cluster_blocked,admin-2,covariates,Malawi,child_vitA,87,NA,1.12,0.257,0.2
within_country_cluster_blocked,admin-2,covariates,Malawi,women_vitA,87,NA,1.01,0.182,0.2
within_country_cluster_blocked,admin-2,covariates,Malawi,child_iron,87,NA,1.33,0.257,0.2
within_country_cluster_blocked,admin-2,covariates,Malawi,women_iron,87,NA,1.16,0.234,0.2
within_country_cluster_blocked,admin-2,covariates,Malawi,women_folate,87,NA,1.94,0.387,0.2
within_country_cluster_blocked,admin-2,covariates,Malawi,women_b12,87,NA,1.14,0.301,0.2
within_country_cluster_blocked,admin-2,covariates,Malawi,child_zinc,87,NA,0.98,0.196,0.2
within_country_cluster_blocked,admin-2,covariates,Malawi,women_zinc,87,NA,1.08,0.217,0.2
