country,outcome,replicate,n_regions_total,n_regions_anchored,fraction_clusters,clusters_retained,n_retained,pct_survey_used,mae_admin2_pp,bias_admin2_pp,mae_admin1_pp,bias_admin1_pp
Ghana,child_vitA,2,16,5,0.6,15,214,18.4,11.28,5.583,5.979,4.719
Ghana,child_vitA,3,16,5,0.6,18,226,19.4,9.449,3.425,4.174,1.944
Ghana,child_vitA,1,16,5,0.8,26,321,27.6,10.445,-4.799,6.268,-4.644
Ghana,child_vitA,2,16,5,0.8,35,449,38.5,9.81,0.855,4.421,0.879
Ghana,child_vitA,3,16,5,0.8,16,168,14.4,10.005,-0.001,3.739,-1.279
Ghana,child_vitA,1,16,5,1,20,245,21,9.603,0.422,3.174,-0.397
Ghana,child_vitA,2,16,5,1,14,212,18.2,10.087,0.392,4.13,0.068
Ghana,child_vitA,3,16,5,1,23,282,24.2,10.579,3.203,5.216,3.296
Ghana,child_vitA,1,16,6,0.15,6,80,6.9,9.305,-1.13,5.201,-2.09
Ghana,child_vitA,2,16,6,0.15,6,69,5.9,11.437,-7.501,7.903,-7.366
Ghana,child_vitA,3,16,6,0.15,7,88,7.6,11.493,2.094,6.952,0.565
Ghana,child_vitA,1,16,6,0.25,13,190,16.3,10.627,-3.494,7.03,-4.325
Ghana,child_vitA,2,16,6,0.25,10,148,12.7,10.231,-4.125,6.406,-4.133
Ghana,child_vitA,3,16,6,0.25,14,190,16.3,10.637,-0.302,4.965,0.55
Ghana,child_vitA,1,16,6,0.4,15,186,16,10.128,1.994,4.245,0.43
Ghana,child_vitA,2,16,6,0.4,9,114,9.8,9.649,-0.939,5.081,-2.001
Ghana,child_vitA,3,16,6,0.4,14,198,17,10.61,-4.021,6.913,-3.924
Ghana,child_vitA,1,16,6,0.6,20,282,24.2,10.179,-4.329,5.306,-4.994
Ghana,child_vitA,2,16,6,0.6,20,301,25.8,9.897,-4.01,5.113,-3.986
Ghana,child_vitA,3,16,6,0.6,22,296,25.4,9.55,-2.592,5.057,-2.695
Ghana,child_vitA,1,16,6,0.8,18,179,15.4,10.736,-2.941,4.937,-3.644
Ghana,child_vitA,2,16,6,0.8,25,268,23,9.597,-2.811,4.732,-3.314
Ghana,child_vitA,3,16,6,0.8,24,340,29.2,10.357,-4.061,4.635,-4.01
Ghana,child_vitA,1,16,6,1,42,545,46.8,10.048,-0.089,2.847,-0.787
Ghana,child_vitA,2,16,6,1,32,349,30,10.02,0.799,3.386,0.245
Ghana,child_vitA,3,16,6,1,48,625,53.6,9.571,0.282,3.643,0.273
Ghana,child_vitA,1,16,8,0.15,9,104,8.9,10.719,1.344,7.925,1.91
Ghana,child_vitA,2,16,8,0.15,8,111,9.5,10.511,-3.147,6.075,-2.947
Ghana,child_vitA,3,16,8,0.15,8,108,9.3,9.865,-1.795,4.695,-2.361
Ghana,child_vitA,1,16,8,0.25,13,155,13.3,10.527,3.235,4.172,1.767
Ghana,child_vitA,2,16,8,0.25,16,241,20.7,10.41,0.066,5.664,-0.288
Ghana,child_vitA,3,16,8,0.25,15,164,14.1,9.716,-4.22,5.125,-3.819
Ghana,child_vitA,1,16,8,0.4,19,212,18.2,10.691,-2.362,5.815,-1.898
Ghana,child_vitA,2,16,8,0.4,15,219,18.8,9.867,1.34,4.298,-1.288
Ghana,child_vitA,3,16,8,0.4,19,246,21.1,9.936,-0.877,5.438,-1.86
Ghana,child_vitA,1,16,8,0.6,25,372,31.9,10.044,3.083,3.544,1.037
Ghana,child_vitA,2,16,8,0.6,29,407,34.9,9.76,2.378,3.298,1.034
Ghana,child_vitA,3,16,8,0.6,27,365,31.3,10.487,2.402,4.338,2.29
Ghana,child_vitA,1,16,8,0.8,34,403,34.6,9.614,-0.845,4.453,-1.325
Ghana,child_vitA,2,16,8,0.8,25,312,26.8,9.443,-1.616,4.011,-2.459
Ghana,child_vitA,3,16,8,0.8,46,589,50.6,9.975,0.256,3.773,-0.398
Ghana,child_vitA,1,16,8,1,46,600,51.5,9.921,3.406,3.549,2.22
Ghana,child_vitA,2,16,8,1,35,463,39.7,9.679,0.541,2.513,-0.311
Ghana,child_vitA,3,16,8,1,56,704,60.4,9.798,0.011,2.987,-0.595
Ghana,child_vitA,1,16,10,0.15,11,157,13.5,10.879,0.512,5.418,-2.268
Ghana,child_vitA,2,16,10,0.15,11,178,15.3,12.226,-1.09,7.693,-1.005
Ghana,child_vitA,3,16,10,0.15,11,182,15.6,12.561,3.113,7.125,1.809
Ghana,child_vitA,1,16,10,0.25,17,205,17.6,10.259,1.27,5.634,1.338
Ghana,child_vitA,2,16,10,0.25,13,159,13.6,9.569,-1.196,5.173,-2.837
Ghana,child_vitA,3,16,10,0.25,16,229,19.7,11.398,4.818,6.277,3.974
Ghana,child_vitA,1,16,10,0.4,25,361,31,9.737,0.436,3.985,-1.383
Ghana,child_vitA,2,16,10,0.4,25,300,25.8,11.29,3.299,7.399,2.338
Ghana,child_vitA,3,16,10,0.4,21,301,25.8,10.278,3.161,3.065,0.197
Ghana,child_vitA,1,16,10,0.6,35,457,39.2,10.036,2.416,2.808,0.972
Ghana,child_vitA,2,16,10,0.6,37,458,39.3,10.942,4.03,5.53,2.582
Ghana,child_vitA,3,16,10,0.6,37,469,40.3,9.84,-1.655,4.94,-1.914
Ghana,child_vitA,1,16,10,0.8,45,594,51,10.071,-1.104,3.71,-1.033
Ghana,child_vitA,2,16,10,0.8,42,558,47.9,9.491,0.409,2.032,-1.051
Ghana,child_vitA,3,16,10,0.8,40,516,44.3,9.929,0.244,2.653,-1.708
Ghana,child_vitA,1,16,10,1,65,799,68.6,9.675,0.049,2.661,-0.217
Ghana,child_vitA,2,16,10,1,56,661,56.7,10.096,1.703,1.822,0.445
Ghana,child_vitA,3,16,10,1,55,694,59.6,10.068,-1.568,2.659,-1.728
Ghana,child_vitA,1,16,11,0.15,11,159,13.6,12.795,3.87,8.611,3.465
Ghana,child_vitA,2,16,11,0.15,11,142,12.2,10.881,-4.567,7.496,-5.05
Ghana,child_vitA,3,16,11,0.15,13,172,14.8,10.265,-2.815,5.259,-2.495
Ghana,child_vitA,1,16,11,0.25,21,283,24.3,10.735,0.71,4.457,-0.275
Ghana,child_vitA,2,16,11,0.25,16,218,18.7,10.867,1.262,5.694,0.613
Ghana,child_vitA,3,16,11,0.25,19,278,23.9,11.037,1.306,5.21,-0.074
Ghana,child_vitA,1,16,11,0.4,20,231,19.8,9.681,-1.917,3.652,-2.648
Ghana,child_vitA,2,16,11,0.4,25,335,28.8,10.218,3.335,3.758,0.559
Ghana,child_vitA,3,16,11,0.4,25,306,26.3,11.621,-1.495,7.044,-1.781
Ghana,child_vitA,1,16,11,0.6,39,467,40.1,10.722,-2.214,4.862,-2.661
Ghana,child_vitA,2,16,11,0.6,39,512,43.9,10.301,-1.023,4.624,-1.765
Ghana,child_vitA,3,16,11,0.6,38,552,47.4,10.223,-0.26,3.188,0.027
Ghana,child_vitA,1,16,11,0.8,40,496,42.6,9.886,0.644,3.676,-0.641
Ghana,child_vitA,2,16,11,0.8,40,478,41,9.743,-1.785,3.8,-2.727
Ghana,child_vitA,3,16,11,0.8,42,535,45.9,10.469,-1.227,3.666,-1.327
Ghana,child_vitA,1,16,11,1,57,805,69.1,9.775,1.181,1.005,-0.218
Ghana,child_vitA,2,16,11,1,64,862,74,9.584,0.62,1.081,-0.652
Ghana,child_vitA,3,16,11,1,62,794,68.2,10.042,3.192,2.734,2.734
Ghana,child_vitA,1,16,13,0.15,15,208,17.9,10.575,-2.312,5.731,-2.709
Ghana,child_vitA,2,16,13,0.15,15,223,19.1,12.471,3.422,8.414,3.539
Ghana,child_vitA,3,16,13,0.15,15,196,16.8,11.328,-6.385,7.656,-6.603
Ghana,child_vitA,1,16,13,0.25,24,355,30.5,10.44,0.551,6.269,-0.514
Ghana,child_vitA,2,16,13,0.25,23,283,24.3,10.36,1.19,5.853,0.794
Ghana,child_vitA,3,16,13,0.25,23,305,26.2,10.897,-3.113,6.284,-2.444
Ghana,child_vitA,1,16,13,0.4,27,355,30.5,11.22,1.076,5.093,-0.949
Ghana,child_vitA,2,16,13,0.4,27,326,28,11.042,1.216,5.771,-0.346
Ghana,child_vitA,3,16,13,0.4,33,397,34.1,10.891,2.189,3.858,0.003
Ghana,child_vitA,1,16,13,0.6,43,595,51.1,10.513,3.014,2.691,1.572
Ghana,child_vitA,2,16,13,0.6,48,637,54.7,9.892,1.624,2.037,0.619
Ghana,child_vitA,3,16,13,0.6,43,574,49.3,10.104,1.505,2.765,-0.313
Ghana,child_vitA,1,16,13,0.8,54,657,56.4,10.138,1.371,3.31,-0.034
Ghana,child_vitA,2,16,13,0.8,57,714,61.3,10.126,-0.95,2.833,-2.048
Ghana,child_vitA,3,16,13,0.8,57,701,60.2,10.891,0.367,2.199,-0.469
Ghana,child_vitA,1,16,13,1,81,1021,87.6,10.102,0.915,1.084,0.163
Ghana,child_vitA,2,16,13,1,72,912,78.3,10.197,0.252,0.983,-0.876
Ghana,child_vitA,3,16,13,1,78,990,85,9.904,0.742,0.985,-0.095
Ghana,child_vitA,1,16,14,0.15,15,173,14.8,12.275,-1.093,8.083,-1.939
Ghana,child_vitA,2,16,14,0.15,15,203,17.4,10.197,-1.177,4.623,-2.521
Ghana,child_vitA,3,16,14,0.15,16,206,17.7,10.758,-0.686,6.278,0.27
Ghana,child_vitA,1,16,14,0.25,24,304,26.1,10.105,-2.531,4.833,-3.137
Ghana,child_vitA,2,16,14,0.25,24,291,25,10.613,-4.081,5.832,-3.558
Ghana,child_vitA,3,16,14,0.25,24,342,29.4,10.763,-3.255,4.879,-3.636
Ghana,child_vitA,1,16,14,0.4,32,456,39.1,10.687,1.255,5.051,0.495
Ghana,child_vitA,2,16,14,0.4,34,374,32.1,11.918,0.011,6.336,-0.365
Ghana,child_vitA,3,16,14,0.4,31,386,33.1,10.143,-1.996,6.232,-3.184
Ghana,child_vitA,1,16,14,0.6,53,659,56.6,10.609,0.489,3.078,0.192
Ghana,child_vitA,2,16,14,0.6,44,524,45,10.984,0.996,3.288,-0.426
Ghana,child_vitA,3,16,14,0.6,47,599,51.4,10.619,1.277,3.66,0.602
Ghana,child_vitA,1,16,14,0.8,61,812,69.7,10.479,1.154,2.555,0.953
Ghana,child_vitA,2,16,14,0.8,68,889,76.3,10.244,0.075,2.135,0.267
Ghana,child_vitA,3,16,14,0.8,67,787,67.6,10.396,0.957,2.133,-0.703
Ghana,child_vitA,1,16,14,1,80,1022,87.7,10.134,0.768,0.606,-0.388
Ghana,child_vitA,2,16,14,1,79,993,85.2,9.998,0.899,0.431,-0.275
Ghana,child_vitA,3,16,14,1,81,1062,91.2,9.866,0.699,0.615,-0.615
Ghana,child_vitA,1,16,16,0.15,18,230,19.7,11.893,0.6,6.486,1.37
Ghana,child_vitA,2,16,16,0.15,18,194,16.7,13.226,-2.144,10.241,-1.368
Ghana,child_vitA,3,16,16,0.15,18,216,18.5,12.538,0.473,7.984,0.638
Ghana,child_vitA,1,16,16,0.25,27,368,31.6,10.025,1.678,4.526,-0.228
Ghana,child_vitA,2,16,16,0.25,27,360,30.9,11.603,2.708,6.488,0.705
Ghana,child_vitA,3,16,16,0.25,27,402,34.5,11.398,1.202,3.698,0.497
Ghana,child_vitA,1,16,16,0.4,36,425,36.5,11.284,1.532,5.088,-0.673
Ghana,child_vitA,2,16,16,0.4,36,486,41.7,10.602,1.299,4.733,-0.173
Ghana,child_vitA,3,16,16,0.4,36,500,42.9,11.475,1.887,4.891,1.15
Ghana,child_vitA,1,16,16,0.6,56,732,62.8,10.571,-0.483,2.832,-0.944
Ghana,child_vitA,2,16,16,0.6,56,745,63.9,10.842,1.996,3.211,1.121
Ghana,child_vitA,3,16,16,0.6,56,793,68.1,9.885,0.56,2.275,-0.997
Ghana,child_vitA,1,16,16,0.8,71,919,78.9,10.157,-0.516,1.796,-1.375
Ghana,child_vitA,2,16,16,0.8,71,901,77.3,10.745,1.136,1.378,-0.213
Ghana,child_vitA,3,16,16,0.8,71,924,79.3,10.565,1.54,1.681,0.427
Ghana,child_vitA,1,16,16,1,90,1165,100,9.946,1.26,0,0
Ghana,child_vitA,2,16,16,1,90,1165,100,9.946,1.26,0,0
Ghana,child_vitA,3,16,16,1,90,1165,100,9.946,1.26,0,0
Ghana,women_vitA,1,16,3,0.15,4,50,5,3.329,0.669,1.583,0.677
Ghana,women_vitA,2,16,3,0.15,4,53,5.3,2.996,0.332,1.167,0.381
Ghana,women_vitA,3,16,3,0.15,3,38,3.8,1.616,-1.616,1.335,-1.335
Ghana,women_vitA,1,16,3,0.25,5,52,5.2,1.616,-1.616,1.335,-1.335
Ghana,women_vitA,2,16,3,0.25,7,91,9.2,2.522,-0.336,1.227,-0.004
Ghana,women_vitA,3,16,3,0.25,5,60,6,1.616,-1.616,1.335,-1.335
Ghana,women_vitA,1,16,3,0.4,6,66,6.7,2.705,-0.07,1.108,0.021
Ghana,women_vitA,2,16,3,0.4,5,54,5.4,1.616,-1.616,1.335,-1.335
Ghana,women_vitA,3,16,3,0.4,4,36,3.6,1.616,-1.616,1.335,-1.335
Ghana,women_vitA,1,16,3,0.6,10,95,9.6,2.847,0.332,1.057,0.553
Ghana,women_vitA,2,16,3,0.6,12,160,16.1,2.407,-0.568,1.232,-0.164
Ghana,women_vitA,3,16,3,0.6,14,124,12.5,3.775,1.409,1.898,1.632
Ghana,women_vitA,1,16,3,0.8,14,154,15.5,2.535,-0.295,1.222,-0.157
Ghana,women_vitA,2,16,3,0.8,12,116,11.7,2.77,-0.065,1.165,0.182
Ghana,women_vitA,3,16,3,0.8,23,305,30.7,2.063,-0.977,1.21,-0.713
Ghana,women_vitA,1,16,3,1,16,144,14.5,2.412,-0.335,0.882,-0.108
Ghana,women_vitA,2,16,3,1,15,177,17.8,2.881,0.117,1.003,0.309
Ghana,women_vitA,3,16,3,1,14,134,13.5,2.436,-0.54,1.066,-0.286
Ghana,women_vitA,1,16,5,0.15,6,62,6.2,3.463,0.876,2.066,1.135
Ghana,women_vitA,2,16,5,0.15,5,66,6.7,2.247,-0.746,1.287,-0.301
Ghana,women_vitA,3,16,5,0.15,6,56,5.6,1.616,-1.616,1.335,-1.335
Ghana,women_vitA,1,16,5,0.25,6,72,7.3,1.616,-1.616,1.335,-1.335
Ghana,women_vitA,2,16,5,0.25,7,74,7.5,1.616,-1.616,1.335,-1.335
Ghana,women_vitA,3,16,5,0.25,8,108,10.9,2.588,-0.542,2.222,0.154
Ghana,women_vitA,1,16,5,0.4,10,93,9.4,1.616,-1.616,1.335,-1.335
Ghana,women_vitA,2,16,5,0.4,11,90,9.1,3.645,1.048,2.001,1.142
Ghana,women_vitA,3,16,5,0.4,10,119,12,2.016,-1.032,1.057,-0.873
Ghana,women_vitA,1,16,5,0.6,15,179,18,2.53,-0.422,1.031,-0.278
Ghana,women_vitA,2,16,5,0.6,15,160,16.1,1.616,-1.616,1.335,-1.335
Ghana,women_vitA,3,16,5,0.6,18,212,21.4,2.164,-0.974,1.221,-0.547
Ghana,women_vitA,1,16,5,0.8,19,178,17.9,2.435,-0.421,1.085,-0.374
Ghana,women_vitA,2,16,5,0.8,14,152,15.3,1.616,-1.616,1.335,-1.335
Ghana,women_vitA,3,16,5,0.8,18,201,20.3,2.346,-0.633,1.06,-0.507
Ghana,women_vitA,1,16,5,1,21,249,25.1,2.085,-0.91,1.047,-0.765
Ghana,women_vitA,2,16,5,1,45,537,54.1,2.629,-0.112,0.771,0.113
Ghana,women_vitA,3,16,5,1,29,349,35.2,2.156,-0.722,0.852,-0.507
Ghana,women_vitA,1,16,6,0.15,6,88,8.9,1.616,-1.616,1.335,-1.335
Ghana,women_vitA,2,16,6,0.15,6,50,5,1.616,-1.616,1.335,-1.335
Ghana,women_vitA,3,16,6,0.15,7,96,9.7,4.414,1.991,3.479,2.835
Ghana,women_vitA,1,16,6,0.25,12,132,13.3,1.616,-1.616,1.335,-1.335
Ghana,women_vitA,2,16,6,0.25,7,78,7.9,1.616,-1.616,1.335,-1.335
Ghana,women_vitA,3,16,6,0.25,8,87,8.8,3.799,1.145,2.198,1.608
Ghana,women_vitA,1,16,6,0.4,15,176,17.7,3.079,0.333,1.481,0.586
Ghana,women_vitA,2,16,6,0.4,14,157,15.8,1.963,-1.101,1.112,-0.825
Ghana,women_vitA,3,16,6,0.4,13,143,14.4,2.739,-0.247,1.496,-0.124
Ghana,women_vitA,1,16,6,0.6,20,203,20.5,2.356,-0.619,1.08,-0.467
Ghana,women_vitA,2,16,6,0.6,16,139,14,2.509,-0.502,1.186,-0.31
Ghana,women_vitA,3,16,6,0.6,23,259,26.1,2.387,-0.495,1.04,-0.428
Ghana,women_vitA,1,16,6,0.8,24,226,22.8,2.611,-0.28,1.101,-0.101
Ghana,women_vitA,2,16,6,0.8,33,378,38.1,2.832,0.023,0.901,0.313
Ghana,women_vitA,3,16,6,0.8,27,281,28.3,2.834,0.12,0.934,0.184
Ghana,women_vitA,1,16,6,1,31,330,33.3,2.684,-0.273,0.871,-0.046
Ghana,women_vitA,2,16,6,1,30,319,32.2,2.83,-0.056,0.85,0.114
Ghana,women_vitA,3,16,6,1,32,420,42.3,2.135,-0.905,0.985,-0.714
Ghana,women_vitA,1,16,8,0.15,10,114,11.5,2.549,-0.485,1.365,-0.582
Ghana,women_vitA,2,16,8,0.15,9,78,7.9,2.779,-0.308,2.269,0.297
Ghana,women_vitA,3,16,8,0.15,9,108,10.9,2.594,-0.461,1.49,-0.565
Ghana,women_vitA,1,16,8,0.25,11,125,12.6,2.678,-0.237,1.482,-0.005
Ghana,women_vitA,2,16,8,0.25,16,170,17.1,2.135,-0.978,1.295,-0.848
Ghana,women_vitA,3,16,8,0.25,14,176,17.7,2.426,-0.474,1.028,-0.415
Ghana,women_vitA,1,16,8,0.4,21,247,24.9,2.229,-0.876,1.21,-0.715
Ghana,women_vitA,2,16,8,0.4,15,142,14.3,2.569,-0.423,1.17,-0.308
Ghana,women_vitA,3,16,8,0.4,22,215,21.7,2.969,0.148,1.264,0.219
Ghana,women_vitA,1,16,8,0.6,33,426,42.9,2.58,-0.261,1.014,-0.197
Ghana,women_vitA,2,16,8,0.6,33,358,36.1,2.518,-0.351,0.99,-0.29
Ghana,women_vitA,3,16,8,0.6,22,204,20.6,3.126,0.267,0.971,0.23
Ghana,women_vitA,1,16,8,0.8,44,484,48.8,2.772,-0.2,0.96,0.006
Ghana,women_vitA,2,16,8,0.8,31,310,31.2,2.601,-0.335,1.039,-0.266
Ghana,women_vitA,3,16,8,0.8,29,278,28,2.957,0.342,0.794,0.249
Ghana,women_vitA,1,16,8,1,39,399,40.2,2.71,-0.089,0.48,0.118
Ghana,women_vitA,2,16,8,1,47,501,50.5,3.138,0.429,0.614,0.452
Ghana,women_vitA,3,16,8,1,46,479,48.3,2.672,-0.104,0.565,0.04
Ghana,women_vitA,1,16,10,0.15,12,149,15,1.916,-1.27,1.452,-0.706
Ghana,women_vitA,2,16,10,0.15,12,149,15,1.941,-1.257,1.489,-0.694
Ghana,women_vitA,3,16,10,0.15,10,94,9.5,1.616,-1.616,1.335,-1.335
Ghana,women_vitA,1,16,10,0.25,16,140,14.1,3.915,1.792,1.626,1.386
Ghana,women_vitA,2,16,10,0.25,16,173,17.4,2.208,-0.957,1.347,-0.814
Ghana,women_vitA,3,16,10,0.25,17,160,16.1,2.905,0.103,1.211,-0.012
Ghana,women_vitA,1,16,10,0.4,21,238,24,2.431,-0.649,1.354,-0.533
Ghana,women_vitA,2,16,10,0.4,24,278,28,2.19,-0.889,1.176,-0.857
Ghana,women_vitA,3,16,10,0.4,23,274,27.6,3.113,0.389,0.944,0.305
Ghana,women_vitA,1,16,10,0.6,36,367,37,2.588,-0.354,0.857,-0.25
Ghana,women_vitA,2,16,10,0.6,33,351,35.4,3.063,0.256,0.795,0.399
Ghana,women_vitA,3,16,10,0.6,38,443,44.7,3.467,0.649,0.853,0.837
Ghana,women_vitA,1,16,10,0.8,42,423,42.6,3.236,0.391,0.739,0.459
Ghana,women_vitA,2,16,10,0.8,46,528,53.2,2.993,0.071,0.772,0.136
Ghana,women_vitA,3,16,10,0.8,39,379,38.2,3.059,0.251,0.708,0.252
Ghana,women_vitA,1,16,10,1,65,710,71.6,2.804,-0.086,0.448,0.177
Ghana,women_vitA,2,16,10,1,46,487,49.1,2.525,-0.44,0.591,-0.367
Ghana,women_vitA,3,16,10,1,54,625,63,2.525,-0.364,0.466,-0.223
Ghana,women_vitA,1,16,11,0.15,12,117,11.8,1.616,-1.616,1.335,-1.335
Ghana,women_vitA,2,16,11,0.15,12,121,12.2,2.072,-0.822,1.358,-0.516
Ghana,women_vitA,3,16,11,0.15,12,127,12.8,1.616,-1.616,1.335,-1.335
Ghana,women_vitA,1,16,11,0.25,20,226,22.8,1.822,-1.243,1.095,-0.904
Ghana,women_vitA,2,16,11,0.25,20,206,20.8,2.613,-0.227,1.004,-0.285
Ghana,women_vitA,3,16,11,0.25,19,201,20.3,2.588,-0.37,1.221,-0.332
Ghana,women_vitA,1,16,11,0.4,27,334,33.7,3.078,0.145,1.338,0.089
Ghana,women_vitA,2,16,11,0.4,25,282,28.4,2.838,-0.1,1.149,-0.087
Ghana,women_vitA,3,16,11,0.4,24,275,27.7,2.543,-0.604,1.457,-0.439
Ghana,women_vitA,1,16,11,0.6,47,510,51.4,3.518,0.678,1.39,0.987
Ghana,women_vitA,2,16,11,0.6,38,401,40.4,2.888,-0.155,1.077,0.086
Ghana,women_vitA,3,16,11,0.6,31,322,32.5,2.628,-0.233,1.037,-0.328
Ghana,women_vitA,1,16,11,0.8,45,517,52.1,2.904,0.159,0.649,0.185
Ghana,women_vitA,2,16,11,0.8,44,489,49.3,2.97,0.115,0.617,0.334
Ghana,women_vitA,3,16,11,0.8,44,528,53.2,2.682,-0.29,0.786,-0.165
Ghana,women_vitA,1,16,11,1,58,661,66.6,2.442,-0.438,0.46,-0.357
Ghana,women_vitA,2,16,11,1,62,715,72.1,2.672,-0.199,0.42,-0.142
Ghana,women_vitA,3,16,11,1,72,833,84,2.707,-0.293,0.511,-0.105
Ghana,women_vitA,1,16,13,0.15,14,160,16.1,2.519,-0.605,1.801,-0.044
Ghana,women_vitA,2,16,13,0.15,15,168,16.9,4.3,1.313,3.252,1.622
Ghana,women_vitA,3,16,13,0.15,15,189,19.1,4.261,1.605,3.324,2.228
Ghana,women_vitA,1,16,13,0.25,20,195,19.7,3.018,0.05,1.704,-0.172
Ghana,women_vitA,2,16,13,0.25,23,238,24,2.398,-0.626,1.558,-0.326
Ghana,women_vitA,3,16,13,0.25,22,257,25.9,3.375,0.439,1.326,0.014
Ghana,women_vitA,1,16,13,0.4,27,292,29.4,2.618,-0.237,1.118,-0.455
Ghana,women_vitA,2,16,13,0.4,31,331,33.4,3.088,0.054,1.471,-0.083
Ghana,women_vitA,3,16,13,0.4,32,366,36.9,2.873,0.125,1.31,0.148
Ghana,women_vitA,1,16,13,0.6,49,549,55.3,3.354,0.543,0.998,0.749
Ghana,women_vitA,2,16,13,0.6,45,462,46.6,2.629,-0.388,1.075,-0.302
Ghana,women_vitA,3,16,13,0.6,43,474,47.8,2.707,-0.034,0.758,0.045
Ghana,women_vitA,1,16,13,0.8,63,711,71.7,2.713,-0.132,0.717,-0.082
Ghana,women_vitA,2,16,13,0.8,65,710,71.6,2.918,0.062,0.621,0.062
Ghana,women_vitA,3,16,13,0.8,54,557,56.1,3.047,0.233,0.569,0.104
Ghana,women_vitA,1,16,13,1,71,800,80.6,2.686,-0.353,0.362,-0.241
Ghana,women_vitA,2,16,13,1,73,811,81.8,2.727,-0.117,0.224,-0.096
Ghana,women_vitA,3,16,13,1,77,874,88.1,2.73,-0.11,0.157,-0.019
Ghana,women_vitA,1,16,14,0.15,16,174,17.5,3.294,0.359,2.683,0.681
Ghana,women_vitA,2,16,14,0.15,15,164,16.5,3.41,0.719,1.713,0.334
Ghana,women_vitA,3,16,14,0.15,16,170,17.1,2.632,-0.554,2.01,-0.082
Ghana,women_vitA,1,16,14,0.25,24,260,26.2,2.816,-0.082,1.253,0.26
Ghana,women_vitA,2,16,14,0.25,23,244,24.6,1.986,-1.231,1.369,-1.014
Ghana,women_vitA,3,16,14,0.25,25,274,27.6,2.395,-0.746,1.604,-0.442
Ghana,women_vitA,1,16,14,0.4,31,327,33,1.865,-1.337,1.302,-1.212
Ghana,women_vitA,2,16,14,0.4,32,360,36.3,3.088,0.308,1.176,0.503
Ghana,women_vitA,3,16,14,0.4,28,295,29.7,2.096,-0.974,1.05,-0.947
Ghana,women_vitA,1,16,14,0.6,53,553,55.7,3.41,0.566,0.862,0.547
Ghana,women_vitA,2,16,14,0.6,50,571,57.6,3.295,0.403,1.016,0.504
Ghana,women_vitA,3,16,14,0.6,52,541,54.5,3.031,-0.153,1.099,0.051
Ghana,women_vitA,1,16,14,0.8,65,738,74.4,2.975,0.21,0.576,0.087
Ghana,women_vitA,2,16,14,0.8,63,662,66.7,2.571,-0.295,0.626,-0.254
Ghana,women_vitA,3,16,14,0.8,63,684,69,2.948,0.081,0.433,0.158
