bin,n,mean_pred,mean_obs,n_events,bin_idx,country,outcome
"(0.157,0.18]",66,0.16626029543141718,0.12121212121212122,8,6,Sierra Leone,child_vitA
"(0.18,0.203]",47,0.19292448123827058,0.1276595744680851,6,7,Sierra Leone,child_vitA
"(0.203,0.226]",31,0.21330359374160252,0.16129032258064516,5,8,Sierra Leone,child_vitA
"(0.226,0.249]",27,0.23319984263788326,0.07407407407407407,2,9,Sierra Leone,child_vitA
"(0.249,0.272]",16,0.2718180952225217,0.1875,3,10,Sierra Leone,child_vitA
"[0.0121,0.0151]",195,0.012980601140308448,0.03076923076923077,6,1,Sierra Leone,women_vitA
"(0.0151,0.018]",217,0.01707866126096008,0.018433179723502304,4,2,Sierra Leone,women_vitA
"(0.018,0.021]",298,0.01869018147500059,0.013422818791946308,4,3,Sierra Leone,women_vitA
"(0.021,0.024]",14,0.02127954191300675,0,0,4,Sierra Leone,women_vitA
"(0.024,0.0269]",0,NA,NA,NA,5,Sierra Leone,women_vitA
"(0.0269,0.0299]",5,0.027490279872084255,0,0,6,Sierra Leone,women_vitA
"(0.0299,0.0329]",0,NA,NA,NA,7,Sierra Leone,women_vitA
"(0.0329,0.0358]",0,NA,NA,NA,8,Sierra Leone,women_vitA
"(0.0358,0.0388]",18,0.03847873635866813,0,0,9,Sierra Leone,women_vitA
"(0.0388,0.0418]",27,0.04173516110670986,0,0,10,Sierra Leone,women_vitA
"[0.0627,0.0654]",68,0.06405093444182593,0.07352941176470588,5,1,Sierra Leone,child_iron
"(0.0654,0.0681]",33,0.06700291123354074,0.12121212121212122,4,2,Sierra Leone,child_iron
"(0.0681,0.0707]",46,0.06880542166207147,0.043478260869565216,2,3,Sierra Leone,child_iron
"(0.0707,0.0734]",130,0.07226668172157728,0.06153846153846154,8,4,Sierra Leone,child_iron
"(0.0734,0.0761]",53,0.07461048184700732,0.018867924528301886,1,5,Sierra Leone,child_iron
"(0.0761,0.0788]",94,0.07672282974136636,0.07446808510638298,7,6,Sierra Leone,child_iron
"(0.0788,0.0815]",22,0.07961014455015009,0,0,7,Sierra Leone,child_iron
"(0.0815,0.0841]",19,0.08316724551351447,0,0,8,Sierra Leone,child_iron
"(0.0841,0.0868]",9,0.08594422787427902,0,0,9,Sierra Leone,child_iron
"(0.0868,0.0895]",12,0.08886710926890373,0.08333333333333333,1,10,Sierra Leone,child_iron
"[0.0338,0.0597]",198,0.051974956835071646,0.05555555555555555,11,1,Sierra Leone,women_iron
"(0.0597,0.0854]",175,0.07744286837534083,0.09714285714285714,17,2,Sierra Leone,women_iron
"(0.0854,0.111]",147,0.10152956439380062,0.1292517006802721,19,3,Sierra Leone,women_iron
"(0.111,0.137]",139,0.12674449896669454,0.07913669064748201,11,4,Sierra Leone,women_iron
"(0.137,0.162]",57,0.14363674212698874,0.15789473684210525,9,5,Sierra Leone,women_iron
"(0.162,0.188]",18,0.17208093328093843,0.05555555555555555,1,6,Sierra Leone,women_iron
"(0.188,0.214]",16,0.19602192618577768,0.125,2,7,Sierra Leone,women_iron
"(0.214,0.239]",11,0.22182532754057493,0.09090909090909091,1,8,Sierra Leone,women_iron
"(0.239,0.265]",0,NA,NA,NA,9,Sierra Leone,women_iron
"(0.265,0.291]",13,0.29077220673468024,0.15384615384615385,2,10,Sierra Leone,women_iron
"[0.402,0.459]",37,0.4071725562292311,0.8918918918918919,33,1,Sierra Leone,women_folate
"(0.459,0.515]",0,NA,NA,NA,2,Sierra Leone,women_folate
"(0.515,0.571]",0,NA,NA,NA,3,Sierra Leone,women_folate
"(0.571,0.628]",52,0.6096731063002562,0.7307692307692307,38,4,Sierra Leone,women_folate
"(0.628,0.684]",48,0.6636423671236746,0.7916666666666666,38,5,Sierra Leone,women_folate
"(0.684,0.74]",99,0.7175710119944964,0.7272727272727273,72,6,Sierra Leone,women_folate
"(0.74,0.796]",188,0.7699082913463329,0.75,141,7,Sierra Leone,women_folate
"(0.796,0.852]",106,0.8244802127168729,0.8490566037735849,90,8,Sierra Leone,women_folate
"(0.852,0.908]",163,0.8809004517798031,0.8220858895705522,134,9,Sierra Leone,women_folate
"(0.908,0.965]",73,0.9285756122754927,0.8493150684931506,62,10,Sierra Leone,women_folate
"[0.0033,0.00363]",162,0.0033003300330032887,0.012345679012345678,2,1,Sierra Leone,women_b12
"(0.00363,0.00396]",0,NA,NA,NA,2,Sierra Leone,women_b12
"(0.00396,0.00429]",0,NA,NA,NA,3,Sierra Leone,women_b12
"(0.00429,0.00462]",0,NA,NA,NA,4,Sierra Leone,women_b12
"(0.00462,0.00496]",130,0.004702194357366781,0.007692307692307693,1,5,Sierra Leone,women_b12
"(0.00496,0.00529]",171,0.005025125628140704,0.005847953216374269,1,6,Sierra Leone,women_b12
"(0.00529,0.00562]",0,NA,NA,NA,7,Sierra Leone,women_b12
"(0.00562,0.00595]",0,NA,NA,NA,8,Sierra Leone,women_b12
"(0.00595,0.00628]",0,NA,NA,NA,9,Sierra Leone,women_b12
"(0.00628,0.00661]",305,0.006508308830245009,0,0,10,Sierra Leone,women_b12
"[0.0123,0.0353]",72,0.023565847312470457,0.06944444444444445,5,1,Malawi,child_vitA
"(0.0353,0.0581]",186,0.04552595647883075,0.06989247311827956,13,2,Malawi,child_vitA
"(0.0581,0.081]",290,0.07057672490775416,0.06896551724137931,20,3,Malawi,child_vitA
"(0.081,0.104]",208,0.09068804294963896,0.0673076923076923,14,4,Malawi,child_vitA
"(0.104,0.127]",167,0.11436564534927703,0.11377245508982035,19,5,Malawi,child_vitA
"(0.127,0.149]",46,0.13366077057371767,0.2391304347826087,11,6,Malawi,child_vitA
"(0.149,0.172]",79,0.16391043590932688,0.11392405063291139,9,7,Malawi,child_vitA
"(0.172,0.195]",82,0.18141482507957432,0.18292682926829268,15,8,Malawi,child_vitA
"(0.195,0.218]",0,NA,NA,NA,9,Malawi,child_vitA
"(0.218,0.241]",19,0.24067343010037107,0.05263157894736842,1,10,Malawi,child_vitA
"[-8.27e-05,0.00837]",369,0.0024786081332386295,0.0027100271002710027,1,1,Malawi,women_vitA
"(0.00837,0.0167]",188,0.012194203870490751,0.026595744680851064,5,2,Malawi,women_vitA
"(0.0167,0.0251]",119,0.020528041780903405,0.01680672268907563,2,3,Malawi,women_vitA
"(0.0251,0.0335]",28,0.027469169319285527,0.07142857142857142,2,4,Malawi,women_vitA
"(0.0335,0.0418]",37,0.0377503533977992,0.02702702702702703,1,5,Malawi,women_vitA
"(0.0418,0.0502]",37,0.046640529299726355,0,0,6,Malawi,women_vitA
"(0.0502,0.0586]",16,0.05627239961567068,0,0,7,Malawi,women_vitA
"(0.0586,0.0669]",8,0.060322111222111195,0,0,8,Malawi,women_vitA
"(0.0669,0.0753]",24,0.06952714695936446,0,0,9,Malawi,women_vitA
"(0.0753,0.0838]",10,0.08367383466206996,0,0,10,Malawi,women_vitA
"[0.00397,0.0374]",46,0.012173558872617144,0.06521739130434782,3,1,Malawi,child_iron
"(0.0374,0.0705]",183,0.0575027327788135,0.08196721311475409,15,2,Malawi,child_iron
"(0.0705,0.104]",343,0.08666415278758896,0.08454810495626822,29,3,Malawi,child_iron
"(0.104,0.137]",293,0.12288577332420804,0.07508532423208192,22,4,Malawi,child_iron
"(0.137,0.17]",128,0.14262888129388768,0.1015625,13,5,Malawi,child_iron
"(0.17,0.203]",92,0.1834052169116711,0.17391304347826086,16,6,Malawi,child_iron
"(0.203,0.236]",17,0.2216479874248091,0.11764705882352941,2,7,Malawi,child_iron
"(0.236,0.269]",31,0.24636154844552532,0.1935483870967742,6,8,Malawi,child_iron
"(0.269,0.302]",0,NA,NA,NA,9,Malawi,child_iron
"(0.302,0.336]",16,0.33129633231849226,0.25,4,10,Malawi,child_iron
"[0.0432,0.0809]",368,0.06401397452851676,0.09239130434782608,34,1,Malawi,women_iron
"(0.0809,0.118]",264,0.09781102220894712,0.0946969696969697,25,2,Malawi,women_iron
"(0.118,0.156]",97,0.135539995256773,0.10309278350515463,10,3,Malawi,women_iron
"(0.156,0.193]",25,0.167902193069458,0.08,2,4,Malawi,women_iron
"(0.193,0.23]",14,0.21744567900896072,0.35714285714285715,5,5,Malawi,women_iron
"(0.23,0.267]",8,0.2323000580072403,0,0,6,Malawi,women_iron
"(0.267,0.305]",0,NA,NA,NA,7,Malawi,women_iron
"(0.305,0.342]",0,NA,NA,NA,8,Malawi,women_iron
"(0.342,0.379]",0,NA,NA,NA,9,Malawi,women_iron
"(0.379,0.417]",5,0.4167395234107971,0.4,2,10,Malawi,women_iron
"[0.0216,0.0804]",208,0.04906649173846325,0.09134615384615384,19,1,Malawi,women_folate
"(0.0804,0.139]",219,0.10749264500320774,0.1689497716894977,37,2,Malawi,women_folate
"(0.139,0.197]",104,0.17201882801376855,0.16346153846153846,17,3,Malawi,women_folate
"(0.197,0.255]",77,0.2194523588790522,0.3246753246753247,25,4,Malawi,women_folate
"(0.255,0.313]",38,0.2814755071150629,0.2631578947368421,10,5,Malawi,women_folate
"(0.313,0.371]",80,0.34863621182739735,0.3375,27,6,Malawi,women_folate
"(0.371,0.429]",33,0.39220328403241705,0.3333333333333333,11,7,Malawi,women_folate
"(0.429,0.488]",43,0.4562812856463499,0.4418604651162791,19,8,Malawi,women_folate
"(0.488,0.546]",20,0.5181809484958648,0.25,5,9,Malawi,women_folate
"(0.546,0.605]",6,0.6039976477622986,0.3333333333333333,2,10,Malawi,women_folate
"[0.00307,0.0123]",243,0.008380982377240763,0.00411522633744856,1,1,Malawi,women_b12
"(0.0123,0.0215]",150,0.017889254124532673,0,0,2,Malawi,women_b12
"(0.0215,0.0307]",110,0.0242128989592383,0.01818181818181818,2,3,Malawi,women_b12
"(0.0307,0.0399]",90,0.03584975895165784,0.03333333333333333,3,4,Malawi,women_b12
"(0.0399,0.049]",85,0.04343217985767188,0.10588235294117647,9,5,Malawi,women_b12
"(0.049,0.0582]",41,0.05484538250862487,0.04878048780487805,2,6,Malawi,women_b12
"(0.0582,0.0674]",46,0.06138854900396034,0.08695652173913043,4,7,Malawi,women_b12
"(0.0674,0.0766]",25,0.07109604245212517,0.04,1,8,Malawi,women_b12
"(0.0766,0.0858]",28,0.07776491106156198,0.03571428571428571,1,9,Malawi,women_b12
"(0.0858,0.095]",21,0.0892830287721624,0,0,10,Malawi,women_b12
"[0.575,0.578]",226,0.5748898678414097,0.6548672566371682,148,1,Malawi,child_zinc
"(0.578,0.581]",0,NA,NA,NA,2,Malawi,child_zinc
"(0.581,0.584]",0,NA,NA,NA,3,Malawi,child_zinc
"(0.584,0.588]",206,0.5851293103448276,0.616504854368932,127,4,Malawi,child_zinc
"(0.588,0.591]",231,0.5891472868217055,0.5974025974025974,138,5,Malawi,child_zinc
"(0.591,0.594]",0,NA,NA,NA,6,Malawi,child_zinc
"(0.594,0.597]",0,NA,NA,NA,7,Malawi,child_zinc
"(0.597,0.601]",263,0.5981630309988519,0.5665399239543726,149,8,Malawi,child_zinc
"(0.601,0.604]",0,NA,NA,NA,9,Malawi,child_zinc
