country,outcome,arm,protocol,unit,n_units,n_pred,r,mae_pp,status,reason
Malawi,child_vitA,questionnaire,cluster_kfold,district,NA,NA,NA,NA,not_computed,"survey domain empty: no gw_ columns, so this arm would be the proxy arm"
Malawi,child_vitA,questionnaire,cluster_kfold,cluster,NA,NA,NA,NA,not_computed,"survey domain empty: no gw_ columns, so this arm would be the proxy arm"
Malawi,child_vitA,questionnaire_hb,region_loro,district,NA,NA,NA,NA,not_computed,"survey domain empty: no gw_ columns, so this arm would be the proxy arm"
Malawi,child_vitA,questionnaire_hb,region_loro,cluster,NA,NA,NA,NA,not_computed,"survey domain empty: no gw_ columns, so this arm would be the proxy arm"
Malawi,child_vitA,questionnaire_hb,cluster_kfold,district,NA,NA,NA,NA,not_computed,"survey domain empty: no gw_ columns, so this arm would be the proxy arm"
Malawi,child_vitA,questionnaire_hb,cluster_kfold,cluster,NA,NA,NA,NA,not_computed,"survey domain empty: no gw_ columns, so this arm would be the proxy arm"
Malawi,child_vitA,proxy,region_loro,district,83,1147,0.0789,8.57,measured,NA
Malawi,child_vitA,proxy,region_loro,cluster,97,1147,0.0783,9.16,measured,NA
Malawi,child_vitA,proxy,cluster_kfold,district,83,1147,0.2342,7.59,measured,NA
Malawi,child_vitA,proxy,cluster_kfold,cluster,97,1147,0.2035,7.76,measured,NA
Malawi,women_iron,questionnaire,region_loro,district,NA,NA,NA,NA,not_computed,"survey domain empty: no gw_ columns, so this arm would be the proxy arm"
Malawi,women_iron,questionnaire,region_loro,cluster,NA,NA,NA,NA,not_computed,"survey domain empty: no gw_ columns, so this arm would be the proxy arm"
Malawi,women_iron,questionnaire,cluster_kfold,district,NA,NA,NA,NA,not_computed,"survey domain empty: no gw_ columns, so this arm would be the proxy arm"
Malawi,women_iron,questionnaire,cluster_kfold,cluster,NA,NA,NA,NA,not_computed,"survey domain empty: no gw_ columns, so this arm would be the proxy arm"
Malawi,women_iron,questionnaire_hb,region_loro,district,NA,NA,NA,NA,not_computed,"survey domain empty: no gw_ columns, so this arm would be the proxy arm"
Malawi,women_iron,questionnaire_hb,region_loro,cluster,NA,NA,NA,NA,not_computed,"survey domain empty: no gw_ columns, so this arm would be the proxy arm"
Malawi,women_iron,questionnaire_hb,cluster_kfold,district,NA,NA,NA,NA,not_computed,"survey domain empty: no gw_ columns, so this arm would be the proxy arm"
Malawi,women_iron,questionnaire_hb,cluster_kfold,cluster,NA,NA,NA,NA,not_computed,"survey domain empty: no gw_ columns, so this arm would be the proxy arm"
Malawi,women_iron,proxy,region_loro,district,75,1147,0.1174,9.14,measured,NA
Malawi,women_iron,proxy,region_loro,cluster,88,1147,0.1103,10.23,measured,NA
Malawi,women_iron,proxy,cluster_kfold,district,75,1147,0.0653,9.36,measured,NA
Malawi,women_iron,proxy,cluster_kfold,cluster,88,1147,0.0413,11.05,measured,NA
Malawi,women_vitA,questionnaire,region_loro,district,NA,NA,NA,NA,not_computed,"survey domain empty: no gw_ columns, so this arm would be the proxy arm"
Malawi,women_vitA,questionnaire,region_loro,cluster,NA,NA,NA,NA,not_computed,"survey domain empty: no gw_ columns, so this arm would be the proxy arm"
Malawi,women_vitA,questionnaire,cluster_kfold,district,NA,NA,NA,NA,not_computed,"survey domain empty: no gw_ columns, so this arm would be the proxy arm"
Malawi,women_vitA,questionnaire,cluster_kfold,cluster,NA,NA,NA,NA,not_computed,"survey domain empty: no gw_ columns, so this arm would be the proxy arm"
Malawi,women_vitA,questionnaire_hb,region_loro,district,NA,NA,NA,NA,not_computed,"survey domain empty: no gw_ columns, so this arm would be the proxy arm"
Malawi,women_vitA,questionnaire_hb,region_loro,cluster,NA,NA,NA,NA,not_computed,"survey domain empty: no gw_ columns, so this arm would be the proxy arm"
Malawi,women_vitA,questionnaire_hb,cluster_kfold,district,NA,NA,NA,NA,not_computed,"survey domain empty: no gw_ columns, so this arm would be the proxy arm"
Malawi,women_vitA,questionnaire_hb,cluster_kfold,cluster,NA,NA,NA,NA,not_computed,"survey domain empty: no gw_ columns, so this arm would be the proxy arm"
Malawi,women_vitA,proxy,region_loro,district,79,1147,0.0604,2.48,measured,NA
Malawi,women_vitA,proxy,region_loro,cluster,93,1147,0.1016,2.22,measured,NA
Malawi,women_vitA,proxy,cluster_kfold,district,79,1147,0.0247,2.53,measured,NA
Malawi,women_vitA,proxy,cluster_kfold,cluster,93,1147,0.0621,2.28,measured,NA
