variable,level,prefix,source,source_kind,conceptual_domain,conceptual_subdomain,description,countries_present,n_countries,in_all_countries,reaches_area_model,reaches_individual_model,note
dhs2013_CN_BRFS_C_EXB,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,Child Nutrition,Breastfeeding,Breastfeeding status and duration,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_CN_BRFS_C_EXB_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,Child Nutrition,Breastfeeding,Breastfeeding status and duration,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_CN_NUTS_C_HA2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,Child Nutrition,Child nutritional status,Stunting wasting and underweight,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_CN_NUTS_C_HA2_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,Child Nutrition,Child nutritional status,Stunting wasting and underweight,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_CN_NUTS_C_WH2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,Child Nutrition,Child nutritional status,Stunting wasting and underweight,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_CN_NUTS_C_WH2_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,Child Nutrition,Child nutritional status,Stunting wasting and underweight,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_FP_CUSA_W_MOD,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,Family Planning,Contraception,Knowledge and use of contraception,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_FP_CUSA_W_MOD_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,Family Planning,Contraception,Knowledge and use of contraception,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_FP_NADA_W_UNT,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,Family Planning,Contraception,Knowledge and use of contraception,SierraLeone,1,FALSE,FALSE,TRUE,NA
dhs2013_FP_NADA_W_UNT_adm2,individual,dhs2013_,DHS 2013 admin-2 aggregate,survey aggregate,Family Planning,Contraception,Knowledge and use of contraception,SierraLeone,1,FALSE,FALSE,TRUE,NA
