country,target,family,r_overall,r_between,r_within,var_share_between,n_units,n_regions
Ghana,AN_ANEM_W_ANY,DHS indicator,0.05933370628423921,0.2834887925493902,0.08212618869023522,0.2021,117,16
Ghana,AN_NUTS_W_THN,DHS indicator,0.21152772732997802,0.527021292304592,0.1560193348250696,0.2437,90,16
Ghana,CH_DIAT_C_ORT,DHS indicator,0.12658334406668814,0.26286882829094954,0.06888394990660886,0.492,59,15
Ghana,CH_VACC_C_BAS,DHS indicator,0.06404236709993603,0.03253784385745487,0.1556418816080691,0.228,73,16
Ghana,CH_VACC_C_DP1,DHS indicator,0.3021460375919259,0.16351250110534157,0.2919200724242126,0.4166,25,13
Ghana,CH_VACC_C_DP3,DHS indicator,0.1689810191362279,0.07101454806304597,0.18760562460800473,0.1767,52,15
Ghana,CH_VACC_C_MSL,DHS indicator,-0.040041320938657116,-0.6261889482427512,0.20272712910158108,0.3359,48,16
Ghana,CH_VACC_C_NON,DHS indicator,0.14087610066472248,-0.02501775198906076,0.8161097520987737,0.2165,13,9
Ghana,CM_ECMR_C_NNR,DHS indicator,-0.12183650033499831,-0.11687139779227908,-0.10420426231771152,0.324,96,16
Ghana,CN_ANMC_C_ANY,DHS indicator,0.3177869550523686,0.5553217161072916,0.22626185824696193,0.1835,111,16
Ghana,CN_BRFS_C_EXB,DHS indicator,0.04241039145603729,-0.20487505892313584,0.23535350198084123,0.403,54,16
Ghana,CN_NUTS_C_HA2,DHS indicator,-0.36540866478579714,-0.5104875057537603,-0.20079430978902976,0.3682,106,16
Ghana,CN_NUTS_C_WH2,DHS indicator,-0.047546176593848334,0.13145738897724096,0.0031246352734373125,0.1311,62,15
Ghana,FP_CUSA_W_MOD,DHS indicator,0.08932884435967844,0.27094657015370816,0.032063569368439244,0.3095,119,16
Ghana,FP_NADA_W_UNT,DHS indicator,0.12352548537666265,0.15234072311587563,0.09782492789040395,0.2566,120,16
Ghana,HA_HIVP_B_HIV,DHS indicator,0.11127357522204737,-0.10372780228246067,0.14207017694127427,0.4857,56,15
Ghana,ML_NETP_H_IT2,DHS indicator,0.33536864979944414,0.5412418073710703,0.06514035662558841,0.5025,117,16
Ghana,RH_ANCN_W_N4P,DHS indicator,0.10051396688034103,0.07815378508439398,0.1361323978597487,0.3983,97,16
Ghana,RH_DELA_C_SKP,DHS indicator,0.40085008108749753,0.5638350058298802,0.27263541087038307,0.5163,112,16
Ghana,WS_TLET_H_IMP,DHS indicator,0.7636468593805603,0.8983970105345593,0.4222767039531726,0.6317,116,16
Ghana,WS_TLET_P_BAS,DHS indicator,0.14825080488448653,0.5600421027304834,-0.11116961645983428,0.2378,109,16
Malawi,AN_ANEM_W_ANY,DHS indicator,0.417383789156471,0.5683996320759453,0.2176528787196069,0.4634,167,27
Malawi,AN_NUTS_W_THN,DHS indicator,-0.19832536561398753,-0.4595882476439776,-0.15003273436000916,0.1247,137,27
Malawi,CH_DIAT_C_ORT,DHS indicator,0.10587554294540422,0.12385235900155026,0.06429786361192943,0.2915,148,27
Malawi,CH_VACC_C_BAS,DHS indicator,-0.028667644238395955,-0.28906784263377855,0.07314746414918963,0.1939,152,27
Malawi,CH_VACC_C_DP1,DHS indicator,-0.19041927691985677,-0.14170979319830443,-0.045369190446417636,0.6929,52,24
Malawi,CH_VACC_C_DP3,DHS indicator,-0.10005464135141857,-0.18069486861971587,-0.04144239054309879,0.3408,105,27
Malawi,CH_VACC_C_MSL,DHS indicator,-0.2567452894001701,-0.42443628488468316,-0.13029096184934927,0.284,107,27
Malawi,CH_VACC_C_NON,DHS indicator,-0.35876195511197534,-0.32892927755716345,-0.09157535028829186,0.7513,34,20
Malawi,CM_ECMR_C_NNR,DHS indicator,-0.02624643819075095,0.16497391778555096,-0.12939191464074165,0.1798,152,27
Malawi,CN_ANMC_C_ANY,DHS indicator,0.1293324231138925,0.053393821842396195,0.15717156439199373,0.3745,162,27
Malawi,CN_BRFS_C_EXB,DHS indicator,-0.10810119286667909,-0.17302538653318386,-0.08289846105925168,0.2953,140,27
Malawi,CN_NUTS_C_HA2,DHS indicator,0.20757152249346347,0.19287581987414731,0.2365768979609305,0.1968,163,27
Malawi,CN_NUTS_C_WH2,DHS indicator,0.14505592191313071,0.1938412389158346,-0.04361952537475009,0.457,83,26
Malawi,FP_CUSA_W_MOD,DHS indicator,0.38993661190326495,0.5509255772893771,0.15473748292381992,0.5122,168,27
Malawi,FP_NADA_W_UNT,DHS indicator,0.3219427317669013,0.4870605451721566,0.22114878988723538,0.4549,168,27
Malawi,HA_HIVP_B_HIV,DHS indicator,0.6774834368188443,0.845246389040605,0.4227172879813455,0.5694,149,27
Malawi,ML_NETP_H_IT2,DHS indicator,0.07597703831244422,-0.40316211715102923,0.37962924498879486,0.4972,168,27
Malawi,RH_ANCN_W_N4P,DHS indicator,0.3489426241901531,0.23626211659486765,0.3275280948574667,0.4013,164,27
Malawi,RH_DELA_C_SKP,DHS indicator,-0.010237079702995316,-0.28610223554854125,0.1415864724185705,0.1948,162,27
Malawi,WS_TLET_H_IMP,DHS indicator,0.25959218946343027,0.22085600465508887,0.20859061638190723,0.4669,168,27
Malawi,WS_TLET_P_BAS,DHS indicator,0.331825798900363,0.37467788208908853,0.18507314097185787,0.5753,168,27
Sierra Leone,AN_ANEM_W_ANY,DHS indicator,-0.47033021964217453,-0.584055351998694,-0.672644290802668,0.3586,14,4
Sierra Leone,AN_NUTS_W_THN,DHS indicator,-0.41607820348183555,-0.9142214490531037,-0.7025463330864393,0.1328,14,4
Sierra Leone,CH_DIAT_C_ORT,DHS indicator,-0.42027445800868934,-0.8645044487748597,-0.02284333889262865,0.2563,14,4
Sierra Leone,CH_VACC_C_BAS,DHS indicator,-0.031598914452065203,0.2124214359752232,0.12242762297950939,0.7379,14,4
Sierra Leone,CH_VACC_C_DP1,DHS indicator,-0.3652440354951433,-0.3990622417487224,0.02220635194629905,0.5623,14,4
Sierra Leone,CH_VACC_C_DP3,DHS indicator,0.2826161825773359,0.5046624264231284,0.40151562678450625,0.6219,14,4
Sierra Leone,CH_VACC_C_MSL,DHS indicator,-0.8303045025614352,-0.9055868692880634,-0.5251704924648813,0.6929,14,4
Sierra Leone,CH_VACC_C_NON,DHS indicator,-0.6748652807134116,-0.7393317655367839,-0.33060251195130785,0.6791,14,4
Sierra Leone,CM_ECMR_C_NNR,DHS indicator,-0.7466097539295966,-0.9935927231982509,-0.3272011263703944,0.5161,14,4
Sierra Leone,CN_ANMC_C_ANY,DHS indicator,-0.35201407662630657,-0.8524589370381747,0.30296762557511403,0.4374,14,4
Sierra Leone,CN_BRFS_C_EXB,DHS indicator,0.14224376634371028,0.3930177744848956,0.14388973527730317,0.2391,14,4
Sierra Leone,CN_NUTS_C_HA2,DHS indicator,-0.42240338516383075,-0.8991505749464125,0.17313825403067945,0.4638,14,4
Sierra Leone,CN_NUTS_C_WH2,DHS indicator,-0.08011118358458286,-0.3496816545641116,0.1403861117494134,0.1422,14,4
Sierra Leone,FP_CUSA_W_MOD,DHS indicator,-0.6110793063765793,-0.9776037044114684,0.20308676035264933,0.4782,14,4
Sierra Leone,FP_NADA_W_UNT,DHS indicator,-0.39740644799944636,-0.7301619773056273,-0.4050187135851628,0.0975,14,4
Sierra Leone,HA_HIVP_B_HIV,DHS indicator,-0.5121542975953387,-0.6169442631210144,-0.23890696413475507,0.6686,14,4
Sierra Leone,ML_NETP_H_IT2,DHS indicator,-0.018726933969921415,0.06046064659095275,0.004276556884664547,0.4956,14,4
Sierra Leone,RH_ANCN_W_N4P,DHS indicator,0.3412531746472954,0.10521242499338115,0.4301842959251291,0.415,14,4
Sierra Leone,RH_DELA_C_SKP,DHS indicator,-0.534570278972279,-0.811614421542737,0.07956717426196173,0.7048,14,4
Sierra Leone,WS_TLET_H_IMP,DHS indicator,0.6492539800073118,0.94778800696032,-0.5202858628803542,0.6296,14,4
Sierra Leone,WS_TLET_P_BAS,DHS indicator,-0.9423898996860492,-0.9974314166820182,-0.5887631577077036,0.8746,14,4
Gambia,child_vitA,micronutrient,0.5281806577161869,0.8563570678297835,0.06653370539923557,0.424,30,6
Gambia,women_vitA,micronutrient,0.5501055166339776,0.9745410412805449,0.5765044933377708,0.2293,30,6
Gambia,child_iron,micronutrient,0.5393250451081801,0.8883738375820189,0.3002535109391256,0.3183,30,6
Gambia,women_iron,micronutrient,0.7562234303891656,0.9492508148380743,0.2824390924766237,0.6128,30,6
Ghana,child_vitA,micronutrient,0.09922259290901113,0.22799467854537164,0.013504678980697432,0.2839,75,16
Ghana,women_vitA,micronutrient,0.12253309369062734,0.43210922256629747,-0.14206432025562385,0.1333,75,16
Ghana,child_iron,micronutrient,0.49445495908607245,0.5948888950722454,0.17033858937046933,0.6101,75,16
Ghana,women_iron,micronutrient,0.07620013676204783,0.14543838243095877,0.15618318818109392,0.4231,75,16
Ghana,women_folate,micronutrient,0.1934357463766139,0.3644472369335946,0.04060782897515411,0.4225,75,16
Ghana,women_b12,micronutrient,-0.07680203333697273,-0.09780209323887837,-0.03983382478964805,0.5392,75,16
Sierra Leone,child_vitA,micronutrient,0.18456217742190914,0.575586237338085,0.1721294772754368,0.0562,14,4
Sierra Leone,women_vitA,micronutrient,0.08253666847289376,-0.6656228656232385,0.3596085203578097,0.0317,14,4
Sierra Leone,child_iron,micronutrient,0.5076168184908356,0.5063729530307228,0.526184782090969,0.1663,14,4
Sierra Leone,women_iron,micronutrient,0.3115762150897231,0.6219603416912708,0.35164166087098303,0.0899,14,4
Sierra Leone,women_folate,micronutrient,-0.4806211820560389,-0.768304316960015,-0.05159348956228956,0.4003,14,4
Sierra Leone,women_b12,micronutrient,0.4221252922011032,-0.24350824399801374,0.520082895179308,0.067,14,4
Malawi,child_vitA,micronutrient,0.20738603433465594,0.09143846795796738,0.26720699802689674,0.3882,87,27
Malawi,women_vitA,micronutrient,0.051012518345238525,0.047939944936338394,-0.035924889078934125,0.325,87,27
Malawi,child_iron,micronutrient,0.36383107051290287,0.36996923214367117,0.36694048229552945,0.4248,87,27
Malawi,women_iron,micronutrient,-0.07420453734759301,-0.08682602561401831,-0.05329879421540018,0.2594,87,27
Malawi,women_folate,micronutrient,0.2782488785460429,0.4372425229536193,-0.10549356051446405,0.5506,87,27
Malawi,women_b12,micronutrient,0.29648767219757993,0.48145934705150073,0.059250286906423644,0.386,87,27
Malawi,child_zinc,micronutrient,-0.17122727101615703,-0.11186664320618298,-0.22341581016828999,0.3786,87,27
Malawi,women_zinc,micronutrient,-0.4792877440377843,-0.5241983055838757,-0.35287546732366115,0.4057,87,27
