"column","rule_id","country","survey_year","year_used","has_data","year_offset"
"aef_A30","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A30","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A30","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A30","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A31","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A31","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A31","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A31","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A32","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A32","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A32","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A32","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A33","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A33","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A33","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A33","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A34","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A34","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A34","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A34","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A35","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A35","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A35","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A35","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A36","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A36","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A36","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A36","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A37","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A37","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A37","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A37","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A38","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A38","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A38","alphaearth_2017","Malawi",2016,2017,TRUE,1
"aef_A38","alphaearth_2017","SierraLeone",2013,2017,TRUE,4
"aef_A39","alphaearth_2017","Gambia",2018,2017,TRUE,-1
"aef_A39","alphaearth_2017","Ghana",2017,2017,TRUE,0
"aef_A39","alphaearth_2017","Malawi",2016,2017,TRUE,1
