country,outcome,predictor_set,n_predictors,rank,column,r,abs_r,n_pairs,min_n,eligible,threshold,flagged,n_flagged_in_cell,max_abs_r_in_cell,n_under_measured_cols
Gambia,child_iron,questionnaire,1705,9,gw_weight,-0.2124,0.2124,1013,100,TRUE,0.55,FALSE,0,0.2344,5
Gambia,child_iron,questionnaire,1705,10,gw_an2b,-0.212,0.212,1013,100,TRUE,0.55,FALSE,0,0.2344,5
Gambia,child_iron,questionnaire,1705,11,gw_cAgeMonths_GMNS,-0.2115,0.2115,1013,100,TRUE,0.55,FALSE,0,0.2344,5
Gambia,child_iron,questionnaire,1705,12,gw_agemons,-0.2115,0.2115,1013,100,TRUE,0.55,FALSE,0,0.2344,5
Gambia,child_iron,questionnaire,1705,13,gw__agedays,-0.2114,0.2114,1013,100,TRUE,0.55,FALSE,0,0.2344,5
Gambia,child_iron,questionnaire,1705,14,gw_ch5,-0.2044,0.2044,1013,100,TRUE,0.55,FALSE,0,0.2344,5
Gambia,child_iron,questionnaire,1705,15,gw_cAgeMonthsCat,-0.1912,0.1912,1013,100,TRUE,0.55,FALSE,0,0.2344,5
Gambia,child_iron,questionnaire,1705,16,gw_haz06,-0.1823,0.1823,994,100,TRUE,0.55,FALSE,0,0.2344,5
Gambia,child_iron,questionnaire,1705,17,gw__zlen,-0.1819,0.1819,994,100,TRUE,0.55,FALSE,0,0.2344,5
Gambia,child_iron,questionnaire,1705,18,gw_an4u,-0.1573,0.1573,1013,100,TRUE,0.55,FALSE,0,0.2344,5
Gambia,child_iron,questionnaire,1705,19,gw_cStuntYN,0.1571,0.1571,994,100,TRUE,0.55,FALSE,0,0.2344,5
Gambia,child_iron,questionnaire,1705,20,gee_lst_night_2014_monthly_2014_07_mean,0.1543,0.1543,1013,100,TRUE,0.55,FALSE,0,0.2344,5
Gambia,child_iron,questionnaire,1705,21,gw_cGrain,0.1501,0.1501,325,100,TRUE,0.55,FALSE,0,0.2344,5
Gambia,child_iron,questionnaire,1705,22,gee_a2_TerraClimate_def_yoy,0.1494,0.1494,1013,100,TRUE,0.55,FALSE,0,0.2344,5
Gambia,child_iron,questionnaire,1705,23,gee_lst_night_2015_monthly_2015_03_mean,0.1492,0.1492,1013,100,TRUE,0.55,FALSE,0,0.2344,5
Gambia,child_iron,questionnaire,1705,24,gee_soilaluminium_stdev_20_50,0.1486,0.1486,1013,100,TRUE,0.55,FALSE,0,0.2344,5
Gambia,child_iron,questionnaire,1705,25,gee_a2_FLDAS_LWdown_f_tavg_yoy,0.1481,0.1481,1013,100,TRUE,0.55,FALSE,0,0.2344,5
Gambia,child_iron,proxy,1378,1,gee_lst_night_2014_monthly_2014_07_mean,0.1543,0.1543,1013,100,TRUE,0.55,FALSE,0,0.1543,0
Gambia,child_iron,proxy,1378,2,gee_a2_TerraClimate_def_yoy,0.1494,0.1494,1013,100,TRUE,0.55,FALSE,0,0.1543,0
Gambia,child_iron,proxy,1378,3,gee_lst_night_2015_monthly_2015_03_mean,0.1492,0.1492,1013,100,TRUE,0.55,FALSE,0,0.1543,0
Gambia,child_iron,proxy,1378,4,gee_soilaluminium_stdev_20_50,0.1486,0.1486,1013,100,TRUE,0.55,FALSE,0,0.1543,0
Gambia,child_iron,proxy,1378,5,gee_a2_FLDAS_LWdown_f_tavg_yoy,0.1481,0.1481,1013,100,TRUE,0.55,FALSE,0,0.1543,0
Gambia,child_iron,proxy,1378,6,wfp_sorghum,-0.1472,0.1472,690,100,TRUE,0.55,FALSE,0,0.1543,0
Gambia,child_iron,proxy,1378,7,gee_a2_FLDAS_Qair_f_tavg,-0.1461,0.1461,1013,100,TRUE,0.55,FALSE,0,0.1543,0
Gambia,child_iron,proxy,1378,8,gee_terraclimate_2017_vpd,0.1456,0.1456,1013,100,TRUE,0.55,FALSE,0,0.1543,0
Gambia,child_iron,proxy,1378,9,wfp_meat_chicken,-0.1455,0.1455,690,100,TRUE,0.55,FALSE,0,0.1543,0
Gambia,child_iron,proxy,1378,10,gee_temp_Apr_25km,0.1454,0.1454,997,100,TRUE,0.55,FALSE,0,0.1543,0
Gambia,child_iron,proxy,1378,11,gee_temp_25km_annual_mean,0.1448,0.1448,997,100,TRUE,0.55,FALSE,0,0.1543,0
Gambia,child_iron,proxy,1378,12,gee_temp_Mar_25km,0.1448,0.1448,997,100,TRUE,0.55,FALSE,0,0.1543,0
Gambia,child_iron,proxy,1378,13,ihme_adm1_global_anemia_2000_2019_sev_anemia_prev_15_49_years_females_severe_anemia_percent,0.1445,0.1445,1013,100,TRUE,0.55,FALSE,0,0.1543,0
Gambia,child_iron,proxy,1378,14,gee_a2_TerraClimate_aet_yoy,-0.1445,0.1445,1013,100,TRUE,0.55,FALSE,0,0.1543,0
Gambia,child_iron,proxy,1378,15,gee_temp_Apr_10km,0.1444,0.1444,978,100,TRUE,0.55,FALSE,0,0.1543,0
Gambia,child_iron,proxy,1378,16,gee_trmm_2019,-0.1444,0.1444,1013,100,TRUE,0.55,FALSE,0,0.1543,0
Gambia,child_iron,proxy,1378,17,ihme_adm1_global_anemia_2000_2019_mild_anemia_prev_15_49_years_females_mild_anemia_percent,0.1444,0.1444,1013,100,TRUE,0.55,FALSE,0,0.1543,0
Gambia,child_iron,proxy,1378,18,gee_a2_FLDAS_Tair_f_tavg_yoy,0.1444,0.1444,1013,100,TRUE,0.55,FALSE,0,0.1543,0
Gambia,child_iron,proxy,1378,19,gee_a2_SoilZinc_mean_0_20,-0.1443,0.1443,1013,100,TRUE,0.55,FALSE,0,0.1543,0
