"variable","importance","importance_norm","country","outcome"
"dhs2014_c_under5_death_adm2.x",0.181888520374491,0.0694064587096974,"Ghana","child_iron"
"dhs2014_FP_CUSA_W_MOD",0.181840688831229,0.0693882067715015,"Ghana","child_iron"
"gee_trmm_2016",0.181000576190649,0.0690676299523606,"Ghana","child_iron"
"dhs2014_hh_improved_floor_adm2.x",0.180841332963592,0.0690068646635958,"Ghana","child_iron"
"map2_explorer_2020_global_pf_reproductive_number",0.179478434139752,0.0684867989621016,"Ghana","child_iron"
"map2_explorer_2020_walking_only_friction_surface",0.179117039241057,0.0683488950412684,"Ghana","child_iron"
"dhs2014_RH_ANCN_W_N4P_adm2.x",0.177778440964577,0.0678381021346346,"Ghana","child_iron"
"wfp_plantains_apentu",0.177330190756216,0.0676670552784937,"Ghana","child_iron"
"dhs2014_c_mean_haz_adm2.x",0.17593097698493,0.0671331322324273,"Ghana","child_iron"
"ihme_12_23_months_238_both_mcv1_coverage_percent",0.175640364228206,0.0670222379205788,"Ghana","child_iron"
"map2_explorer_2020_walking_only_travel_time_to_healthcare",0.175297211886351,0.0668912951387195,"Ghana","child_iron"
"mics_measurer_id",0.17525522975325,0.0668752752646692,"Ghana","child_iron"
"dhs2014_AN_ANEM_W_ANY_adm2.x",0.173552743738766,0.0662256271998829,"Ghana","child_iron"
"dhs2014_w_watches_tv_adm2.y",0.173463003138364,0.066191383272539,"Ghana","child_iron"
"dhs2014_w_skilled_attendant_adm2.y",0.172805169206663,0.0659403618033204,"Ghana","child_iron"
"lsms_hh_se.pindex_nfd",0.171531527265479,0.0654543554483303,"Ghana","child_iron"
"gee_popdensity_2023",0.171524104833845,0.0654515231382226,"Ghana","child_iron"
"wfp_eggs",0.171484675850003,0.065436477515039,"Ghana","child_iron"
"dhs2014_w_anc4plus_adm2.y",0.171435241682991,0.06541761403501,"Ghana","child_iron"
"gee_soilzinc_2017_stdev_0_20",0.170848391956268,0.0651936792795747,"Ghana","child_iron"
"gee_fldas_2016_annual_mean_rainf_f_tavg",0.168020276714086,0.064114504720462,"Ghana","child_iron"
"dhs2014_CM_ECMR_C_NNR",0.167219038231787,0.0638087618097835,"Ghana","child_iron"
"gee_soilmagnesium_2017_stdev_20_50",0.16671784997891,0.0636175144363514,"Ghana","child_iron"
"chirps_annual_sd",0.16458909254893,0.0628052063568603,"Ghana","child_iron"
"gee_trmm_2013",0.164521799849107,0.0627795282767808,"Ghana","child_iron"
"dhs2014_c_dpt1_adm2.y",0.163890316472309,0.0625385618604982,"Ghana","child_iron"
"dhs2014_w_bmi_low_adm2.y",0.163248133282001,0.0622935125248368,"Ghana","child_iron"
"wfp_soybeans",0.162916974307915,0.0621671462670108,"Ghana","child_iron"
"dhs2014_c_mean_birthweight_adm2.y",0.161471767906511,0.0616156729897553,"Ghana","child_iron"
"dhs2014_CN_ANMC_C_ANY_adm2.y",0.158847079740367,0.0606141237415992,"Ghana","child_iron"
"wfp_cowpeas",0.157352530428006,0.0600438218065218,"Ghana","child_iron"
"lsms_hh_se.hsfuel",0.153699886720135,0.058650017160854,"Ghana","child_iron"
"dhs2014_c_anemia_any_adm2.y",0.149589428044301,0.0570815158625049,"Ghana","child_iron"
"dhs2014_w_anemia_moderate_adm2.y",0.149347663904424,0.0569892615918266,"Ghana","child_iron"
