recall,precision,country,outcome
0.6430921052631579,0.8128898128898129,Sierra Leone,women_folate
0.6546052631578947,0.8073022312373225,Sierra Leone,women_folate
0.6694078947368421,0.8027613412228797,Sierra Leone,women_folate
0.6759868421052632,0.7980582524271844,Sierra Leone,women_folate
0.7055921052631579,0.8033707865168539,Sierra Leone,women_folate
0.7220394736842105,0.8055045871559633,Sierra Leone,women_folate
0.7384868421052632,0.8061041292639138,Sierra Leone,women_folate
0.75,0.8014059753954306,Sierra Leone,women_folate
0.7631578947368421,0.8013816925734024,Sierra Leone,women_folate
0.7779605263157895,0.8003384094754653,Sierra Leone,women_folate
0.7861842105263158,0.7927031509121062,Sierra Leone,women_folate
0.8108552631578947,0.7938808373590982,Sierra Leone,women_folate
0.8207236842105263,0.7933227344992051,Sierra Leone,women_folate
0.8322368421052632,0.790625,Sierra Leone,women_folate
0.8453947368421053,0.7895545314900153,Sierra Leone,women_folate
0.8585526315789473,0.7873303167420814,Sierra Leone,women_folate
0.8832236842105263,0.7897058823529411,Sierra Leone,women_folate
0.8963815789473685,0.7910014513788098,Sierra Leone,women_folate
0.9111842105263158,0.7891737891737892,Sierra Leone,women_folate
0.9259868421052632,0.788515406162465,Sierra Leone,women_folate
0.9457236842105263,0.7887517146776406,Sierra Leone,women_folate
0.9720394736842105,0.7901069518716578,Sierra Leone,women_folate
1,0.793733681462141,Sierra Leone,women_folate
0,NA,Sierra Leone,women_b12
0,0,Sierra Leone,women_b12
0,0,Sierra Leone,women_b12
0.25,0.0021008403361344537,Sierra Leone,women_b12
0.5,0.0033003300330033004,Sierra Leone,women_b12
1,0.005208333333333333,Sierra Leone,women_b12
0,NA,Malawi,child_vitA
0.009708737864077669,0.06666666666666667,Malawi,child_vitA
0.019417475728155338,0.09090909090909091,Malawi,child_vitA
0.0970873786407767,0.2564102564102564,Malawi,child_vitA
0.11650485436893204,0.22641509433962265,Malawi,child_vitA
0.1262135922330097,0.18055555555555555,Malawi,child_vitA
0.1262135922330097,0.15476190476190477,Malawi,child_vitA
0.17475728155339806,0.17647058823529413,Malawi,child_vitA
0.17475728155339806,0.16363636363636364,Malawi,child_vitA
0.17475728155339806,0.14516129032258066,Malawi,child_vitA
0.18446601941747573,0.1450381679389313,Malawi,child_vitA
0.1941747572815534,0.14388489208633093,Malawi,child_vitA
0.21359223300970873,0.14012738853503184,Malawi,child_vitA
0.21359223300970873,0.13333333333333333,Malawi,child_vitA
0.2524271844660194,0.14772727272727273,Malawi,child_vitA
0.2815533980582524,0.15343915343915343,Malawi,child_vitA
0.30097087378640774,0.15346534653465346,Malawi,child_vitA
0.30097087378640774,0.14832535885167464,Malawi,child_vitA
0.30097087378640774,0.14285714285714285,Malawi,child_vitA
0.34951456310679613,0.15584415584415584,Malawi,child_vitA
0.3592233009708738,0.15416666666666667,Malawi,child_vitA
0.36893203883495146,0.14785992217898833,Malawi,child_vitA
0.3786407766990291,0.14391143911439114,Malawi,child_vitA
0.3786407766990291,0.1407942238267148,Malawi,child_vitA
0.3786407766990291,0.1392857142857143,Malawi,child_vitA
0.3786407766990291,0.13448275862068965,Malawi,child_vitA
0.3786407766990291,0.12745098039215685,Malawi,child_vitA
0.3883495145631068,0.12698412698412698,Malawi,child_vitA
0.4368932038834951,0.13392857142857142,Malawi,child_vitA
0.4563106796116505,0.1339031339031339,Malawi,child_vitA
0.4563106796116505,0.13128491620111732,Malawi,child_vitA
0.46601941747572817,0.13114754098360656,Malawi,child_vitA
0.46601941747572817,0.12834224598930483,Malawi,child_vitA
0.4854368932038835,0.12886597938144329,Malawi,child_vitA
0.4854368932038835,0.12690355329949238,Malawi,child_vitA
0.5145631067961165,0.12864077669902912,Malawi,child_vitA
0.5242718446601942,0.12857142857142856,Malawi,child_vitA
0.5242718446601942,0.12646370023419204,Malawi,child_vitA
0.5436893203883495,0.12933025404157045,Malawi,child_vitA
0.5631067961165048,0.13004484304932734,Malawi,child_vitA
0.5631067961165048,0.1286031042128603,Malawi,child_vitA
0.5728155339805825,0.12526539278131635,Malawi,child_vitA
0.5825242718446602,0.12448132780082988,Malawi,child_vitA
0.6019417475728155,0.12550607287449392,Malawi,child_vitA
0.6019417475728155,0.12180746561886051,Malawi,child_vitA
0.6019417475728155,0.11854684512428298,Malawi,child_vitA
0.6116504854368932,0.11775700934579439,Malawi,child_vitA
0.6310679611650486,0.11796733212341198,Malawi,child_vitA
0.6407766990291263,0.1172291296625222,Malawi,child_vitA
0.6601941747572816,0.11604095563139932,Malawi,child_vitA
0.6601941747572816,0.11467116357504216,Malawi,child_vitA
0.6601941747572816,0.11295681063122924,Malawi,child_vitA
0.6601941747572816,0.11129296235679215,Malawi,child_vitA
0.6601941747572816,0.11003236245954692,Malawi,child_vitA
0.6699029126213593,0.10952380952380952,Malawi,child_vitA
0.6796116504854369,0.1088646967340591,Malawi,child_vitA
0.6796116504854369,0.106544901065449,Malawi,child_vitA
0.6796116504854369,0.1059001512859304,Malawi,child_vitA
0.6796116504854369,0.10401188707280833,Malawi,child_vitA
0.6796116504854369,0.10248901903367497,Malawi,child_vitA
0.6893203883495146,0.10304789550072568,Malawi,child_vitA
0.7087378640776699,0.10413694721825963,Malawi,child_vitA
0.7184466019417476,0.10335195530726257,Malawi,child_vitA
0.7184466019417476,0.10178817056396149,Malawi,child_vitA
0.7184466019417476,0.10040705563093623,Malawi,child_vitA
0.7281553398058253,0.10040160642570281,Malawi,child_vitA
0.7572815533980582,0.10263157894736842,Malawi,child_vitA
0.7572815533980582,0.10196078431372549,Malawi,child_vitA
0.7572815533980582,0.10182767624020887,Malawi,child_vitA
0.7572815533980582,0.10090556274256145,Malawi,child_vitA
0.7572815533980582,0.09974424552429667,Malawi,child_vitA
0.7572815533980582,0.09885931558935361,Malawi,child_vitA
0.7669902912621359,0.09875,Malawi,child_vitA
0.7864077669902912,0.0989010989010989,Malawi,child_vitA
0.7864077669902912,0.09735576923076923,Malawi,child_vitA
0.7864077669902912,0.09665871121718377,Malawi,child_vitA
0.7864077669902912,0.09585798816568047,Malawi,child_vitA
0.7961165048543689,0.09590643274853801,Malawi,child_vitA
0.7961165048543689,0.09468822170900693,Malawi,child_vitA
0.8349514563106796,0.09608938547486033,Malawi,child_vitA
0.8349514563106796,0.09534368070953436,Malawi,child_vitA
0.8349514563106796,0.09429824561403509,Malawi,child_vitA
0.8349514563106796,0.09317443120260022,Malawi,child_vitA
0.8543689320388349,0.09431939978563773,Malawi,child_vitA
0.8543689320388349,0.09381663113006397,Malawi,child_vitA
0.8543689320388349,0.09253417455310199,Malawi,child_vitA
0.8543689320388349,0.09147609147609148,Malawi,child_vitA
0.8543689320388349,0.09072164948453608,Malawi,child_vitA
0.8640776699029126,0.09090909090909091,Malawi,child_vitA
0.8932038834951457,0.09246231155778895,Malawi,child_vitA
0.8932038834951457,0.09181636726546906,Malawi,child_vitA
0.9029126213592233,0.09189723320158102,Malawi,child_vitA
0.912621359223301,0.09270216962524655,Malawi,child_vitA
0.912621359223301,0.09242871189773845,Malawi,child_vitA
0.912621359223301,0.0913508260447036,Malawi,child_vitA
0.9611650485436893,0.09464627151051626,Malawi,child_vitA
0.9611650485436893,0.09348441926345609,Malawi,child_vitA
0.9611650485436893,0.09287054409005628,Malawi,child_vitA
0.970873786407767,0.09354536950420954,Malawi,child_vitA
0.9805825242718447,0.09395348837209302,Malawi,child_vitA
1,0.09346642468239565,Malawi,child_vitA
0,NA,Malawi,women_vitA
0,0,Malawi,women_vitA
0,0,Malawi,women_vitA
0,0,Malawi,women_vitA
0,0,Malawi,women_vitA
0.09090909090909091,0.02,Malawi,women_vitA
0.18181818181818182,0.03571428571428571,Malawi,women_vitA
0.2727272727272727,0.04838709677419355,Malawi,women_vitA
0.2727272727272727,0.04285714285714286,Malawi,women_vitA
0.2727272727272727,0.0379746835443038,Malawi,women_vitA
0.2727272727272727,0.03614457831325301,Malawi,women_vitA
0.2727272727272727,0.03296703296703297,Malawi,women_vitA
0.36363636363636365,0.04,Malawi,women_vitA
0.36363636363636365,0.03636363636363636,Malawi,women_vitA
0.36363636363636365,0.03333333333333333,Malawi,women_vitA
0.36363636363636365,0.031496062992125984,Malawi,women_vitA
0.36363636363636365,0.029197080291970802,Malawi,women_vitA
0.36363636363636365,0.027972027972027972,Malawi,women_vitA
0.36363636363636365,0.026490066225165563,Malawi,women_vitA
0.36363636363636365,0.024691358024691357,Malawi,women_vitA
0.36363636363636365,0.024096385542168676,Malawi,women_vitA
0.45454545454545453,0.027624309392265192,Malawi,women_vitA
0.45454545454545453,0.026595744680851064,Malawi,women_vitA
0.5454545454545454,0.030303030303030304,Malawi,women_vitA
0.6363636363636364,0.03365384615384615,Malawi,women_vitA
0.6363636363636364,0.03286384976525822,Malawi,women_vitA
0.7272727272727273,0.03587443946188341,Malawi,women_vitA
0.7272727272727273,0.034334763948497854,Malawi,women_vitA
0.7272727272727273,0.03305785123966942,Malawi,women_vitA
0.7272727272727273,0.032,Malawi,women_vitA
0.7272727272727273,0.03065134099616858,Malawi,women_vitA
0.7272727272727273,0.030303030303030304,Malawi,women_vitA
