country,outcome,arm,n_admin2,pearson_r,r_max,r_share,mae_pp,bias_pp
Malawi,women_zinc,admin-2 fit + ADMIN-1 benchmark (shrunk),90,0.294,0.724,0.41,20.44,-1.75
Malawi,women_zinc,admin-2 fit + ADMIN-1 benchmark (hard),90,0.364,0.724,0.5,20.09,-3.34
Gambia,child_vitA,ADMIN-1 fit -> admin-2 (pooled),30,0.602,0.671,0.9,9.74,-2.83
Ghana,child_vitA,ADMIN-1 fit -> admin-2 (pooled),75,0.389,0.03,12.91,8.94,-2.12
SierraLeone,child_vitA,ADMIN-1 fit -> admin-2 (pooled),14,0.075,0,NA,4.55,-0.65
Malawi,child_vitA,ADMIN-1 fit -> admin-2 (pooled),90,0.302,0,NA,7.92,-2
Gambia,women_vitA,ADMIN-1 fit -> admin-2 (pooled),30,0.496,0.275,1.8,3.26,-1.21
Ghana,women_vitA,ADMIN-1 fit -> admin-2 (pooled),75,0.254,0,NA,2.37,-0.31
SierraLeone,women_vitA,ADMIN-1 fit -> admin-2 (pooled),14,-0.143,0,NA,1.26,-0.46
Malawi,women_vitA,ADMIN-1 fit -> admin-2 (pooled),90,0.248,0,NA,2.46,-0.24
Gambia,child_iron,ADMIN-1 fit -> admin-2 (pooled),30,0.431,0.565,0.76,11.94,-5.07
Ghana,child_iron,ADMIN-1 fit -> admin-2 (pooled),75,0.58,0.672,0.86,11.93,-2.05
SierraLeone,child_iron,ADMIN-1 fit -> admin-2 (pooled),14,0.169,0,NA,4.12,0.55
Malawi,child_iron,ADMIN-1 fit -> admin-2 (pooled),90,0.171,0.096,1.78,11.21,-2.2
Gambia,women_iron,ADMIN-1 fit -> admin-2 (pooled),30,0.346,0.706,0.49,13.25,-6.94
Ghana,women_iron,ADMIN-1 fit -> admin-2 (pooled),75,0.335,0,NA,9.12,-3.76
SierraLeone,women_iron,ADMIN-1 fit -> admin-2 (pooled),14,0.007,0.167,0.04,6.48,-5.38
Malawi,women_iron,ADMIN-1 fit -> admin-2 (pooled),90,0.118,0,NA,13.33,-4.25
Ghana,women_folate,ADMIN-1 fit -> admin-2 (pooled),75,0.32,0.627,0.51,23.28,0.87
SierraLeone,women_folate,ADMIN-1 fit -> admin-2 (pooled),14,-0.028,0.773,-0.04,19.21,-19.21
Malawi,women_folate,ADMIN-1 fit -> admin-2 (pooled),90,0.415,0.559,0.74,16.3,-7.42
Ghana,women_b12,ADMIN-1 fit -> admin-2 (pooled),75,0.316,0.367,0.86,9.98,-5.57
SierraLeone,women_b12,ADMIN-1 fit -> admin-2 (pooled),14,-0.297,0,NA,0.97,0.7
Malawi,women_b12,ADMIN-1 fit -> admin-2 (pooled),90,0.27,0,NA,3.62,-1.34
