variable,drop_mean,drop_sd,n_perm,rank,country,outcome
dhs2014_c_bcg_adm2.x,0,0,3,20,Ghana,women_vitA
dhs2014_c_dpt3_adm2.x,0,0,3,21,Ghana,women_vitA
dhs2014_c_polio3_adm2.x,0,0,3,22,Ghana,women_vitA
dhs2014_c_vita_supplement_adm2.x,0,0,3,23,Ghana,women_vitA
dhs2014_c_severely_stunted_adm2.x,0,0,3,24,Ghana,women_vitA
dhs2014_c_mean_hemoglobin_adm2.x,0,0,3,25,Ghana,women_vitA
dhs2014_hh_improved_sanitation_adm2.x,0,0,3,26,Ghana,women_vitA
dhs2014_hh_open_defecation_adm2.x,0,0,3,27,Ghana,women_vitA
dhs2014_hh_wealth_poorest_adm2.x,0,0,3,28,Ghana,women_vitA
dhs2014_hh_wealth_poor_adm2.x,0,0,3,29,Ghana,women_vitA
dhs2014_hh_electricity_adm2.x,0,0,3,30,Ghana,women_vitA
dhs2014_AN_ANEM_W_ANY,0.27487975797490527,0,3,1,Ghana,child_iron
dhs2014_CH_VACC_C_DP3,0.27487975797490527,0,3,2,Ghana,child_iron
dhs2014_CM_ECMR_C_NNR,0.27487975797490527,0,3,3,Ghana,child_iron
dhs2014_CN_NUTS_C_WH2,0.27487975797490527,0,3,4,Ghana,child_iron
dhs2014_FP_CUSA_W_MOD,0.27487975797490527,0,3,5,Ghana,child_iron
dhs2014_FP_NADA_W_UNT,0.27487975797490527,0,3,6,Ghana,child_iron
dhs2014_CH_VACC_C_BAS_adm2.x,0.27487975797490527,0,3,7,Ghana,child_iron
dhs2014_CH_VACC_C_MSL_adm2.x,0.27487975797490527,0,3,8,Ghana,child_iron
dhs2014_CN_ANMC_C_ANY_adm2.x,0.27487975797490527,0,3,9,Ghana,child_iron
dhs2014_CN_NUTS_C_HA2_adm2.x,0.27487975797490527,0,3,10,Ghana,child_iron
dhs2014_HA_HIVP_B_HIV_adm2.x,0.27487975797490527,0,3,11,Ghana,child_iron
dhs2014_ML_NETP_H_IT2_adm2.x,0.27487975797490527,0,3,12,Ghana,child_iron
dhs2014_WS_TLET_P_BAS_adm2.x,0.27487975797490527,0,3,13,Ghana,child_iron
dhs2014_w_anemia_any_adm2.x,0.27487975797490527,0,3,14,Ghana,child_iron
dhs2014_w_anemia_moderate_adm2.x,0.27487975797490527,0,3,15,Ghana,child_iron
dhs2014_w_bmi_low_adm2.x,0.27487975797490527,0,3,16,Ghana,child_iron
dhs2014_w_mean_bmi_adm2.x,0.27487975797490527,0,3,17,Ghana,child_iron
dhs2014_w_anc4plus_adm2.x,0.27487975797490527,0,3,18,Ghana,child_iron
dhs2014_w_anc_visits_adm2.x,0.27487975797490527,0,3,19,Ghana,child_iron
dhs2014_w_delivery_csection_adm2.x,0.27487975797490527,0,3,20,Ghana,child_iron
dhs2014_w_unmet_fp_adm2.x,0.27487975797490527,0,3,21,Ghana,child_iron
dhs2014_w_modern_fp_adm2.x,0.27487975797490527,0,3,22,Ghana,child_iron
dhs2014_w_mean_parity_adm2.x,0.27487975797490527,0,3,23,Ghana,child_iron
dhs2014_w_literate_adm2.x,0.27487975797490527,0,3,24,Ghana,child_iron
dhs2014_w_health_decision_adm2.x,0.27487975797490527,0,3,25,Ghana,child_iron
dhs2014_w_mean_age_first_birth_adm2.x,0.27487975797490527,0,3,26,Ghana,child_iron
dhs2014_c_early_initiation_adm2.x,0.27487975797490527,0,3,27,Ghana,child_iron
dhs2014_c_bottle_fed_adm2.x,0.27487975797490527,0,3,28,Ghana,child_iron
dhs2014_c_mean_birthweight_adm2.x,0.27487975797490527,0,3,29,Ghana,child_iron
dhs2014_c_dpt1_adm2.x,0.27487975797490527,0,3,30,Ghana,child_iron
dhs2014_AN_ANEM_W_ANY,0.24890653929750184,0,3,1,Ghana,women_iron
dhs2014_CH_VACC_C_NON,0.24890653929750184,0,3,2,Ghana,women_iron
dhs2014_CM_ECMR_C_NNR,0.24890653929750184,0,3,3,Ghana,women_iron
dhs2014_CN_NUTS_C_WH2,0.24890653929750184,0,3,4,Ghana,women_iron
dhs2014_FP_CUSA_W_MOD,0.24890653929750184,0,3,5,Ghana,women_iron
dhs2014_HA_HIVP_B_HIV,0.24890653929750184,0,3,6,Ghana,women_iron
dhs2014_ML_NETP_H_IT2,0.24890653929750184,0,3,7,Ghana,women_iron
dhs2014_CH_VACC_C_BAS_adm2.x,0.24890653929750184,0,3,8,Ghana,women_iron
dhs2014_CH_VACC_C_MSL_adm2.x,0.24890653929750184,0,3,9,Ghana,women_iron
dhs2014_CH_VACC_C_NON_adm2.x,0.24890653929750184,0,3,10,Ghana,women_iron
dhs2014_CN_BRFS_C_EXB_adm2.x,0.24890653929750184,0,3,11,Ghana,women_iron
dhs2014_FP_CUSA_W_MOD_adm2.x,0.24890653929750184,0,3,12,Ghana,women_iron
dhs2014_HA_HIVP_B_HIV_adm2.x,0.24890653929750184,0,3,13,Ghana,women_iron
dhs2014_ML_NETP_H_IT2_adm2.x,0.24890653929750184,0,3,14,Ghana,women_iron
dhs2014_w_vitA_postpartum_adm2.x,0.24890653929750184,0,3,15,Ghana,women_iron
dhs2014_w_modern_fp_adm2.x,0.24890653929750184,0,3,16,Ghana,women_iron
dhs2014_w_literate_adm2.x,0.24890653929750184,0,3,17,Ghana,women_iron
dhs2014_c_bottle_fed_adm2.x,0.24890653929750184,0,3,18,Ghana,women_iron
dhs2014_c_mean_birthweight_adm2.x,0.24890653929750184,0,3,19,Ghana,women_iron
dhs2014_c_small_at_birth_adm2.x,0.24890653929750184,0,3,20,Ghana,women_iron
dhs2014_c_vita_rich_food_adm2.x,0.24890653929750184,0,3,21,Ghana,women_iron
dhs2014_c_bcg_adm2.x,0.24890653929750184,0,3,22,Ghana,women_iron
dhs2014_c_measles1_adm2.x,0.24890653929750184,0,3,23,Ghana,women_iron
dhs2014_c_fully_vaccinated_adm2.x,0.24890653929750184,0,3,24,Ghana,women_iron
dhs2014_c_zinc_diarrhea_adm2.x,0.24890653929750184,0,3,25,Ghana,women_iron
dhs2014_c_overweight_adm2.x,0.24890653929750184,0,3,26,Ghana,women_iron
dhs2014_c_mean_waz_adm2.x,0.24890653929750184,0,3,27,Ghana,women_iron
dhs2014_c_mean_whz_adm2.x,0.24890653929750184,0,3,28,Ghana,women_iron
dhs2014_c_anemia_any_adm2.x,0.24890653929750184,0,3,29,Ghana,women_iron
dhs2014_c_slept_itn_adm2.x,0.24890653929750184,0,3,30,Ghana,women_iron
dhs2014_AN_ANEM_W_ANY,0.2738282647584973,0,3,1,Ghana,women_folate
dhs2014_CM_ECMR_C_NNR,0.2738282647584973,0,3,2,Ghana,women_folate
dhs2014_FP_CUSA_W_MOD,0.2738282647584973,0,3,3,Ghana,women_folate
dhs2014_FP_NADA_W_UNT,0.2738282647584973,0,3,4,Ghana,women_folate
dhs2014_CH_VACC_C_BAS_adm2.x,0.2738282647584973,0,3,5,Ghana,women_folate
dhs2014_CH_VACC_C_NON_adm2.x,0.2738282647584973,0,3,6,Ghana,women_folate
dhs2014_RH_ANCN_W_N4P_adm2.x,0.2738282647584973,0,3,7,Ghana,women_folate
dhs2014_WS_TLET_P_BAS_adm2.x,0.2738282647584973,0,3,8,Ghana,women_folate
dhs2014_w_mean_bmi_adm2.x,0.2738282647584973,0,3,9,Ghana,women_folate
dhs2014_w_vitA_postpartum_adm2.x,0.2738282647584973,0,3,10,Ghana,women_folate
dhs2014_w_anc4plus_adm2.x,0.2738282647584973,0,3,11,Ghana,women_folate
dhs2014_w_anc_visits_adm2.x,0.2738282647584973,0,3,12,Ghana,women_folate
dhs2014_w_skilled_attendant_adm2.x,0.2738282647584973,0,3,13,Ghana,women_folate
dhs2014_w_high_parity_adm2.x,0.2738282647584973,0,3,14,Ghana,women_folate
dhs2014_w_teen_pregnancy_adm2.x,0.2738282647584973,0,3,15,Ghana,women_folate
dhs2014_w_literate_adm2.x,0.2738282647584973,0,3,16,Ghana,women_folate
dhs2014_c_bottle_fed_adm2.x,0.2738282647584973,0,3,17,Ghana,women_folate
dhs2014_c_min_diet_diversity_adm2.x,0.2738282647584973,0,3,18,Ghana,women_folate
dhs2014_c_bcg_adm2.x,0.2738282647584973,0,3,19,Ghana,women_folate
dhs2014_c_dpt1_adm2.x,0.2738282647584973,0,3,20,Ghana,women_folate
dhs2014_c_measles1_adm2.x,0.2738282647584973,0,3,21,Ghana,women_folate
dhs2014_c_diarrhea_2wk_adm2.x,0.2738282647584973,0,3,22,Ghana,women_folate
dhs2014_c_ari_2wk_adm2.x,0.2738282647584973,0,3,23,Ghana,women_folate
dhs2014_c_mean_waz_adm2.x,0.2738282647584973,0,3,24,Ghana,women_folate
dhs2014_hh_improved_water_adm2.x,0.2738282647584973,0,3,25,Ghana,women_folate
dhs2014_hh_handwash_facility_adm2.x,0.2738282647584973,0,3,26,Ghana,women_folate
dhs2014_hh_soap_available_adm2.x,0.2738282647584973,0,3,27,Ghana,women_folate
dhs2014_hh_electricity_adm2.x,0.2738282647584973,0,3,28,Ghana,women_folate
dhs2014_hh_mean_hhsize_adm2.x,0.2738282647584973,0,3,29,Ghana,women_folate
dhs2014_hh_crowding_adm2.x,0.2738282647584973,0,3,30,Ghana,women_folate
dhs2014_WS_TLET_P_BAS_adm2.x,0.015463818321786041,0.004613009812425864,3,1,Ghana,women_b12
missing_gee_tpp_1km_10km,0.007284449576597425,0.006674795243856937,3,2,Ghana,women_b12
wfp_rice_local,0.007024634334103237,0.005559414626899365,3,3,Ghana,women_b12
dhs2014_c_bottle_fed_adm2.x,0.005754426481909232,0.004120834140379836,3,4,Ghana,women_b12
missing_dhs2014_AN_ANEM_W_ANY_adm2.x,0.005754426481909232,0.004348914118521935,3,5,Ghana,women_b12
dhs2014_c_early_initiation_adm2.x,0.00574480369515018,0.0034068334636192564,3,6,Ghana,women_b12
gee_a2_SoilCalcium_2016_mean_0_20,0.005600461893764508,0.0024425771941584944,3,7,Ghana,women_b12
dhs2014_w_vitA_postpartum_adm2.x,0.005186682063125521,0.002348886571159681,3,8,Ghana,women_b12
map2_explorer_2019_global_pf_incidence,0.004792147806004676,0.002782616440208058,3,9,Ghana,women_b12
dhs2014_w_mean_bmi_adm2.y,0.00470554272517328,0.0031147074473020344,3,10,Ghana,women_b12
wfp_maize,0.004695919938414228,0.003573424162748151,3,11,Ghana,women_b12
dhs2014_w_health_decision_adm2.x,0.004397613548883794,0.001668964106962036,3,12,Ghana,women_b12
dhs2014_c_dpt3_adm2.x,0.004282140107775241,0.003208719651643547,3,13,Ghana,women_b12
gee_ndvi_10km_seasonal_sd,0.004012702078522001,0.004253358830649646,3,14,Ghana,women_b12
gee_lst_night_2015_annual_mean_annual_range,0.003916474210931553,0.006017535664560587,3,15,Ghana,women_b12
missing_dhs2014_CH_VACC_C_BAS_adm2.x,0.003916474210931553,0.003609507185048314,3,16,Ghana,women_b12
gee_temp_25km_peak_month,0.0036951501154735,0.0031561713731207736,3,17,Ghana,women_b12
dhs2014_c_dpt1_adm2.x,0.0035026943802926036,0.0024679212092441026,3,18,Ghana,women_b12
gee_temp_Mar_10km,0.0034545804464973426,7.155239201316971e-4,3,19,Ghana,women_b12
dhs2014_RH_DELA_C_SKP_adm2.y,0.0034257120862202597,0.0019262646391859477,3,20,Ghana,women_b12
gee_tpp_500m_cropland_25km,0.003339107005388827,2.603492928881778e-4,3,21,Ghana,women_b12
dhs2014_c_vita_supplement_adm2.y,0.0033294842186297746,0.004460543132387188,3,22,Ghana,women_b12
dhs2014_c_dpt3_adm2.y,0.003262124711316446,0.0025775420653060097,3,23,Ghana,women_b12
dhs2014_ML_NETP_H_IT2_adm2.x,0.00317551963048505,0.002646931122325649,3,24,Ghana,women_b12
gee_soilpotassium_2017_annual_mean,0.00317551963048505,0.003425130885469864,3,25,Ghana,women_b12
gee_lst_night_2014_monthly_2014_05_mean,0.0030792917628946017,0.0014290081334782114,3,26,Ghana,women_b12
dhs2014_CH_VACC_C_NON_adm2.y,0.003040800615858356,0.0018853787375713552,3,27,Ghana,women_b12
gee_temp_10km_seasonal_sd,0.0028579676674365486,0.001153651339647146,3,28,Ghana,women_b12
missing_dhs2014_hh_soap_available_adm2.x,0.0027136258660508394,0.0026024790764405457,3,29,Ghana,women_b12
wfp_peppers_dried,0.002694380292532772,0.003669614119643628,3,30,Ghana,women_b12
gee_trmm_Jul_10km,0.06685310189649636,0.0034040546976201957,3,1,Sierra Leone,child_vitA
gee_built_surface_nres_10km,0.0466923818707811,0.012125795840111286,3,2,Sierra Leone,child_vitA
