fpr,tpr,country,outcome
0.17685589519650657,0.10714285714285714,Sierra Leone,child_iron
0.1593886462882096,0.07142857142857142,Sierra Leone,child_iron
0.14410480349344978,0.07142857142857142,Sierra Leone,child_iron
0.11572052401746724,0.07142857142857142,Sierra Leone,child_iron
0.0873362445414847,0.07142857142857142,Sierra Leone,child_iron
0.06768558951965065,0.03571428571428571,Sierra Leone,child_iron
0.05021834061135366,0.03571428571428571,Sierra Leone,child_iron
0.03493449781659386,0,Sierra Leone,child_iron
0.026200873362445365,0,Sierra Leone,child_iron
0,0,Sierra Leone,child_iron
1,1,Sierra Leone,women_iron
0.9814550641940085,0.9863013698630136,Sierra Leone,women_iron
0.9657631954350927,0.9726027397260274,Sierra Leone,women_iron
0.9614835948644793,0.9726027397260274,Sierra Leone,women_iron
0.9329529243937232,0.9315068493150684,Sierra Leone,women_iron
0.905848787446505,0.9315068493150684,Sierra Leone,women_iron
0.8972895863052782,0.9315068493150684,Sierra Leone,women_iron
0.8773181169757489,0.9041095890410958,Sierra Leone,women_iron
0.8516405135520685,0.8904109589041096,Sierra Leone,women_iron
0.8416547788873039,0.8904109589041096,Sierra Leone,women_iron
0.8174037089871612,0.8767123287671232,Sierra Leone,women_iron
0.8045649072753209,0.8356164383561644,Sierra Leone,women_iron
0.8002853067047075,0.8356164383561644,Sierra Leone,women_iron
0.7902995720399429,0.8356164383561644,Sierra Leone,women_iron
0.776034236804565,0.821917808219178,Sierra Leone,women_iron
0.7660485021398002,0.821917808219178,Sierra Leone,women_iron
0.7517831669044223,0.821917808219178,Sierra Leone,women_iron
0.7375178316690443,0.821917808219178,Sierra Leone,women_iron
0.7132667617689016,0.821917808219178,Sierra Leone,women_iron
0.6875891583452212,0.8082191780821918,Sierra Leone,women_iron
0.6647646219686163,0.8082191780821918,Sierra Leone,women_iron
0.6462196861626248,0.8082191780821918,Sierra Leone,women_iron
0.6077032810271041,0.7808219178082192,Sierra Leone,women_iron
0.5905848787446505,0.7534246575342466,Sierra Leone,women_iron
0.5720399429386591,0.7534246575342466,Sierra Leone,women_iron
0.5534950071326676,0.726027397260274,Sierra Leone,women_iron
0.5449358059914409,0.726027397260274,Sierra Leone,women_iron
0.5378031383737518,0.726027397260274,Sierra Leone,women_iron
0.5192582025677603,0.7123287671232876,Sierra Leone,women_iron
0.4978601997146933,0.684931506849315,Sierra Leone,women_iron
0.48074179743223966,0.6575342465753424,Sierra Leone,women_iron
0.4679029957203994,0.6438356164383562,Sierra Leone,women_iron
0.4522111269614836,0.6438356164383562,Sierra Leone,women_iron
0.4379457917261056,0.6301369863013698,Sierra Leone,women_iron
0.4222539229671898,0.6164383561643836,Sierra Leone,women_iron
0.3980028530670471,0.6027397260273972,Sierra Leone,women_iron
0.39229671897289586,0.589041095890411,Sierra Leone,women_iron
0.3780313837375179,0.547945205479452,Sierra Leone,women_iron
0.36233951497860195,0.5205479452054794,Sierra Leone,women_iron
0.3437945791726106,0.5068493150684932,Sierra Leone,women_iron
0.32667617689015693,0.4657534246575342,Sierra Leone,women_iron
0.30242510699001424,0.4383561643835616,Sierra Leone,women_iron
0.2767475035663338,0.4383561643835616,Sierra Leone,women_iron
0.25392296718972895,0.410958904109589,Sierra Leone,women_iron
0.202567760342368,0.3698630136986301,Sierra Leone,women_iron
0.1825962910128388,0.3424657534246575,Sierra Leone,women_iron
0.16119828815977177,0.3150684931506849,Sierra Leone,women_iron
0.14978601997146934,0.2191780821917808,Sierra Leone,women_iron
0.12981455064194014,0.2191780821917808,Sierra Leone,women_iron
0.11126961483594866,0.2191780821917808,Sierra Leone,women_iron
0.09985734664764623,0.1643835616438356,Sierra Leone,women_iron
0.08416547788873041,0.136986301369863,Sierra Leone,women_iron
0.0784593437945792,0.1095890410958904,Sierra Leone,women_iron
0.05848787446504988,0.0821917808219178,Sierra Leone,women_iron
0.03994293865905851,0.0136986301369863,Sierra Leone,women_iron
0.014265335235377985,0.0136986301369863,Sierra Leone,women_iron
0,0,Sierra Leone,women_iron
1,1,Sierra Leone,women_folate
0.9810126582278481,0.9736842105263158,Sierra Leone,women_folate
0.9746835443037974,0.9457236842105263,Sierra Leone,women_folate
0.9556962025316456,0.9259868421052632,Sierra Leone,women_folate
0.9367088607594937,0.9111842105263158,Sierra Leone,women_folate
0.9113924050632911,0.8963815789473685,Sierra Leone,women_folate
0.8860759493670887,0.8832236842105263,Sierra Leone,women_folate
0.879746835443038,0.8700657894736842,Sierra Leone,women_folate
0.8607594936708861,0.8569078947368421,Sierra Leone,women_folate
0.8354430379746836,0.8453947368421053,Sierra Leone,women_folate
0.8227848101265822,0.8207236842105263,Sierra Leone,women_folate
0.8037974683544304,0.7960526315789473,Sierra Leone,women_folate
0.7848101265822784,0.78125,Sierra Leone,women_folate
0.759493670886076,0.774671052631579,Sierra Leone,women_folate
0.7468354430379747,0.7615131578947368,Sierra Leone,women_folate
0.7341772151898734,0.7516447368421053,Sierra Leone,women_folate
0.689873417721519,0.743421052631579,Sierra Leone,women_folate
0.6582278481012658,0.7319078947368421,Sierra Leone,women_folate
0.6518987341772151,0.7154605263157895,Sierra Leone,women_folate
0.620253164556962,0.7039473684210527,Sierra Leone,women_folate
0.5949367088607596,0.6875,Sierra Leone,women_folate
0.5632911392405063,0.6726973684210527,Sierra Leone,women_folate
0.5569620253164558,0.6430921052631579,Sierra Leone,women_folate
0.5443037974683544,0.6266447368421053,Sierra Leone,women_folate
0.5189873417721519,0.6167763157894737,Sierra Leone,women_folate
0.5126582278481013,0.600328947368421,Sierra Leone,women_folate
0.49367088607594933,0.5838815789473685,Sierra Leone,women_folate
0.4177215189873418,0.5723684210526315,Sierra Leone,women_folate
0.4113924050632911,0.5509868421052632,Sierra Leone,women_folate
0.3987341772151899,0.5263157894736842,Sierra Leone,women_folate
0.379746835443038,0.5049342105263158,Sierra Leone,women_folate
0.35443037974683544,0.4901315789473684,Sierra Leone,women_folate
0.33544303797468356,0.46875,Sierra Leone,women_folate
0.33544303797468356,0.44901315789473684,Sierra Leone,women_folate
0.2974683544303798,0.4292763157894737,Sierra Leone,women_folate
0.28481012658227844,0.40460526315789475,Sierra Leone,women_folate
0.2784810126582279,0.3848684210526316,Sierra Leone,women_folate
0.2784810126582279,0.35855263157894735,Sierra Leone,women_folate
0.2721518987341772,0.3355263157894737,Sierra Leone,women_folate
0.25316455696202533,0.3223684210526316,Sierra Leone,women_folate
0.24683544303797467,0.29769736842105265,Sierra Leone,women_folate
0.21518987341772156,0.2779605263157895,Sierra Leone,women_folate
0.2088607594936709,0.2565789473684211,Sierra Leone,women_folate
0.19620253164556967,0.24013157894736842,Sierra Leone,women_folate
0.19620253164556967,0.23026315789473684,Sierra Leone,women_folate
0.19620253164556967,0.21875,Sierra Leone,women_folate
0.17721518987341767,0.19572368421052633,Sierra Leone,women_folate
0.17721518987341767,0.18585526315789475,Sierra Leone,women_folate
0.17721518987341767,0.17927631578947367,Sierra Leone,women_folate
0.16455696202531644,0.15460526315789475,Sierra Leone,women_folate
0.08860759493670889,0.14802631578947367,Sierra Leone,women_folate
0.069620253164557,0.13322368421052633,Sierra Leone,women_folate
0.05063291139240511,0.11019736842105263,Sierra Leone,women_folate
0.05063291139240511,0.08717105263157894,Sierra Leone,women_folate
0.03797468354430378,0.06085526315789474,Sierra Leone,women_folate
0.012658227848101222,0.046052631578947366,Sierra Leone,women_folate
0.012658227848101222,0.04111842105263158,Sierra Leone,women_folate
0.006329113924050667,0.03782894736842105,Sierra Leone,women_folate
0.006329113924050667,0.024671052631578948,Sierra Leone,women_folate
0,0,Sierra Leone,women_folate
1,1,Sierra Leone,women_b12
0.7866492146596858,1,Sierra Leone,women_b12
0.6007853403141361,1,Sierra Leone,women_b12
0.3782722513089005,0.75,Sierra Leone,women_b12
