mn_group,Population,year,unit,level,Samplesize,prev,Indicator,Indicatorunit,Deficiencycutoff,Dataadjustedfor,Surveymethodology,national_prev,national_n,deviation_pp,prev_pp,national_prev_pp,rank_within_nutrient,n_eco_regions,scored,scoring_blocked_reason,covariate_tilt_applied,covariate_tilt_reason,anchor_source,anchor_not_ghana_reason,cutoff_verified,survey_year,years_stale,unit_is_administrative,unit_note
Folate,Non-pregnant women (NPW),2007,,national,407,0.804,Folate (plasma or serum),nmol/L,NA,,Survey representative nationally and of the nine eco-regions of Cote d'Ivoire (urban and rural).,0.8607344665885112,1706,-5.67,80.4,86.07,NA,9,FALSE,no Cote d'Ivoire biomarker labels in this project,FALSE,"harmonized predictors unavailable for CIV (dhs/aef/soil/tclim/spam/precip blocks absent); and under LOCO the flat anchor outperforms every covariate arm on error, 9.85 pp against 13.50","VMNIS, Cote d'Ivoire's own survey","Ghana folate 53.8% against CIV 86.1%, a 32 pp level error",FALSE,2007,19,FALSE,"survey eco-regions, not GADM admin units; crosswalk outstanding"
Folate,Non-pregnant women (NPW),2007,,national,446,0.912,Folate (plasma or serum),nmol/L,NA,,Survey representative nationally and of the nine eco-regions of Cote d'Ivoire (urban and rural).,0.8607344665885112,1706,5.13,91.2,86.07,NA,9,FALSE,no Cote d'Ivoire biomarker labels in this project,FALSE,"harmonized predictors unavailable for CIV (dhs/aef/soil/tclim/spam/precip blocks absent); and under LOCO the flat anchor outperforms every covariate arm on error, 9.85 pp against 13.50","VMNIS, Cote d'Ivoire's own survey","Ghana folate 53.8% against CIV 86.1%, a 32 pp level error",FALSE,2007,19,FALSE,"survey eco-regions, not GADM admin units; crosswalk outstanding"
Vitamin B12,Non-pregnant women (NPW),2007,Abidjan,eco_region,NA,0,Vitamin B12,,NA,,Survey representative nationally and of the nine eco-regions of Cote d'Ivoire (urban and rural).,0.18099118942731277,908,-18.1,0,18.1,9,9,FALSE,no Cote d'Ivoire biomarker labels in this project,FALSE,"harmonized predictors unavailable for CIV (dhs/aef/soil/tclim/spam/precip blocks absent); and under LOCO the flat anchor outperforms every covariate arm on error, 9.85 pp against 13.50","VMNIS, Cote d'Ivoire's own survey","Ghana folate 53.8% against CIV 86.1%, a 32 pp level error",FALSE,2007,19,FALSE,"survey eco-regions, not GADM admin units; crosswalk outstanding"
Vitamin B12,Non-pregnant women (NPW),2007,Central,eco_region,NA,0.2,Vitamin B12,,NA,,Survey representative nationally and of the nine eco-regions of Cote d'Ivoire (urban and rural).,0.18099118942731277,908,1.9,20,18.1,5,9,FALSE,no Cote d'Ivoire biomarker labels in this project,FALSE,"harmonized predictors unavailable for CIV (dhs/aef/soil/tclim/spam/precip blocks absent); and under LOCO the flat anchor outperforms every covariate arm on error, 9.85 pp against 13.50","VMNIS, Cote d'Ivoire's own survey","Ghana folate 53.8% against CIV 86.1%, a 32 pp level error",FALSE,2007,19,FALSE,"survey eco-regions, not GADM admin units; crosswalk outstanding"
Vitamin B12,Non-pregnant women (NPW),2007,Central West,eco_region,NA,0.115,Vitamin B12,,NA,,Survey representative nationally and of the nine eco-regions of Cote d'Ivoire (urban and rural).,0.18099118942731277,908,-6.6,11.5,18.1,6,9,FALSE,no Cote d'Ivoire biomarker labels in this project,FALSE,"harmonized predictors unavailable for CIV (dhs/aef/soil/tclim/spam/precip blocks absent); and under LOCO the flat anchor outperforms every covariate arm on error, 9.85 pp against 13.50","VMNIS, Cote d'Ivoire's own survey","Ghana folate 53.8% against CIV 86.1%, a 32 pp level error",FALSE,2007,19,FALSE,"survey eco-regions, not GADM admin units; crosswalk outstanding"
Vitamin B12,Non-pregnant women (NPW),2007,North,eco_region,NA,0.486,Vitamin B12,,NA,,Survey representative nationally and of the nine eco-regions of Cote d'Ivoire (urban and rural).,0.18099118942731277,908,30.5,48.6,18.1,1,9,FALSE,no Cote d'Ivoire biomarker labels in this project,FALSE,"harmonized predictors unavailable for CIV (dhs/aef/soil/tclim/spam/precip blocks absent); and under LOCO the flat anchor outperforms every covariate arm on error, 9.85 pp against 13.50","VMNIS, Cote d'Ivoire's own survey","Ghana folate 53.8% against CIV 86.1%, a 32 pp level error",FALSE,2007,19,FALSE,"survey eco-regions, not GADM admin units; crosswalk outstanding"
Vitamin B12,Non-pregnant women (NPW),2007,North East,eco_region,NA,0.40399999999999997,Vitamin B12,,NA,,Survey representative nationally and of the nine eco-regions of Cote d'Ivoire (urban and rural).,0.18099118942731277,908,22.3,40.4,18.1,2,9,FALSE,no Cote d'Ivoire biomarker labels in this project,FALSE,"harmonized predictors unavailable for CIV (dhs/aef/soil/tclim/spam/precip blocks absent); and under LOCO the flat anchor outperforms every covariate arm on error, 9.85 pp against 13.50","VMNIS, Cote d'Ivoire's own survey","Ghana folate 53.8% against CIV 86.1%, a 32 pp level error",FALSE,2007,19,FALSE,"survey eco-regions, not GADM admin units; crosswalk outstanding"
Vitamin B12,Non-pregnant women (NPW),2007,North West,eco_region,NA,0.364,Vitamin B12,,NA,,Survey representative nationally and of the nine eco-regions of Cote d'Ivoire (urban and rural).,0.18099118942731277,908,18.3,36.4,18.1,3,9,FALSE,no Cote d'Ivoire biomarker labels in this project,FALSE,"harmonized predictors unavailable for CIV (dhs/aef/soil/tclim/spam/precip blocks absent); and under LOCO the flat anchor outperforms every covariate arm on error, 9.85 pp against 13.50","VMNIS, Cote d'Ivoire's own survey","Ghana folate 53.8% against CIV 86.1%, a 32 pp level error",FALSE,2007,19,FALSE,"survey eco-regions, not GADM admin units; crosswalk outstanding"
Vitamin B12,Non-pregnant women (NPW),2007,South,eco_region,NA,0.062,Vitamin B12,,NA,,Survey representative nationally and of the nine eco-regions of Cote d'Ivoire (urban and rural).,0.18099118942731277,908,-11.9,6.2,18.1,8,9,FALSE,no Cote d'Ivoire biomarker labels in this project,FALSE,"harmonized predictors unavailable for CIV (dhs/aef/soil/tclim/spam/precip blocks absent); and under LOCO the flat anchor outperforms every covariate arm on error, 9.85 pp against 13.50","VMNIS, Cote d'Ivoire's own survey","Ghana folate 53.8% against CIV 86.1%, a 32 pp level error",FALSE,2007,19,FALSE,"survey eco-regions, not GADM admin units; crosswalk outstanding"
Vitamin B12,Non-pregnant women (NPW),2007,South East,eco_region,NA,0.07,Vitamin B12,,NA,,Survey representative nationally and of the nine eco-regions of Cote d'Ivoire (urban and rural).,0.18099118942731277,908,-11.1,7,18.1,7,9,FALSE,no Cote d'Ivoire biomarker labels in this project,FALSE,"harmonized predictors unavailable for CIV (dhs/aef/soil/tclim/spam/precip blocks absent); and under LOCO the flat anchor outperforms every covariate arm on error, 9.85 pp against 13.50","VMNIS, Cote d'Ivoire's own survey","Ghana folate 53.8% against CIV 86.1%, a 32 pp level error",FALSE,2007,19,FALSE,"survey eco-regions, not GADM admin units; crosswalk outstanding"
Vitamin B12,Non-pregnant women (NPW),2007,West,eco_region,NA,0.298,Vitamin B12,,NA,,Survey representative nationally and of the nine eco-regions of Cote d'Ivoire (urban and rural).,0.18099118942731277,908,11.7,29.8,18.1,4,9,FALSE,no Cote d'Ivoire biomarker labels in this project,FALSE,"harmonized predictors unavailable for CIV (dhs/aef/soil/tclim/spam/precip blocks absent); and under LOCO the flat anchor outperforms every covariate arm on error, 9.85 pp against 13.50","VMNIS, Cote d'Ivoire's own survey","Ghana folate 53.8% against CIV 86.1%, a 32 pp level error",FALSE,2007,19,FALSE,"survey eco-regions, not GADM admin units; crosswalk outstanding"
Vitamin B12,Non-pregnant women (NPW),2007,,national,454,0.18100000000000002,Vitamin B12,pmol/L,NA,,Survey representative nationally and of the nine eco-regions of Cote d'Ivoire (urban and rural).,0.18099118942731277,908,0,18.1,18.1,NA,9,FALSE,no Cote d'Ivoire biomarker labels in this project,FALSE,"harmonized predictors unavailable for CIV (dhs/aef/soil/tclim/spam/precip blocks absent); and under LOCO the flat anchor outperforms every covariate arm on error, 9.85 pp against 13.50","VMNIS, Cote d'Ivoire's own survey","Ghana folate 53.8% against CIV 86.1%, a 32 pp level error",FALSE,2007,19,FALSE,"survey eco-regions, not GADM admin units; crosswalk outstanding"
Vitamin B12,Non-pregnant women (NPW),2007,,national,211,0.242,Vitamin B12,pmol/L,NA,,Survey representative nationally and of the nine eco-regions of Cote d'Ivoire (urban and rural).,0.18099118942731277,908,6.1,24.2,18.1,NA,9,FALSE,no Cote d'Ivoire biomarker labels in this project,FALSE,"harmonized predictors unavailable for CIV (dhs/aef/soil/tclim/spam/precip blocks absent); and under LOCO the flat anchor outperforms every covariate arm on error, 9.85 pp against 13.50","VMNIS, Cote d'Ivoire's own survey","Ghana folate 53.8% against CIV 86.1%, a 32 pp level error",FALSE,2007,19,FALSE,"survey eco-regions, not GADM admin units; crosswalk outstanding"
Vitamin B12,Non-pregnant women (NPW),2007,,national,243,0.128,Vitamin B12,pmol/L,NA,,Survey representative nationally and of the nine eco-regions of Cote d'Ivoire (urban and rural).,0.18099118942731277,908,-5.3,12.8,18.1,NA,9,FALSE,no Cote d'Ivoire biomarker labels in this project,FALSE,"harmonized predictors unavailable for CIV (dhs/aef/soil/tclim/spam/precip blocks absent); and under LOCO the flat anchor outperforms every covariate arm on error, 9.85 pp against 13.50","VMNIS, Cote d'Ivoire's own survey","Ghana folate 53.8% against CIV 86.1%, a 32 pp level error",FALSE,2007,19,FALSE,"survey eco-regions, not GADM admin units; crosswalk outstanding"
