"Admin2","country","outcome","support_distance","out_of_support","surveyed","n_svy","small_sample","pi_width","wide_interval","trust"
"Kantora","Gambia","women_vitA",0.983,FALSE,TRUE,17,FALSE,0.141530445907342,FALSE,"OK to use"
"Sandu","Gambia","women_vitA",0.82,FALSE,TRUE,15,FALSE,0.156654352076915,FALSE,"OK to use"
"Wuli","Gambia","women_vitA",0.867,FALSE,TRUE,11,TRUE,0.163025360133266,FALSE,"Use with caution"
"Foni Bintang Karanai","Gambia","women_vitA",0.889,FALSE,TRUE,20,FALSE,0.11630076846918,FALSE,"OK to use"
"Foni Brefet","Gambia","women_vitA",1.092,FALSE,TRUE,16,FALSE,0.11268423951834,FALSE,"OK to use"
"Kombo Central","Gambia","women_vitA",1.291,FALSE,TRUE,42,FALSE,0.115027123222171,FALSE,"OK to use"
"Kombo East","Gambia","women_vitA",1.13,FALSE,TRUE,28,FALSE,0.106165662209592,FALSE,"OK to use"
"Kombo Saint Mary","Gambia","women_vitA",1.314,FALSE,TRUE,94,FALSE,0.117917465391987,FALSE,"OK to use"
"Kombo South","Gambia","women_vitA",1.331,FALSE,TRUE,29,FALSE,0.115724909459825,FALSE,"OK to use"
"Niamina West","Gambia","women_vitA",0.668,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Foni Jarrol","Gambia","women_vitA",0.579,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Jarra Central","Gambia","women_vitA",0.626,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Foni Bondali","Gambia","women_vitA",0.551,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Janjanbureh","Gambia","women_vitA",0.815,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Foni Kansala","Gambia","women_vitA",0.551,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Kiang West","Gambia","women_vitA",0.726,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Banjul","Gambia","child_iron",2.462,TRUE,TRUE,95,FALSE,0.811011584791948,FALSE,"Do not rely"
"Kanifing","Gambia","child_iron",2.487,TRUE,TRUE,69,FALSE,0.837108938734273,FALSE,"Do not rely"
"Jarra East","Gambia","child_iron",0.669,FALSE,TRUE,52,FALSE,1,FALSE,"OK to use"
"Jarra West","Gambia","child_iron",0.603,FALSE,TRUE,35,FALSE,0.860151702614368,FALSE,"OK to use"
"Kiang Central","Gambia","child_iron",0.581,FALSE,TRUE,22,FALSE,0.929008017127752,FALSE,"OK to use"
"Kiang East","Gambia","child_iron",0.602,FALSE,TRUE,22,FALSE,0.937983279229738,FALSE,"OK to use"
"Fulladu West","Gambia","child_iron",0.803,FALSE,TRUE,110,FALSE,0.985174904380235,FALSE,"OK to use"
"Lower Saloum","Gambia","child_iron",0.617,FALSE,TRUE,39,FALSE,0.949517728866556,FALSE,"OK to use"
"Niamina Dankunku","Gambia","child_iron",0.653,FALSE,TRUE,34,FALSE,0.966721640783779,FALSE,"OK to use"
"Niamina East","Gambia","child_iron",0.738,FALSE,TRUE,28,FALSE,0.992903281291723,FALSE,"OK to use"
"Niani","Gambia","child_iron",0.792,FALSE,TRUE,44,FALSE,0.981303404638767,FALSE,"OK to use"
"Nianija","Gambia","child_iron",0.656,FALSE,TRUE,22,FALSE,0.803705150640017,FALSE,"OK to use"
"Sami","Gambia","child_iron",0.812,FALSE,TRUE,18,FALSE,0.944444444444444,FALSE,"OK to use"
"Upper Saloum","Gambia","child_iron",0.676,FALSE,TRUE,9,TRUE,0.976172256170561,FALSE,"Use with caution"
"Central Baddibu","Gambia","child_iron",0.57,FALSE,TRUE,14,TRUE,0.975238219547773,FALSE,"Use with caution"
"Jokadu","Gambia","child_iron",0.801,FALSE,TRUE,14,TRUE,0.876339311793051,FALSE,"Use with caution"
"Lower Baddibu","Gambia","child_iron",0.529,FALSE,TRUE,8,TRUE,0.988156032724133,FALSE,"Use with caution"
"Lower Nuimi","Gambia","child_iron",1.1,FALSE,TRUE,13,TRUE,0.895634333921611,FALSE,"Use with caution"
"Upper Baddibu","Gambia","child_iron",0.565,FALSE,TRUE,29,FALSE,0.954610296424355,FALSE,"OK to use"
"Upper Nuimi","Gambia","child_iron",1.087,FALSE,TRUE,9,TRUE,0.832884974549045,FALSE,"Use with caution"
"Fulladu East","Gambia","child_iron",0.808,FALSE,TRUE,123,FALSE,0.942061973720069,FALSE,"OK to use"
"Kantora","Gambia","child_iron",0.983,FALSE,TRUE,14,TRUE,0.954311298361384,FALSE,"Use with caution"
"Sandu","Gambia","child_iron",0.82,FALSE,TRUE,16,FALSE,0.992331284340929,FALSE,"OK to use"
"Wuli","Gambia","child_iron",0.867,FALSE,TRUE,8,TRUE,0.97369882712981,FALSE,"Use with caution"
"Foni Bintang Karanai","Gambia","child_iron",0.889,FALSE,TRUE,17,FALSE,0.827976385180208,FALSE,"OK to use"
"Foni Brefet","Gambia","child_iron",1.092,FALSE,TRUE,11,TRUE,0.800724372601489,FALSE,"Use with caution"
"Kombo Central","Gambia","child_iron",1.291,FALSE,TRUE,25,FALSE,0.762688017136537,FALSE,"OK to use"
"Kombo East","Gambia","child_iron",1.13,FALSE,TRUE,20,FALSE,0.80064709365837,FALSE,"OK to use"
"Kombo Saint Mary","Gambia","child_iron",1.314,FALSE,TRUE,56,FALSE,0.862425122898434,FALSE,"OK to use"
"Kombo South","Gambia","child_iron",1.331,FALSE,TRUE,19,FALSE,0.734738624417393,FALSE,"OK to use"
"Niamina West","Gambia","child_iron",0.668,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Foni Jarrol","Gambia","child_iron",0.579,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Jarra Central","Gambia","child_iron",0.626,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Foni Bondali","Gambia","child_iron",0.551,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Janjanbureh","Gambia","child_iron",0.815,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Foni Kansala","Gambia","child_iron",0.551,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Kiang West","Gambia","child_iron",0.726,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Banjul","Gambia","women_iron",2.462,TRUE,TRUE,224,FALSE,0.783268464739582,FALSE,"Do not rely"
"Kanifing","Gambia","women_iron",2.487,TRUE,TRUE,139,FALSE,0.768343200467079,FALSE,"Do not rely"
"Jarra East","Gambia","women_iron",0.669,FALSE,TRUE,43,FALSE,1,FALSE,"OK to use"
"Jarra West","Gambia","women_iron",0.603,FALSE,TRUE,61,FALSE,1,FALSE,"OK to use"
"Kiang Central","Gambia","women_iron",0.581,FALSE,TRUE,20,FALSE,0.791394853861135,FALSE,"OK to use"
"Kiang East","Gambia","women_iron",0.602,FALSE,TRUE,21,FALSE,0.945128388658638,FALSE,"OK to use"
"Fulladu West","Gambia","women_iron",0.803,FALSE,TRUE,146,FALSE,0.966235250423203,FALSE,"OK to use"
"Lower Saloum","Gambia","women_iron",0.617,FALSE,TRUE,29,FALSE,1,FALSE,"OK to use"
"Niamina Dankunku","Gambia","women_iron",0.653,FALSE,TRUE,19,FALSE,1,FALSE,"OK to use"
"Niamina East","Gambia","women_iron",0.738,FALSE,TRUE,23,FALSE,0.990626405049966,FALSE,"OK to use"
"Niani","Gambia","women_iron",0.792,FALSE,TRUE,45,FALSE,0.946968113302284,FALSE,"OK to use"
"Nianija","Gambia","women_iron",0.656,FALSE,TRUE,21,FALSE,1,FALSE,"OK to use"
"Sami","Gambia","women_iron",0.812,FALSE,TRUE,18,FALSE,0.950281860574228,FALSE,"OK to use"
"Upper Saloum","Gambia","women_iron",0.676,FALSE,TRUE,14,TRUE,0.972445608245812,FALSE,"Use with caution"
"Central Baddibu","Gambia","women_iron",0.57,FALSE,TRUE,33,FALSE,1,FALSE,"OK to use"
"Jokadu","Gambia","women_iron",0.801,FALSE,TRUE,12,TRUE,0.836250038990825,FALSE,"Use with caution"
"Lower Baddibu","Gambia","women_iron",0.529,FALSE,TRUE,22,FALSE,1,FALSE,"OK to use"
"Lower Nuimi","Gambia","women_iron",1.1,FALSE,TRUE,29,FALSE,0.790049360658169,FALSE,"OK to use"
"Upper Baddibu","Gambia","women_iron",0.565,FALSE,TRUE,37,FALSE,0.758649972798849,FALSE,"OK to use"
"Upper Nuimi","Gambia","women_iron",1.087,FALSE,TRUE,17,FALSE,0.812697793246315,FALSE,"OK to use"
"Fulladu East","Gambia","women_iron",0.808,FALSE,TRUE,151,FALSE,0.847900261460647,FALSE,"OK to use"
"Kantora","Gambia","women_iron",0.983,FALSE,TRUE,17,FALSE,0.960844356987206,FALSE,"OK to use"
"Sandu","Gambia","women_iron",0.82,FALSE,TRUE,15,FALSE,0.666666666666667,FALSE,"OK to use"
"Wuli","Gambia","women_iron",0.867,FALSE,TRUE,11,TRUE,0.960844356987206,FALSE,"Use with caution"
"Foni Bintang Karanai","Gambia","women_iron",0.889,FALSE,TRUE,20,FALSE,0.791768578394525,FALSE,"OK to use"
"Foni Brefet","Gambia","women_iron",1.092,FALSE,TRUE,16,FALSE,0.774638764269678,FALSE,"OK to use"
"Kombo Central","Gambia","women_iron",1.291,FALSE,TRUE,41,FALSE,0.784724962330507,FALSE,"OK to use"
"Kombo East","Gambia","women_iron",1.13,FALSE,TRUE,28,FALSE,0.765094899537563,FALSE,"OK to use"
"Kombo Saint Mary","Gambia","women_iron",1.314,FALSE,TRUE,94,FALSE,0.788898070534132,FALSE,"OK to use"
"Kombo South","Gambia","women_iron",1.331,FALSE,TRUE,29,FALSE,0.783861460004036,FALSE,"OK to use"
"Niamina West","Gambia","women_iron",0.668,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Foni Jarrol","Gambia","women_iron",0.579,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Jarra Central","Gambia","women_iron",0.626,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Foni Bondali","Gambia","women_iron",0.551,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Janjanbureh","Gambia","women_iron",0.815,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Foni Kansala","Gambia","women_iron",0.551,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Kiang West","Gambia","women_iron",0.726,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Asunafo North","Ghana","child_vitA",0.419,FALSE,TRUE,19,FALSE,0.400320842984487,FALSE,"OK to use"
"Tano North","Ghana","child_vitA",0.402,FALSE,TRUE,43,FALSE,0.406240330810084,FALSE,"OK to use"
"Adansi Asokwa","Ghana","child_vitA",0.57,FALSE,TRUE,16,FALSE,0.485324185982327,FALSE,"OK to use"
"Asante-Akim South","Ghana","child_vitA",0.564,FALSE,TRUE,26,FALSE,0.482049047153738,FALSE,"OK to use"
"Asokore-Mampong","Ghana","child_vitA",0.467,FALSE,TRUE,18,FALSE,0.364917860057936,FALSE,"OK to use"
"Asokwa","Ghana","child_vitA",0.419,FALSE,TRUE,15,FALSE,0.372125578424033,FALSE,"OK to use"
"Atwima-Mponua","Ghana","child_vitA",0.562,FALSE,TRUE,32,FALSE,0.485324185982327,FALSE,"OK to use"
"Atwima-Nwabiagya South","Ghana","child_vitA",0.406,FALSE,TRUE,11,TRUE,0.417053589320307,FALSE,"Use with caution"
"Bekwai","Ghana","child_vitA",0.537,FALSE,TRUE,8,TRUE,0.380181832735253,FALSE,"Use with caution"
"Kumasi","Ghana","child_vitA",1.486,TRUE,TRUE,24,FALSE,0.409130739406515,FALSE,"Do not rely"
"Kwadaso","Ghana","child_vitA",0.721,FALSE,TRUE,11,TRUE,0.419712204181564,FALSE,"Use with caution"
"Obuasi","Ghana","child_vitA",0.538,FALSE,TRUE,17,FALSE,0.354482757707149,FALSE,"OK to use"
"Sekyere Kumawu","Ghana","child_vitA",0.41,FALSE,TRUE,12,TRUE,0.403379079612056,FALSE,"Use with caution"
"Sekyere South","Ghana","child_vitA",0.404,FALSE,TRUE,14,TRUE,0.451922440312119,FALSE,"Use with caution"
"Dormaa West","Ghana","child_vitA",0.399,FALSE,TRUE,16,FALSE,0.328424999979057,FALSE,"OK to use"
"Sunyani West","Ghana","child_vitA",0.513,FALSE,TRUE,6,TRUE,0.403288345050916,FALSE,"Use with caution"
"Wenchi","Ghana","child_vitA",0.464,FALSE,TRUE,11,TRUE,0.451231672832965,FALSE,"Use with caution"
"Kintampo North","Ghana","child_vitA",0.528,FALSE,TRUE,19,FALSE,0.392784420535396,FALSE,"OK to use"
"Sene West","Ghana","child_vitA",0.426,FALSE,TRUE,14,TRUE,0.449095446336644,FALSE,"Use with caution"
"Techiman","Ghana","child_vitA",0.421,FALSE,TRUE,13,TRUE,0.344939840092776,FALSE,"Use with caution"
"Agona West","Ghana","child_vitA",1.073,FALSE,TRUE,21,FALSE,0.407376455881197,FALSE,"OK to use"
"Asikuma-Odoben-Brakwa","Ghana","child_vitA",0.594,FALSE,TRUE,19,FALSE,0.420839009468499,FALSE,"OK to use"
"Awutu Senya West","Ghana","child_vitA",0.538,FALSE,TRUE,12,TRUE,0.335798257391231,FALSE,"Use with caution"
"Mfantseman","Ghana","child_vitA",1.514,TRUE,TRUE,6,TRUE,0.367294118985013,FALSE,"Do not rely"
"Twifo-Atti-Morkwa","Ghana","child_vitA",0.596,FALSE,TRUE,8,TRUE,0.362231492301188,FALSE,"Use with caution"
"Twifo-Hemang-Lower Denkyira","Ghana","child_vitA",0.593,FALSE,TRUE,6,TRUE,0.421331215335957,FALSE,"Use with caution"
"Abuakwa South","Ghana","child_vitA",0.568,FALSE,TRUE,18,FALSE,0.38920350819442,FALSE,"OK to use"
"Akwapem North","Ghana","child_vitA",0.524,FALSE,TRUE,23,FALSE,0.45060677293244,FALSE,"OK to use"
"Atiwa East","Ghana","child_vitA",0.565,FALSE,TRUE,10,TRUE,0.3970219820237,FALSE,"Use with caution"
"Denkyembour","Ghana","child_vitA",0.54,FALSE,TRUE,14,TRUE,0.427430127109074,FALSE,"Use with caution"
"Kwahu Afram Plains North","Ghana","child_vitA",1.373,FALSE,TRUE,45,FALSE,0.391147597380741,FALSE,"Use with caution"
"Ablekuma Central","Ghana","child_vitA",2.002,TRUE,TRUE,6,TRUE,0.417342898889393,FALSE,"Do not rely"
"Ablekuma North","Ghana","child_vitA",1.876,TRUE,TRUE,10,TRUE,0.485324185982327,FALSE,"Do not rely"
"Ashaiman","Ghana","child_vitA",1.05,FALSE,TRUE,5,TRUE,0.310817214461764,FALSE,"Use with caution"
"Ayawaso West","Ghana","child_vitA",0.85,FALSE,TRUE,2,TRUE,0.456956029565861,FALSE,"Use with caution"
"Ga East","Ghana","child_vitA",0.538,FALSE,TRUE,6,TRUE,0.438898653137498,FALSE,"Use with caution"
"La-Dade-Kotopon","Ghana","child_vitA",1.011,FALSE,TRUE,13,TRUE,0.331466774288515,FALSE,"Use with caution"
"Tema West","Ghana","child_vitA",0.839,FALSE,TRUE,10,TRUE,0.41751299559701,FALSE,"Use with caution"
"Weija Gbawe","Ghana","child_vitA",0.527,FALSE,TRUE,47,FALSE,0.371413131309037,FALSE,"OK to use"
"Chereponi","Ghana","child_vitA",0.621,FALSE,TRUE,12,TRUE,0.485324185982327,FALSE,"Use with caution"
"West Mamprusi","Ghana","child_vitA",0.636,FALSE,TRUE,23,FALSE,0.356079378722097,FALSE,"OK to use"
"Yunyoo-Nasuan","Ghana","child_vitA",0.631,FALSE,TRUE,10,TRUE,0.485324185982327,FALSE,"Use with caution"
"Gushegu","Ghana","child_vitA",0.607,FALSE,TRUE,10,TRUE,0.485324185982327,FALSE,"Use with caution"
"Kpandai","Ghana","child_vitA",0.451,FALSE,TRUE,3,TRUE,0.484258155034349,FALSE,"Use with caution"
"Nanumba South","Ghana","child_vitA",0.521,FALSE,TRUE,11,TRUE,0.401058580237065,FALSE,"Use with caution"
"Sagnerigu","Ghana","child_vitA",0.586,FALSE,TRUE,20,FALSE,0.485324185982327,FALSE,"OK to use"
"Savelugu","Ghana","child_vitA",0.62,FALSE,TRUE,17,FALSE,0.485324185982327,FALSE,"OK to use"
"Tamale","Ghana","child_vitA",0.549,FALSE,TRUE,25,FALSE,0.485324185982327,FALSE,"OK to use"
"Tatale Sanguli","Ghana","child_vitA",0.53,FALSE,TRUE,25,FALSE,0.442212982260519,FALSE,"OK to use"
"Tolon","Ghana","child_vitA",0.615,FALSE,TRUE,32,FALSE,0.485324185982327,FALSE,"OK to use"
"Nkwanta South","Ghana","child_vitA",0.417,FALSE,TRUE,14,TRUE,0.428358462938989,FALSE,"Use with caution"
"Bole","Ghana","child_vitA",0.564,FALSE,TRUE,4,TRUE,0.421909198169069,FALSE,"Use with caution"
"Central Gonja","Ghana","child_vitA",0.554,FALSE,TRUE,30,FALSE,0.40289958609655,FALSE,"OK to use"
"North East Gonja","Ghana","child_vitA",0.452,FALSE,TRUE,11,TRUE,0.389583178385618,FALSE,"Use with caution"
"Sawla-Tuna-Kalba","Ghana","child_vitA",0.61,FALSE,TRUE,18,FALSE,0.485324185982327,FALSE,"OK to use"
"Bawku West","Ghana","child_vitA",0.653,FALSE,TRUE,9,TRUE,0.485324185982327,FALSE,"Use with caution"
"Binduri","Ghana","child_vitA",0.665,FALSE,TRUE,30,FALSE,0.485324185982327,FALSE,"OK to use"
"Builsa South","Ghana","child_vitA",0.646,FALSE,TRUE,7,TRUE,0.485324185982327,FALSE,"Use with caution"
"Kasena Nankana East","Ghana","child_vitA",0.642,FALSE,TRUE,22,FALSE,0.447428196832238,FALSE,"OK to use"
"Talensi","Ghana","child_vitA",0.64,FALSE,TRUE,13,TRUE,0.373862574828823,FALSE,"Use with caution"
"Jirapa","Ghana","child_vitA",0.669,FALSE,TRUE,9,TRUE,0.485324185982327,FALSE,"Use with caution"
"Lambussie-Karni","Ghana","child_vitA",0.674,FALSE,TRUE,14,TRUE,0.485324185982327,FALSE,"Use with caution"
"Sissala East","Ghana","child_vitA",0.653,FALSE,TRUE,17,FALSE,0.485324185982327,FALSE,"OK to use"
"Wa East","Ghana","child_vitA",0.634,FALSE,TRUE,14,TRUE,0.485324185982327,FALSE,"Use with caution"
"Wa Municipal","Ghana","child_vitA",0.629,FALSE,TRUE,16,FALSE,0.480734125342717,FALSE,"OK to use"
"Afadzato South","Ghana","child_vitA",1.194,FALSE,TRUE,23,FALSE,0.406889159838025,FALSE,"Use with caution"
"Akatsi South","Ghana","child_vitA",0.542,FALSE,TRUE,8,TRUE,0.250282217336575,FALSE,"Use with caution"
"Ho Municipal","Ghana","child_vitA",1.195,FALSE,TRUE,1,TRUE,0.377250023856801,FALSE,"Use with caution"
"South Tongu","Ghana","child_vitA",0.571,FALSE,TRUE,8,TRUE,0.468457244090669,FALSE,"Use with caution"
"Effia Kwesimintsim","Ghana","child_vitA",0.478,FALSE,TRUE,7,TRUE,0.450916945862228,FALSE,"Use with caution"
"Ellembelle","Ghana","child_vitA",0.56,FALSE,TRUE,18,FALSE,0.485324185982327,FALSE,"OK to use"
"Jomoro","Ghana","child_vitA",0.53,FALSE,TRUE,8,TRUE,0.451489239233354,FALSE,"Use with caution"
"Mpohor","Ghana","child_vitA",0.551,FALSE,TRUE,13,TRUE,0.373076497713924,FALSE,"Use with caution"
"Prestea-Huni Valley","Ghana","child_vitA",0.581,FALSE,TRUE,18,FALSE,0.391244367604174,FALSE,"OK to use"
"Sefwi-Akontombra","Ghana","child_vitA",0.437,FALSE,TRUE,19,FALSE,0.330971672839096,FALSE,"OK to use"
"Tano South","Ghana","child_vitA",0.41,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Adansi Akrofuom","Ghana","child_vitA",0.589,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Gomoa West","Ghana","child_vitA",0.616,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Adansi North","Ghana","child_vitA",0.547,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Adansi South","Ghana","child_vitA",0.577,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Afigya-Kwabre North","Ghana","child_vitA",0.404,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Afigya-Kwabre South","Ghana","child_vitA",0.413,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Ahafo-Ano North","Ghana","child_vitA",0.402,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Ahafo-Ano South East","Ghana","child_vitA",0.403,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Ahafo-Ano South West","Ghana","child_vitA",0.418,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
