k_sentinel,replicate,n_held,rmse_pp,mae_pp,shift_logit,outcome,country,analysis_profile
5,9,82,14.319477848329218,9.042850720467781,-4.743095088199062,child_vitA,Malawi,full
5,10,82,13.423906393439694,8.624282656905415,-5.468092264450588,child_vitA,Malawi,full
5,11,82,14.290518515344877,9.002816914916759,-4.666772609415629,child_vitA,Malawi,full
5,12,82,13.794364987105018,8.711450012788925,-2.958582393060129,child_vitA,Malawi,full
5,13,82,12.655681187234197,8.554597206161517,-1.5424892750883805,child_vitA,Malawi,full
5,14,82,14.280677357882407,8.988465227973263,-4.670474873590009,child_vitA,Malawi,full
5,15,82,14.033248505968416,8.892906870716107,-3.288844312684483,child_vitA,Malawi,full
5,16,82,14.277729029022026,8.981428659313423,-4.664279955850638,child_vitA,Malawi,full
5,17,82,13.730883999097143,8.627613685476623,-4.002761140361848,child_vitA,Malawi,full
5,18,82,13.822540545956805,8.746579748983518,-2.9429169833304187,child_vitA,Malawi,full
5,19,82,11.614792040309348,8.151102140668993,-1.0077074738003777,child_vitA,Malawi,full
5,20,82,14.012302574088704,8.744603665135033,-4.120059107288284,child_vitA,Malawi,full
5,21,82,13.900860619734297,8.772438983799686,-3.078578300164591,child_vitA,Malawi,full
5,22,82,13.120927280339428,8.34220580218535,-2.707796450691153,child_vitA,Malawi,full
5,23,82,14.15559870208133,8.908246854388011,-5.629101533163057,child_vitA,Malawi,full
5,24,82,14.264457492975682,8.979652223667598,-4.519658337070373,child_vitA,Malawi,full
5,25,82,13.710900640319704,8.63683021386355,-4.187528374019431,child_vitA,Malawi,full
10,1,77,12.90986140005781,8.460577366304202,-2.3800216272487513,child_vitA,Malawi,full
10,2,77,13.944572409655331,8.663840114780799,-3.2765619991408457,child_vitA,Malawi,full
10,3,77,13.282864913848504,8.39229663215775,-2.812466012544295,child_vitA,Malawi,full
10,4,77,14.260066517102532,8.929124230263458,-4.36034169885159,child_vitA,Malawi,full
10,5,77,14.524884007554995,9.23057979443307,-4.128369680013865,child_vitA,Malawi,full
10,6,77,13.607055961112538,8.51607320864929,-2.8978998733233436,child_vitA,Malawi,full
10,7,77,10.49093456977773,7.415243719933239,-1.7199487299737277,child_vitA,Malawi,full
10,8,77,13.96804336821272,8.801781094567538,-3.1399632240940245,child_vitA,Malawi,full
10,9,77,12.4834343351397,8.299421616211355,-1.635644906869365,child_vitA,Malawi,full
10,10,77,13.43945902796162,8.567552003150256,-2.245992787696618,child_vitA,Malawi,full
10,11,77,11.225911960703709,7.6270146284482285,-1.8159342576426716,child_vitA,Malawi,full
10,12,77,13.822798157329268,8.628467444447992,-3.526974940395614,child_vitA,Malawi,full
10,13,77,13.405466938549562,8.487891931688118,-2.2635636858689088,child_vitA,Malawi,full
10,14,77,11.563614744198492,7.922290371767543,-1.3751328139175356,child_vitA,Malawi,full
10,15,77,12.755654219513795,8.499375762877353,-1.6017238666950997,child_vitA,Malawi,full
10,16,77,14.194748062602372,8.942447322406094,-3.301382258171751,child_vitA,Malawi,full
10,17,77,13.363976437809086,8.701804454978546,-4.3843814581665335,child_vitA,Malawi,full
10,18,77,12.537122300281325,8.18703573644984,-2.515384384495185,child_vitA,Malawi,full
10,19,77,13.735305874066182,8.92763016844095,-4.514965757406898,child_vitA,Malawi,full
10,20,77,12.19425518022242,8.056165665024528,-2.0100007963587707,child_vitA,Malawi,full
10,21,77,12.58631333858463,8.39539052110179,-1.5376212682883805,child_vitA,Malawi,full
10,22,77,11.088511786720145,7.646316306060245,-1.1219266506645602,child_vitA,Malawi,full
10,23,77,12.777062120897254,8.17065624080246,-2.1778847826979493,child_vitA,Malawi,full
10,24,77,13.023554852779263,8.501043614746633,-3.8417217774179817,child_vitA,Malawi,full
10,25,77,14.215785530194344,8.954519580950612,-4.364623593521567,child_vitA,Malawi,full
15,1,72,13.209430660233817,8.402612076384221,-3.3723188856313984,child_vitA,Malawi,full
15,2,72,13.017058382535293,8.11097347106319,-2.192797291508508,child_vitA,Malawi,full
15,3,72,14.292698089008718,8.964761037880567,-3.823072686913552,child_vitA,Malawi,full
15,4,72,12.676523301075157,8.299292852227921,-3.804491733965165,child_vitA,Malawi,full
15,5,72,14.100705942204103,8.90139073090229,-3.397787001178193,child_vitA,Malawi,full
15,6,72,12.005011987511452,7.762550355670333,-1.7556688913435947,child_vitA,Malawi,full
15,7,72,14.376980155781025,9.125586862419437,-2.7562202830778895,child_vitA,Malawi,full
15,8,72,12.95079206232754,8.368257260756243,-1.9910558377248226,child_vitA,Malawi,full
15,9,72,12.330252353433819,8.093378417473563,-1.9235317033932238,child_vitA,Malawi,full
15,10,72,12.705585700464994,8.137721069809995,-2.2823480035944113,child_vitA,Malawi,full
15,11,72,13.584896067028637,8.922935735709455,-1.8516512319162468,child_vitA,Malawi,full
15,12,72,13.704039671328202,8.903558893385416,-3.53946896802238,child_vitA,Malawi,full
15,13,72,13.375561936371641,8.492744960801671,-3.384264008569823,child_vitA,Malawi,full
15,14,72,14.762709642975688,9.388829735258843,-4.322339708890254,child_vitA,Malawi,full
15,15,72,14.541992870574097,9.21813082998176,-4.381023207682873,child_vitA,Malawi,full
15,16,72,14.90757463995581,9.580879983184262,-4.507152992972723,child_vitA,Malawi,full
15,17,72,14.740650992255292,9.307612221444383,-4.291587034450182,child_vitA,Malawi,full
15,18,72,14.19291098517391,8.825411191719391,-3.475867265748441,child_vitA,Malawi,full
15,19,72,14.179060871477942,8.96233746939123,-3.4815903965175714,child_vitA,Malawi,full
15,20,72,13.958700333043167,8.971844828607338,-2.268879187529529,child_vitA,Malawi,full
15,21,72,13.029217177539854,8.325613303474311,-1.9875687074581871,child_vitA,Malawi,full
15,22,72,13.002697056232229,8.246950589303163,-2.304324029222397,child_vitA,Malawi,full
15,23,72,12.90391948302656,8.228636344800506,-2.347200299488147,child_vitA,Malawi,full
15,24,72,13.973862242584744,8.816783494102452,-3.4311122761002464,child_vitA,Malawi,full
15,25,72,14.995057601595141,9.67001464235726,-4.65032284756149,child_vitA,Malawi,full
20,1,67,14.471304550685543,9.15219237761098,-3.5708757694140854,child_vitA,Malawi,full
20,2,67,13.83823596759585,8.68893962428521,-3.552087049813325,child_vitA,Malawi,full
20,3,67,14.949538652163602,9.60951668642148,-4.6403275216629805,child_vitA,Malawi,full
20,4,67,13.840629895282582,8.956540715364955,-3.5308860201345236,child_vitA,Malawi,full
20,5,67,12.408235167242424,7.903901228834391,-3.183168203925311,child_vitA,Malawi,full
20,6,67,15.36750056802145,9.99866322313862,-4.403099938417883,child_vitA,Malawi,full
20,7,67,13.507229781535612,8.598171800845211,-3.586494789433387,child_vitA,Malawi,full
20,8,67,14.71064675090791,9.370194550322173,-3.697723557065918,child_vitA,Malawi,full
20,9,67,14.346810895089943,9.004389158702402,-3.5190016985206585,child_vitA,Malawi,full
20,10,67,13.665970784910552,8.908634847616982,-3.577333953972964,child_vitA,Malawi,full
20,11,67,13.8700241527525,8.717342510617433,-3.510900898702808,child_vitA,Malawi,full
20,12,67,11.836009867627268,7.639935632871429,-3.1433872667880105,child_vitA,Malawi,full
20,13,67,11.884641003747289,8.052187441997711,-1.579110485566852,child_vitA,Malawi,full
20,14,67,13.047433563318364,8.252838074395706,-3.1695235484388835,child_vitA,Malawi,full
20,15,67,15.104341803701457,9.662988915807718,-4.135765429075185,child_vitA,Malawi,full
20,16,67,14.792389236120155,9.361357323153523,-3.2075577710977266,child_vitA,Malawi,full
20,17,67,14.58304201671984,9.174003930740332,-3.449736383490839,child_vitA,Malawi,full
20,18,67,12.298193649250788,7.869291918670146,-2.7783216745258796,child_vitA,Malawi,full
20,19,67,12.129729649858035,8.058474590699987,-3.22705694439408,child_vitA,Malawi,full
20,20,67,15.100982363052873,9.582490077980644,-4.015334117647184,child_vitA,Malawi,full
20,21,67,13.272320416629574,8.470175293539244,-3.119382911733053,child_vitA,Malawi,full
20,22,67,14.312992863746487,9.373101023456876,-4.323113793818915,child_vitA,Malawi,full
20,23,67,14.151286020672998,9.340795145861007,-4.576905134432586,child_vitA,Malawi,full
