outcome,held_out,scorer,weighting,metric,original_selection,nested_selection,delta,lower_better,nested_better
women_vitA,SierraLeone,glm,equal_row,n_scored,3,6,3,FALSE,TRUE
women_vitA,SierraLeone,glm,equal_country,auc,0.6385338345864662,0.5011572585830012,-0.13737657600346498,FALSE,FALSE
women_vitA,SierraLeone,glm,equal_country,brier,0.018081613444019536,0.015196003321696844,-0.002885610122322692,TRUE,TRUE
women_vitA,SierraLeone,glm,equal_country,null_brier_train,0.01776330309717897,0.015104004352300754,-0.0026592987448782173,FALSE,FALSE
women_vitA,SierraLeone,glm,equal_country,calib_slope,-0.6370020965959005,-0.23810797051343974,0.3988941260824607,FALSE,TRUE
women_vitA,SierraLeone,glm,equal_country,n_scored,3,6,3,FALSE,TRUE
women_vitA,Malawi,glm,equal_row,auc,0.6754269972451791,0.628595041322314,-0.04683195592286504,FALSE,FALSE
women_vitA,Malawi,glm,equal_row,brier,0.012926804640999342,0.014506339368450454,0.001579534727451112,TRUE,FALSE
women_vitA,Malawi,glm,equal_row,null_brier_train,0.013047091412742382,0.013062481760117772,1.5390347375389413e-5,FALSE,TRUE
women_vitA,Malawi,glm,equal_row,calib_slope,1.8515896672921506,-0.15056558242683793,-2.0021552497189887,FALSE,FALSE
women_vitA,Malawi,glm,equal_row,n_scored,3,3,0,FALSE,FALSE
women_vitA,Malawi,glm,equal_country,auc,0.6725619834710744,0.6289256198347107,-0.043636363636363695,FALSE,FALSE
women_vitA,Malawi,glm,equal_country,brier,0.012936244346749034,0.014344699363965038,0.001408455017216004,TRUE,FALSE
women_vitA,Malawi,glm,equal_country,null_brier_train,0.013047091412742382,0.013062481760117772,1.5390347375389413e-5,FALSE,TRUE
women_vitA,Malawi,glm,equal_country,calib_slope,2.242599262978689,-0.157025458267364,-2.399624721246053,FALSE,FALSE
women_vitA,Malawi,glm,equal_country,n_scored,3,3,0,FALSE,FALSE
child_iron,Gambia,glm,equal_row,auc,0.5660844337735094,0.5817947178871549,0.0157102841136455,FALSE,TRUE
child_iron,Gambia,glm,equal_row,brier,0.27621093341206854,0.2857535135472489,0.00954258013518039,TRUE,FALSE
child_iron,Gambia,glm,equal_row,null_brier_train,0.3178759371519845,0.31695430424884663,-9.216329031378478e-4,FALSE,FALSE
child_iron,Gambia,glm,equal_row,calib_slope,0.6587297273947453,3.9448586330736846,3.286128905678939,FALSE,TRUE
child_iron,Gambia,glm,equal_row,n_scored,3,1,-2,FALSE,FALSE
child_iron,Gambia,glm,equal_country,auc,0.5672168867547018,0.5817947178871549,0.014577831132453034,FALSE,TRUE
child_iron,Gambia,glm,equal_country,brier,0.27471128909102305,0.2852575264714997,0.010546237380476664,TRUE,FALSE
child_iron,Gambia,glm,equal_country,null_brier_train,0.3178759371519845,0.31695430424884663,-9.216329031378478e-4,FALSE,FALSE
child_iron,Gambia,glm,equal_country,calib_slope,0.68101815157748,3.857752199241178,3.1767340476636976,FALSE,TRUE
child_iron,Gambia,glm,equal_country,n_scored,3,1,-2,FALSE,FALSE
child_iron,Ghana,glm,equal_row,auc,0.659461560714544,0.6262701598322123,-0.033191400882331634,FALSE,FALSE
child_iron,Ghana,glm,equal_row,brier,0.17584229932494808,0.1813941204037827,0.005551821078834618,TRUE,FALSE
child_iron,Ghana,glm,equal_row,null_brier_train,0.18289967669147372,0.18289967669147372,0,FALSE,FALSE
