n_ind,n_areas_eval,auc,brier,brier_null_train,brier_skill,pearson_r,spearman_r,mae_pp,calib_slope,scheme,country,outcome,marker,harmonized_marker,threshold,national_prev,n_areas_total,seed,r_max,r_max_hi,r_share,signal,elapsed_min,analysis_profile
768,14,0.6823529411764706,0.003918849952316496,0.003891391757278306,-0.007056137431250109,-0.2844543952110354,-0.2890577393148728,0.7493924331380497,-0.5881792018317616,distributional_default,Sierra Leone,women_b12,"configured column gw_B12, no inflammation adjustment",FALSE,148,0.0032733626950187523,14,12345,0,0.27,NA,TRUE,0.04,full
1149,69,0.5395991813723597,0.03931403734158773,0.03925214994397158,-0.0015766626211428658,-0.032349480879475735,-0.20210983399327417,8.174135693427745,-0.3131374946891619,binary_classifier,Malawi,child_vitA,BRINDA-adjusted RBP (umol/L),TRUE,0.7,0.04540459100467547,87,12345,0.436,0.685,-0.07,TRUE,0.62,full
1149,69,0.7447001583194964,0.03934004197771277,0.03925214994397158,-0.002239164832159357,-0.515833657654557,-0.5996836154415109,8.009951726778608,-35.88484223622257,distributional_default,Malawi,child_vitA,BRINDA-adjusted RBP (umol/L),TRUE,0.7,0.04540459100467547,87,12345,0.436,0.685,-1.18,TRUE,0.62,full
0,0,NA,NA,NA,NA,NA,NA,NA,NA,binary_classifier,Malawi,women_vitA,BRINDA-adjusted RBP (umol/L),TRUE,0.7,0.0033771987311101976,87,12345,0,0,NA,FALSE,0.16,full
836,56,0.9901079136690647,0.0024904084609579705,0.0023875911232736696,-0.04306320989471857,-0.08455442424755778,-0.19329171250982935,1.8840325614633908,-0.2887887763780409,distributional_default,Malawi,women_vitA,BRINDA-adjusted RBP (umol/L),TRUE,0.7,0.0033771987311101976,87,12345,0,0,NA,FALSE,0.16,full
1149,69,0.5392604588675158,0.1493408612778952,0.14570734462026744,-0.024937086507870854,0.23134154099451837,0.12840617396258625,11.100351324763006,0.3646265089515773,binary_classifier,Malawi,child_iron,BRINDA-adjusted ferritin (ug/L),TRUE,12,0.19236489053178074,87,12345,0.363,0.625,0.64,TRUE,0.45,full
1149,69,0.5248726814484633,0.14875794654244515,0.14570734462026744,-0.020936500696845384,0.16123631797404686,0.05928688134566321,11.240763800105372,0.28233231479918053,distributional_default,Malawi,child_iron,BRINDA-adjusted ferritin (ug/L),TRUE,12,0.19236489053178074,87,12345,0.363,0.625,0.44,TRUE,0.45,full
836,51,0.5551994020138065,0.16421602108821928,0.16298723961788947,-0.007539126824962494,-0.40127183613435274,-0.438854631769184,11.115100313905083,-3.0910739228294437,binary_classifier,Malawi,women_iron,BRINDA-adjusted ferritin (ug/L),TRUE,15,0.1877934980137069,87,12345,0,0.437,NA,TRUE,0.27,full
836,51,0.5212988611880578,0.16446202175541108,0.16298723961788947,-0.009048451528960832,-0.23229648296036123,-0.17157577941467117,11.084694471899743,-0.8174509207358378,distributional_default,Malawi,women_iron,BRINDA-adjusted ferritin (ug/L),TRUE,15,0.1877934980137069,87,12345,0,0.437,NA,TRUE,0.27,full
828,55,0.5831191505955757,0.16393355380125124,0.16505024932432302,0.006765791191732595,0.17181133800151524,0.1504071462068473,15.860088802707262,0.39701516807937853,binary_classifier,Malawi,women_folate,"configured column fol_nmol, no inflammation adjustment",FALSE,10,0.18599670877138672,87,12345,0.721,0.814,0.24,TRUE,0.3,full
828,55,0.5831280133295519,0.1675231807476037,0.16505024932432302,-0.01498290025858351,0.08598629474330839,0.22026658261354418,15.907358596885611,0.27356153054801285,distributional_default,Malawi,women_folate,"configured column fol_nmol, no inflammation adjustment",FALSE,10,0.18599670877138672,87,12345,0.721,0.814,0.12,TRUE,0.3,full
839,55,0.637707800511509,0.02646756607496381,0.026683298516982517,0.008084924053951004,0.2834979082879357,0.2962399030171878,4.118229776090801,1.1552707267556597,binary_classifier,Malawi,women_b12,"configured column vitb12, no inflammation adjustment",FALSE,148,0.02280753744935077,87,12345,0,0.156,NA,TRUE,0.37,full
839,55,0.6271579283887468,0.026499933730910676,0.026683298516982517,0.006871893516280925,0.24060979228710525,0.2465216395236961,4.180499840932877,0.5958209607680274,distributional_default,Malawi,women_b12,"configured column vitb12, no inflammation adjustment",FALSE,148,0.02280753744935077,87,12345,0,0.156,NA,TRUE,0.37,full
1133,68,0.5839264468050241,0.225175875690478,0.21917751477800082,-0.02736759251309495,-0.34565634520345595,-0.37612989578425887,21.166202030018965,-1.854064164635464,binary_classifier,Malawi,child_zinc,"configured column zn_gdl, no inflammation adjustment",FALSE,65,0.6991833054366633,87,12345,0.734,0.817,-0.47,TRUE,0.35,full
1133,68,0.6134574418820042,0.22443808333791337,0.21917751477800082,-0.024001406190050423,-0.2847676111873016,-0.30876135280995803,20.785703914947902,-2.339753215941528,distributional_default,Malawi,child_zinc,"configured column zn_gdl, no inflammation adjustment",FALSE,65,0.6991833054366633,87,12345,0.734,0.817,-0.39,TRUE,0.35,full
843,56,0.54185009054637,0.19689419097294297,0.191466884231587,-0.028345929183197116,-0.11686879004590096,-0.19428536664097112,22.873358810123687,-0.442195074408475,binary_classifier,Malawi,women_zinc,"configured column zn_gdl, no inflammation adjustment",FALSE,66,0.760330093745314,87,12345,0.72,0.81,-0.16,TRUE,0.29,full
843,56,0.57222361272655,0.19392043186219768,0.191466884231587,-0.012814475153013927,-0.21299284574489247,-0.2144970638218924,22.22570293467711,-2.1919981878987205,distributional_default,Malawi,women_zinc,"configured column zn_gdl, no inflammation adjustment",FALSE,66,0.760330093745314,87,12345,0.72,0.81,-0.3,TRUE,0.29,full
