country,outcome,metric,binary_classifier,distributional_default,delta,lower_better,dist_better,has_signal
Ghana,women_folate,calib_slope,0.6698871902094163,0.9424602899648491,0.27257309975543276,FALSE,TRUE,TRUE
Ghana,women_folate,r_share,0.47,0.52,0.050000000000000044,FALSE,TRUE,TRUE
Ghana,women_b12,auc,0.564545669384379,0.5822403403048564,0.017694670920477384,FALSE,TRUE,TRUE
Ghana,women_b12,brier_skill,0.004424394134985521,0.008895367344214922,0.004470973209229401,FALSE,TRUE,TRUE
Ghana,women_b12,pearson_r,-0.11477324781507323,0.0795001213439219,0.19427336915899512,FALSE,TRUE,TRUE
Ghana,women_b12,mae_pp,8.23038117253499,8.051941233543495,-0.17843993899149524,TRUE,TRUE,TRUE
Ghana,women_b12,calib_slope,-0.4555554836485898,0.214132538170859,0.6696880218194488,FALSE,TRUE,TRUE
Sierra Leone,child_vitA,auc,0.584937319189971,0.584937319189971,0,FALSE,FALSE,TRUE
Sierra Leone,child_vitA,brier_skill,-0.003330706242901993,-0.003328770601296549,1.935641605443905e-6,FALSE,TRUE,TRUE
Sierra Leone,child_vitA,pearson_r,-0.946536023245648,-0.9458733452064104,6.626780392375853e-4,FALSE,TRUE,TRUE
Sierra Leone,child_vitA,mae_pp,4.946026561060927,4.944923810885517,-0.001102750175410172,TRUE,TRUE,TRUE
Sierra Leone,child_vitA,calib_slope,-11.983064593654202,-11.986986826808865,-0.003922233154662891,FALSE,FALSE,TRUE
Sierra Leone,women_vitA,auc,0.67386030526635,0.637268775902153,-0.03659152936419696,FALSE,FALSE,TRUE
Sierra Leone,women_vitA,brier_skill,-0.001963832306012936,-0.004186200465753576,-0.0022223681597406397,FALSE,FALSE,TRUE
Sierra Leone,women_vitA,pearson_r,-0.6044987410880167,-0.25727944057631197,0.34721930051170474,FALSE,TRUE,TRUE
Sierra Leone,women_vitA,mae_pp,1.3398927556438456,1.3324504593410134,-0.007442296302832219,TRUE,TRUE,TRUE
Sierra Leone,women_vitA,calib_slope,-4.1853336528529574,-1.3978256339489965,2.787508018903961,FALSE,TRUE,TRUE
Sierra Leone,child_iron,auc,0.6369315744315744,0.5186883311883312,-0.1182432432432432,FALSE,FALSE,TRUE
Sierra Leone,child_iron,brier_skill,-0.0033069585452243366,-0.26007116655288454,-0.2567642080076602,FALSE,FALSE,TRUE
Sierra Leone,child_iron,pearson_r,-0.69835300304708,-0.2150912025547516,0.4832618004923285,FALSE,TRUE,TRUE
Sierra Leone,child_iron,mae_pp,4.7891377013683645,7.594483682638585,2.8053459812702206,TRUE,FALSE,TRUE
Sierra Leone,child_iron,calib_slope,-10.60840639104293,-0.07892560574924032,10.52948078529369,FALSE,TRUE,TRUE
Sierra Leone,women_iron,auc,0.5452300798798869,0.5745428313373137,0.029312751457426733,FALSE,TRUE,TRUE
Sierra Leone,women_iron,brier_skill,-0.0027815178094205972,-0.0021500683869875026,6.314494224330947e-4,FALSE,TRUE,TRUE
Sierra Leone,women_iron,pearson_r,-0.2693739253417879,-0.8407550341690587,-0.5713811088272709,FALSE,FALSE,TRUE
Sierra Leone,women_iron,mae_pp,5.526190401244108,5.36092147849513,-0.16526892274897786,TRUE,TRUE,TRUE
Sierra Leone,women_iron,calib_slope,-1.8952865411164872,-15.211188684851544,-13.315902143735057,FALSE,FALSE,TRUE
Sierra Leone,women_iron,r_share,-1.61,-5.03,-3.42,FALSE,FALSE,TRUE
Sierra Leone,women_folate,auc,0.5240360592938041,0.5174779313790806,-0.006558127914723544,FALSE,FALSE,TRUE
Sierra Leone,women_folate,brier_skill,-0.46235771316969276,-0.5251914556157982,-0.0628337424461054,FALSE,FALSE,TRUE
Sierra Leone,women_folate,pearson_r,0.18056201363543853,0.044370267052012184,-0.13619174658342634,FALSE,FALSE,TRUE
Sierra Leone,women_folate,mae_pp,16.130504765803288,18.95637254781902,2.825867782015731,TRUE,FALSE,TRUE
Sierra Leone,women_folate,calib_slope,0.08388269797353397,0.019428899322124993,-0.06445379865140898,FALSE,FALSE,TRUE
Sierra Leone,women_folate,r_share,0.23,0.06,-0.17,FALSE,FALSE,TRUE
Sierra Leone,women_b12,brier_skill,-0.17466160195458036,-0.007056137431250109,0.16760546452333025,FALSE,TRUE,TRUE
Sierra Leone,women_b12,mae_pp,0.3494717008068467,0.7493924331380497,0.399920732331203,TRUE,FALSE,TRUE
Sierra Leone,women_b12,calib_slope,0,-0.5881792018317616,-0.5881792018317616,FALSE,FALSE,TRUE
Malawi,child_vitA,auc,0.5395991813723597,0.7447001583194964,0.2051009769471367,FALSE,TRUE,TRUE
Malawi,child_vitA,brier_skill,-0.0015766626211428658,-0.002239164832159357,-6.625022110164913e-4,FALSE,FALSE,TRUE
Malawi,child_vitA,pearson_r,-0.032349480879475735,-0.515833657654557,-0.48348417677508126,FALSE,FALSE,TRUE
Malawi,child_vitA,mae_pp,8.174135693427745,8.009951726778608,-0.16418396664913715,TRUE,TRUE,TRUE
Malawi,child_vitA,calib_slope,-0.3131374946891619,-35.88484223622257,-35.5717047415334,FALSE,FALSE,TRUE
Malawi,child_vitA,r_share,-0.07,-1.18,-1.1099999999999999,FALSE,FALSE,TRUE
Malawi,child_iron,auc,0.5392604588675158,0.5248726814484633,-0.014387777419052505,FALSE,FALSE,TRUE
Malawi,child_iron,brier_skill,-0.024937086507870854,-0.020936500696845384,0.00400058581102547,FALSE,TRUE,TRUE
Malawi,child_iron,pearson_r,0.23134154099451837,0.16123631797404686,-0.07010522302047151,FALSE,FALSE,TRUE
Malawi,child_iron,mae_pp,11.100351324763006,11.240763800105372,0.1404124753423659,TRUE,FALSE,TRUE
Malawi,child_iron,calib_slope,0.3646265089515773,0.28233231479918053,-0.08229419415239675,FALSE,FALSE,TRUE
Malawi,child_iron,r_share,0.64,0.44,-0.2,FALSE,FALSE,TRUE
Malawi,women_iron,auc,0.5551994020138065,0.5212988611880578,-0.03390054082574867,FALSE,FALSE,TRUE
Malawi,women_iron,brier_skill,-0.007539126824962494,-0.009048451528960832,-0.0015093247039983382,FALSE,FALSE,TRUE
Malawi,women_iron,pearson_r,-0.40127183613435274,-0.23229648296036123,0.1689753531739915,FALSE,TRUE,TRUE
Malawi,women_iron,mae_pp,11.115100313905083,11.084694471899743,-0.030405842005340133,TRUE,TRUE,TRUE
Malawi,women_iron,calib_slope,-3.0910739228294437,-0.8174509207358378,2.273623002093606,FALSE,TRUE,TRUE
Malawi,women_folate,auc,0.5831191505955757,0.5831280133295519,8.862733976156001e-6,FALSE,TRUE,TRUE
Malawi,women_folate,brier_skill,0.006765791191732595,-0.01498290025858351,-0.021748691450316104,FALSE,FALSE,TRUE
Malawi,women_folate,pearson_r,0.17181133800151524,0.08598629474330839,-0.08582504325820685,FALSE,FALSE,TRUE
Malawi,women_folate,mae_pp,15.860088802707262,15.907358596885611,0.047269794178349755,TRUE,FALSE,TRUE
Malawi,women_folate,calib_slope,0.39701516807937853,0.27356153054801285,-0.12345363753136568,FALSE,FALSE,TRUE
Malawi,women_folate,r_share,0.24,0.12,-0.12,FALSE,FALSE,TRUE
Malawi,women_b12,auc,0.637707800511509,0.6271579283887468,-0.01054987212276215,FALSE,FALSE,TRUE
Malawi,women_b12,brier_skill,0.008084924053951004,0.006871893516280925,-0.001213030537670079,FALSE,FALSE,TRUE
Malawi,women_b12,pearson_r,0.2834979082879357,0.24060979228710525,-0.04288811600083045,FALSE,FALSE,TRUE
Malawi,women_b12,mae_pp,4.118229776090801,4.180499840932877,0.06227006484207642,TRUE,FALSE,TRUE
Malawi,women_b12,calib_slope,1.1552707267556597,0.5958209607680274,-0.5594497659876323,FALSE,FALSE,TRUE
Malawi,child_zinc,auc,0.5839264468050241,0.6134574418820042,0.029530995076980093,FALSE,TRUE,TRUE
Malawi,child_zinc,brier_skill,-0.02736759251309495,-0.024001406190050423,0.003366186323044529,FALSE,TRUE,TRUE
Malawi,child_zinc,pearson_r,-0.34565634520345595,-0.2847676111873016,0.060888734016154356,FALSE,TRUE,TRUE
Malawi,child_zinc,mae_pp,21.166202030018965,20.785703914947902,-0.3804981150710631,TRUE,TRUE,TRUE
Malawi,child_zinc,calib_slope,-1.854064164635464,-2.339753215941528,-0.4856890513060641,FALSE,FALSE,TRUE
Malawi,child_zinc,r_share,-0.47,-0.39,0.07999999999999996,FALSE,TRUE,TRUE
Malawi,women_zinc,auc,0.54185009054637,0.57222361272655,0.030373522180179968,FALSE,TRUE,TRUE
Malawi,women_zinc,brier_skill,-0.028345929183197116,-0.012814475153013927,0.01553145403018319,FALSE,TRUE,TRUE
Malawi,women_zinc,pearson_r,-0.11686879004590096,-0.21299284574489247,-0.0961240556989915,FALSE,FALSE,TRUE
Malawi,women_zinc,mae_pp,22.873358810123687,22.22570293467711,-0.6476558754465778,TRUE,TRUE,TRUE
Malawi,women_zinc,calib_slope,-0.442195074408475,-2.1919981878987205,-1.7498031134902454,FALSE,FALSE,TRUE
Malawi,women_zinc,r_share,-0.16,-0.3,-0.13999999999999999,FALSE,FALSE,TRUE
