strategy,stratum,retention,n_districts,rmse_pp,mae_pp,replicate,n_clusters_total,n_districts_total,seed,country,outcome,analysis_profile
spatial_cv,zero_clusters,0.5,9,14.611210239709383,11.454123920135178,11,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.5,17,3.671980519965254,1.9688374855823692,12,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.5,13,14.951065927335442,11.163236580325659,12,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.5,17,12.196665926094614,9.941676879568284,12,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.5,13,14.01992385731153,11.338265486101545,12,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.5,17,11.344584665303332,8.882466772464827,12,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.5,13,13.736060905201777,12.054442038388004,12,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.5,21,4.097734666195095,2.4564870494762117,13,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.5,9,11.522593141948954,9.847710057530106,13,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.5,21,14.356819475851157,11.217561700607716,13,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.5,9,11.505460182129273,9.542134085258095,13,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.5,21,12.715731688799096,10.494259126159026,13,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.5,9,8.84563942777389,7.170632189341336,13,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.5,21,3.9433582637739417,2.572298725405251,14,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.5,9,15.4614839778553,11.038491393604053,14,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.5,21,13.463620465425477,10.5549032643916,14,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.5,9,14.574670981287507,11.621614539073848,14,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.5,21,14.141691223462146,11.740332058775097,14,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.5,9,13.487335057870368,11.472793417077465,14,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.5,22,4.761713899946606,2.889082476118475,15,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.5,8,9.072600869986353,7.371333605799005,15,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.5,22,11.587231937651401,8.724180303132846,15,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.5,8,17.195193296137408,14.685238504955164,15,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.5,22,12.677458336601294,9.851047713225913,15,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.5,8,12.568199728786572,11.283875445041252,15,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.5,23,3.012578371971251,1.6620225215981117,16,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.5,7,8.677856204099738,7.202077715092174,16,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.5,23,12.93584295565986,10.425982518032262,16,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.5,7,9.53482123724734,8.336287372032936,16,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.5,23,14.661996723949965,12.303538514403119,16,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.5,7,6.255378501961731,5.1792868403202155,16,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.5,18,3.19012213513557,1.9728052206094457,17,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.5,12,10.737605699299234,8.646174626317027,17,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.5,18,13.153676493390703,10.30946274837917,17,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.5,12,11.30054111345345,8.784305322194804,17,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.5,18,9.46368186086239,7.671519242713276,17,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.5,12,12.956387735229438,10.492871255111194,17,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.5,21,4.601144788187173,2.4709468720107517,18,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.5,9,13.724360196933436,8.993939877996459,18,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.5,21,14.29184148031077,11.79456297104982,18,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.5,9,16.39176820190819,12.375907129410072,18,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.5,21,10.73041053979797,9.204792289744685,18,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.5,9,17.64625648706947,12.900037084695132,18,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.5,21,4.851479888094918,3.0239874553851487,19,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.5,9,16.236430718823712,12.940927036974964,19,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.5,21,16.58495048053259,10.292246162562298,19,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.5,9,19.529721362285464,16.48400928683906,19,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.5,21,10.082154306626782,8.628127515220159,19,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.5,9,13.790163005141808,11.386002600294072,19,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.5,20,6.658631751513592,4.2159088148796515,20,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.5,10,12.529830821169519,9.440134659527846,20,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.5,20,16.7633423954065,13.27217824669237,20,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.5,10,9.071449924451755,7.58140603224438,20,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.5,20,18.055314806405054,14.44997738726993,20,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.5,10,8.822502366179128,6.994457061761207,20,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.5,22,2.5370782340045204,1.723955619981128,21,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.5,8,17.99141176437328,14.853266603049315,21,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.5,22,9.744159618758323,7.880088014735907,21,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.5,8,17.153525451615483,14.541282162901197,21,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.5,22,8.58973004383302,6.866736038077255,21,70,30,12345,Gambia,child_vitA,full
spatial_cv,zero_clusters,0.5,8,15.08974770897962,13.380300791411381,21,70,30,12345,Gambia,child_vitA,full
direct_or_national,has_clusters,0.5,19,3.7823309716543942,2.339222134694399,22,70,30,12345,Gambia,child_vitA,full
direct_or_national,zero_clusters,0.5,11,13.17941236810456,11.252950768944622,22,70,30,12345,Gambia,child_vitA,full
model_cv,has_clusters,0.5,19,13.271591256808252,9.669463377517607,22,70,30,12345,Gambia,child_vitA,full
model_cv,zero_clusters,0.5,11,12.35793369536024,10.907250206903889,22,70,30,12345,Gambia,child_vitA,full
spatial_cv,has_clusters,0.5,19,13.4814744476262,10.577625424953212,22,70,30,12345,Gambia,child_vitA,full
